
[00:00:00.000 --> 00:00:02.000]  請我們再一次同心 和祈禱
[00:00:02.000 --> 00:00:04.000]  希望我們感謝祢
[00:00:04.000 --> 00:00:06.000]  給祢寶貴的話語作為我們生命的指引
[00:00:06.000 --> 00:00:08.000]  求祢藉著祢的話語和聖靈
[00:00:08.000 --> 00:00:10.000]  在我們心裏感動
[00:00:10.000 --> 00:00:12.000]  做提醒 勸勉
[00:00:12.000 --> 00:00:14.000]  教導 安慰 挑戰 改變的工作
[00:00:14.000 --> 00:00:16.000]  我們這樣祈禱
[00:00:16.000 --> 00:00:18.000]  奉耶穌基督名求 阿們
[00:00:18.000 --> 00:00:20.000]  你們要聖潔
[00:00:20.000 --> 00:00:22.000]  我想在這個世界上
[00:00:22.000 --> 00:00:24.000]  很少人再說聖潔這個問題
[00:00:24.000 --> 00:00:26.000]  我想好幾年前
[00:00:26.000 --> 00:00:28.000]  我要去
[00:00:28.000 --> 00:00:30.000]  芝加哥開會
[00:00:30.000 --> 00:00:32.000]  開完會之後
[00:00:32.000 --> 00:00:34.000]  要留在那裏一晚 再去多倫多
[00:00:34.000 --> 00:00:36.000]  開完會都好累
[00:00:36.000 --> 00:00:38.000]  回到旅店
[00:00:38.000 --> 00:00:40.000]  自己一個人
[00:00:40.000 --> 00:00:42.000]  看了一小時
[00:00:42.000 --> 00:00:44.000]  九點多
[00:00:44.000 --> 00:00:46.000]  三藩市
[00:00:46.000 --> 00:00:48.000]  三藩市應該七點鐘
[00:00:48.000 --> 00:00:50.000]  還是早
[00:00:50.000 --> 00:00:52.000]  洗個正涼
[00:00:52.000 --> 00:00:54.000]  準備休息
[00:00:54.000 --> 00:00:56.000]  看了一小時 還是九點多
[00:00:56.000 --> 00:00:58.000]  睡覺又太快
[00:00:58.000 --> 00:01:00.000]  房裏面又沒有人
[00:01:00.000 --> 00:01:02.000]  只有床
[00:01:02.000 --> 00:01:04.000]  只有電視
[00:01:04.000 --> 00:01:06.000]  於是拿開電視來看
[00:01:06.000 --> 00:01:08.000]  突然間發覺在電視旁邊
[00:01:08.000 --> 00:01:10.000]  有一張廣告
[00:01:10.000 --> 00:01:12.000]  原來
[00:01:12.000 --> 00:01:14.000]  可以
[00:01:14.000 --> 00:01:18.000]  租電影來看
[00:01:18.000 --> 00:01:22.000]  我說不如看電影
[00:01:22.000 --> 00:01:24.000]  拿開目錄來看
[00:01:24.000 --> 00:01:26.000]  不看由自可
[00:01:26.000 --> 00:01:28.000]  一看就發覺
[00:01:28.000 --> 00:01:30.000]  幾乎90%都是成人色情電影
[00:01:30.000 --> 00:01:34.000]  當時心裏有個聲音
[00:01:34.000 --> 00:01:36.000]  跟自己說
[00:01:36.000 --> 00:01:38.000]  房裏沒有人
[00:01:38.000 --> 00:01:40.000]  整個旅店沒有人認識我
[00:01:40.000 --> 00:01:42.000]  更不知道我是做牧師的
[00:01:42.000 --> 00:01:44.000]  我又是成人
[00:01:44.000 --> 00:01:46.000]  我又不是犯奸淫
[00:01:46.000 --> 00:01:48.000]  看成人電影
[00:01:48.000 --> 00:01:50.000]  何妨呢
[00:01:50.000 --> 00:01:52.000]  如果真的要看就要二過謝火
[00:01:52.000 --> 00:01:54.000]  亦都沒有人知道
[00:01:54.000 --> 00:01:58.000]  另一個聲音就走來
[00:01:58.000 --> 00:02:00.000]  你有沒有搞錯
[00:02:00.000 --> 00:02:02.000]  房裏雖然沒有人
[00:02:02.000 --> 00:02:04.000]  但有上帝
[00:02:04.000 --> 00:02:06.000]  你當他盲嗎
[00:02:06.000 --> 00:02:08.000]  你當他啞嗎
[00:02:08.000 --> 00:02:10.000]  你當他聾嗎 你當他武刀嗎
[00:02:10.000 --> 00:02:12.000]  一想到這裏
[00:02:12.000 --> 00:02:14.000]  望下天
[00:02:14.000 --> 00:02:16.000]  遺之一陣
[00:02:16.000 --> 00:02:18.000]  就拿本書來
[00:02:18.000 --> 00:02:20.000]  看一看 看到累了就睡覺
[00:02:20.000 --> 00:02:22.000]  我相信我絕對不是一個樓下唯
[00:02:22.000 --> 00:02:24.000]  而在這個世界裏
[00:02:24.000 --> 00:02:26.000]  充滿了很多很多的隱憂
[00:02:26.000 --> 00:02:28.000]  特別在今日的社會裏
[00:02:28.000 --> 00:02:30.000]  性的滿足
[00:02:30.000 --> 00:02:32.000]  可以說是誰手可得
[00:02:32.000 --> 00:02:34.000]  無論是色情電影
[00:02:34.000 --> 00:02:36.000]  色情刊物
[00:02:36.000 --> 00:02:38.000]  現在更有的電腦
[00:02:38.000 --> 00:02:40.000]  色情網頁
[00:02:40.000 --> 00:02:42.000]  真是誰手可得
[00:02:42.000 --> 00:02:44.000]  一click之隔
[00:02:44.000 --> 00:02:46.000]  就墮入這個陷阱
[00:02:46.000 --> 00:02:48.000]  事實上在今天這個世界裏
[00:02:48.000 --> 00:02:50.000]  事實上在今天這個社會裏
[00:02:50.000 --> 00:02:52.000]  性的隱憂
[00:02:52.000 --> 00:02:54.000]  是和我們小時候
[00:02:54.000 --> 00:02:56.000]  絕對不同
[00:02:56.000 --> 00:02:58.000]  我記得1939年
[00:02:58.000 --> 00:03:00.000]  荷里活拍了一套電影叫
[00:03:00.000 --> 00:03:02.000]  Pure Gone With The Wind
[00:03:02.000 --> 00:03:04.000]  當時一放映的時候
[00:03:04.000 --> 00:03:06.000]  全個美國的觀眾嘩然
[00:03:06.000 --> 00:03:08.000]  大為震驚
[00:03:08.000 --> 00:03:10.000]  數以萬計的影迷
[00:03:10.000 --> 00:03:12.000]  寫信去報紙
[00:03:12.000 --> 00:03:14.000]  寫信去電影院
[00:03:14.000 --> 00:03:16.000]  製作商抗議和投訴
[00:03:16.000 --> 00:03:18.000]  你猜原因是什麼呢
[00:03:18.000 --> 00:03:20.000]  原因就是戲裏
