
[00:00:00.000 --> 00:00:07.280]  多謝大家來,高棚滿座,多謝大家
[00:00:07.280 --> 00:00:13.320]  我們一起碰神的場,首先少少道歉
[00:00:13.320 --> 00:00:17.520]  如果你覺得我說話有點怪怪的,就是因為我在箍牙
[00:00:17.520 --> 00:00:22.520]  為什麼我箍牙呢?這些是十幾歲的小朋友做的事
[00:00:22.520 --> 00:00:30.120]  我經常做事都很奇怪,我30歲學踩單車,40歲學彈鋼琴
[00:00:30.120 --> 00:00:34.360]  現在50歲就來箍牙,60歲不知道會做什麼呢?
[00:00:34.360 --> 00:00:42.520]  其實因為我太太要整牙,她要箍牙,所以就決定和老婆同甘共苦
[00:00:42.520 --> 00:00:45.960]  所以她箍牙又箍,我的牙很不整齊的
[00:00:45.960 --> 00:00:52.960]  不過就走著走著休息吧,到了以塞雅書
[00:00:52.960 --> 00:01:02.960]  (找尋中)
[00:01:02.960 --> 00:01:11.440]  我們來講以塞雅書,其實都要和大家解釋一下背景
[00:01:11.440 --> 00:01:15.520]  然後才進入敬拜,請大家耐心一點
[00:01:15.520 --> 00:01:21.520]  我想舊約的書卷,大家未必一定熟悉背景
[00:01:21.520 --> 00:01:24.000]  我就會和一些背景開始講起
[00:01:24.000 --> 00:01:31.040]  由地圖開始看起,我不知道你認不認得這些地方
[00:01:31.040 --> 00:01:35.440]  這個地圖的這部分就是今天的以色列
[00:01:35.440 --> 00:01:41.760]  由四海,到這裡,其實就是以色列,達摩斯卡
[00:01:41.760 --> 00:01:48.400]  這裡就是今天的敘利亞,約旦在這邊
[00:01:48.400 --> 00:01:51.840]  沙地阿拉伯,整個都是沙地阿拉伯
[00:01:51.840 --> 00:01:55.040]  今天的伊拉克就在這裡
[00:01:55.040 --> 00:01:59.920]  對不起,今天的古威在這裡,講錯了
[00:01:59.920 --> 00:02:04.960]  今天的巴比倫,當年的巴比倫在今天的科威特境內
[00:02:04.960 --> 00:02:10.240]  這邊就是伊拉克,這邊就是伊朗
[00:02:10.240 --> 00:02:12.000]  大概就是地圖
[00:02:12.000 --> 00:02:22.240]  地圖就是要明白以塞雅書整本書要記住亞述帝國的國家
[00:02:22.240 --> 00:02:26.880]  這幅地圖裡面,你會看到黃色的,黃黃的
[00:02:26.880 --> 00:02:31.040]  這些就是第九世紀的亞述帝國
[00:02:31.040 --> 00:02:35.520]  就是以塞雅的之前的亞述帝國
[00:02:35.520 --> 00:02:38.080]  綠色就代表全盛時期
[00:02:38.080 --> 00:02:41.920]  你沒有拍,沒有拍
[00:02:41.920 --> 00:02:46.720]  到了以塞雅出生的時候
[00:02:46.720 --> 00:02:53.360]  這個人做皇帝,Ticnaplissa,有一個亞述王
[00:02:53.360 --> 00:02:58.160]  他就是中興的王
[00:02:58.160 --> 00:03:05.680]  藍色就代表埃及北,就代表土耳其的東面
[00:03:05.680 --> 00:03:06.960]  你看這個地圖
[00:03:06.960 --> 00:03:10.560]  重要的是,亞述是一個大帝國
[00:03:10.560 --> 00:03:15.360]  他有兩個首都,一個是利利尼,一個是阿蘇
[00:03:15.360 --> 00:03:18.640]  軍隊是這樣打下來以色列的
[00:03:18.640 --> 00:03:20.480]  遮住了
[00:03:20.480 --> 00:03:24.960]  因為這邊是沙漠,所以軍隊一定是這樣下來
