
[00:00:00.000 --> 00:00:04.000]  聽見節目平安
[00:00:04.000 --> 00:00:08.000]  今日我們要看的經文
[00:00:08.000 --> 00:00:12.000]  宣講的經文是取自約翰福音13章
[00:00:12.000 --> 00:00:16.000]  如果你是手頭上有聖經的
[00:00:16.000 --> 00:00:20.000]  可以打開到約翰福音13章
[00:00:20.000 --> 00:00:24.000]  是一段很熟悉的記載
[00:00:24.000 --> 00:00:28.000]  請聽我讀出13章第一節
[00:00:28.000 --> 00:00:32.000]  (朗讀)
[00:00:32.000 --> 00:00:36.000]  (朗讀)
[00:00:36.000 --> 00:00:40.000]  (朗讀)
[00:00:40.000 --> 00:00:43.980]  耶穌的意思放在西門的兒子加勒人猶大心裡
[00:00:43.980 --> 00:00:48.440]  耶穌知道父已將萬有交在他手裡
[00:00:48.440 --> 00:00:51.880]  且知道自己是從神出來的
[00:00:51.880 --> 00:00:53.980]  又要歸到神那裡去
[00:00:53.980 --> 00:00:57.820]  就離席站起來脫了衣服拿一條手巾搓腰
[00:00:57.820 --> 00:01:01.340]  然後把水倒在盆里就洗門徒的腳
[00:01:01.340 --> 00:01:04.540]  並用自己所搓的毛巾擦乾
[00:01:04.540 --> 00:01:07.380]  挨道西門彼得對他說
[00:01:07.380 --> 00:01:08.800]  主啊 你洗我的腳嗎?
[00:01:09.580 --> 00:01:10.560]  耶穌回答說
[00:01:10.560 --> 00:01:14.920]  我所作的你如今不知道 後來必明白
[00:01:14.920 --> 00:01:17.440]  彼得說 你永不可洗我的腳
[00:01:17.440 --> 00:01:22.160]  耶穌說 我若不洗你 你就與我無分了
[00:01:22.160 --> 00:01:23.420]  西門彼得說
[00:01:23.420 --> 00:01:27.080]  主啊 不但我的腳連手和頭也要洗
[00:01:27.080 --> 00:01:29.740]  耶穌說 凡洗過躁的人
[00:01:29.740 --> 00:01:33.520]  只要把腳一洗全身就乾淨了
[00:01:33.520 --> 00:01:36.960]  你們是乾淨的 然而不都是乾淨的
[00:01:36.960 --> 00:01:39.480]  耶穌原知道要賣他的是誰
[00:01:39.700 --> 00:01:42.420]  所以說 你們不都是乾淨的
[00:01:42.420 --> 00:01:45.380]  耶穌洗完他的腳就穿上衣服
[00:01:45.380 --> 00:01:46.980]  又坐下對他們說
[00:01:46.980 --> 00:01:49.820]  我向你們所作的 你們明白嗎?
[00:01:49.820 --> 00:01:53.180]  你們稱呼我夫子 稱呼我主
[00:01:53.180 --> 00:01:55.860]  你們說的不錯 我本來是
[00:01:55.860 --> 00:01:58.060]  我是你們的主 你們的夫子
[00:01:58.060 --> 00:01:59.860]  尚且洗你們的腳
[00:01:59.860 --> 00:02:03.860]  你們也當彼此洗腳
[00:02:03.860 --> 00:02:05.860]  我給你們作了榜樣
[00:02:05.860 --> 00:02:09.140]  叫你們照著我向你們所作的去作
[00:02:09.560 --> 00:02:11.400]  我實實在在的告訴你們
[00:02:11.400 --> 00:02:13.720]  僕人不能大於主人
[00:02:13.720 --> 00:02:16.360]  差人也不能大於差他的人
[00:02:16.360 --> 00:02:18.520]  你們既知道這事
[00:02:18.520 --> 00:02:21.440]  若是去行就是有福了
[00:02:21.440 --> 00:02:23.560]  我們一起低頭祈禱
