
[00:00:00.000 --> 00:00:06.800]  好,去到退休會尾二那天
[00:00:06.800 --> 00:00:08.400]  我們最後來的一天
[00:00:08.400 --> 00:00:10.400]  你們就是尾二那天
[00:00:10.400 --> 00:00:13.400]  差不多是時候講到末世了
[00:00:13.400 --> 00:00:16.400]  即是快完了
[00:00:16.400 --> 00:00:20.400]  OK,好,所以就講一下《啓示錄》
[00:00:20.400 --> 00:00:22.600]  我選了這段經文
[00:00:22.600 --> 00:00:25.200]  就《啓示錄》一章
[00:00:25.200 --> 00:00:27.200]  即是選了講《啓示錄》一章
[00:00:27.200 --> 00:00:31.200]  如果你有聖經可以揭開
[00:00:31.200 --> 00:00:35.200]  就是《耶一章》
[00:00:35.200 --> 00:00:36.600]  《耶一章》,OK
[00:00:36.600 --> 00:00:38.400]  我會一起來看看
[00:00:38.400 --> 00:00:41.600]  第二《耶一章》整章都看一下
[00:00:41.600 --> 00:00:42.800]  不過我們不讀完它
[00:00:42.800 --> 00:00:45.800]  我們都一起讀幾節的經文
[00:00:45.800 --> 00:00:49.600]  我們讀《耶一章》一到五節
[00:00:49.600 --> 00:00:51.800]  我們一起只是讀五節
[00:00:51.800 --> 00:00:55.400]  《耶一章》《啓示錄》一到五節
[00:00:55.400 --> 00:00:56.600]  預備,來
[00:00:56.600 --> 00:00:59.800]  「我又看見一個新天新地
[00:00:59.800 --> 00:01:03.600]  因為先前的天地已經過去了
[00:01:03.600 --> 00:01:05.600]  海也不再有了
[00:01:05.600 --> 00:01:08.800]  我又看見聖神新耶路撒冷
[00:01:08.800 --> 00:01:11.600]  由神那裡從天而降
[00:01:11.600 --> 00:01:15.800]  預備好了就如新婦裝飾整齊
[00:01:15.800 --> 00:01:17.600]  等候丈夫
[00:01:17.600 --> 00:01:21.600]  我聽見有大聲音從寶座出來說
[00:01:21.600 --> 00:01:24.600]  看啊,神的像莫在人間
[00:01:24.600 --> 00:01:26.600]  祂要與人同住
[00:01:26.600 --> 00:01:29.200]  他們要作祂的子民
[00:01:29.200 --> 00:01:32.200]  神要親自與他們同在
[00:01:32.200 --> 00:01:33.800]  作他們的神
[00:01:33.800 --> 00:01:36.800]  神要擦去他們一切的眼淚
[00:01:36.800 --> 00:01:38.600]  不再有死亡
[00:01:38.600 --> 00:01:42.400]  也不再有悲哀、哀哭、疼痛
[00:01:42.400 --> 00:01:45.600]  因為以前的事都過去了
[00:01:45.600 --> 00:01:47.400]  坐寶座上的說
[00:01:47.400 --> 00:01:50.600]  看啊,我將一切都更新了
[00:01:50.600 --> 00:01:51.600]  又說
[00:01:51.600 --> 00:01:55.600]  你要寫上因為這些話是可信的
[00:01:55.600 --> 00:01:57.600]  是真實的
[00:01:57.600 --> 00:01:59.600]  我們低頭再做一個禱告
[00:01:59.600 --> 00:02:02.600]  神啊,我們真的求禰幫助我們
[00:02:02.600 --> 00:02:04.600]  讓你看到末世的說話
[00:02:04.600 --> 00:02:07.600]  真的能夠成為我們生命的鼓勵
[00:02:07.600 --> 00:02:10.600]  讓我們每一天雖然我們眼看不到
[00:02:10.600 --> 00:02:12.600]  但是我們心裡相信
[00:02:12.600 --> 00:02:16.600]  這個真實成為我們生命的方向
[00:02:16.600 --> 00:02:17.600]  今天一段聽到的時間
[00:02:17.600 --> 00:02:18.600]  求禰祝福
[00:02:18.600 --> 00:02:21.600]  祈禱禱奉耶穌基督名
