
[00:00:00.000 --> 00:00:06.560]  我今天其實有兩件事想跟大家分享
[00:00:06.560 --> 00:00:12.720]  一件事就是我看見一位父親
[00:00:12.720 --> 00:00:17.200]  他做了一件令我非常感動的事
[00:00:17.200 --> 00:00:19.200]  我不提他的名字
[00:00:19.200 --> 00:00:23.200]  不過我讀他說過的一些說話
[00:00:23.200 --> 00:00:26.720]  他跟他的媳婦說
[00:00:26.720 --> 00:00:28.000]  跟他的兒子說
[00:00:28.000 --> 00:00:29.520]  跟他的孫子說
[00:00:29.520 --> 00:00:37.520]  一個父親在他去到萬萬年的時候
[00:00:37.520 --> 00:00:41.520]  其實就是在過去的新生頭
[00:00:41.520 --> 00:00:45.520]  用他自己心底的說話
[00:00:45.520 --> 00:00:49.520]  給一封紅封包裏面
[00:00:49.520 --> 00:00:55.520]  我想除了有真金白銀之外
[00:00:55.520 --> 00:01:01.520]  還有一張他自己親手寫的
[00:01:01.520 --> 00:01:03.520]  一個用紅色紙
[00:01:03.520 --> 00:01:07.520]  用很漂亮的毛筆紙寫的幾句說話
[00:01:07.520 --> 00:01:09.520]  你聽聽他怎麼說
[00:01:09.520 --> 00:01:13.520]  他是神賜給我的唯一的兒子
[00:01:13.520 --> 00:01:17.520]  你出生的時候頭大腳大
[00:01:17.520 --> 00:01:19.520]  不是像姐姐那麼嬌小
[00:01:19.520 --> 00:01:23.520]  媽媽就說你頭大聰明腳大穩陣
[00:01:23.520 --> 00:01:27.520]  將來的成就一定在爸爸之上
[00:01:27.520 --> 00:01:31.520]  這番說話果然應驗了
[00:01:31.520 --> 00:01:35.520]  神賜給你在這方面的造藝
[00:01:35.520 --> 00:01:39.520]  在同行裏面是佔路頭角
[00:01:39.520 --> 00:01:42.520]  你是大師級的人馬
[00:01:42.520 --> 00:01:44.520]  徒里滿門
[00:01:44.520 --> 00:01:47.520]  御滿香江
[00:01:47.520 --> 00:01:51.520]  願主繼續恩待你
[00:01:51.520 --> 00:01:55.520]  我看到我覺得很感動
[00:01:55.520 --> 00:01:59.520]  我不知道你聽到後覺得怎樣
[00:01:59.520 --> 00:02:02.520]  兒子你的成就會大過我
[00:02:02.520 --> 00:02:05.520]  兒子你的造藝好深
[00:02:05.520 --> 00:02:09.520]  兒子你是大師級的人馬
[00:02:09.520 --> 00:02:11.520]  如果我是兒子
[00:02:11.520 --> 00:02:16.520]  聽到爸爸這樣來跟我講說話
[00:02:16.520 --> 00:02:24.520]  我想我不會有任何的自卑
[00:02:24.520 --> 00:02:28.520]  抑鬱苦澀
[00:02:28.520 --> 00:02:30.520]  人生在世
[00:02:30.520 --> 00:02:33.520]  我發覺很多人到今時今日
[00:02:33.520 --> 00:02:41.520]  都仍然在尋找一個的肯定
[00:02:41.520 --> 00:02:44.520]  他跟媳婦說什麼
[00:02:44.520 --> 00:02:46.520]  你是我的好媳婦
[00:02:46.520 --> 00:02:49.520]  你為我家增添後代
[00:02:49.520 --> 00:02:52.520]  你多年教學的生涯
[00:02:52.520 --> 00:02:55.520]  苦況自知
[00:02:55.520 --> 00:02:58.520]  決斷不再執教鞭
[00:02:58.520 --> 00:03:00.520]  並非出於偶然
[00:03:00.520 --> 00:03:04.520]  現在是得脫離這個環境
[00:03:04.520 --> 00:03:09.520]  協助丈夫成為他事業的掌門人
[00:03:09.520 --> 00:03:13.520]  你在這個店舖對員工指揮約定
[00:03:13.520 --> 00:03:16.520]  發揮你管理的才能
[00:03:16.520 --> 00:03:18.520]  願神賜福
[00:03:18.520 --> 00:03:20.520]  祝你身體健康
[00:03:20.520 --> 00:03:23.520]  我想我都不再讀其他的
[00:03:23.520 --> 00:03:25.520]  都是一樣的精彩
[00:03:25.520 --> 00:03:31.520]  對子孫對自己的其他女兒所說的
[00:03:31.520 --> 00:03:36.520]  都是無窮的肯定和欣慰和祝福
[00:03:36.520 --> 00:03:39.520]  這位的父親
[00:03:39.520 --> 00:03:43.520]  他最大的特色
[00:03:43.520 --> 00:03:47.520]  是滿載著上帝的說話
[00:03:47.520 --> 00:03:49.520]  聖經的說話
[00:03:49.520 --> 00:03:51.520]  滿載在他的心裡
[00:03:51.520 --> 00:03:53.520]  他曾經跟我說
[00:03:53.520 --> 00:03:54.520]  恩明啊
[00:03:54.520 --> 00:03:58.520]  你有沒有一本文理本的聖經
[00:03:58.520 --> 00:04:00.520]  文言文的聖經
[00:04:00.520 --> 00:04:04.520]  於是我就找了一本淺文理的給他
[00:04:04.520 --> 00:04:06.520]  他說這本不是我所要的
[00:04:06.520 --> 00:04:10.520]  我要的是一本真是知乎者也
[00:04:10.520 --> 00:04:12.520]  什麼是什麼是那些
[00:04:12.520 --> 00:04:16.520]  我終於找到另外一本給他
[00:04:16.520 --> 00:04:18.520]  他一生
[00:04:18.520 --> 00:04:24.520]  他一直抄寫著我們所熟悉的和合本的聖經
[00:04:24.520 --> 00:04:28.520]  送了無數的金句給一個人
[00:04:28.520 --> 00:04:30.520]  我覺得一個父親
