
[00:00:00.000 --> 00:00:04.360]  各位大型節目的朋友們 平安
[00:00:04.360 --> 00:00:07.360]  所以解釋到為什麼我今天要穿恤衫了
[00:00:07.360 --> 00:00:10.080]  並不是因為意大利日
[00:00:10.080 --> 00:00:14.800]  而是因為今天是基督教教育主日
[00:00:14.800 --> 00:00:20.160]  我很想和大家分享我在神里的讀神學
[00:00:20.160 --> 00:00:22.480]  接受基督教教育的領袖
[00:00:22.480 --> 00:00:24.800]  能夠穿得起這件袍
[00:00:24.800 --> 00:00:29.120]  是有很多的恩典 也有很多的眼淚
[00:00:29.120 --> 00:00:32.120]  今天和大家分享的題目是
[00:00:32.120 --> 00:00:35.800]  土告帶來的震撼轉化
[00:00:35.800 --> 00:00:37.840]  在基督教教育主日裡面
[00:00:37.840 --> 00:00:40.440]  其實什麼叫基督教教育呢?
[00:00:40.440 --> 00:00:44.280]  由我小時候11歲開始上的主日學
[00:00:44.280 --> 00:00:48.320]  到剛剛上年才畢業的神學
[00:00:48.320 --> 00:00:51.040]  究竟什麼是主日學
[00:00:51.040 --> 00:00:53.600]  或者現在大家聽到的港道
[00:00:53.600 --> 00:00:56.840]  其實想達到一件什麼事情呢?
[00:00:56.840 --> 00:01:01.240]  當我看一本書叫做基督徒的神學思考
[00:01:01.240 --> 00:01:05.240]  它說原來要做這個神學思考
[00:01:05.240 --> 00:01:08.040]  並不是神學生才要做的
[00:01:08.040 --> 00:01:13.120]  而是每一個信徒都要有這個神學思考
[00:01:13.120 --> 00:01:14.720]  是什麼意思呢?
[00:01:14.720 --> 00:01:18.040]  它有兩種神學的程度
[00:01:18.040 --> 00:01:21.560]  第一種叫做深印神學
[00:01:21.560 --> 00:01:23.760]  Embedded Theology
[00:01:23.760 --> 00:01:25.360]  這個深印神學是做什麼呢?
[00:01:25.360 --> 00:01:27.880]  就是說一個初階的神學
[00:01:27.880 --> 00:01:30.160]  叫做First Order Theology
[00:01:30.160 --> 00:01:34.000]  或者叫做一個見證的言語
[00:01:34.000 --> 00:01:35.200]  是什麼意思呢?
[00:01:35.200 --> 00:01:39.240]  是由當你對信仰的意義
[00:01:39.240 --> 00:01:40.320]  怎麼叫有意義呢?
[00:01:40.320 --> 00:01:42.440]  就是你對任何的事情
[00:01:42.440 --> 00:01:46.360]  你有即時或者直接的反應
[00:01:46.360 --> 00:01:48.640]  或者說你面對一些事情
[00:01:48.640 --> 00:01:50.320]  你有什麼行動
[00:01:50.320 --> 00:01:53.120]  是做到一個見證給人知道的
[00:01:53.120 --> 00:01:57.080]  譬如你在街上真的見到有人有需要幫忙
[00:01:57.080 --> 00:01:58.480]  你就去幫
[00:01:58.480 --> 00:01:59.600]  然後可能問你
[00:01:59.600 --> 00:02:01.160]  為什麼會這樣呢?
[00:02:01.160 --> 00:02:04.560]  你會說因為好薩瑪利亞人的故事
[00:02:04.560 --> 00:02:06.280]  好心影響了我
[00:02:06.280 --> 00:02:08.240]  有些事情你是即時反應的
[00:02:08.240 --> 00:02:10.560]  如果再深一點問你為什麼呢?
[00:02:10.560 --> 00:02:11.800]  你又不是很清楚
[00:02:11.800 --> 00:02:14.280]  但我就是在流露這件事情
[00:02:14.280 --> 00:02:17.680]  或者有些人覺得你這個人很有恩慈
[00:02:17.680 --> 00:02:22.840]  或者有些人覺得你有一些看到耶穌在你身上
[00:02:22.840 --> 00:02:25.640]  但如果問你為什麼你可以做到呢?
[00:02:25.640 --> 00:02:27.200]  你可能不是很懂得解釋
[00:02:27.200 --> 00:02:29.160]  但這個就是我會說
[00:02:29.160 --> 00:02:32.000]  是我們平日的講道
[00:02:32.000 --> 00:02:33.840]  是平日的主若學
[00:02:33.840 --> 00:02:36.680]  平日的你去可能上BSF
[00:02:36.680 --> 00:02:38.560]  你可能上生命之道
[00:02:38.560 --> 00:02:41.880]  很想有些東西可以直根到
[00:02:41.880 --> 00:02:43.120]  在你的生命裡面
[00:02:43.120 --> 00:02:45.160]  以至你流露了出來
[00:02:45.160 --> 00:02:46.840]  但另一個層次呢
[00:02:46.840 --> 00:02:49.160]  就叫做心思熟慮的神學
[00:02:49.160 --> 00:02:50.040]  這個就是
[00:02:50.040 --> 00:02:51.800]  名字雖然叫做次佳
[00:02:51.800 --> 00:02:53.960]  但它叫做第二個層次
[00:02:53.960 --> 00:02:59.200]  就是說開始用文字去表達你的心印神學
[00:02:59.200 --> 00:03:05.440]  尋求盡可能清晰和連貫地去展述你的信仰意義
[00:03:05.440 --> 00:03:07.840]  是比較周密
[00:03:07.840 --> 00:03:11.080]  和是比較越過表面
[00:03:11.080 --> 00:03:12.880]  去到事情的核心
[00:03:12.880 --> 00:03:16.480]  發展了一套對問題的理解
[00:03:16.480 --> 00:03:17.960]  所以如果你要問我
[00:03:17.960 --> 00:03:20.680]  我要決定讀神學和不讀神學
[00:03:20.680 --> 00:03:22.160]  其中一個你讀神學
[00:03:22.160 --> 00:03:25.120]  就是想更加深入去思考
[00:03:25.120 --> 00:03:27.920]  究竟為什麼會發生這個事情
[00:03:27.920 --> 00:03:31.560]  究竟這個事情對你有什麼信仰意義
[00:03:31.560 --> 00:03:32.760]  所以第一個層次
[00:03:32.760 --> 00:03:34.680]  你可以說所有信徒
[00:03:34.680 --> 00:03:35.480]  當你看聖經
[00:03:35.480 --> 00:03:36.120]  當你聽到
[00:03:36.120 --> 00:03:37.240]  當你上主若學
[00:03:37.240 --> 00:03:39.640]  當你上什麼的課程都好
[00:03:39.640 --> 00:03:43.680]  你很想讓信仰進入你的生命裡面
[00:03:43.680 --> 00:03:46.440]  而在生命流露出來
[00:03:46.440 --> 00:03:48.440]  就不只是停留在腦子里
[00:03:48.440 --> 00:03:50.760]  不只是背段經文很熟
[00:03:50.760 --> 00:03:52.600]  的、媽、了、摸、逗號、句號
[00:03:52.600 --> 00:03:53.600]  你都背了
[00:03:53.600 --> 00:03:54.400]  不是這些
[00:03:54.400 --> 00:03:57.720]  而是說你能不能夠將你腦子里吸收的東西
[00:03:57.720 --> 00:03:59.880]  可以行出來
[00:03:59.880 --> 00:04:02.240]  今天很想和大家分享討詬的時候
[00:04:02.240 --> 00:04:05.120]  我就在詩室找到這本書
[00:04:05.120 --> 00:04:06.840]  叫做《討詬》
[00:04:06.840 --> 00:04:08.640]  在討詬這本書的封面
[00:04:08.640 --> 00:04:10.680]  他寫了一句很有意思
[00:04:10.680 --> 00:04:14.720]  他說討詬和不討詬有沒有分別?
