
[00:00:00.000 --> 00:00:05.000]  各位靜音姐妹 平安
[00:00:05.000 --> 00:00:09.000]  來到我們網上言經第二課
[00:00:09.000 --> 00:00:14.000]  題目是提亞非羅與城市
[00:00:14.000 --> 00:00:20.000]  上星期說要交代大家思考的
[00:00:20.000 --> 00:00:24.000]  或者說功課 大家有沒有真的思考一下呢?
[00:00:24.000 --> 00:00:27.000]  可能有人說 哎呀 又忘記了
[00:00:27.000 --> 00:00:30.000]  到底問題是什麼呢? 提亞非羅是誰呢?
[00:00:30.000 --> 00:00:36.000]  大家有沒有看過聖經呢? 有沒有看過兩個版本的聖經呢?
[00:00:36.000 --> 00:00:40.000]  為什麼要寫給一個特別的群體呢?
[00:00:40.000 --> 00:00:47.000]  為什麼要由路加寫一個路加福音呢?
[00:00:47.000 --> 00:00:53.000]  你認不認識你的城市? 你愛不愛你的城市?
[00:00:53.000 --> 00:00:58.000]  請大家仍然記得 用一個城市宣教的鏡頭
[00:00:58.000 --> 00:01:02.000]  去一路看路加福音
[00:01:02.000 --> 00:01:09.000]  今天我會直接和大家進入路加福音的第一章一至四節
[00:01:09.000 --> 00:01:12.000]  這是路加福音的引言
[00:01:12.000 --> 00:01:15.000]  當你去了解這個引言的時候
[00:01:15.000 --> 00:01:19.000]  對你去了解整卷路加福音是很重要
[00:01:19.000 --> 00:01:22.000]  也起著很大的影響作用
[00:01:22.000 --> 00:01:26.000]  因為你會知道當時大概歷史的背景
[00:01:26.000 --> 00:01:32.000]  當時他身處的城市 究竟大約面對著什麼困難
[00:01:32.000 --> 00:01:39.000]  和我們今天面對的社會議題究竟有沒有相似的地方
[00:01:39.000 --> 00:01:43.000]  不如我先和大家看看一至四節是說什麼
[00:01:43.000 --> 00:01:47.000]  在路加福音一章一至二節說
[00:01:47.000 --> 00:01:51.000]  提亞非羅大人 有好些人提筆作書
[00:01:51.000 --> 00:01:55.000]  述說在我們中間所成就的事
[00:01:55.000 --> 00:02:01.000]  是照傳道的人從起初親眼看見又傳給我們的
[00:02:01.000 --> 00:02:06.000]  第三節 這些事我既從頭都詳細考察了
[00:02:06.000 --> 00:02:10.000]  就定義要按著次序寫給你
[00:02:10.000 --> 00:02:16.000]  使你知道所學之道都是確實的
[00:02:16.000 --> 00:02:20.000]  原來我們看這一至四節
[00:02:20.000 --> 00:02:24.000]  你已經可以找到路加寫路加福音的時候
[00:02:24.000 --> 00:02:26.000]  他的資料來源是什麼
[00:02:26.000 --> 00:02:29.000]  寫這本書的對象是誰
[00:02:29.000 --> 00:02:34.000]  還有什麼手法 和他想達到什麼目的
[00:02:34.000 --> 00:02:40.000]  大家上一次看了哪兩個版本的聖經
[00:02:40.000 --> 00:02:43.000]  去了解這四節的經文呢?
[00:02:43.000 --> 00:02:47.000]  現在我想和大家看看新漢語譯本
[00:02:47.000 --> 00:02:50.000]  這個網頁真的很好
[00:02:50.000 --> 00:02:51.000]  我展示一次給你看
[00:02:51.000 --> 00:02:55.000]  這個網頁對我們理解聖經有什麼好的地方
[00:02:55.000 --> 00:02:57.000]  你去到這個網頁的時候
[00:02:57.000 --> 00:02:59.000]  然後你看到第一個藍色的圈
[00:02:59.000 --> 00:03:01.000]  你找到路加福音
[00:03:01.000 --> 00:03:06.000]  然後第二個你找到新漢語譯本
[00:03:06.000 --> 00:03:09.000]  然後你看和合本
[00:03:09.000 --> 00:03:15.000]  當我再放近一點關於這個新漢語譯本的序言
[00:03:15.000 --> 00:03:16.000]  他講什麼呢?
[00:03:16.000 --> 00:03:18.000]  我們先看頭幾個字
[00:03:18.000 --> 00:03:21.000]  一至四節 第一顆星
[00:03:21.000 --> 00:03:26.000]  你會看到這個譯本在網上加了不同的星星
[00:03:26.000 --> 00:03:27.000]  這些星星很重要的
[00:03:27.000 --> 00:03:29.000]  我和大家看看其實是什麼
[00:03:29.000 --> 00:03:36.000]  當你用滑鼠去點擊第一顆星星的時候
[00:03:36.000 --> 00:03:38.000]  你一點擊下去 你會看到什麼呢?
[00:03:38.000 --> 00:03:41.000]  你會看到他有些解釋
[00:03:41.000 --> 00:03:43.000]  他有些註解
[00:03:43.000 --> 00:03:44.000]  他說什麼呢?
[00:03:44.000 --> 00:03:49.000]  他說原文為結構緊密的一個長句子
[00:03:49.000 --> 00:03:52.000]  如果按原文的次序翻譯
[00:03:52.000 --> 00:03:55.000]  很難將句子的意思完全譯出
[00:03:55.000 --> 00:03:59.000]  所以把整句看為一整體譯出
[00:03:59.000 --> 00:04:02.000]  所以你看這個譯法的時候
[00:04:02.000 --> 00:04:05.000]  一至四節他沒有和你很清楚分第一節
[00:04:05.000 --> 00:04:07.000]  第二節 第三節 第四節
[00:04:07.000 --> 00:04:09.000]  因為原文是一個很長的句子
[00:04:09.000 --> 00:04:12.000]  所以他告訴你
