
[00:00:00.000 --> 00:00:05.280]  各位電視節目的各位朋友,你們好
[00:00:05.280 --> 00:00:07.680]  歡迎大家參加我們三藩市播道會
[00:00:07.680 --> 00:00:09.680]  網上的五堂崇拜
[00:00:09.680 --> 00:00:12.880]  我們今天繼續思想希伯來書的信息
[00:00:12.880 --> 00:00:15.440]  我們去到希伯來書第十一章
[00:00:15.440 --> 00:00:17.440]  二十節至二十二節
[00:00:17.440 --> 00:00:22.480]  題目叫做信是超越得失成敗
[00:00:22.480 --> 00:00:24.480]  在未開始思想這段聖經之前
[00:00:24.480 --> 00:00:26.480]  請我們同心低頭,我也同禱告
[00:00:26.480 --> 00:00:29.440]  慈悲人,我天父,我們滿心感謝你
[00:00:29.440 --> 00:00:35.440]  雖然在人生當中有得失成敗,生離死別
[00:00:35.440 --> 00:00:37.440]  但我們知道在耶穌基督裏面
[00:00:37.440 --> 00:00:39.440]  我們永遠有盼望
[00:00:39.440 --> 00:00:43.440]  求你藉著你的話語去提醒、勸勉、教導、安慰、督察
[00:00:43.440 --> 00:00:45.440]  改變我們
[00:00:45.440 --> 00:00:47.440]  我們這樣的祈禱乃是奉耶穌基督的名號
[00:00:47.440 --> 00:00:49.440]  阿們
[00:00:49.440 --> 00:00:51.440]  在1980年代
[00:00:51.440 --> 00:00:54.440]  美國經濟是任意衰退期
[00:00:54.440 --> 00:00:56.440]  那時候不少的大銀行
[00:00:56.440 --> 00:01:01.440]  開始收購和吞併其他小銀行
[00:01:01.440 --> 00:01:04.440]  在羅省的帕薩丁納地區
[00:01:04.440 --> 00:01:07.440]  有一間小銀行的分行經理
[00:01:07.440 --> 00:01:10.440]  因為銀行被大銀行收購
[00:01:10.440 --> 00:01:13.440]  職位不保,被辭退職位
[00:01:13.440 --> 00:01:15.440]  他五十多歲
[00:01:15.440 --> 00:01:17.440]  退休太早
[00:01:17.440 --> 00:01:21.440]  而且家庭經濟負擔都落在他身上
[00:01:21.440 --> 00:01:24.440]  孩子要讀大學
[00:01:24.440 --> 00:01:26.440]  要去資助
[00:01:26.440 --> 00:01:28.440]  於是到處去找工作
[00:01:28.440 --> 00:01:30.440]  但每次都很失望
[00:01:30.440 --> 00:01:34.440]  再加上他在一間小銀行工作了二十多年
[00:01:34.440 --> 00:01:36.440]  雖然只是中學畢業
[00:01:36.440 --> 00:01:40.440]  從Teller做起一直做到分行經理
[00:01:40.440 --> 00:01:42.440]  沒有MBA
[00:01:42.440 --> 00:01:44.440]  甚至大學學位都沒有
[00:01:44.440 --> 00:01:47.440]  找另外一份工作談何容易呢?
[00:01:47.440 --> 00:01:50.440]  經過差不多有一年的時間
[00:01:50.440 --> 00:01:53.440]  他的工作仍然毫無頭緒
[00:01:53.440 --> 00:01:57.440]  雖然有時有機會去面試
[00:01:57.440 --> 00:01:59.440]  但都是失望而歸
[00:01:59.440 --> 00:02:02.440]  令他感到非常沮喪
[00:02:02.440 --> 00:02:05.440]  有一種很強烈的失敗感
[00:02:05.440 --> 00:02:07.440]  有一天他太太對他說
[00:02:07.440 --> 00:02:09.440]  你年紀都不小了
[00:02:09.440 --> 00:02:11.440]  又沒有大學學位
[00:02:11.440 --> 00:02:14.440]  你去找工作就好像石沉大海一樣
[00:02:14.440 --> 00:02:17.440]  你似乎被這個社會淘汰了
[00:02:17.440 --> 00:02:20.440]  說完之後一聲嘆息
[00:02:20.440 --> 00:02:24.440]  以後的日子都不知道怎樣過
[00:02:24.440 --> 00:02:26.440]  他一聲不吭
