
[00:00:00.000 --> 00:00:08.760]  各位午安,我們繼續思想羅家夫音的訊息
[00:00:08.760 --> 00:00:14.520]  今天我們很高興有三位年輕人從遠地而來,是LA上來的
[00:00:14.520 --> 00:00:22.840]  他們想和大家分享一下,接下來的這個冬季會
[00:00:22.840 --> 00:00:35.000]  是一個西岸的冬季會,所以我們歡迎他們,Matthew, Eric和Raymond歡迎你
[00:00:35.000 --> 00:00:38.600]  或者我們未看這段聖經的時候,我們一起和心討稿
[00:00:38.600 --> 00:00:42.640]  天父我們再一次多謝你,給你寶貴話語作為我們生命的指引
[00:00:42.640 --> 00:00:47.480]  求你積聚你的話語去提醒,勸勉教導,篤責改變我們
[00:00:47.480 --> 00:00:50.920]  封耶穌基督名舊,下門
[00:00:50.920 --> 00:00:56.240]  當美國南北戰爭結束之後,當時南軍戰敗投降
[00:00:56.240 --> 00:01:00.960]  打個電報去首府華盛頓報告起信
[00:01:00.960 --> 00:01:06.400]  於是白宮林肯總統立即開了一個慶功宴
[00:01:06.400 --> 00:01:14.000]  在慶功宴走過順循的時候,林肯的太太林肯夫人就起身致辭
[00:01:14.000 --> 00:01:21.360]  敵人投降了,當他還沒說完林肯就起身說,我想有些更正的說話
[00:01:21.360 --> 00:01:26.040]  不對,他們不是我們的敵人
[00:01:26.040 --> 00:01:29.920]  打完仗之後,他們是我們的同胞
[00:01:29.920 --> 00:01:35.400]  We are all Americans
[00:01:35.400 --> 00:01:44.600]  還有當南方的General Lee投降的時候,向北軍的格蘭達將軍投降
[00:01:44.600 --> 00:01:48.400]  他就提出,我們敗軍不可以受辱
[00:01:48.400 --> 00:01:52.280]  我們的士兵不可以被視為戰犯
[00:01:52.280 --> 00:01:56.680]  格蘭達將軍立即簽名寫了釋放書
[00:01:56.680 --> 00:02:03.480]  並且說所有南軍的軍隊可以保持他們的戰馬
[00:02:03.480 --> 00:02:07.880]  可以保持他們的軍刀,作為防身的器具
[00:02:07.880 --> 00:02:11.120]  以便他們可以回家耕田
[00:02:11.120 --> 00:02:16.200]  舊時的美國,南北戰爭死了62萬人
[00:02:16.200 --> 00:02:21.360]  打完仗之後,林肯就說,他們不是我們的敵人
[00:02:21.360 --> 00:02:23.680]  他們是我們的同胞
[00:02:23.680 --> 00:02:31.560]  所以很快南方是給了重建,美國又可以統一,不會有分裂的現象
[00:02:31.560 --> 00:02:34.200]  看看今天美國的情況是怎樣
[00:02:34.200 --> 00:02:38.400]  因著大法官Black-Kavanaugh的委任
[00:02:38.400 --> 00:02:46.520]  整個美國,就算是結束了,宣誓了,整個美國是撕裂得很厲害
[00:02:46.520 --> 00:02:52.560]  還有不少人有很多獨行的說話,咒咒的說話,恐嚇的說話
[00:02:52.560 --> 00:02:59.240]  在著名的報紙裡面,甚至包括出口的參議員
[00:02:59.240 --> 00:03:03.040]  在電視台,在報章裡面
[00:03:03.040 --> 00:03:08.360]  我們已經看不到林肯這種風度
[00:03:08.360 --> 00:03:13.920]  我們看到這個國家是有種分裂,更慘的
[00:03:13.920 --> 00:03:19.760]  政見不同,立場不同,自古以來都有的,不奇怪
[00:03:19.760 --> 00:03:27.960]  因為政治立場不同,政見有不同,是很通常的事
