
[00:00:00.000 --> 00:00:07.680]  今天我想講的題目就是比運動更重要的東西
[00:00:07.680 --> 00:00:09.200]  如果我問大家
[00:00:09.200 --> 00:00:13.000]  大家覺得做運動有沒有好處?
[00:00:13.000 --> 00:00:14.920]  有啦,一定有啦
[00:00:14.920 --> 00:00:18.640]  如果我說運動重要嗎?
[00:00:18.640 --> 00:00:20.080]  當然重要啦
[00:00:20.080 --> 00:00:21.400]  因為如果你不做運動
[00:00:21.400 --> 00:00:24.520]  可能變成現在這個世界紀錄的保持者
[00:00:24.520 --> 00:00:26.920]  我今天看報紙看到
[00:00:26.920 --> 00:00:29.480]  現在世界最重的女性
[00:00:29.480 --> 00:00:33.640]  你知不知道是多少磅?
[00:00:33.640 --> 00:00:35.480]  大家都有看報紙
[00:00:35.480 --> 00:00:39.640]  500公斤
[00:00:39.640 --> 00:00:42.000]  500公斤
[00:00:42.000 --> 00:00:43.520]  即是多少磅?
[00:00:43.520 --> 00:00:45.560]  千多磅
[00:00:45.560 --> 00:00:47.560]  她只是35歲
[00:00:47.560 --> 00:00:50.920]  但她有25年出不家
[00:00:50.920 --> 00:00:53.800]  最近被人起重機
[00:00:53.800 --> 00:00:57.400]  調她去弄壞門才能出門
[00:00:57.400 --> 00:00:58.640]  千多磅
[00:00:58.640 --> 00:01:03.960]  我相信真的對她的人生很大影響
[00:01:03.960 --> 00:01:07.040]  我上星期聽到好幾位弟兄姊妹說
[00:01:07.040 --> 00:01:09.480]  我有做運動的
[00:01:09.480 --> 00:01:12.160]  不過不知為何越做越肥
[00:01:12.160 --> 00:01:14.440]  或者說我有做運動的
[00:01:14.440 --> 00:01:16.720]  不過怎樣都減不了
[00:01:16.720 --> 00:01:20.320]  原來做運動減肥
[00:01:20.320 --> 00:01:23.840]  是有條公式的
[00:01:23.840 --> 00:01:26.040]  如果你做到就做到
[00:01:26.040 --> 00:01:28.520]  我一會兒才揭曉
[00:01:28.520 --> 00:01:29.880]  今天的主題是
[00:01:29.880 --> 00:01:32.040]  比運動更重要的東西
[00:01:32.040 --> 00:01:33.400]  究竟是甚麼呢?
[00:01:33.400 --> 00:01:35.560]  我們先說說運動
[00:01:35.560 --> 00:01:40.040]  原來運動能給你很多應許
[00:01:40.040 --> 00:01:41.880]  能給你很多好處
[00:01:41.880 --> 00:01:43.040]  健康的身體
[00:01:43.040 --> 00:01:45.200]  當然你可以繼續工作
[00:01:45.200 --> 00:01:47.240]  你可以繼續享受人生
[00:01:47.240 --> 00:01:49.400]  可以繼續上你的郵輪
[00:01:49.400 --> 00:01:51.160]  可以繼續為主工作
[00:01:51.160 --> 00:01:53.120]  有健康才做得到
[00:01:53.120 --> 00:01:54.640]  但要得到健康
[00:01:54.640 --> 00:01:56.640]  要下苦功
[00:01:56.640 --> 00:01:57.960]  有兩個重要的問題
[00:01:57.960 --> 00:01:59.080]  我們要先回答
[00:01:59.080 --> 00:01:59.960]  第一個
[00:01:59.960 --> 00:02:03.120]  你覺得自己健不健康呢?
[00:02:03.120 --> 00:02:05.000]  你覺得自己健不健康呢?
[00:02:05.000 --> 00:02:06.440]  這麼多人搖頭
[00:02:06.440 --> 00:02:08.640]  這就大件事了
[00:02:08.640 --> 00:02:10.640]  這麼多人搖頭
[00:02:10.640 --> 00:02:11.840]  第二個問題是
[00:02:11.840 --> 00:02:15.040]  怎樣可以保持健康呢?
[00:02:15.040 --> 00:02:17.840]  當然你可以找家庭醫生
[00:02:17.840 --> 00:02:18.920]  去求他也好
[00:02:18.920 --> 00:02:19.760]  怎樣也好
[00:02:19.760 --> 00:02:22.240]  給你做一個身體檢查
[00:02:22.240 --> 00:02:24.840]  我們有些人很喜歡做身體檢查
[00:02:24.840 --> 00:02:27.280]  我奶奶那時經常想做身體檢查
[00:02:27.280 --> 00:02:29.080]  一檢查完告訴她沒事
[00:02:29.080 --> 00:02:30.680]  她就安心了一點
[00:02:30.680 --> 00:02:33.160]  但也有一兩個簡單的方法
[00:02:33.160 --> 00:02:36.280]  初步可以看到你是否健康
[00:02:36.280 --> 00:02:40.320]  第一個就是你的理想體重表
[00:02:40.320 --> 00:02:42.840]  不知道你是否屬於裡面的標準
[00:02:42.840 --> 00:02:44.400]  這個太標準了
[00:02:44.400 --> 00:02:45.720]  很難做到的
[00:02:45.720 --> 00:02:47.600]  這個醫學的標準
[00:02:47.600 --> 00:02:50.000]  如果我是1.64的身高
[00:02:50.000 --> 00:02:54.280]  他說我要是50.4至62.3
[00:02:54.280 --> 00:02:56.160]  這樣是很輕的
[00:02:56.160 --> 00:02:57.960]  這是標準而已
[00:02:57.960 --> 00:02:59.200]  大家是否標準呢?
[00:02:59.200 --> 00:03:00.600]  是否過瘦?
[00:03:00.600 --> 00:03:02.200]  是否過肥呢?
[00:03:02.200 --> 00:03:05.360]  肥胖和疾病當然很有關係
[00:03:05.360 --> 00:03:06.880]  我看過醫生的資料
[00:03:06.880 --> 00:03:08.560]  他說如果你真的太肥胖
[00:03:08.560 --> 00:03:09.680]  你有以下的風險
[00:03:09.680 --> 00:03:11.160]  11大項
[00:03:11.160 --> 00:03:13.760]  第一是某些癌症
[00:03:13.760 --> 00:03:15.160]  如果你太肥
[00:03:15.160 --> 00:03:16.560]  第二就是糖尿病
[00:03:16.560 --> 00:03:17.520]  高膽固醇
[00:03:17.520 --> 00:03:18.120]  高血壓
[00:03:18.120 --> 00:03:18.720]  心臟病
[00:03:18.720 --> 00:03:19.400]  退化性
[00:03:19.400 --> 00:03:20.440]  膝關節炎
[00:03:20.440 --> 00:03:21.240]  靜脈曲張
[00:03:21.240 --> 00:03:21.840]  痛風症
[00:03:21.840 --> 00:03:22.920]  睡眠窒息症
[00:03:22.920 --> 00:03:23.640]  中風
[00:03:23.640 --> 00:03:25.720]  膽石
[00:03:25.720 --> 00:03:27.720]  真是不好意思
[00:03:27.720 --> 00:03:29.800]  令大家不太開胃
[00:03:29.800 --> 00:03:31.000]  原來就是這樣
[00:03:31.000 --> 00:03:33.480]  而另一種方法就是可以預測
[00:03:33.480 --> 00:03:35.880]  你有沒有機會有以上的病
[00:03:35.880 --> 00:03:38.000]  這個有一個學名
[00:03:38.000 --> 00:03:39.880]  這個學名好像也不是很學術
[00:03:39.880 --> 00:03:43.640]  就是中央肥胖指標
[00:03:43.640 --> 00:03:45.840]  就是看哪裡?
[00:03:45.840 --> 00:03:47.560]  就是大肚腩
[00:03:47.560 --> 00:03:48.720]  有些人說看腰
[00:03:48.720 --> 00:03:50.840]  原來有一點不準確
[00:03:50.840 --> 00:03:51.720]  我一會兒再說
[00:03:51.720 --> 00:03:55.160]  原來他說在大肚腩中央肥胖那裡
[00:03:55.160 --> 00:03:58.120]  就可以看到脂肪的積存程度
[00:03:58.120 --> 00:04:02.160]  從而評估你患上以上11種病的風險
[00:04:02.160 --> 00:04:04.000]  如果亞洲成年人
[00:04:04.000 --> 00:04:05.480]  就是我們
[00:04:05.480 --> 00:04:06.880]  原來男性
[00:04:06.880 --> 00:04:12.840]  如果你坐擁了90或以上的厘米的腰圍
[00:04:12.840 --> 00:04:16.640]  或者說36吋的腰圍
[00:04:16.640 --> 00:04:18.320]  你一聽到可能很安樂
[00:04:18.320 --> 00:04:20.800]  哦 還沒有來
[00:04:20.800 --> 00:04:24.040]  我買褲子也是買34吋而已
[00:04:24.040 --> 00:04:25.080]  但對不起
[00:04:25.080 --> 00:04:27.040]  以下這幅圖告訴你
[00:04:27.040 --> 00:04:29.360]  原來真的量度中央肥胖
[00:04:29.360 --> 00:04:30.600]  是在這個位置量度
[00:04:30.600 --> 00:04:33.920]  不是你買褲子的腰圍
[00:04:33.920 --> 00:04:34.920]  這個腰圍即是哪裡呢?
[00:04:34.920 --> 00:04:36.240]  如果學術來說
[00:04:36.240 --> 00:04:38.480]  就是肋骨的最低
[00:04:38.480 --> 00:04:41.280]  和盆骨的最高的中間
[00:04:41.280 --> 00:04:42.360]  即是哪裡?
[00:04:42.360 --> 00:04:46.880]  原來就是肚臍堆上一吋
[00:04:46.880 --> 00:04:48.160]  然後立即說
[00:04:48.160 --> 00:04:49.800]  這樣就大件事了
[00:04:49.800 --> 00:04:52.520]  原來肚臍堆上一吋
[00:04:52.520 --> 00:04:54.440]  所以我帶了一些道具來
[00:04:54.440 --> 00:04:59.760]  我不是現在量度給你看
[00:04:59.760 --> 00:05:01.800]  就是說你今晚希望大家
[00:05:01.800 --> 00:05:03.240]  如果你想知道大家健不健康
[00:05:03.240 --> 00:05:05.680]  就是你狠狠地
[00:05:05.680 --> 00:05:08.040]  他說要提高雙手
[00:05:08.040 --> 00:05:08.960]  放鬆肚臍
[00:05:08.960 --> 00:05:09.800]  是放鬆
[00:05:09.800 --> 00:05:12.160]  你不要吸氣
[00:05:12.160 --> 00:05:13.120]  是放鬆
[00:05:13.120 --> 00:05:16.840]  然後你量度肚臍以上一吋
[00:05:16.840 --> 00:05:18.560]  看看是不是超標
[00:05:18.560 --> 00:05:19.680]  這個很重要
[00:05:19.680 --> 00:05:22.800]  因為原來這個就可以預測到
[00:05:22.800 --> 00:05:26.720]  你有沒有機會去幻想以上的問題
[00:05:26.720 --> 00:05:29.840]  那有什麼方法去對付呢?
[00:05:29.840 --> 00:05:30.880]  其實很簡單
[00:05:30.880 --> 00:05:32.000]  每個人都知道
[00:05:32.000 --> 00:05:35.080]  就是要注意飲食和鍛鍊身體
[00:05:35.080 --> 00:05:36.400]  你會說
[00:05:36.400 --> 00:05:37.920]  我當然知道
[00:05:37.920 --> 00:05:40.120]  三歲的小朋友可能都知道
[00:05:40.120 --> 00:05:41.280]  我們要運動
