
[00:00:00.000 --> 00:00:03.540]  大家好 我高興又可以有機會
[00:00:03.540 --> 00:00:07.120]  今天來到懷恩堂教會
[00:00:07.120 --> 00:00:11.000]  跟大家分享一些聖經的說話
[00:00:11.000 --> 00:00:13.200]  好像我上一次所說
[00:00:13.200 --> 00:00:16.980]  因為我不是一個正式接受過神學訓練的
[00:00:16.980 --> 00:00:18.780]  一個神職人員
[00:00:18.780 --> 00:00:22.600]  所以我多數都是會將我自己的故事
[00:00:22.600 --> 00:00:24.580]  在聖經裏面的領受
[00:00:24.580 --> 00:00:27.800]  和大家一起去分享一下
[00:00:27.800 --> 00:00:31.000]  今天我想和大家分享的題目
[00:00:31.000 --> 00:00:34.600]  是怎樣去做一個開心的人呢?
[00:00:34.600 --> 00:00:36.400]  其實開心是很重要的
[00:00:36.400 --> 00:00:41.100]  我昨天和朋友一起去唐人街買東西
[00:00:41.100 --> 00:00:45.000]  看到農曆新年快要來到了
[00:00:45.000 --> 00:00:50.800]  一片很開心的節日氣氛的景象
[00:00:50.800 --> 00:00:55.200]  周圍都是掛滿了那些揮春
[00:00:55.200 --> 00:00:58.800]  祝福的說話
[00:00:58.800 --> 00:01:04.400]  很多句都是 除了那些財源廣進之外
[00:01:04.400 --> 00:01:08.800]  其實很多句都是和福氣有關係的
[00:01:08.800 --> 00:01:13.280]  所以我們在過年的時候都很常常和別人說
[00:01:13.280 --> 00:01:18.800]  祝你福輝滿日 祝你福氣滿滿等等
[00:01:18.800 --> 00:01:20.880]  很多這樣的說話
[00:01:20.880 --> 00:01:26.400]  我就想起我家裏有一塊這樣的東西
[00:01:26.400 --> 00:01:28.280]  就是一個福字
[00:01:28.280 --> 00:01:31.280]  你不要小看這個福字
[00:01:31.280 --> 00:01:34.080]  這個福字原來是大有來頭的
[00:01:34.080 --> 00:01:38.280]  因為它下面寫著這個是天下第一福
[00:01:38.280 --> 00:01:40.680]  為什麼會有這樣的名堂呢?
[00:01:40.680 --> 00:01:43.680]  因為這個福字不是普通人寫的
[00:01:43.680 --> 00:01:46.880]  這個福字是康熙皇帝寫的
[00:01:46.880 --> 00:01:50.080]  有一次我去北京講學的時候
[00:01:50.080 --> 00:01:54.480]  有人帶我去紫禁城後面十煞海
[00:01:54.480 --> 00:02:00.480]  十煞海是高尚住宅區
[00:02:00.480 --> 00:02:05.680]  就是以前那些八王旗的皇帝、皇爺住的
[00:02:05.680 --> 00:02:10.080]  十煞海裏面最漂亮的那間王府叫做公王府
[00:02:10.080 --> 00:02:11.480]  公親王府
[00:02:11.480 --> 00:02:15.280]  公親王府是經歷了五個皇帝
[00:02:15.280 --> 00:02:20.480]  由乾隆一直到溥儀直到清代末期
[00:02:20.480 --> 00:02:25.680]  在皇府裏面鎮府之寶是一塊石頭
[00:02:25.680 --> 00:02:31.280]  這塊石頭刻了當年康熙寫的這個福字
[00:02:31.280 --> 00:02:33.280]  康熙為什麼要寫這個字呢?
[00:02:33.280 --> 00:02:39.480]  因為他的祖母 應該是他的祖母病重
[00:02:39.480 --> 00:02:41.480]  其實康熙如果看回歷史
[00:02:41.480 --> 00:02:46.480]  他是很小的時候就被加冕做皇帝
[00:02:46.480 --> 00:02:49.080]  因為他的爸爸突然間做了一段時間不做了
[00:02:49.080 --> 00:02:50.480]  做了和尚
[00:02:50.480 --> 00:02:52.480]  所以他很小的時候
[00:02:52.480 --> 00:02:57.080]  祖母就將他放在了皇位上
[00:02:57.080 --> 00:03:03.080]  於是康熙就做了差不多70年的皇帝
[00:03:03.080 --> 00:03:07.080]  是中國歷史裏面差不多最長的皇位
