
[00:00:00.000 --> 00:00:02.760]   (dramatic music)
[00:00:02.760 --> 00:00:05.340]   (upbeat music)
[00:00:05.340 --> 00:00:18.880]   - All right, here we go.
[00:00:18.880 --> 00:00:21.160]   Ready up for romance, kicking off.
[00:00:21.160 --> 00:00:22.960]   Welcome friends here, Fort Worth, El Paso,
[00:00:22.960 --> 00:00:26.240]   Phoenix, Fayetteville, Philadelphia,
[00:00:26.240 --> 00:00:28.840]   wherever you are joining and tuning in from, Nashville.
[00:00:28.840 --> 00:00:32.480]   We are kicking off a new series, Rated R for Romance,
[00:00:32.480 --> 00:00:35.800]   looking and exploring love, dating, relationships,
[00:00:35.800 --> 00:00:39.320]   and looking specifically at the Song of Solomon.
[00:00:39.320 --> 00:00:44.320]   What would you say is the greatest love song of our era?
[00:00:44.320 --> 00:00:46.560]   - Maybe.
[00:00:46.560 --> 00:00:47.480]   - Maybe, okay.
[00:00:47.480 --> 00:00:51.760]   In this room, we're probably divided about some.
[00:00:51.760 --> 00:00:54.280]   There's probably some classics that make the list,
[00:00:54.280 --> 00:00:57.400]   like this oldie but goodie from T. Swift.
[00:00:57.400 --> 00:00:59.560]   (silence)
[00:00:59.560 --> 00:01:07.800]   Love story, such a classic.
[00:01:07.800 --> 00:01:12.280]   Or maybe you, like me, can bring it back to high school
[00:01:12.280 --> 00:01:15.040]   and you're like, dude, this was just the jam back then.
[00:01:27.040 --> 00:01:29.400]   Hit that falsetto, Usher, come on.
[00:01:29.400 --> 00:01:32.240]   But I think without question,
[00:01:32.240 --> 00:01:35.840]   the greatest love song of our generation,
[00:01:35.840 --> 00:01:37.960]   or of just like this era that we're living in,
[00:01:37.960 --> 00:01:41.200]   has got to be this by your girl, Whitney.
[00:01:41.200 --> 00:01:55.200]   (laughing)
[00:01:55.200 --> 00:01:57.400]   Falsetto coming from the audience, man.
[00:01:57.400 --> 00:01:59.920]   Oh, dude, what is it with that song?
[00:01:59.920 --> 00:02:01.920]   It almost makes you emotional in here.
[00:02:01.920 --> 00:02:03.840]   You're dating, you're welcome.
[00:02:03.840 --> 00:02:07.560]   The reason I start there is 'cause tonight,
[00:02:07.560 --> 00:02:10.200]   we are starting a series where we are looking at a song
[00:02:10.200 --> 00:02:15.200]   that the Bible calls the greatest love song of all time,
[00:02:15.200 --> 00:02:17.160]   the Song of Solomon.
[00:02:17.160 --> 00:02:19.200]   And for the next six weeks, we're gonna explore
[00:02:19.200 --> 00:02:22.120]   just the relationship that this song that Solomon,
[00:02:22.120 --> 00:02:23.760]   who wrote in 1 Kings chapter four,
[00:02:23.760 --> 00:02:26.120]   we're told that Solomon, who was a king in ancient Israel,
[00:02:26.120 --> 00:02:28.800]   lived 3,000 years ago, so some of this literature
