
[00:00:00.000 --> 00:00:04.740]   >> Hey, PORCH.
[00:00:04.740 --> 00:00:07.860]   Join me as we read God's word together.
[00:00:07.860 --> 00:00:13.820]   From the gospel of Matthew chapter 28 verses 16 through 20.
[00:00:13.820 --> 00:00:21.100]   Now the 11 disciples went to Galilee, to the mountain to which Jesus had directed them,
[00:00:21.100 --> 00:00:26.660]   and they saw him, they worshipped him, but some doubted.
[00:00:26.660 --> 00:00:34.100]   And Jesus came and said to them, "All authority in heaven and on earth has been given to me.
[00:00:34.100 --> 00:00:39.860]   Go therefore and make disciples of all nations, baptizing them in the name of the Father and
[00:00:39.860 --> 00:00:46.300]   the Son and of the Holy Spirit, teaching them to observe all I have commanded you.
[00:00:46.300 --> 00:00:50.700]   And behold, I am with you always to the end of the age."
[00:00:50.700 --> 00:00:56.940]   Now our final message and our series called "Disciple."
[00:00:56.940 --> 00:01:01.460]   >> PORCH, how we doing?
[00:01:01.460 --> 00:01:02.460]   We doing okay?
[00:01:02.460 --> 00:01:04.540]   Hey, it's great to be together.
[00:01:04.540 --> 00:01:05.540]   Thanks for joining us here.
[00:01:05.540 --> 00:01:10.140]   I know it is Tuesday of Thanksgiving week, and yet I don't think you could be in a better
[00:01:10.140 --> 00:01:11.740]   place tonight.
[00:01:11.740 --> 00:01:14.380]   I think God has something really tremendous in store for us.
[00:01:14.380 --> 00:01:16.020]   I think that every week.
[00:01:16.020 --> 00:01:20.980]   And yet tonight, I think that he is going to serve something up that many of us need
[00:01:20.980 --> 00:01:21.980]   this evening.
[00:01:21.980 --> 00:01:25.940]   Now, before we get going, I do want to say hey to a couple of special locations that
[00:01:25.940 --> 00:01:28.660]   are tuning in with us from around the nation.
[00:01:28.660 --> 00:01:32.260]   Special shout out to Portsligh Fort Worth, special shout out to Portsligh Wheaton, and
[00:01:32.260 --> 00:01:33.940]   then Portsligh Greater Lafayette.
[00:01:33.940 --> 00:01:34.940]   We love you guys.
[00:01:34.940 --> 00:01:39.820]   We're grateful that God is working where you are and we get to be a small part of it.
[00:01:39.820 --> 00:01:47.140]   While it's not uncommon in ministry circles to show up to a gender specific worship event.
[00:01:47.140 --> 00:01:50.580]   Some of you have been to one of these before where you show up and it's an all guys or
[00:01:50.580 --> 00:01:53.540]   an all girls worship night.
[00:01:53.540 --> 00:01:57.780]   Now I've worked for a ministry where this was an annual, it was an annual regularity
[00:01:57.780 --> 00:01:58.780]   for us.
[00:01:58.780 --> 00:02:02.100]   We would always put on one every single year.
[00:02:02.100 --> 00:02:03.100]   And it was special.
[00:02:03.100 --> 00:02:06.180]   Like I didn't know what happened to girls nights, but I knew every time the guys got
[00:02:06.180 --> 00:02:08.500]   together, it was a really meaningful time.
[00:02:08.500 --> 00:02:12.740]   Like we would find frequent references to Braveheart and there would often be stories
[00:02:12.740 --> 00:02:15.700]   about hunting and lessons about women.
