
[00:00:00.000 --> 00:00:02.660]   (phone ringing)
[00:00:02.660 --> 00:00:03.500]   (phone dialing)
[00:00:03.500 --> 00:00:06.300]   - You have seven unheard messages.
[00:00:06.300 --> 00:00:07.980]   - Hey, sorry I haven't texted.
[00:00:07.980 --> 00:00:11.060]   I'm just not really sure what I'm feeling right now.
[00:00:11.060 --> 00:00:12.540]   - Hey yo, Danny!
[00:00:12.540 --> 00:00:14.220]   Where are you at, bro?
[00:00:14.220 --> 00:00:16.020]   I'll see you soon, all right?
[00:00:16.020 --> 00:00:18.140]   - Hey, so I have moved on,
[00:00:18.140 --> 00:00:19.500]   but I feel like the word keeps putting you back
[00:00:19.500 --> 00:00:20.740]   on my heart for a reason.
[00:00:20.740 --> 00:00:22.420]   So please call me back.
[00:00:22.420 --> 00:00:24.780]   - Hey, bro, hey, I know you're going through it right now,
[00:00:24.780 --> 00:00:28.100]   but listen, I found another girl at the farmer's market now.
[00:00:28.100 --> 00:00:30.580]   She's not a farmer, but she is on the market, okay?
[00:00:30.580 --> 00:00:32.980]   So hit me back, love you, bro.
[00:00:32.980 --> 00:00:35.780]   - No, I'm sure this is the right number,
[00:00:35.780 --> 00:00:37.700]   but last night was a mistake.
[00:00:37.700 --> 00:00:40.620]   I was just hoping we could keep that between us.
[00:00:40.620 --> 00:00:41.820]   - Hey, just wanted to say,
[00:00:41.820 --> 00:00:43.620]   I don't think I can make it tonight.
[00:00:43.620 --> 00:00:47.940]   Yeah, I've just been thinking about us a lot lately,
[00:00:47.940 --> 00:00:50.380]   and we need to talk.
[00:00:50.380 --> 00:00:55.400]   - Well, porch, how we doing tonight?
[00:00:55.400 --> 00:00:58.300]   (congregation cheering)
[00:00:58.300 --> 00:01:01.640]   Man, I don't know, we kind of gotten used to this
[00:01:01.640 --> 00:01:02.860]   over the past couple of weeks,
[00:01:02.860 --> 00:01:06.040]   but this is special, what's happening in this room.
[00:01:06.040 --> 00:01:08.320]   Some of you are like, yeah, I like a little elbow room,
[00:01:08.320 --> 00:01:11.060]   and I haven't had any this summer, what's going on?
[00:01:11.060 --> 00:01:12.880]   And it's not just in this room,
[00:01:12.880 --> 00:01:16.120]   it's people tuning in all over the country online.
[00:01:16.120 --> 00:01:18.320]   It's our overflow that's packed out.
[00:01:18.320 --> 00:01:20.880]   Welcome to the overflow, we love you guys.
[00:01:20.880 --> 00:01:23.880]   And all of our Porch Live locations,
[00:01:23.880 --> 00:01:28.280]   shout out to Springfield, to Midland, and to Boise, Idaho,
[00:01:28.280 --> 00:01:30.640]   the land of the potatoes.
[00:01:30.640 --> 00:01:33.920]   Hey, we're so, so glad that you're here.
[00:01:33.920 --> 00:01:35.280]   Hey, if you have a Bible,
[00:01:35.280 --> 00:01:39.020]   go ahead and open your Bible to the book of Luke.
[00:01:39.020 --> 00:01:42.940]   We're gonna be in Luke chapter 22 tonight.
[00:01:42.940 --> 00:01:46.840]   Well, when my wife and I were dating,
[00:01:46.840 --> 00:01:49.520]   my wife's name is Jen, when we were dating,
[00:01:49.520 --> 00:01:51.940]   we literally, I'm not kidding with you,
[00:01:51.940 --> 00:01:56.760]   we had no conflict during the time that we dated, zero.
[00:01:56.760 --> 00:01:59.240]   And it was like concerning to us.
[00:01:59.240 --> 00:02:01.520]   We were like, man, we would ask friends and mentors,
[00:02:01.520 --> 00:02:05.240]   like, we never fight, like we just never, we've tried.
[00:02:05.240 --> 00:02:07.560]   We've tried to be like, I think that looks weird,
[00:02:07.560 --> 00:02:10.360]   and it's like, ha ha, we laugh, we just don't fight.
[00:02:10.360 --> 00:02:13.800]   And I remember one time going to a mentor in particular,
[00:02:13.800 --> 00:02:15.360]   and a mentor couple, and saying,
[00:02:15.360 --> 00:02:17.080]   hey, is it weird that we never fight?
[00:02:17.080 --> 00:02:19.320]   And they said, no, y'all will probably never fight.
[00:02:19.320 --> 00:02:20.840]   We never fight, y'all will never fight.
[00:02:20.840 --> 00:02:23.540]   And we're like, awesome, high five, this is great.
[00:02:23.540 --> 00:02:27.180]   And so we get engaged, and we get married,
[00:02:27.180 --> 00:02:29.580]   and we go on the honeymoon, and we come back,
[00:02:29.580 --> 00:02:32.460]   and it's bliss for two weeks.
