
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:09.680]   ♪ No matter what the storm ♪
[00:00:09.680 --> 00:00:12.080]   ♪ Our anchor holds ♪
[00:00:12.080 --> 00:00:16.160]   ♪ No matter what may come ♪
[00:00:16.160 --> 00:00:18.560]   ♪ Your people press on ♪
[00:00:18.560 --> 00:00:22.240]   ♪ No matter what the storm ♪
[00:00:22.240 --> 00:00:23.800]   - Love it, how fun was that?
[00:00:23.800 --> 00:00:25.320]   Hey, I'm gonna start with reading the passage
[00:00:25.320 --> 00:00:26.600]   in First Peter that we're checking out tonight.
[00:00:26.600 --> 00:00:29.040]   So you guys open if you have a Bible to First Peter with me
[00:00:29.040 --> 00:00:31.760]   and I will read it and then pray and we'll dive in.
[00:00:31.760 --> 00:00:34.620]   First Peter chapter one, starting in verse six is this,
[00:00:34.620 --> 00:00:37.560]   Peter writing, "In this,"
[00:00:37.560 --> 00:00:39.080]   talking about the eternal inheritance
[00:00:39.080 --> 00:00:41.960]   JP talked about last week, "you rejoice,
[00:00:41.960 --> 00:00:45.000]   "though now for a little while, if necessary,
[00:00:45.000 --> 00:00:47.720]   "you have been grieved by various trials,
[00:00:47.720 --> 00:00:50.960]   "so that the tested genuineness of your faith,
[00:00:50.960 --> 00:00:53.700]   "more precious than gold that perishes,
[00:00:53.700 --> 00:00:57.040]   "though it, like your faith, is tested by fire,"
[00:00:57.040 --> 00:00:58.140]   not by trials,
[00:00:58.960 --> 00:01:01.280]   "may be found to result in praise and glory
[00:01:01.280 --> 00:01:03.920]   "and honor at the revelation of Jesus Christ,"
[00:01:03.920 --> 00:01:05.280]   or when Jesus comes back.
[00:01:05.280 --> 00:01:10.400]   "Though you have not seen him, Jesus, you love him.
[00:01:10.400 --> 00:01:13.840]   "Though you do not see him now, you believe in him
[00:01:13.840 --> 00:01:16.320]   "and rejoice with joy that is inexpressible
[00:01:16.320 --> 00:01:17.960]   "and filled with glory,
[00:01:17.960 --> 00:01:20.140]   "obtaining the outcome of your faith,
[00:01:20.140 --> 00:01:22.400]   "the salvation of your souls.
[00:01:22.400 --> 00:01:24.560]   "Concerning this salvation, the prophets,"
[00:01:24.560 --> 00:01:25.660]   that's the Old Testament,
[00:01:25.660 --> 00:01:28.720]   "who prophesied about the grace that was to be yours,
[00:01:28.720 --> 00:01:31.520]   "searched and inquired carefully,
[00:01:31.520 --> 00:01:35.840]   "inquiring what person or time the Spirit of Christ in them
[00:01:35.840 --> 00:01:39.640]   "was indicating when he predicted the sufferings of Christ,"
[00:01:39.640 --> 00:01:42.120]   in the Old Testament, "and the subsequent glories.
[00:01:42.120 --> 00:01:45.060]   "It was revealed to them," the prophets,
[00:01:45.060 --> 00:01:48.380]   "that they were serving not themselves
[00:01:48.380 --> 00:01:50.680]   "in the things that have now been announced to you
[00:01:50.680 --> 00:01:52.280]   "through those who preached the good news to you
[00:01:52.280 --> 00:01:54.920]   "by the Holy Spirit sent from heaven."
[00:01:54.920 --> 00:01:57.160]   Things, this whole storyline,
[00:01:57.160 --> 00:02:00.720]   things into which angels long to look.
[00:02:00.720 --> 00:02:02.560]   Let me pray, we'll dive in.
[00:02:02.560 --> 00:02:03.640]   Father, we thank you for your word.
[00:02:03.640 --> 00:02:06.040]   We thank you just for the words of Peter.
[00:02:06.040 --> 00:02:09.680]   And we thank you that you take fishermen
[00:02:09.680 --> 00:02:12.080]   who are broken, sinful men like Peter
[00:02:12.080 --> 00:02:15.160]   and sinful men like me,
[00:02:15.160 --> 00:02:17.880]   and you offer us grace and you offer us new life.
[00:02:17.880 --> 00:02:21.080]   We pray that the words that Peter, who you called the rock,
[00:02:21.080 --> 00:02:26.840]   would sharpen our hearts, would instruct us,
[00:02:26.840 --> 00:02:29.680]   would encourage us in the midst of trials that we face,
[00:02:29.680 --> 00:02:31.240]   in the midst of just this world around us,
[00:02:31.240 --> 00:02:33.520]   that he would allow your word to just pierce
[00:02:33.520 --> 00:02:35.720]   into whatever we're facing right now.
[00:02:35.720 --> 00:02:37.760]   For friends that are listening either online
[00:02:37.760 --> 00:02:39.880]   or friends in Houston and Fort Worth
[00:02:39.880 --> 00:02:42.200]   and all over the country that are tuning in with us,
[00:02:42.200 --> 00:02:43.880]   Lord, that you would do the same there.
[00:02:43.880 --> 00:02:46.520]   Lord, we leave here more in love with Jesus.
[00:02:46.520 --> 00:02:48.680]   What a tragedy it would be to come to church
[00:02:48.680 --> 00:02:51.000]   and go through the motions and not love you more
[00:02:51.000 --> 00:02:51.960]   and not know you more.
[00:02:51.960 --> 00:02:53.160]   Would that happen now, Lord?
[00:02:53.160 --> 00:02:57.400]   For anyone who doesn't know you, would you open eyes,
[00:02:57.400 --> 00:03:00.000]   allow the hearts of those inside of this room
[00:03:00.000 --> 00:03:01.240]   who don't know you to be softened,
[00:03:01.240 --> 00:03:02.440]   and would you stretch out your hand
[00:03:02.440 --> 00:03:04.760]   and do what only you can do, which is save people.
[00:03:04.760 --> 00:03:05.600]   We love you.
[00:03:05.600 --> 00:03:06.760]   Thank you for Jesus, amen.
[00:03:06.760 --> 00:03:10.720]   I was gonna start with a little story
[00:03:10.720 --> 00:03:12.000]   that happened not too long ago.
[00:03:12.000 --> 00:03:13.000]   I guess it was a few years now,
[00:03:13.000 --> 00:03:16.360]   but it was when I was engaged to my wife, Callie.
[00:03:16.360 --> 00:03:19.200]   So when you get engaged, you buy the engagement ring,
[00:03:19.200 --> 00:03:21.600]   you get down on one knee, and then you propose,
[00:03:21.600 --> 00:03:22.920]   and hopefully they say yes,
[00:03:22.920 --> 00:03:24.480]   and then you're officially engaged.
[00:03:24.480 --> 00:03:26.240]   There's another piece of jewelry
[00:03:26.240 --> 00:03:28.240]   that is involved when you get engaged.
[00:03:28.240 --> 00:03:30.280]   Anyone know what it is called?
[00:03:30.280 --> 00:03:34.120]   A wedding, okay, guys, you're gonna need to know this, man.
[00:03:34.120 --> 00:03:36.000]   There's something called a wedding band
[00:03:36.000 --> 00:03:38.760]   that once you get engaged, the game is not over.
[00:03:38.760 --> 00:03:41.080]   You also not only have an engagement ring
[00:03:41.080 --> 00:03:43.480]   you're proposing with, but on the day of the wedding,
[00:03:43.480 --> 00:03:45.120]   you place not the engagement ring,
[00:03:45.120 --> 00:03:47.360]   but a wedding band on side of this person
[00:03:47.360 --> 00:03:49.760]   or on side of your fiance.
[00:03:49.760 --> 00:03:52.700]   And so my wedding was coming up,
[00:03:52.700 --> 00:03:53.900]   I needed to get a wedding band.
[00:03:53.900 --> 00:03:57.420]   I had recently got engaged, and my fiance, Callie,
[00:03:57.420 --> 00:04:00.040]   said my grandmother has some diamonds
[00:04:00.040 --> 00:04:02.560]   that she wanted to give to whoever got engaged to me
[00:04:02.560 --> 00:04:03.480]   for this wedding band.
[00:04:03.480 --> 00:04:04.380]   I'm like, dude, holla at you.
[00:04:04.380 --> 00:04:06.600]   Boy, this girl comes with diamonds, awesome.
[00:04:06.600 --> 00:04:09.560]   And so I'm like, this is great, man, I love it.
[00:04:09.560 --> 00:04:11.320]   Grandma knows, working on a budget.
[00:04:11.320 --> 00:04:13.960]   I'll take those, I take the diamonds, this is awesome.
[00:04:13.960 --> 00:04:16.160]   Take a new jewelry, they put 'em on this band,
