
[00:00:00.000 --> 00:00:02.500]   (eerie music)
[00:00:02.500 --> 00:00:17.600]   - I love it, how about that?
[00:00:17.600 --> 00:00:20.360]   Welcome friends in the room, friends in Fort Worth,
[00:00:20.360 --> 00:00:24.680]   in Houston, and El Paso, and Cedar Rapids,
[00:00:24.680 --> 00:00:26.240]   and wherever you are joining us from
[00:00:26.240 --> 00:00:28.240]   as we continue this series, The Afterlife,
[00:00:28.240 --> 00:00:33.240]   a look at what is beyond the grave, or after death.
[00:00:33.240 --> 00:00:35.640]   Anyone a big fan of the beach in here?
[00:00:35.640 --> 00:00:36.480]   (audience cheering)
[00:00:36.480 --> 00:00:41.200]   Yeah, or Mexico, or Cancun, any Cancun fans?
[00:00:41.200 --> 00:00:44.400]   So when I got engaged to my now wife
[00:00:44.400 --> 00:00:46.000]   about five and a half years ago,
[00:00:46.000 --> 00:00:50.920]   six years ago, I was essentially assigned one thing.
[00:00:50.920 --> 00:00:52.360]   So this is just a little free tip here,
[00:00:52.360 --> 00:00:53.720]   men, whenever you get engaged,
[00:00:53.720 --> 00:00:54.960]   you're essentially given one thing,
[00:00:54.960 --> 00:00:57.680]   or at least I was only entrusted with one responsibility,
[00:00:57.680 --> 00:01:00.200]   and hey, you can't mess this up, so go get after it.
[00:01:00.200 --> 00:01:01.920]   She'll cover the flowers, everything else,
[00:01:01.920 --> 00:01:04.440]   you just cover this, and it was the honeymoon.
[00:01:04.440 --> 00:01:07.040]   And so I am tasked with getting the honeymoon,
[00:01:07.040 --> 00:01:08.940]   and I'm not gonna let my soon-to-be bride down,
[00:01:08.940 --> 00:01:10.740]   so I'm gonna find the best place in the entire world
[00:01:10.740 --> 00:01:12.440]   we're gonna go to, it's gonna be amazing,
[00:01:12.440 --> 00:01:14.960]   it's gonna be, you know, whatever honeymoon spot
[00:01:14.960 --> 00:01:17.600]   is the best one available, we're gonna go there.
[00:01:17.600 --> 00:01:20.620]   I had been given some advice at this time in my life
[00:01:20.620 --> 00:01:23.240]   that I'm not sure is good advice,
[00:01:23.240 --> 00:01:25.360]   or definitely not biblical, but it was this.
[00:01:25.360 --> 00:01:27.480]   It was hey, there's two things in life
[00:01:27.480 --> 00:01:28.880]   you can't spend too much money on,
[00:01:28.880 --> 00:01:30.640]   an engagement ring, 'cause she's gonna have it,
[00:01:30.640 --> 00:01:33.080]   hopefully forever, and the honeymoon.
[00:01:33.080 --> 00:01:34.840]   And so I was like, man, I'm all in on that, okay.
[00:01:34.840 --> 00:01:36.680]   So I essentially go, I'm gonna break the bank.
[00:01:36.680 --> 00:01:38.200]   I invest, I find the best place,
[00:01:38.200 --> 00:01:41.040]   it was this place called the Paradise of Beauty,
[00:01:41.040 --> 00:01:45.240]   Pariso de la Bonita, I know, habla Espanol.
[00:01:45.240 --> 00:01:50.240]   And I researched it, it was like really secluded,
[00:01:50.240 --> 00:01:54.880]   you had your own maid, you had 1,250 square feet,
[00:01:54.880 --> 00:01:56.080]   was each size of each room,
[00:01:56.080 --> 00:01:58.000]   you had your own private plunge pool,
[00:01:58.000 --> 00:02:00.640]   you had two flat screens, not one, but two flat screens
[00:02:00.640 --> 00:02:05.640]   inside of your hotel room, I mean, it was like to the nines.
[00:02:05.640 --> 00:02:08.480]   Every morning at breakfast, there'd be somebody out there
[00:02:08.480 --> 00:02:10.480]   with like literally a huge golden harp
[00:02:10.480 --> 00:02:13.480]   just playing music for you as you sit in paradise
[00:02:13.480 --> 00:02:14.320]   and you're enjoying it.
[00:02:14.320 --> 00:02:15.880]   There was this gourmet chef that was a part of it,
[00:02:15.880 --> 00:02:18.280]   it was a gourmet all-inclusive of what it was called.
[00:02:18.280 --> 00:02:20.680]   I mean, it was like, dude, we are never ever gonna be able
[00:02:20.680 --> 00:02:22.920]   to come back here, but it's gonna be amazing
[00:02:22.920 --> 00:02:23.760]   when we're there.
[00:02:23.760 --> 00:02:27.760]   So the wedding week comes, we get through the wedding,
[00:02:27.760 --> 00:02:29.680]   Saturday night we got married, on a Saturday night
[00:02:29.680 --> 00:02:31.520]   we were gonna leave Monday morning
[00:02:31.520 --> 00:02:33.320]   so that we didn't have to get up early next morning
[00:02:33.320 --> 00:02:35.480]   and go on an airplane ride and get out of there.
[00:02:35.480 --> 00:02:37.580]   And so the wedding comes, everything goes great,
[00:02:37.580 --> 00:02:40.520]   wedding night goes great, and then Sunday,
[00:02:40.520 --> 00:02:42.840]   we're waiting to leave the next day,
[00:02:42.840 --> 00:02:46.820]   and around late afternoon, I begin to experience something
[00:02:46.820 --> 00:02:49.200]   that's gonna sound just bizarre to you,
[00:02:49.200 --> 00:02:50.880]   but I began to have the closest thing I know
[00:02:50.880 --> 00:02:53.980]   how to describe it would be like almost a panic attack
[00:02:53.980 --> 00:02:58.980]   about what are we gonna do at Pariso de la Bonita?
[00:02:58.980 --> 00:03:01.440]   I have no idea, I barely even know this woman,
[00:03:01.440 --> 00:03:02.880]   I'm about to go spend eight days with her,
[00:03:02.880 --> 00:03:05.200]   we're going to a foreign country, it's like secluded,
[00:03:05.200 --> 00:03:06.800]   it's like you just lay around and relax.
[00:03:06.800 --> 00:03:09.200]   I like, when I, vacation, I wanna like go
[00:03:09.200 --> 00:03:10.600]   and go see things and excursion,
[00:03:10.600 --> 00:03:12.280]   and I begin, I know that sounds crazy and bizarre,
[00:03:12.280 --> 00:03:14.840]   but I'm like, oh my gosh, what are we gonna do there
[00:03:14.840 --> 00:03:16.220]   for eight days?
[00:03:16.220 --> 00:03:18.840]   And I know what you're thinking, it's your honeymoon,
[00:03:18.840 --> 00:03:20.040]   I know what you're gonna do.
[00:03:20.040 --> 00:03:22.040]   (audience laughing)
[00:03:22.040 --> 00:03:23.560]   After 10 minutes of that, you're like,
