
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:22.900]   - I love it.
[00:00:22.900 --> 00:00:23.720]   Well, that's right.
[00:00:23.720 --> 00:00:24.920]   We are continuing our series Bad Advice tonight.
[00:00:24.920 --> 00:00:26.880]   Welcome friends in the room, friends in Fort Worth
[00:00:26.880 --> 00:00:29.640]   and in Houston and in Spring and El Paso and Tulsa
[00:00:29.640 --> 00:00:32.100]   and tuning in wherever you are.
[00:00:32.100 --> 00:00:36.760]   Has anyone ever heard of the term a sneezer before?
[00:00:36.760 --> 00:00:39.640]   It's a business term and here's what I know.
[00:00:39.640 --> 00:00:40.720]   You may not know what that word means,
[00:00:40.720 --> 00:00:42.660]   but you know someone who is a sneezer.
[00:00:42.660 --> 00:00:43.500]   I'll tell you what a sneezer is.
[00:00:43.500 --> 00:00:47.880]   A sneezer is someone who spreads ideas or experiences
[00:00:47.880 --> 00:00:50.020]   or things that they really like,
[00:00:50.020 --> 00:00:52.280]   like a virus or a contagion.
[00:00:52.280 --> 00:00:53.400]   Like they're the kind of person,
[00:00:53.400 --> 00:00:55.080]   everyone knows a guy who's a sneezer.
[00:00:55.080 --> 00:00:56.720]   Everyone knows a girl or a guy who's a sneezer.
[00:00:56.720 --> 00:00:57.560]   They're the kind of person who,
[00:00:57.560 --> 00:00:59.160]   when they experience something they really like,
[00:00:59.160 --> 00:01:00.520]   they gotta tell everybody in the world about it.
[00:01:00.520 --> 00:01:01.840]   Like, hey, I have this toothpaste.
[00:01:01.840 --> 00:01:03.120]   I don't care what toothpaste you're using.
[00:01:03.120 --> 00:01:04.360]   This is the greatest toothpaste of all time.
[00:01:04.360 --> 00:01:05.800]   You gotta change this toothpaste.
[00:01:05.800 --> 00:01:08.400]   They're the kind of person that spreads this restaurant.
[00:01:08.400 --> 00:01:09.240]   You gotta try it.
[00:01:09.240 --> 00:01:10.880]   They have the best appetizer you've ever ate before.
[00:01:10.880 --> 00:01:11.760]   You gotta go to this person.
[00:01:11.760 --> 00:01:14.520]   They seem to always have a guy for something.
[00:01:14.520 --> 00:01:16.180]   They're like, oh man, you're looking for a mechanic?
[00:01:16.180 --> 00:01:17.020]   Look, I got somebody.
[00:01:17.020 --> 00:01:18.040]   I can take care of you.
[00:01:18.040 --> 00:01:20.280]   There's the best mechanic in the entire DFW area,
[00:01:20.280 --> 00:01:21.720]   tri-state, you gotta go see him.
[00:01:21.720 --> 00:01:22.700]   He's the best.
[00:01:22.700 --> 00:01:23.880]   See his reviews on Yelp.
[00:01:23.880 --> 00:01:25.880]   They're the person who knows everything
[00:01:25.880 --> 00:01:27.720]   or they seem to have a strong opinion
[00:01:27.720 --> 00:01:30.560]   on just about everything that it seems like.
[00:01:30.560 --> 00:01:32.320]   They're really common.
[00:01:32.320 --> 00:01:34.360]   Everybody, anybody know someone who's like this?
[00:01:34.360 --> 00:01:36.040]   Like, they just kinda like, they gotta tell you
[00:01:36.040 --> 00:01:40.040]   about the different experiences that they've had
[00:01:40.040 --> 00:01:42.900]   or this new restaurant or this new hotel
[00:01:42.900 --> 00:01:44.720]   or whatever thing that they've done.
[00:01:44.720 --> 00:01:46.080]   Here's why I appreciate sneezers,
[00:01:46.080 --> 00:01:48.080]   because I am totally a sneezer.
[00:01:48.080 --> 00:01:51.360]   For whatever reason, it's like hard for me to not share.
[00:01:51.360 --> 00:01:53.160]   Like, when I, I'm totally the guy who's like,
[00:01:53.160 --> 00:01:54.320]   dude, I have the best dentist.
[00:01:54.320 --> 00:01:55.920]   I don't care who your dentist, oh, it's your dad?
[00:01:55.920 --> 00:01:58.520]   Hey, look, this guy's better than your dad.
[00:01:58.520 --> 00:02:00.680]   And whatever it is, it's just easy.
[00:02:00.680 --> 00:02:01.520]   It overflows.
[00:02:01.520 --> 00:02:02.800]   Like, when I went on my honeymoon,
[00:02:02.800 --> 00:02:04.760]   we went to this amazing hotel
[00:02:04.760 --> 00:02:07.880]   or this amazing resort in Mexico, came back from it.
[00:02:07.880 --> 00:02:09.000]   And of course, I was like, man,
[00:02:09.000 --> 00:02:10.000]   I gotta tell everybody in the world.
[00:02:10.000 --> 00:02:11.200]   I work with young adults who are getting married
[00:02:11.200 --> 00:02:13.640]   all the time, and there is one option in the world
[00:02:13.640 --> 00:02:14.980]   for you people that I need to make sure
[00:02:14.980 --> 00:02:16.900]   that everybody knows about, the greatest thing
[00:02:16.900 --> 00:02:19.080]   that you're ever gonna experience in terms of a honeymoon.
[00:02:19.080 --> 00:02:19.920]   It's just easy.
[00:02:19.920 --> 00:02:22.240]   It kinda overflows and pours out.
[00:02:22.240 --> 00:02:24.200]   And if you're a sneezer in the room,
[00:02:24.200 --> 00:02:25.080]   you know what I'm talking about.
[00:02:25.080 --> 00:02:26.200]   It's just part of your personality.
[00:02:26.200 --> 00:02:31.200]   Now, as easy as it is to talk about virtually anything,
[00:02:31.200 --> 00:02:35.000]   there's one category that, for me,
[00:02:35.000 --> 00:02:36.560]   it's not as easy to bring up,
[00:02:36.560 --> 00:02:40.100]   and it's not as easy to talk about, faith.
[00:02:40.100 --> 00:02:41.520]   I mean, despite the fact that, yeah,
[00:02:41.520 --> 00:02:44.560]   I'm a pastor, secret's out, when I'm outside engaging
[00:02:44.560 --> 00:02:46.360]   with people or talking to neighbors or different things,
[00:02:46.360 --> 00:02:50.160]   that unlike other arenas or other conversation starters
[00:02:50.160 --> 00:02:52.500]   or other topics, for me, when it comes to talking
[00:02:52.500 --> 00:02:53.560]   about faith, there's just something
[00:02:53.560 --> 00:02:54.680]   where it's a little bit more sensitive
[00:02:54.680 --> 00:02:56.720]   of a subject, a little bit more delicate.
[00:02:56.720 --> 00:03:00.120]   It's a little harder for me to move into that conversation.
[00:03:00.120 --> 00:03:02.480]   In other words, I'm not, there's natural evangelists
[00:03:02.480 --> 00:03:04.600]   out there, for me, sharing my faith is more
[00:03:04.600 --> 00:03:06.120]   like a discipline, it's something I have
[00:03:06.120 --> 00:03:08.300]   to be intentional about and mindful about.
[00:03:08.300 --> 00:03:10.200]   There's natural evangelists like JP,
[00:03:10.200 --> 00:03:13.080]   who every time I'm around him at a meal or dinner
[00:03:13.080 --> 00:03:14.840]   or any place that he goes, he's always sharing his faith.
[00:03:14.840 --> 00:03:16.800]   He's the guy that shares it literally with everybody.
