
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:27.120]   - Hello, hello, how we doing?
[00:00:28.760 --> 00:00:32.360]   Greetings, Dallas, Fort Worth, Houston,
[00:00:32.360 --> 00:00:33.600]   as you gather in the chapel there,
[00:00:33.600 --> 00:00:34.720]   we're praying for you as well.
[00:00:34.720 --> 00:00:36.800]   And anyone listening around the world,
[00:00:36.800 --> 00:00:39.180]   tuning in, streaming live, we're excited to be here.
[00:00:39.180 --> 00:00:42.720]   We just sang a song here in Dallas that says,
[00:00:42.720 --> 00:00:46.120]   "Nothing formed against me will stand."
[00:00:46.120 --> 00:00:49.240]   And life doesn't always feel that way.
[00:00:49.240 --> 00:00:51.880]   And in fact, I'll start by asking you this question.
[00:00:51.880 --> 00:00:55.840]   Have you ever been facing accusation,
[00:00:55.840 --> 00:00:59.880]   condemnation, or separation?
[00:00:59.880 --> 00:01:01.280]   Are these things that you've ever faced?
[00:01:01.280 --> 00:01:02.480]   I'll tell you about a time that I did,
[00:01:02.480 --> 00:01:03.560]   and that's just as a disclaimer
[00:01:03.560 --> 00:01:05.020]   in case you're a guest with us.
[00:01:05.020 --> 00:01:07.360]   I did not walk with Jesus in college.
[00:01:07.360 --> 00:01:08.600]   I was not a Christian.
[00:01:08.600 --> 00:01:09.440]   I was not a believer.
[00:01:09.440 --> 00:01:10.280]   I was a fool.
[00:01:10.280 --> 00:01:13.600]   I was a complete and total idiot in college.
[00:01:13.600 --> 00:01:15.500]   And so I was pursuing the things of the world.
[00:01:15.500 --> 00:01:17.880]   I thought there was life in girls.
[00:01:17.880 --> 00:01:19.600]   I thought there was life in the party,
[00:01:19.600 --> 00:01:22.880]   life in getting drunk, life in getting in a fight.
[00:01:22.880 --> 00:01:25.200]   I mean, these were my life goals, if you will.
[00:01:25.200 --> 00:01:29.560]   And so this one particular evening in college,
[00:01:29.560 --> 00:01:32.040]   we kind of, this girl had invited us to a party,
[00:01:32.040 --> 00:01:33.880]   but we really didn't want to go there.
[00:01:33.880 --> 00:01:36.360]   We went to another party, and when that party was over,
[00:01:36.360 --> 00:01:37.720]   we were looking for the after party.
[00:01:37.720 --> 00:01:40.080]   So we thought at this point, we'd go to this girl's party.
[00:01:40.080 --> 00:01:42.680]   So we go to her house, but it's dead.
[00:01:42.680 --> 00:01:44.480]   And like, no, you know, there's nothing going on.
[00:01:44.480 --> 00:01:45.680]   It's just like, man, we can't win.
[00:01:45.680 --> 00:01:47.080]   You know, there's nothing going on.
[00:01:47.080 --> 00:01:48.480]   We walk in, there's a couple of people
[00:01:48.480 --> 00:01:50.280]   sitting around the island in the kitchen talking.
[00:01:50.280 --> 00:01:51.520]   We're like, "Hey, where's our friend?"
[00:01:51.520 --> 00:01:52.800]   They're like, "She's asleep."
[00:01:52.800 --> 00:01:54.560]   We're like, "Oh, okay, great, sweet party."
[00:01:54.560 --> 00:01:58.240]   And so as we're leaving, my buddy, the guy that I'm with,
[00:01:58.240 --> 00:02:00.000]   there's three of us, and I'm with this guy,
[00:02:00.000 --> 00:02:02.240]   and he gets in this little verbal argument
[00:02:02.240 --> 00:02:04.440]   with one of the girls that was sitting there in the kitchen,
[00:02:04.440 --> 00:02:06.220]   kind of like insulting their party
[00:02:06.220 --> 00:02:07.120]   because it wasn't happening.
[00:02:07.120 --> 00:02:10.200]   He's leaving, too much to drink, you know, you get it.
[00:02:10.200 --> 00:02:11.880]   And so as we're walking out,
[00:02:11.880 --> 00:02:13.160]   they get in this verbal argument.
[00:02:13.160 --> 00:02:15.240]   I'm like, "Man, we just can't win."
[00:02:15.240 --> 00:02:18.400]   And as it gets outside onto the sidewalk,
[00:02:18.400 --> 00:02:20.840]   it escalates to such a point where like,
[00:02:20.840 --> 00:02:23.360]   she's in his face, you know, like, you know, doing this.
[00:02:23.360 --> 00:02:24.920]   And I'm like, "I don't know where this is going
[00:02:24.920 --> 00:02:27.160]   "with, you know, Xena the warrior princess
[00:02:27.160 --> 00:02:28.200]   "or what's about to happen."
[00:02:28.200 --> 00:02:31.240]   But, and as he's just like, "Get away from me."
[00:02:31.240 --> 00:02:33.960]   And she says, "Boom!"
[00:02:33.960 --> 00:02:36.880]   And I mean, Ronda Rousey, this fool.
[00:02:36.880 --> 00:02:40.080]   And he's like, "Whoa," you know, like,
[00:02:40.080 --> 00:02:41.160]   "JP, did you see that?"
[00:02:41.160 --> 00:02:43.440]   I'm like, "How could I miss it?"
[00:02:43.440 --> 00:02:44.960]   Like, "We can't win, where is this gonna go?"
[00:02:44.960 --> 00:02:46.720]   And she's just still like, "Come on, what?"
[00:02:46.720 --> 00:02:48.080]   You know, and I'm like, "Oh my goodness,
[00:02:48.080 --> 00:02:50.840]   "this is not gonna go well for us, right?"
[00:02:50.840 --> 00:02:52.680]   And so I'm like, "Let's go, let's go."
[00:02:52.680 --> 00:02:55.760]   Well, meanwhile, all of these guys come out of the woodwork.
[00:02:55.760 --> 00:02:57.480]   Like, I don't know if they were sleeping in the bushes
[00:02:57.480 --> 00:03:01.040]   or what was going on, but they just start closing in on us.
[00:03:01.040 --> 00:03:02.660]   I'm like, "We cannot win, okay, let's go.
[00:03:02.660 --> 00:03:04.240]   "Come on, buddy, let's go, let's go."
[00:03:04.240 --> 00:03:06.560]   We get in my truck, like we're running from these guys,
[00:03:06.560 --> 00:03:08.400]   running from, you know, Ronda Rousey.
[00:03:08.400 --> 00:03:12.160]   And we get in my truck and as we're pulling away,
[00:03:12.160 --> 00:03:15.040]   which is foolish because we've been drinking,
[00:03:15.040 --> 00:03:17.440]   as we're pulling away, whoop, whoop.
[00:03:17.440 --> 00:03:20.520]   And I'm like, "Oh, we cannot win."
[00:03:20.520 --> 00:03:24.920]   And so I stop and this police officer comes to my door,
[00:03:24.920 --> 00:03:29.800]   opens the door, a Coors Light spills out from my truck
[00:03:29.800 --> 00:03:34.800]   onto his shoes, to which he says, "You're going to jail."
[00:03:34.800 --> 00:03:43.720]   And so they cuffed me, put me in the back of the car,
[00:03:43.720 --> 00:03:46.960]   the police car, and I sit there for an hour and a half
[00:03:46.960 --> 00:03:48.880]   and here's what happens.
[00:03:48.880 --> 00:03:50.920]   For an hour and a half, they begin to meet
[00:03:50.920 --> 00:03:52.720]   with the other guys who came out of the woodworks,
[00:03:52.720 --> 00:03:54.420]   you know, the secret ninjas that showed up.
[00:03:54.420 --> 00:03:56.840]   They begin to meet with them one by one
[00:03:56.840 --> 00:03:59.080]   and right outside the window of where I'm at
[00:03:59.080 --> 00:04:00.880]   in the back of the car, and I listened to these guys
[00:04:00.880 --> 00:04:03.240]   and they said, "Yeah, man, they were beating up on her."
[00:04:03.240 --> 00:04:04.240]   And I'm like, "What?"
[00:04:04.240 --> 00:04:06.560]   And I find out the reason that the police
[00:04:06.560 --> 00:04:08.760]   were so aggressive with us was the call they got
[00:04:08.760 --> 00:04:10.620]   was that there were three men beating up
[00:04:10.620 --> 00:04:13.800]   on this Baylor student, this girl.
[00:04:13.800 --> 00:04:15.080]   That's the call they got.
[00:04:15.080 --> 00:04:17.960]   And I'm like, "Oh no, like we cannot win."
[00:04:17.960 --> 00:04:19.960]   I'm sitting back there and I'm continuing
[00:04:19.960 --> 00:04:22.280]   to listen to accusation after accusation.
[00:04:22.280 --> 00:04:24.120]   It's like, "Yeah, they came out, you know,
[00:04:24.120 --> 00:04:25.440]   "they were just looking for a fight.
[00:04:25.440 --> 00:04:26.480]   "They got in a fight with the,"
[00:04:26.480 --> 00:04:27.960]   and I'm just like, "Are you serious?"
[00:04:27.960 --> 00:04:32.960]   Then I find out that this girl, said girl,
[00:04:32.960 --> 00:04:36.000]   is the granddaughter to the judge in Waco.
[00:04:36.000 --> 00:04:43.400]   And I'm just like, I'm like saying my goodbyes mentally,
[00:04:43.400 --> 00:04:47.280]   like wonder if prison is air conditioned, you know.
[00:04:47.280 --> 00:04:49.800]   These are the questions like I can't win.
[00:04:49.800 --> 00:04:52.280]   Have you ever been in this place
[00:04:52.280 --> 00:04:54.520]   where you find yourself in such a hole,
[00:04:54.520 --> 00:04:57.500]   it's like there's no way you're going to dig out.
[00:04:57.500 --> 00:05:00.080]   It's like a wave knocks you over
[00:05:00.080 --> 00:05:02.040]   and you get up and another wave knocks you over
[00:05:02.040 --> 00:05:04.320]   and you get up and another wave knocks you over.
[00:05:04.320 --> 00:05:06.580]   Now don't get me wrong, we were fools.
[00:05:06.580 --> 00:05:08.200]   We were guilty.
[00:05:08.200 --> 00:05:11.120]   We just weren't that guilty, right?
[00:05:11.120 --> 00:05:14.080]   We weren't guilty of all of the accusations
[00:05:14.080 --> 00:05:16.980]   that were coming against us, but we were certainly guilty.
[00:05:17.580 --> 00:05:20.380]   Certainly deserved some punishment.
[00:05:20.380 --> 00:05:23.460]   And I don't know if you've ever been in this place in life
[00:05:23.460 --> 00:05:25.660]   and it may not, you may be here
[00:05:25.660 --> 00:05:27.380]   and you've walked with Jesus for a while,
[00:05:27.380 --> 00:05:29.140]   praise God for that.
[00:05:29.140 --> 00:05:31.220]   And it may not be that you're facing
[00:05:31.220 --> 00:05:33.420]   the kind of accusations that I was facing
[00:05:33.420 --> 00:05:35.680]   or the kind of condemnation
[00:05:35.680 --> 00:05:39.600]   or the kind of separation that I was facing.
[00:05:39.600 --> 00:05:42.740]   But maybe you've gone through a breakup,
[00:05:42.740 --> 00:05:44.940]   maybe it's that you were laid off,
[00:05:44.940 --> 00:05:48.460]   maybe your roommate moved out or you're being evicted,
[00:05:48.460 --> 00:05:52.060]   you can't pay rent, maybe just a difficult day,
[00:05:52.060 --> 00:05:53.820]   maybe you didn't get the promotion.
[00:05:53.820 --> 00:05:55.860]   And you're in this place
[00:05:55.860 --> 00:05:57.860]   where people are saying things about you
[00:05:57.860 --> 00:06:01.300]   and it feels like God is far.
[00:06:01.300 --> 00:06:04.420]   Like you said, okay, I'm a Christian,
[00:06:04.420 --> 00:06:07.140]   like I thought life would be a little easier than this
[00:06:07.140 --> 00:06:10.860]   and it feels like God is far from you
[00:06:10.860 --> 00:06:13.880]   and this is why you desperately, desperately
[00:06:13.880 --> 00:06:15.320]   need this promise tonight
[00:06:15.320 --> 00:06:17.940]   because this is for when you are tempted
[00:06:17.940 --> 00:06:20.420]   to doubt that God is not in this,
[00:06:20.420 --> 00:06:23.380]   this is when you are tempted to doubt God's love for you,
[00:06:23.380 --> 00:06:25.540]   this is why the apostle Paul
[00:06:25.540 --> 00:06:29.300]   scribed this passage to the church in Rome,
[00:06:29.300 --> 00:06:31.540]   a people group whom he had not met
[00:06:31.540 --> 00:06:35.140]   in the 50th century,
[00:06:35.140 --> 00:06:41.100]   saying, hey, you guys need to hear this.
[00:06:41.100 --> 00:06:44.400]   You need to hear this promise from God to you
[00:06:44.400 --> 00:06:46.640]   and so tonight we're in the finale of Romans 8,
[00:06:46.640 --> 00:06:49.360]   the series that we titled Walk by the Spirit
[00:06:49.360 --> 00:06:50.560]   and here's the subject,
[00:06:50.560 --> 00:06:53.500]   I wanna give it to you, write it down if you can.
[00:06:53.500 --> 00:06:55.420]   It's this, it's the love of God
[00:06:55.420 --> 00:06:57.920]   cuts through all accusations,
[00:06:57.920 --> 00:07:00.760]   condemnation and separation
[00:07:00.760 --> 00:07:03.280]   to give you good without reservation.
