
[00:00:00.000 --> 00:00:03.000]   What is joy, buddy?
[00:00:03.000 --> 00:00:04.000]   I don't know.
[00:00:04.000 --> 00:00:05.000]   It's a dream!
[00:00:05.000 --> 00:00:27.000]   [music]
[00:00:27.000 --> 00:00:30.000]   Alright, Porch, how we doing?
[00:00:30.000 --> 00:00:31.000]   We doing okay?
[00:00:31.000 --> 00:00:32.000]   Great to see you.
[00:00:32.000 --> 00:00:33.000]   Welcome back.
[00:00:33.000 --> 00:00:36.000]   So glad that you would make time to be here with us this evening.
[00:00:36.000 --> 00:00:39.000]   Special shout out to everybody that is tuning in online.
[00:00:39.000 --> 00:00:41.000]   Dallas, you look good.
[00:00:41.000 --> 00:00:45.000]   I can't see you on the camera, but I'm assuming you look good as well.
[00:00:45.000 --> 00:00:49.000]   And we're so glad that wherever it is you are, you're tuning in with us tonight.
[00:00:49.000 --> 00:00:56.000]   Special shout out to all of our Porch Live locations, but particularly Fort Worth, Dayton, and Scottsdale.
[00:00:56.000 --> 00:00:58.000]   Well, Porch, let me ask you a question.
[00:00:58.000 --> 00:01:06.000]   Have you ever been a part of a situation that was surprisingly sadder than it should have been?
[00:01:06.000 --> 00:01:08.000]   You ever been a part of one of those situations?
[00:01:08.000 --> 00:01:16.000]   I know I have been in many of those situations over the course of my life, but there is one that stands out above the rest.
[00:01:16.000 --> 00:01:21.000]   You see, several years ago, Brooke and I got invited to attend a wedding.
[00:01:21.000 --> 00:01:25.000]   And it had all the markings of being this amazing experience.
[00:01:25.000 --> 00:01:28.000]   Like this couple were two of the best people that we knew.
[00:01:28.000 --> 00:01:30.000]   Their families were incredible to say the least.
[00:01:30.000 --> 00:01:37.000]   They had friends and family that were flying in from around the nation to be here on this special wedding day.
[00:01:37.000 --> 00:01:39.000]   The weather was awesome.
[00:01:39.000 --> 00:01:40.000]   The venue was outdoors.
[00:01:40.000 --> 00:01:42.000]   The sun was setting.
[00:01:42.000 --> 00:01:45.000]   It had that golden hour glow that everybody loves to take pictures around.
[00:01:45.000 --> 00:01:50.000]   There was a river nearby that was running with swans in its wake.
[00:01:50.000 --> 00:01:53.000]   Like it was a perfect setup.
[00:01:53.000 --> 00:01:55.000]   It should have been amazing.
[00:01:55.000 --> 00:01:57.000]   And listen, the ceremony was.
[00:01:57.000 --> 00:02:02.000]   Like there were vows shared between the bride and the groom that were personal.
[00:02:02.000 --> 00:02:06.000]   Every story that was spoken was intentional.
[00:02:06.000 --> 00:02:08.000]   The gospel was shared.
[00:02:08.000 --> 00:02:11.000]   But then the reception happened.
[00:02:11.000 --> 00:02:14.000]   Or it didn't happen.
[00:02:14.000 --> 00:02:16.000]   Might be a more apt way of describing it.
[00:02:16.000 --> 00:02:23.000]   Because while everybody had shown up to the reception, it felt like the party never got to the reception.
[00:02:23.000 --> 00:02:24.000]   You ever been in one of those before?
[00:02:24.000 --> 00:02:28.000]   Like yeah, they had cake in the corner and the tables were set and food was getting passed around.
[00:02:28.000 --> 00:02:31.000]   It was a fajita feast that night, which I personally love.
[00:02:31.000 --> 00:02:39.000]   And yet they were missing one critical element that is necessary for every wedding reception.
[00:02:39.000 --> 00:02:42.000]   Music.
[00:02:42.000 --> 00:02:46.000]   My thoughts exactly.
[00:02:46.000 --> 00:02:52.000]   You see, the day of, the DJ had called in sick.
[00:02:52.000 --> 00:03:00.000]   Which left the catering services busboy commissioned with the noble task of emceeing this event
[00:03:00.000 --> 00:03:05.000]   and making sure the party kept going, that the show would not stop.
[00:03:05.000 --> 00:03:07.000]   And yet he was very unfit for the challenge.
[00:03:07.000 --> 00:03:09.000]   So what do you do in a moment like that?
[00:03:09.000 --> 00:03:16.000]   When you see things are off the rails, this deserves to be celebrated, and yet no one's taking any action.
[00:03:16.000 --> 00:03:20.000]   You look at your wife and you tell her to hold your drink because this party's not going down without a fight.
[00:03:20.000 --> 00:03:22.000]   You know, you get in the DJ booth, son.
[00:03:22.000 --> 00:03:24.000]   You hop up, which is exactly what I did.
[00:03:24.000 --> 00:03:30.000]   Now listen, I understand the limits of my qualifications being behind a turntable.
[00:03:30.000 --> 00:03:33.000]   I have no business being in that environment.
[00:03:33.000 --> 00:03:41.000]   But it doesn't take a genius to turn the house lights off, to turn the disco lights up, and to play the cha-cha slide.
[00:03:41.000 --> 00:03:44.000]   Everybody loves it. I don't care what you think.
[00:03:44.000 --> 00:03:46.000]   It gets people on the dance floor.
[00:03:46.000 --> 00:03:48.000]   And boy, were they dancing.
[00:03:48.000 --> 00:03:49.000]   Dance the night away.
[00:03:49.000 --> 00:03:52.000]   Like that's what was happening that entire time.
[00:03:52.000 --> 00:03:55.000]   Like we were celebrating. We were rejoicing.
[00:03:55.000 --> 00:03:59.000]   We were appropriately responding to what was this amazing event.
[00:03:59.000 --> 00:04:06.000]   Like these two beautiful people had just made the biggest decision in their life to enter into covenantal relationship,
[00:04:06.000 --> 00:04:11.000]   loving union for this life and ever.
[00:04:11.000 --> 00:04:17.000]   And the most inappropriate response would have been to be apathetically sitting nearby, counting down the clock,
[00:04:17.000 --> 00:04:19.000]   until we gave them their grand send-off.
[00:04:19.000 --> 00:04:22.000]   No, the right thing was to rejoice.
[00:04:22.000 --> 00:04:25.000]   It was to celebrate. It was to party.
[00:04:25.000 --> 00:04:32.000]   It was to praise the fact that they had stepped into something so significant.
[00:04:32.000 --> 00:04:35.000]   Why do I tell you that?
[00:04:35.000 --> 00:04:43.000]   Because I've talked to so many of you, and what I've found is that a lot of you have made the biggest decision in your life.
[00:04:43.000 --> 00:04:46.000]   Not that you've gotten married. That's why you're here.
[00:04:46.000 --> 00:04:51.000]   And yet, many of you have already made the biggest decision in that—you laugh, you just know it's true—
[00:04:51.000 --> 00:04:59.000]   you've made the biggest decision in that you have already entered into loving relationship with Jesus Christ.
[00:04:59.000 --> 00:05:07.000]   And yet, your experience since the day that you entered into that relationship
[00:05:07.000 --> 00:05:15.000]   feels less exciting and more synonymous with the somber soundtrack of whatever spiritual busboy is sitting in the DJ booth of your life.
[00:05:15.000 --> 00:05:22.000]   You look at your situation, the circumstances of your life, the qualities that mark your walk with God,
[00:05:22.000 --> 00:05:38.000]   and what you feel is apathy, disinterest, maybe some occasional optimism, but you feel infrequent satisfaction.
[00:05:38.000 --> 00:05:42.000]   If that's you here tonight, then hold my drink, because I'm here to save your party.
[00:05:42.000 --> 00:05:53.000]   That's what this series is. This series is a—it's a—it's the most valiant attempt I can make
[00:05:53.000 --> 00:06:00.000]   at helping you engage with the kind of life that Jesus actually wants you to have.
[00:06:00.000 --> 00:06:10.000]   Like, he doesn't want you to settle for something melancholic or apathetic, indifferent in life.
[00:06:10.000 --> 00:06:17.000]   He wants you to experience unbridled, overwhelming joy.
[00:06:17.000 --> 00:06:28.000]   That's the promise that the gospel puts forward, and so I want to help you engage with a God that wants you to be joyful,
[00:06:28.000 --> 00:06:32.000]   which is something that so many of us, if we're honest, can't begin to relate to.
[00:06:32.000 --> 00:06:40.000]   You see, according to the World Happiness Report, which came out last week for this year on International Happiness Day,
[00:06:40.000 --> 00:06:47.000]   it reported that our country, the United States of America, for the very first time since the report has actually been composed,
[00:06:47.000 --> 00:06:52.000]   fell outside of the top 20 worldwide. We came in at number 24.
