
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:14.900]   - How we doing, the Ports, how we doing?
[00:00:14.900 --> 00:00:17.300]   (audience cheering)
[00:00:17.300 --> 00:00:18.240]   I wanna welcome you.
[00:00:18.240 --> 00:00:19.620]   If you're a guest with us, welcome home.
[00:00:19.620 --> 00:00:22.580]   If you're tuning in from Fort Worth or Houston
[00:00:22.580 --> 00:00:24.460]   or one of the streaming campuses
[00:00:24.460 --> 00:00:26.580]   or you're driving in your car listening
[00:00:26.580 --> 00:00:27.560]   somewhere around the country,
[00:00:27.560 --> 00:00:29.880]   we're glad you are as we continue this series.
[00:00:29.880 --> 00:00:30.720]   First comes love.
[00:00:30.720 --> 00:00:33.440]   If we haven't met, my name is JP or Jonathan Picluda
[00:00:33.440 --> 00:00:35.760]   and it's just a privilege to be here tonight
[00:00:35.760 --> 00:00:37.160]   and jump into this series.
[00:00:37.160 --> 00:00:38.880]   So we're talking about relationships.
[00:00:38.880 --> 00:00:41.080]   And let me start with this question, okay?
[00:00:41.080 --> 00:00:44.740]   Who is the best basketball player on earth?
[00:00:44.740 --> 00:00:47.480]   Do you know who the best basketball player on earth is?
[00:00:47.480 --> 00:00:50.480]   (audience laughing)
[00:00:50.480 --> 00:00:56.960]   Yes, you are correct.
[00:00:56.960 --> 00:00:58.760]   It is LeBron James, indeed.
[00:00:58.760 --> 00:01:01.600]   (audience cheering)
[00:01:01.600 --> 00:01:02.520]   Yes, it is.
[00:01:02.520 --> 00:01:04.560]   Yes, it is.
[00:01:04.560 --> 00:01:07.920]   Which leads me to my second question for you.
[00:01:07.920 --> 00:01:10.800]   Do you know who the worst basketball player
[00:01:10.800 --> 00:01:12.220]   on the planet earth is?
[00:01:12.220 --> 00:01:15.800]   (audience chattering)
[00:01:15.800 --> 00:01:17.400]   Yes, indeed, again, you are correct.
[00:01:17.400 --> 00:01:19.560]   It is me, okay?
[00:01:19.560 --> 00:01:20.980]   And so here's the interesting fact.
[00:01:20.980 --> 00:01:23.080]   LeBron and I, we're the same size.
[00:01:23.080 --> 00:01:25.600]   We really are, if we haven't met, find out afterwards.
[00:01:25.600 --> 00:01:27.420]   I know it's proportioned a little bit different,
[00:01:27.420 --> 00:01:29.920]   but we are the same.
[00:01:29.920 --> 00:01:31.640]   And so you say, well, how did you become the worst?
[00:01:31.640 --> 00:01:33.680]   If you're the same size as LeBron,
[00:01:33.680 --> 00:01:35.440]   how did you become the worst basketball player
[00:01:35.440 --> 00:01:36.280]   on the planet earth?
[00:01:36.280 --> 00:01:37.400]   Did you never practice?
[00:01:37.400 --> 00:01:38.220]   No, I did practice.
[00:01:38.220 --> 00:01:39.060]   Did you not play?
[00:01:39.060 --> 00:01:40.800]   I actually did play.
[00:01:40.800 --> 00:01:43.440]   Here is how I became the worst basketball player
[00:01:43.440 --> 00:01:44.280]   on the planet earth.
[00:01:44.280 --> 00:01:46.320]   It is because I learned the wrong way.
[00:01:46.320 --> 00:01:48.160]   So at a very early age, little JP,
[00:01:48.160 --> 00:01:50.520]   growing up on a farm in the middle of nowhere,
[00:01:50.520 --> 00:01:52.280]   Quero, Texas, South Texas,
[00:01:52.280 --> 00:01:56.000]   and I'm just kind of watching the guys on TV
[00:01:56.000 --> 00:01:57.120]   and they're getting these rebounds
[00:01:57.120 --> 00:02:00.240]   and they jump up and they bring it down here.
[00:02:00.240 --> 00:02:01.980]   And so that's what I do.
[00:02:01.980 --> 00:02:03.340]   And I just practice that.
[00:02:03.340 --> 00:02:05.740]   And not only that, but I watched the Harlem Globetrotters
[00:02:05.740 --> 00:02:07.100]   and they're doing these like crazy,
[00:02:07.100 --> 00:02:10.060]   like hook shots and fadeaways.
[00:02:10.060 --> 00:02:12.460]   And so no one ever sat me down
[00:02:12.460 --> 00:02:13.940]   and showed me the fundamentals.
[00:02:13.940 --> 00:02:16.380]   I'm just practicing the hook shots all day.
[00:02:16.380 --> 00:02:18.900]   If it goes in the baskets, it's pure luck,
[00:02:18.900 --> 00:02:21.300]   but that's what I do all day long.
[00:02:21.300 --> 00:02:23.220]   And so then out there on the farm,
[00:02:23.220 --> 00:02:25.860]   got this little hoop, that's what I do all the time.
[00:02:25.860 --> 00:02:27.880]   And then I get into school and get to this age
[00:02:27.880 --> 00:02:30.560]   where I can play basketball and I never really have
[00:02:30.560 --> 00:02:34.080]   except by myself or with the neighbor,
[00:02:34.080 --> 00:02:35.900]   just doing crazy shots.
[00:02:35.900 --> 00:02:37.960]   And they're like, okay, why don't you shoot a free throw?
[00:02:37.960 --> 00:02:40.920]   And I'm like, you know, and they're like,
[00:02:40.920 --> 00:02:42.040]   well, why are you doing that?
[00:02:42.040 --> 00:02:43.440]   And I'm like, well, that's, isn't that what you do?
[00:02:43.440 --> 00:02:45.800]   And I was terrible.
[00:02:45.800 --> 00:02:51.720]   And I was so bad because I practiced poorly.
[00:02:51.720 --> 00:02:53.600]   See, when you're six, seven,
[00:02:53.600 --> 00:02:55.600]   and you bring the ball down here from a rebound,
[00:02:55.600 --> 00:02:56.940]   it's just like saying to the opponent,
[00:02:56.940 --> 00:02:58.660]   here you go, you can have the ball.
[00:02:58.660 --> 00:03:01.360]   And you're not using your height to your advantage.
[00:03:01.360 --> 00:03:02.920]   I remember the coach saying,
[00:03:02.920 --> 00:03:03.740]   (speaking in foreign language)
[00:03:03.740 --> 00:03:04.880]   'cause he couldn't say my last name.
[00:03:04.880 --> 00:03:06.040]   He said, (speaking in foreign language)
[00:03:06.040 --> 00:03:07.480]   I don't mean a hill of beans.
[00:03:07.480 --> 00:03:09.000]   And I don't even know what that means,
[00:03:09.000 --> 00:03:11.100]   but I just know he was angry at me
[00:03:11.100 --> 00:03:13.880]   because I kept giving the opponent the basketball.
[00:03:13.880 --> 00:03:17.400]   And the reason I say that is because I believe today
[00:03:17.400 --> 00:03:20.920]   we are in a relationship crisis.
[00:03:20.920 --> 00:03:23.200]   And I believe the reason we're in a relationship crisis
[00:03:23.200 --> 00:03:25.940]   is because we're practicing poorly.
[00:03:25.940 --> 00:03:28.480]   We are practicing poorly.
