
[00:00:00.000 --> 00:00:02.760]   (birds chirping)
[00:00:02.760 --> 00:00:07.680]   (soft music)
[00:00:07.680 --> 00:00:13.260]   (phone buzzing)
[00:00:13.260 --> 00:00:19.360]   - Here are 10 tips and tricks to improve your mental health.
[00:00:19.360 --> 00:00:21.120]   - You gotta be willing to go all in.
[00:00:21.120 --> 00:00:24.120]   - The perfect morning routine to have the best day of your life.
[00:00:24.120 --> 00:00:26.160]   - We've got the hits for you right here.
[00:00:26.160 --> 00:00:28.460]   - Looks like traffic's gonna be backed up next time.
[00:00:28.460 --> 00:00:29.760]   - I want to log in.
[00:00:29.760 --> 00:00:32.840]   (electronic beeping)
[00:00:32.840 --> 00:00:38.620]   (soft music)
[00:00:38.620 --> 00:00:57.700]   - All right, Porsche, how we doing tonight?
[00:00:57.700 --> 00:00:59.240]   We doing okay?
[00:00:59.240 --> 00:01:01.100]   Hey, it's great to see you.
[00:01:01.100 --> 00:01:03.380]   Thanks so much for being here.
[00:01:03.380 --> 00:01:05.340]   It's been an amazing evening already.
[00:01:05.340 --> 00:01:08.300]   I just have this sense, like in my gut,
[00:01:08.300 --> 00:01:10.460]   like the core of my being that God really wants
[00:01:10.460 --> 00:01:12.540]   to do something here in the room tonight.
[00:01:12.540 --> 00:01:14.280]   Like we're not just here to play Christian games.
[00:01:14.280 --> 00:01:16.180]   We want to meet with the living God.
[00:01:16.180 --> 00:01:18.260]   We believe that He has spoken through His word.
[00:01:18.260 --> 00:01:21.680]   And so I am so excited that you're here, truly.
[00:01:21.680 --> 00:01:23.380]   And I'm so excited that you're tuning in
[00:01:23.380 --> 00:01:24.460]   wherever it is you are,
[00:01:24.460 --> 00:01:26.700]   if you're tuning in online with us right now.
[00:01:26.700 --> 00:01:28.980]   Like we say this here,
[00:01:28.980 --> 00:01:30.420]   you've probably heard me say it before
[00:01:30.420 --> 00:01:31.320]   if you tuned in with us,
[00:01:31.320 --> 00:01:34.460]   but we truly believe like God can meet with anybody,
[00:01:34.460 --> 00:01:37.420]   anywhere, at any time, whenever He so chooses.
[00:01:37.420 --> 00:01:38.260]   And that includes you.
[00:01:38.260 --> 00:01:41.860]   So thanks for being a part of what God is doing here
[00:01:41.860 --> 00:01:42.700]   at the Porsche.
[00:01:42.700 --> 00:01:44.240]   We think He has something special in store for you.
[00:01:44.240 --> 00:01:46.700]   Special shout out to all of our Porsche Live locations.
[00:01:46.700 --> 00:01:48.900]   Yeah, we love those guys that are out there
[00:01:48.900 --> 00:01:49.740]   across the nation,
[00:01:49.740 --> 00:01:52.660]   but particularly Porsche Live Scottsdale
[00:01:52.660 --> 00:01:54.340]   in the wonderful state of Arizona.
[00:01:54.340 --> 00:01:55.160]   We love them.
[00:01:55.160 --> 00:01:57.900]   Porsche Live Boise, which is awesome.
[00:01:57.900 --> 00:01:59.620]   Things are probably getting cold up north.
[00:01:59.620 --> 00:02:00.660]   And then Porsche Live Fresno.
[00:02:00.660 --> 00:02:02.340]   We love all of our Porsche Live locations.
[00:02:02.340 --> 00:02:04.100]   So would y'all give it up for them real fast?
[00:02:04.100 --> 00:02:04.940]   It'd be amazing.
[00:02:04.940 --> 00:02:06.180]   (congregation applauding)
[00:02:06.180 --> 00:02:07.500]   Well, hey, several weeks ago,
[00:02:07.500 --> 00:02:10.360]   I got to do something that I thought I never would.
[00:02:10.360 --> 00:02:14.620]   I got to co-pilot a private jet.
[00:02:14.620 --> 00:02:15.920]   Now, admittedly, co-pilot is probably
[00:02:15.920 --> 00:02:16.960]   a little bit of a strong word
[00:02:16.960 --> 00:02:20.100]   because I know nothing about flying an airplane.
[00:02:20.100 --> 00:02:22.240]   And yet for all intents and purposes,
[00:02:22.240 --> 00:02:24.340]   that's essentially what I was doing
[00:02:24.340 --> 00:02:27.840]   minus any of the actual control of the aircraft.
[00:02:27.840 --> 00:02:31.020]   Like I was sitting in the cockpit of this plane
[00:02:31.020 --> 00:02:33.260]   and I was experiencing everything
[00:02:33.260 --> 00:02:34.540]   that the pilot was himself.
[00:02:34.540 --> 00:02:35.860]   Like I'm sitting right there
[00:02:35.860 --> 00:02:38.420]   and the plane steering wheel is like coming up
[00:02:38.420 --> 00:02:40.700]   through my legs and I can hold on to that thing.
[00:02:40.700 --> 00:02:41.940]   And then there's this dash in front of me
[00:02:41.940 --> 00:02:43.220]   and all these meters and lights
[00:02:43.220 --> 00:02:44.580]   and different kinds of readings
[00:02:44.580 --> 00:02:46.260]   that I cannot make any kind of sense of.
[00:02:46.260 --> 00:02:48.060]   And yet they're all right there in front of me.
[00:02:48.060 --> 00:02:49.920]   I got the headphones on so I can hear everything
[00:02:49.920 --> 00:02:52.140]   the air traffic control is saying to us.
[00:02:52.140 --> 00:02:55.300]   And I looked to my left and there he is, the pilot himself.
[00:02:55.300 --> 00:02:57.180]   Like this thing was awesome.
[00:02:57.180 --> 00:02:59.260]   I'd never experienced anything like it.
[00:02:59.260 --> 00:03:00.860]   And yet the reason it was so great
[00:03:00.860 --> 00:03:02.860]   wasn't just because I'd never been on a plane before.
[00:03:02.860 --> 00:03:03.980]   I'd been on a plane before.
[00:03:03.980 --> 00:03:07.180]   Like I've ridden on the big commercial airplanes.
[00:03:07.180 --> 00:03:10.860]   I grew up, my granddad, he flew a little prop plane.
[00:03:10.860 --> 00:03:13.260]   And so I'd been in that sort of situation before
[00:03:13.260 --> 00:03:16.700]   but I had never been in the cockpit of a private jet.
[00:03:16.700 --> 00:03:20.540]   And so being in that environment changed everything for me
[00:03:20.540 --> 00:03:22.820]   because the views are a little bit different from up there.
[00:03:22.820 --> 00:03:23.660]   You know what I'm saying?
[00:03:23.660 --> 00:03:24.480]   Like I'm sitting there
[00:03:24.480 --> 00:03:25.900]   and I'm not looking out the side view mirror.
[00:03:25.900 --> 00:03:28.140]   I'm looking out the front windshield
[00:03:28.140 --> 00:03:30.220]   and I'm seeing everything that's happening.
[00:03:30.220 --> 00:03:33.700]   And so we're sitting there and we pull out onto the runway
[00:03:33.700 --> 00:03:37.060]   and we kind of line up and we get clearance
[00:03:37.060 --> 00:03:38.380]   from air traffic control to go for it.
[00:03:38.380 --> 00:03:39.980]   And so next thing you know, we're like a bullet
[00:03:39.980 --> 00:03:41.660]   like racing down this runway
[00:03:41.660 --> 00:03:43.520]   and the lines in front of us are speeding by.
[00:03:43.520 --> 00:03:46.660]   And this jet is, it is accelerating so fast.
[00:03:46.660 --> 00:03:47.700]   It was the coolest experience.
[00:03:47.700 --> 00:03:48.540]   And the next thing you know,
[00:03:48.540 --> 00:03:50.620]   he gently lifts us off the ground.
[00:03:50.620 --> 00:03:53.300]   It was the moment I'd been waiting for.
[00:03:53.300 --> 00:03:56.340]   And as we do like rain kind of begins to pelt our windshield
[00:03:56.340 --> 00:03:57.620]   'cause it was sort of a dreary day.
[00:03:57.620 --> 00:04:00.060]   And next thing you know, we get up into the clouds
[00:04:00.060 --> 00:04:02.340]   and it's kind of a disorienting experience
[00:04:02.340 --> 00:04:05.100]   because we're in these clouds and we can't see anything.
[00:04:05.100 --> 00:04:07.340]   All we can see is the rain on the front windshield
[00:04:07.340 --> 00:04:11.060]   until we broke through the clouds
[00:04:11.060 --> 00:04:13.100]   and we reached our cruising altitude.
[00:04:13.100 --> 00:04:16.420]   And as we went from a pitched ascent
[00:04:16.420 --> 00:04:18.980]   to a flattened cruising altitude,
[00:04:18.980 --> 00:04:23.420]   we found ourselves facing the most beautiful of settings.
[00:04:23.420 --> 00:04:24.780]   I mean, this was the closest to heaven
[00:04:24.780 --> 00:04:25.800]   that I'd ever seen before.
[00:04:25.800 --> 00:04:26.720]   You know what I'm saying?
[00:04:26.720 --> 00:04:30.540]   I am looking at white clouds beneath us
[00:04:30.540 --> 00:04:33.040]   kind of billowing across like bubble wrap.
[00:04:33.040 --> 00:04:34.280]   And then as you're looking around,
[00:04:34.280 --> 00:04:35.780]   you can see out over to my right,
[00:04:35.780 --> 00:04:39.620]   this massive storm cell and lightning cracking within it.
[00:04:39.620 --> 00:04:41.100]   And then as I look over to my left,
[00:04:41.100 --> 00:04:43.060]   you can see blue where there was no blue before.
[00:04:43.060 --> 00:04:46.100]   Like this was the most amazing kind of scene.
[00:04:46.100 --> 00:04:48.220]   And as I'm sitting there and I'm taking it all in,
[00:04:48.220 --> 00:04:49.960]   I start to pepper the pilot
[00:04:49.960 --> 00:04:51.460]   with my personal list of 20 questions
[00:04:51.460 --> 00:04:52.940]   because this is the closest thing to flying
[00:04:52.940 --> 00:04:53.780]   I'm ever going to get.
[00:04:53.780 --> 00:04:54.780]   And so I've got a bunch of things
[00:04:54.780 --> 00:04:55.980]   that I want to figure out.
[00:04:55.980 --> 00:04:57.620]   And as he's answering all of them,
[00:04:57.620 --> 00:04:59.900]   he said something that really stuck with me,
[00:04:59.900 --> 00:05:01.840]   so much so that I wrote it down in my notes
[00:05:01.840 --> 00:05:03.700]   'cause I wanted to make sure I could share it with you.
[00:05:03.700 --> 00:05:06.260]   He said, "From the ground,
[00:05:06.260 --> 00:05:09.380]   "it feels like the weather's always changing.
[00:05:09.380 --> 00:05:14.140]   "But from up here, we know the sun is always shining."
[00:05:14.140 --> 00:05:16.740]   And as he said that at 30,000 feet,
[00:05:16.740 --> 00:05:18.460]   I thought of you, Porch.
[00:05:18.460 --> 00:05:21.340]   You were on my mind as I flew in the cockpit of this plane
[00:05:21.340 --> 00:05:24.360]   because I thought that's not just true to pilots,
[00:05:24.360 --> 00:05:26.400]   that's true to you and me.
[00:05:26.400 --> 00:05:27.460]   Like for many of you here,
[00:05:27.460 --> 00:05:30.320]   it feels like the weather in your world is always changing.
[00:05:30.320 --> 00:05:33.100]   Like one minute, the weather might be beautiful.
[00:05:33.100 --> 00:05:33.940]   And the next thing you know,
[00:05:33.940 --> 00:05:37.660]   it feels like a storm is shaking your reality.
[00:05:37.660 --> 00:05:41.160]   And then you're next slipping into this sort of apathetic,
[00:05:41.160 --> 00:05:45.140]   sort of moody gray weather sort of situation.
[00:05:45.140 --> 00:05:47.660]   And yet, though the weather may always feel
[00:05:47.660 --> 00:05:49.500]   like it's changing in your world,
[00:05:49.500 --> 00:05:54.140]   you can be confident that the sun is still shining.
[00:05:54.140 --> 00:05:59.180]   It all depends on your perspective, however.
[00:05:59.180 --> 00:06:01.860]   That's how you're able to discern the difference.
[00:06:01.860 --> 00:06:05.380]   Like that pilot, you've got to get up to an altitude
[00:06:05.380 --> 00:06:08.580]   where you can see things as they actually are.
[00:06:08.580 --> 00:06:11.180]   You've got to get up to God's altitude.
[00:06:11.180 --> 00:06:14.060]   You've got to see from his perspective.
[00:06:14.060 --> 00:06:16.460]   And as you do, you're able to make sense
[00:06:16.460 --> 00:06:19.920]   of whatever it is you're truly feeling in life.
