
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:09.540]   ♪ No matter what the storm ♪
[00:00:09.540 --> 00:00:11.940]   ♪ Our anchor holds ♪
[00:00:11.940 --> 00:00:16.020]   ♪ No matter what may come ♪
[00:00:16.020 --> 00:00:18.460]   ♪ Your people press on ♪
[00:00:18.460 --> 00:00:22.860]   ♪ No matter what the storm ♪
[00:00:22.860 --> 00:00:24.220]   - We are continuing 1 Peter.
[00:00:24.220 --> 00:00:25.940]   If you have a Bible, you can flip over to 1 Peter.
[00:00:25.940 --> 00:00:26.760]   Hello, friends in the room,
[00:00:26.760 --> 00:00:27.740]   friends in Fort Worth, Houston,
[00:00:27.740 --> 00:00:28.940]   and all over who are joining with us.
[00:00:28.940 --> 00:00:30.940]   Let me read the passage that we will be in tonight
[00:00:30.940 --> 00:00:32.500]   as we continue 1 Peter,
[00:00:32.500 --> 00:00:34.160]   a letter from the apostle Peter,
[00:00:34.160 --> 00:00:36.200]   the leader of the disciples
[00:00:36.200 --> 00:00:38.580]   who had his life totally changed by Jesus,
[00:00:38.580 --> 00:00:41.380]   formerly known as Simon was Peter's name.
[00:00:41.380 --> 00:00:43.700]   And Jesus came along and said,
[00:00:43.700 --> 00:00:45.060]   "I'm gonna change your name to Rocky,
[00:00:45.060 --> 00:00:46.300]   "and you're about to change the world
[00:00:46.300 --> 00:00:48.260]   "with you and a whole bunch of other people."
[00:00:48.260 --> 00:00:49.620]   And so let me read one of the letters
[00:00:49.620 --> 00:00:51.220]   that he wrote to the church.
[00:00:51.220 --> 00:00:54.180]   And here's, Peter means Rocky, or Rock,
[00:00:54.180 --> 00:00:55.780]   in case you're like, "What is he talking about?"
[00:00:55.780 --> 00:00:57.300]   Here's where we're gonna be in chapter five,
[00:00:57.300 --> 00:00:58.400]   starting in verse one.
[00:00:59.240 --> 00:01:00.080]   Peter writes and says,
[00:01:00.080 --> 00:01:01.780]   "To the elders, the leaders among you,
[00:01:01.780 --> 00:01:04.820]   "I appeal to you as a fellow elder
[00:01:04.820 --> 00:01:06.360]   "and a witness of Christ's sufferings,
[00:01:06.360 --> 00:01:08.860]   "who will also share in the glory to be revealed.
[00:01:08.860 --> 00:01:13.180]   "Be shepherds of God's flock that is under your care,
[00:01:13.180 --> 00:01:15.080]   "watching over them, not because you must,
[00:01:15.080 --> 00:01:17.680]   "but because you're willing, as God wants you to be,
[00:01:17.680 --> 00:01:21.220]   "not pursuing dishonest gain, but eager to serve,
[00:01:21.220 --> 00:01:23.020]   "not lording it over those entrusted to you,
[00:01:23.020 --> 00:01:25.000]   "but being examples to the flock.
[00:01:25.000 --> 00:01:28.260]   "And when the chief shepherd, Jesus, appears,
[00:01:28.260 --> 00:01:30.380]   "you will receive the crown of glory
[00:01:30.380 --> 00:01:31.540]   "that will never fade away.
[00:01:31.540 --> 00:01:34.840]   "In the same way, you who are younger,
[00:01:34.840 --> 00:01:37.900]   "submit yourselves to your elders.
[00:01:37.900 --> 00:01:40.440]   "All of you, clothe yourselves in humility
[00:01:40.440 --> 00:01:44.060]   "towards one another, because God opposes the proud,
[00:01:44.060 --> 00:01:46.880]   "but shows favor to the humble.
[00:01:46.880 --> 00:01:48.780]   "Humble yourselves, therefore, under God's mighty hand,
[00:01:48.780 --> 00:01:51.780]   "that he may lift you up in due time.
[00:01:51.780 --> 00:01:55.720]   "Cast all your anxieties on him, because he cares for you."
