
[00:00:00.000 --> 00:00:02.500]   (eerie music)
[00:00:02.500 --> 00:00:15.440]   Are you scared?
[00:00:15.440 --> 00:00:18.360]   You should be.
[00:00:18.360 --> 00:00:20.580]   Hey, can I just say, I just want you to know,
[00:00:20.580 --> 00:00:22.060]   and wherever you're listening from,
[00:00:22.060 --> 00:00:24.920]   whether you're here in Dallas or at another campus,
[00:00:24.920 --> 00:00:27.000]   what a privilege it is.
[00:00:27.000 --> 00:00:28.720]   As I was singing and worshiping
[00:00:28.720 --> 00:00:30.500]   and just sitting here with you,
[00:00:30.500 --> 00:00:32.160]   just thinking, man, what a privilege
[00:00:32.160 --> 00:00:34.880]   that so many young adults would give their life
[00:00:34.880 --> 00:00:35.800]   to worshiping God.
[00:00:35.800 --> 00:00:38.160]   And I know some of you are visitors and guests,
[00:00:38.160 --> 00:00:39.560]   and you may not know this God
[00:00:39.560 --> 00:00:41.020]   that we're singing to and talking to,
[00:00:41.020 --> 00:00:42.380]   but I just, I want you to know
[00:00:42.380 --> 00:00:44.220]   that I consider it a great privilege
[00:00:44.220 --> 00:00:48.720]   to get to open the word with you this evening.
[00:00:48.720 --> 00:00:51.440]   How many of you are here for the very first time?
[00:00:51.440 --> 00:00:52.480]   Like, it's okay, no big deal,
[00:00:52.480 --> 00:00:53.840]   I'm not gonna make you stand up and sing or anything.
[00:00:53.840 --> 00:00:54.880]   Okay, that's a lot, a lot of you
[00:00:54.880 --> 00:00:56.380]   is here for the very first time.
[00:00:56.380 --> 00:00:58.160]   Yeah, that's awesome, man, praise God.
[00:00:58.160 --> 00:00:59.400]   Welcome.
[00:00:59.400 --> 00:01:01.760]   Hey, welcome home, welcome to our home, I mean that.
[00:01:01.760 --> 00:01:02.920]   I pray you'd make it your home,
[00:01:02.920 --> 00:01:05.060]   and we're so glad you're with us.
[00:01:05.060 --> 00:01:06.520]   Usually when you visit a church,
[00:01:06.520 --> 00:01:07.800]   you know, they talk of one of two things.
[00:01:07.800 --> 00:01:10.560]   It's either money or hell, right?
[00:01:10.560 --> 00:01:11.920]   They're talking about one of those things,
[00:01:11.920 --> 00:01:14.160]   and we're not talking about money, so let's go.
[00:01:14.160 --> 00:01:16.840]   (congregation laughing)
[00:01:16.840 --> 00:01:20.180]   I wanna start with just a story that happened to me
[00:01:20.180 --> 00:01:22.880]   when my oldest daughter was two and a half years old,
[00:01:22.880 --> 00:01:25.280]   and she was kinda going through that terrible two phase
[00:01:25.280 --> 00:01:26.700]   that I'm sure you guys have heard about,
[00:01:26.700 --> 00:01:29.080]   and so she's about two and a half, she's a good kid,
[00:01:29.080 --> 00:01:30.320]   but going through a rough phase,
[00:01:30.320 --> 00:01:32.680]   and I had had a rough day, you know,
[00:01:32.680 --> 00:01:35.420]   and so really busy, back-to-back meetings,
[00:01:35.420 --> 00:01:36.760]   and then my truck broke down,
[00:01:36.760 --> 00:01:38.160]   kind of right in the middle of that,
[00:01:38.160 --> 00:01:39.600]   and so, you know, I took,
[00:01:39.600 --> 00:01:41.320]   there's never a good time for your car to break down,
[00:01:41.320 --> 00:01:43.120]   so I take my truck to the mechanic,
[00:01:43.120 --> 00:01:45.560]   and I'm sitting there in the waiting room,
[00:01:45.560 --> 00:01:47.880]   and they finished doing whatever they needed to do,
[00:01:47.880 --> 00:01:48.960]   so I was gonna be back on the road.
[00:01:48.960 --> 00:01:49.800]   That was good news,
[00:01:49.800 --> 00:01:51.440]   the only good news this particular day,
[00:01:51.440 --> 00:01:53.640]   and as I go to pay the bill,
[00:01:53.640 --> 00:01:55.960]   there's a bowl of lollipops right there,
[00:01:55.960 --> 00:01:57.300]   and so this is what's true
[00:01:57.300 --> 00:01:59.180]   about my two and a half year old at the time.
[00:01:59.180 --> 00:02:01.700]   Nobody has ever loved anything
[00:02:01.700 --> 00:02:03.700]   as much as she loves lollipops.
[00:02:03.700 --> 00:02:06.180]   I mean, it's weird, this weird obsession,
[00:02:06.180 --> 00:02:08.800]   and so you could think about something that you love,
[00:02:08.800 --> 00:02:11.420]   think about whether you have it, or you really want it,
[00:02:11.420 --> 00:02:14.180]   but she just has this crazy, strange obsession
[00:02:14.180 --> 00:02:15.900]   for lollipops at this time in her life,
[00:02:15.900 --> 00:02:18.620]   and so I see that bowl, and just like any good dad would do,
[00:02:18.620 --> 00:02:20.180]   you know, I grabbed one for her,
[00:02:20.180 --> 00:02:23.640]   and I took that, and I put it in my coat pocket
[00:02:23.640 --> 00:02:24.900]   on this particular day,
[00:02:24.900 --> 00:02:27.180]   and then I'm on my way home,
[00:02:27.180 --> 00:02:29.780]   and so I called Monica, my wife, on the way home,
[00:02:29.780 --> 00:02:30.980]   and she kind of answers the phone,
[00:02:30.980 --> 00:02:33.260]   and my wife's usually cheerful and full of joy,
[00:02:33.260 --> 00:02:34.460]   and she's kind of, "Hello," you know,
[00:02:34.460 --> 00:02:35.740]   "I could tell something was wrong."
[00:02:35.740 --> 00:02:36.580]   I'm like, "What's wrong?"
[00:02:36.580 --> 00:02:38.380]   She's like, "Oh, Presley just had a rough day today,"
[00:02:38.380 --> 00:02:39.860]   and I'm like, "Well, what do you mean?"
[00:02:39.860 --> 00:02:41.260]   Presley's my daughter, two and a half.
[00:02:41.260 --> 00:02:42.100]   "Well, what do you mean?"
[00:02:42.100 --> 00:02:44.580]   And she's like, "Well, she just wasn't kind to her sister,
[00:02:44.580 --> 00:02:46.320]   "and she made some bad choices,
