
[00:00:00.000 --> 00:00:02.420]   (rock music)
[00:00:02.420 --> 00:00:24.360]   - Well good evening Dallas and Fort Worth and Houston
[00:00:24.360 --> 00:00:26.060]   and lots of other friends that are joining us
[00:00:26.060 --> 00:00:27.720]   around the country, whether you're dialed in
[00:00:27.720 --> 00:00:30.160]   on a computer or your phone, Portchat, online
[00:00:30.160 --> 00:00:31.000]   or wherever you might be.
[00:00:31.000 --> 00:00:33.320]   So glad that we're here together as we continue
[00:00:33.320 --> 00:00:35.800]   the series One Nation Under God.
[00:00:35.800 --> 00:00:37.260]   I'll start with a story.
[00:00:37.260 --> 00:00:39.520]   Nine months ago I got engaged to my best friend,
[00:00:39.520 --> 00:00:41.520]   three months ago married, and I find a reason
[00:00:41.520 --> 00:00:42.920]   to talk about that every time I'm here.
[00:00:42.920 --> 00:00:46.080]   And this time's no different.
[00:00:46.080 --> 00:00:47.560]   And so the day after we got engaged,
[00:00:47.560 --> 00:00:49.100]   we drove back from West Texas.
[00:00:49.100 --> 00:00:50.680]   There's a beautiful hole in the ground out there
[00:00:50.680 --> 00:00:52.800]   called Palo Duro Canyon, great engagement spot.
[00:00:52.800 --> 00:00:55.920]   And so we went there and as we drove back,
[00:00:55.920 --> 00:00:57.920]   the day after we had a little engagement party.
[00:00:57.920 --> 00:00:59.600]   Now I know what happens at engagement parties.
[00:00:59.600 --> 00:01:02.160]   For some reason, everyone is very friendly,
[00:01:02.160 --> 00:01:05.060]   most of the time, and then there's this very cruel moment
[00:01:05.060 --> 00:01:07.800]   where people demand an impromptu speech.
[00:01:07.800 --> 00:01:09.540]   And friends just turn on one another.
[00:01:09.540 --> 00:01:10.920]   It's nasty if you've seen this.
[00:01:10.920 --> 00:01:12.640]   And they start yelling speech and they demand it.
[00:01:12.640 --> 00:01:15.160]   And so I thought this is gonna happen, maybe.
[00:01:15.160 --> 00:01:16.320]   And so I wanna be ready.
[00:01:16.320 --> 00:01:18.680]   And so I started to think, what am I going to say?
[00:01:18.680 --> 00:01:20.260]   And I know it takes away from the impromptu,
[00:01:20.260 --> 00:01:22.640]   but I started thinking I wanted to be ready
[00:01:22.640 --> 00:01:23.840]   to say something that was meaningful.
[00:01:23.840 --> 00:01:25.040]   I figured I would say thank you,
[00:01:25.040 --> 00:01:26.640]   I figured I would say something hopefully honoring
[00:01:26.640 --> 00:01:28.400]   to the woman who is agreeing to, you know,
[00:01:28.400 --> 00:01:29.520]   and trust her life to me.
[00:01:29.520 --> 00:01:31.880]   And so I crafted this little speech.
[00:01:31.880 --> 00:01:33.680]   And I knew, I thought, what do I wanna say?
[00:01:33.680 --> 00:01:35.320]   And I came down to one little sentence
[00:01:35.320 --> 00:01:37.840]   that I knew I wanted to include, just one,
[00:01:37.840 --> 00:01:39.120]   that I knew I wanted to be a part of it.
[00:01:39.120 --> 00:01:42.260]   And so sure enough, we walk in and we didn't look for it,
[00:01:42.260 --> 00:01:44.760]   we didn't ask for it, but at some point, as they do,
[00:01:44.760 --> 00:01:45.880]   they start yelling for story
[00:01:45.880 --> 00:01:46.920]   and they start yelling for speech.
[00:01:46.920 --> 00:01:49.480]   And so she tells the story of how we got engaged.
[00:01:49.480 --> 00:01:50.560]   And then it was my turn to speak.
[00:01:50.560 --> 00:01:52.320]   And I said the one sentence that I had planned.
[00:01:52.320 --> 00:01:54.120]   I of course said, thank you guys for being here.
[00:01:54.120 --> 00:01:55.720]   Thank you for being a part of our relationship.
[00:01:55.720 --> 00:01:56.900]   We were packed into this little house
[00:01:56.900 --> 00:01:58.440]   where I was living at the time.
[00:01:58.440 --> 00:02:01.320]   And I said, thank you guys for being a part
[00:02:01.320 --> 00:02:02.160]   of our relationship.
[00:02:02.160 --> 00:02:02.980]   You supported us.
[00:02:02.980 --> 00:02:04.600]   You were 911 when we were in trouble
[00:02:04.600 --> 00:02:07.240]   and you were there when we needed you
[00:02:07.240 --> 00:02:09.040]   and you supported us and kept us accountable and all this.
[00:02:09.040 --> 00:02:10.160]   And so we got through that part.
[00:02:10.160 --> 00:02:11.600]   And then I got to the part where I wanted
[00:02:11.600 --> 00:02:12.960]   to say the sentence that I was gonna say.
[00:02:12.960 --> 00:02:14.560]   And I said it well, but it was just a little bit
[00:02:14.560 --> 00:02:15.400]   of a strange sentence.
[00:02:15.400 --> 00:02:18.000]   And so what I said was, I was trying to compliment,
[00:02:18.000 --> 00:02:19.880]   Gabby, I think I did successfully, by the way,
[00:02:19.880 --> 00:02:20.720]   you be the judge.
[00:02:20.720 --> 00:02:24.440]   And I said, I choose you, selected these words
[00:02:24.440 --> 00:02:25.680]   on purpose, believe it or not.
[00:02:25.680 --> 00:02:29.780]   I choose you to be the leader of my life.
[00:02:29.780 --> 00:02:34.640]   And they said, aw, but I think they were thinking,
[00:02:34.640 --> 00:02:36.400]   did he just say leader, lover?
[00:02:36.400 --> 00:02:37.360]   Isn't that a weird thing to say?
[00:02:37.360 --> 00:02:39.400]   I mean, what did he mean, leader of my life?
[00:02:39.400 --> 00:02:40.520]   Isn't that a weird thing to say?
[00:02:40.520 --> 00:02:43.040]   I mean, why wouldn't you say, you are so beautiful?
[00:02:43.040 --> 00:02:45.740]   Or why wouldn't you say, even thank you?
[00:02:45.740 --> 00:02:47.560]   Or why wouldn't you say something like,
[00:02:47.560 --> 00:02:50.120]   I choose you to be my best friend, my wife.
[00:02:50.120 --> 00:02:52.880]   I mean, even spouse would have been less awkward than leader.
[00:02:52.880 --> 00:02:53.960]   I mean, why would you say leader?
[00:02:53.960 --> 00:02:56.180]   It's like, calm down, this is not in the army now, okay?
[00:02:56.180 --> 00:02:58.360]   Why would you say, and plus, isn't leader,
[00:02:58.360 --> 00:03:00.040]   isn't that supposed to be like the guy thing in the Bible?
[00:03:00.040 --> 00:03:01.840]   Not sure about that, but why would you say leader?
[00:03:01.840 --> 00:03:03.440]   And here's the reason why I did.
[00:03:03.440 --> 00:03:08.440]   Because leading is influencing.
[00:03:08.440 --> 00:03:12.200]   Leading to lead someone is to influence them.
[00:03:12.200 --> 00:03:15.800]   And who would have more influence over me?
[00:03:15.800 --> 00:03:17.480]   And who will have more influence over you
[00:03:17.480 --> 00:03:21.200]   than someone who is around you most of the time?
[00:03:21.200 --> 00:03:23.400]   More than any other human, more than any other person.
[00:03:23.400 --> 00:03:25.520]   Who would have proximity to me,
[00:03:25.520 --> 00:03:28.920]   just by sheer closeness would have more influence over me
[00:03:28.920 --> 00:03:29.960]   over than any other person.
[00:03:29.960 --> 00:03:31.800]   And so that dawned on me, and at some point I realized,
[00:03:31.800 --> 00:03:33.640]   you know what I'm doing while I was dating her?
[00:03:33.640 --> 00:03:34.560]   You know what I'm doing?
[00:03:34.560 --> 00:03:36.040]   I am doing lots of things.
[00:03:36.040 --> 00:03:38.640]   One of them is choosing a leader.
[00:03:38.640 --> 00:03:42.160]   Not an office of leader, like I do what she says,
[00:03:42.160 --> 00:03:43.960]   the scripture says, serve one another through love.
[00:03:43.960 --> 00:03:46.240]   Not like the office of commander,
[00:03:46.240 --> 00:03:48.360]   but what I mean is influencer.
[00:03:48.360 --> 00:03:50.720]   Unavoidably, when you bring someone in close to you
[00:03:50.720 --> 00:03:54.080]   like that, they are just going to influence you.
[00:03:54.080 --> 00:03:55.480]   Leading is influencing.
[00:03:55.480 --> 00:03:56.920]   And when you get close to someone,
[00:03:56.920 --> 00:03:58.280]   they start to influence you,
[00:03:58.280 --> 00:04:01.240]   and you choose leaders more than you think.
[00:04:01.240 --> 00:04:03.640]   I'm gonna talk tonight about how to choose a leader.
[00:04:03.640 --> 00:04:05.680]   How to choose a leader, because I am convinced,
[00:04:05.680 --> 00:04:07.360]   and I hope you will be just shortly,
[00:04:07.360 --> 00:04:10.560]   that you choose more leaders than you think you do.
[00:04:10.560 --> 00:04:13.040]   You choose leaders more often than you think you do,
[00:04:13.040 --> 00:04:15.200]   and you're probably more influenceable
[00:04:15.200 --> 00:04:16.240]   than you think you are.
[00:04:16.240 --> 00:04:19.920]   And so tonight is called how to choose a leader.
[00:04:19.920 --> 00:04:22.200]   Granted, not how to choose a president,
[00:04:22.200 --> 00:04:24.020]   although we're gonna discuss that later in the evening.
[00:04:24.020 --> 00:04:26.080]   I am well aware of what's gonna happen in seven days.
[00:04:26.080 --> 00:04:27.160]   But what I wanna talk about tonight
[00:04:27.160 --> 00:04:29.840]   is how to choose a leader of any kind.
[00:04:29.840 --> 00:04:31.680]   And you choose more leaders than you think you do.
[00:04:31.680 --> 00:04:33.040]   Listen to this.
[00:04:33.040 --> 00:04:34.760]   Have you ever gotten out of a relationship
[00:04:34.760 --> 00:04:36.440]   and said these words?
[00:04:36.440 --> 00:04:40.760]   I just didn't like who I was when I was with him.
[00:04:41.760 --> 00:04:44.480]   Or I just didn't like who I was when I was with her.
[00:04:44.480 --> 00:04:46.040]   You ever heard a friend say that?
[00:04:46.040 --> 00:04:48.520]   It's not because they're an especially weak person,
[00:04:48.520 --> 00:04:49.960]   it's a means that they're a wise person.
[00:04:49.960 --> 00:04:51.640]   They have come to realize that the person
[00:04:51.640 --> 00:04:55.280]   that they were close to started to change them
[00:04:55.280 --> 00:04:57.600]   to be like them.
[00:04:57.600 --> 00:05:00.440]   The people that you get close to start to lead you.
[00:05:00.440 --> 00:05:01.760]   That means, if that's true,
[00:05:01.760 --> 00:05:05.040]   anytime you get into a relationship, you choose a leader.
[00:05:05.040 --> 00:05:07.200]   Not just a person to go on dates with,
[00:05:07.200 --> 00:05:08.840]   not just a person to share conversations with.
[00:05:08.840 --> 00:05:10.680]   You are choosing a leader,
[00:05:10.680 --> 00:05:13.600]   someone who is going to turn you into themself.
[00:05:13.600 --> 00:05:16.360]   You know that group of friends, here's another example.
[00:05:16.360 --> 00:05:17.440]   You ever had that group of friends
[00:05:17.440 --> 00:05:19.360]   where it's like every time I hang out with you guys,
[00:05:19.360 --> 00:05:21.000]   something bad is going to happen.
[00:05:21.000 --> 00:05:25.160]   I never plan on it, I don't want it to happen.
[00:05:25.160 --> 00:05:26.840]   I'm specifically planning against it
[00:05:26.840 --> 00:05:28.440]   and then I answer your phone call
[00:05:28.440 --> 00:05:29.400]   and then I got a hangover.
