
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:09.600]   ♪ No matter what the storm ♪
[00:00:09.600 --> 00:00:12.020]   ♪ Our anchor holds ♪
[00:00:12.020 --> 00:00:16.100]   ♪ No matter what may come ♪
[00:00:16.100 --> 00:00:18.520]   ♪ Your people press on ♪
[00:00:18.520 --> 00:00:22.660]   ♪ No matter what the storm ♪
[00:00:22.660 --> 00:00:24.020]   - Porch, how we doing?
[00:00:24.020 --> 00:00:25.560]   (congregation cheering)
[00:00:25.560 --> 00:00:28.060]   So great to be with you guys tonight.
[00:00:28.060 --> 00:00:30.520]   If you are with us from the Church Leaders Conference,
[00:00:30.520 --> 00:00:31.900]   we wanna welcome you to the porch.
[00:00:31.900 --> 00:00:35.080]   And if you're a first time guest with us, awesome.
[00:00:35.080 --> 00:00:36.360]   Hi, mom.
[00:00:36.360 --> 00:00:39.480]   And so excited.
[00:00:39.480 --> 00:00:41.400]   Hey, we are in 1 Peter chapter four.
[00:00:41.400 --> 00:00:43.600]   I'm gonna read verses seven through 11.
[00:00:43.600 --> 00:00:47.180]   The end of all things is near.
[00:00:47.180 --> 00:00:51.460]   Therefore be alert and of sober mind so that you may pray.
[00:00:51.460 --> 00:00:53.120]   Above all, love each other deeply
[00:00:53.120 --> 00:00:56.080]   because love covers over a multitude of sins.
[00:00:56.080 --> 00:00:59.280]   Offer hospitality to one another without grumbling.
[00:00:59.280 --> 00:01:02.000]   Each of you should use whatever gift you have received
[00:01:02.000 --> 00:01:03.960]   to serve others as faithful stewards
[00:01:03.960 --> 00:01:06.960]   of God's grace in its various forms.
[00:01:06.960 --> 00:01:09.520]   If anyone speaks, they should do so
[00:01:09.520 --> 00:01:12.160]   as one who speaks the very words of God.
[00:01:12.160 --> 00:01:14.400]   If anyone serves, they should do so
[00:01:14.400 --> 00:01:16.080]   with the strength God provides
[00:01:16.080 --> 00:01:18.720]   so that in all things, God may be praised
[00:01:18.720 --> 00:01:20.220]   through Jesus Christ.
[00:01:20.220 --> 00:01:23.800]   To him be the glory and the power
[00:01:23.800 --> 00:01:26.800]   forever and ever, amen.
[00:01:26.800 --> 00:01:31.120]   Well, Father, we thank you just for this eternal truth
[00:01:31.120 --> 00:01:32.880]   that you penned through your servant
[00:01:32.880 --> 00:01:34.480]   by the power of your Holy Spirit
[00:01:34.480 --> 00:01:38.040]   nearly 2,000 years ago
[00:01:38.040 --> 00:01:42.160]   that we would read it this evening
[00:01:42.160 --> 00:01:46.700]   and be inspired and have a greater understanding
[00:01:46.700 --> 00:01:48.360]   of what you desire for our lives,
[00:01:48.360 --> 00:01:51.440]   help us to apply it to our lives
[00:01:51.440 --> 00:01:55.440]   and to, as we examine it like James says,
[00:01:55.440 --> 00:01:57.760]   that we would make changes to our lives,
[00:01:57.760 --> 00:01:59.200]   the things that are inconsistent
