
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:13.600]   - All right, let's go.
[00:00:13.600 --> 00:00:14.620]   Hey, welcome friends in the room,
[00:00:14.620 --> 00:00:18.720]   friends in El Paso, Fort Worth, Dallas,
[00:00:18.720 --> 00:00:23.040]   excited Front Row, Houston, Rogers, Arkansas,
[00:00:23.040 --> 00:00:25.240]   wherever you were tuning in and joining us from,
[00:00:25.240 --> 00:00:26.400]   we are excited to continue this series.
[00:00:26.400 --> 00:00:30.580]   Hey, any fans of the show "Tidying Up" right now?
[00:00:30.580 --> 00:00:32.700]   Man, I love it.
[00:00:32.700 --> 00:00:35.300]   Yeah, Marie Kondo.
[00:00:35.300 --> 00:00:37.120]   So for those of you who've never heard about it,
[00:00:37.120 --> 00:00:38.780]   let me tell a story that'll give us some direction
[00:00:38.780 --> 00:00:39.780]   for where we're going tonight.
[00:00:39.780 --> 00:00:41.680]   A friend of mine recently suggested that,
[00:00:41.680 --> 00:00:43.660]   a girl who works on staff, she was like,
[00:00:43.660 --> 00:00:45.340]   "Hey, you guys need to watch this show."
[00:00:45.340 --> 00:00:46.640]   And was telling us about it.
[00:00:46.640 --> 00:00:49.080]   It's essentially, it's like the reverse of "Hoarders."
[00:00:49.080 --> 00:00:50.960]   If you've ever seen "Hoarders," this is a show,
[00:00:50.960 --> 00:00:52.120]   "Hoarders" where you like keep everything,
[00:00:52.120 --> 00:00:53.760]   this is a show where the woman goes into your house,
[00:00:53.760 --> 00:00:55.420]   basically helps you kind of like,
[00:00:55.420 --> 00:00:57.240]   "Hey, let's get rid of this stuff."
[00:00:57.240 --> 00:01:01.240]   And it's got like a cult following right now around it.
[00:01:01.240 --> 00:01:02.760]   To the point where if you are watching it,
[00:01:02.760 --> 00:01:03.600]   you're probably like,
[00:01:03.600 --> 00:01:05.840]   "That's not exactly what the show's about."
[00:01:05.840 --> 00:01:07.880]   And, but it pretty much is.
[00:01:07.880 --> 00:01:09.920]   And so I was like, "Yeah, okay, we need a new show.
[00:01:09.920 --> 00:01:11.920]   We'll watch that, turn it on."
[00:01:11.920 --> 00:01:13.400]   Let me give you a couple interesting facts
[00:01:13.400 --> 00:01:15.280]   in case you ever go watch it.
[00:01:15.280 --> 00:01:19.960]   Number one, Marie only speaks Japanese,
[00:01:19.960 --> 00:01:21.980]   which is interesting and was a curve ball.
[00:01:21.980 --> 00:01:24.840]   So she's in America and she goes around
[00:01:24.840 --> 00:01:26.360]   and she's like basically with her translator,
[00:01:26.360 --> 00:01:27.880]   she's telling you, "Hey, this is what you need to do.
[00:01:27.880 --> 00:01:29.280]   Take these things out, move these."
[00:01:29.280 --> 00:01:32.000]   And she's got all these different step-by-step things
[00:01:32.000 --> 00:01:33.400]   to clean up your house.
[00:01:33.400 --> 00:01:36.960]   And I can't exactly endorse it or any of it,
[00:01:36.960 --> 00:01:40.080]   but I was a little bit surprised, like just funny things.
[00:01:40.080 --> 00:01:41.400]   Like you talk to the clothes.
[00:01:41.400 --> 00:01:44.320]   You're like, "Thank you for what you were a part of my life
[00:01:44.320 --> 00:01:45.320]   in this season."
[00:01:45.320 --> 00:01:48.380]   And the way you evaluate whether you want to keep
[00:01:48.380 --> 00:01:49.920]   different clothes or items is like,
[00:01:49.920 --> 00:01:53.480]   "Hey, does this thing bring you joy or spark joy?
[00:01:53.480 --> 00:01:56.480]   Or is this something that is a part of my past?
[00:01:56.480 --> 00:01:57.960]   Or do I want this to come into the future?"
[00:01:57.960 --> 00:02:00.480]   So we were like, "Hey, one thing it does definitely do
[00:02:00.480 --> 00:02:02.920]   is it gets you in kind of the spring cleaning kick."
[00:02:02.920 --> 00:02:05.120]   So of course my wife and I began to go through things
[00:02:05.120 --> 00:02:08.360]   and immediately recognized how many things we have,
[00:02:08.360 --> 00:02:10.160]   either that we didn't know that we have,
[00:02:10.160 --> 00:02:13.980]   or how many things that we were holding onto from the past
[00:02:13.980 --> 00:02:15.640]   that probably had no place in our future.
[00:02:15.640 --> 00:02:17.240]   For example, cargo shorts,
[00:02:17.240 --> 00:02:20.040]   probably not something anybody needs to hold onto.
[00:02:20.040 --> 00:02:21.960]   So I'm like going through and I'm like,
[00:02:21.960 --> 00:02:23.880]   I mean, really you've got to realize how much you have.
[00:02:23.880 --> 00:02:27.620]   I had a pair of binoculars that I've had since 15.
[00:02:27.620 --> 00:02:28.600]   I've never used them,
[00:02:28.600 --> 00:02:31.000]   but you kind of always hold onto stuff
[00:02:31.000 --> 00:02:32.480]   'cause you're like, "Well, what if I take up
[00:02:32.480 --> 00:02:33.840]   birdwatching someday?
[00:02:33.840 --> 00:02:35.040]   Or I'm going to need these."
[00:02:35.040 --> 00:02:38.320]   Or, you know, going through old clothes
[00:02:38.320 --> 00:02:41.140]   and it's like pearl snaps, this probably has to go.
[00:02:41.140 --> 00:02:43.000]   Or just things that no longer fit anymore.
[00:02:43.000 --> 00:02:45.580]   And so it was a revelation to us of just how many things
[00:02:45.580 --> 00:02:48.540]   from our past that we were still holding onto
[00:02:48.540 --> 00:02:51.160]   that we didn't realize we were carrying
[00:02:51.160 --> 00:02:53.440]   into our future unknowingly.
[00:02:53.440 --> 00:02:54.380]   And what does that have to do
[00:02:54.380 --> 00:02:56.000]   with what we're talking about tonight?
[00:02:56.000 --> 00:02:58.160]   We're continuing a series called Self-Care,
[00:02:58.160 --> 00:02:59.700]   where we explore what the Bible says
[00:02:59.700 --> 00:03:01.420]   about caring for yourself.
[00:03:01.420 --> 00:03:04.460]   Self-care is a cultural term right now that's popular
[00:03:04.460 --> 00:03:06.980]   and related to, you know, people under the banner
[00:03:06.980 --> 00:03:09.400]   of self-care will do all kinds of things,
[00:03:09.400 --> 00:03:12.360]   whether it is participate in retail therapy,
[00:03:12.360 --> 00:03:13.620]   or, "Hey, I just need to go to the mall
[00:03:13.620 --> 00:03:14.680]   'cause it's been a hard week."
[00:03:14.680 --> 00:03:16.620]   Or, "I need a margarita."
[00:03:16.620 --> 00:03:18.180]   Or, "Hey, I need to go on a diet."
[00:03:18.180 --> 00:03:20.260]   It's kind of like anything that you want
[00:03:20.260 --> 00:03:21.460]   that you think would be good for you
[00:03:21.460 --> 00:03:22.740]   fits into the bucket of self-care.
[00:03:22.740 --> 00:03:24.080]   That's what the world says.
[00:03:24.080 --> 00:03:26.120]   But biblically, self-care is not like that,
[00:03:26.120 --> 00:03:28.080]   but there is things that God says,
[00:03:28.080 --> 00:03:29.800]   in order for you to be a healthy person
[00:03:29.800 --> 00:03:32.220]   in mind, body, and spirit,
[00:03:32.220 --> 00:03:33.900]   these are things that should mark your life.
[00:03:33.900 --> 00:03:35.320]   So we've been exploring that
[00:03:35.320 --> 00:03:37.380]   and are spending the next really handful of weeks
[00:03:37.380 --> 00:03:39.380]   exploring what does it look like in 2019
[00:03:39.380 --> 00:03:42.260]   for you to be all that God wants for you to be,
[00:03:42.260 --> 00:03:44.360]   for you to experience increased health
[00:03:44.360 --> 00:03:47.500]   as it relates to your mind, as it relates to your body,
[00:03:47.500 --> 00:03:48.500]   as it relates to your spirit.
[00:03:48.500 --> 00:03:51.180]   And tonight, we are gonna talk through
[00:03:51.180 --> 00:03:53.540]   the idea of cleaning out the closet,
[00:03:53.540 --> 00:03:55.260]   if you will, of your soul.
[00:03:55.260 --> 00:03:56.380]   Because just like in that scenario,
[00:03:56.380 --> 00:03:59.100]   where there's things inside of our closet
[00:03:59.100 --> 00:04:00.080]   that we stumble across and we're like,
[00:04:00.080 --> 00:04:02.420]   "Man, I didn't realize I still had this from high school
[00:04:02.420 --> 00:04:03.660]   that we're carrying around."
[00:04:03.660 --> 00:04:05.260]   There are things in all of our lives
[00:04:05.260 --> 00:04:09.540]   that if you don't intentionally go through your life,
[00:04:09.540 --> 00:04:11.360]   you didn't just pick up that shirt from high school
[00:04:11.360 --> 00:04:12.200]   you're still carrying around,
[00:04:12.200 --> 00:04:14.500]   you picked up wounds and hurts
[00:04:14.500 --> 00:04:16.740]   from that friend who betrayed you in high school
[00:04:16.740 --> 00:04:19.140]   that you're still carrying around.
[00:04:19.140 --> 00:04:21.100]   And not just hurts, there's also just habits,
[00:04:21.100 --> 00:04:23.120]   or we call them hangups, or sins,
[00:04:23.120 --> 00:04:25.240]   that at some point along our journey in life,
[00:04:25.240 --> 00:04:27.220]   all of us are either exposed to
[00:04:27.220 --> 00:04:29.620]   or sins committed against us.
[00:04:29.620 --> 00:04:32.700]   And if we're not diligent to clean those things out,
[00:04:32.700 --> 00:04:35.940]   to work through those, we will carry those items
[00:04:35.940 --> 00:04:39.060]   or those things from our past into the future.
[00:04:39.060 --> 00:04:41.180]   It looks like being exposed to pornography
[00:04:41.180 --> 00:04:44.660]   in the seventh grade, and all of a sudden,
[00:04:44.660 --> 00:04:46.860]   that begins to feed something, and you carried it.
[00:04:46.860 --> 00:04:49.100]   Maybe you're still carrying it.
[00:04:49.100 --> 00:04:53.220]   It looks like being sexually abused,
[00:04:53.220 --> 00:04:54.740]   and just kind of along the journey of life,
[00:04:54.740 --> 00:04:57.620]   and it wasn't your fault, and somebody made a decision,
[00:04:57.620 --> 00:04:59.060]   and it was wrong, and it was evil.
[00:04:59.060 --> 00:05:01.980]   But if you and I are not careful to deal with the hurts
[00:05:01.980 --> 00:05:04.780]   and things done to us and things that we've done,
[00:05:04.780 --> 00:05:07.780]   you're gonna carry those items into your future,
[00:05:07.780 --> 00:05:09.580]   whether you want to or not.
[00:05:09.580 --> 00:05:13.180]   And so tonight, we're gonna discuss what it looks like
[00:05:14.060 --> 00:05:17.100]   to diligently clean out the closet, if you will,
[00:05:17.100 --> 00:05:19.580]   of your soul, to make sure that you're not carrying things
[00:05:19.580 --> 00:05:21.100]   from your past into the future,
[00:05:21.100 --> 00:05:22.720]   because if you do not deal with that,
[00:05:22.720 --> 00:05:26.140]   if you don't deal with hurts, sins,
[00:05:26.140 --> 00:05:29.420]   and things from your past in the present,
[00:05:29.420 --> 00:05:31.340]   you will carry them into the future.
[00:05:31.340 --> 00:05:32.860]   It is a guarantee.
[00:05:32.860 --> 00:05:34.740]   And so we're gonna look at what God's Word says
[00:05:34.740 --> 00:05:36.820]   about how we can experience freedom
[00:05:36.820 --> 00:05:40.740]   from some of the hurts and sins that have marked our life.
[00:05:40.740 --> 00:05:42.020]   So we're gonna look at three principles.
[00:05:42.020 --> 00:05:44.340]   If you take notes, you can label this talk
[00:05:44.340 --> 00:05:45.620]   cleaning out the closet,
[00:05:45.620 --> 00:05:46.860]   or cleaning out the closet of your soul.
[00:05:46.860 --> 00:05:48.260]   We're gonna look at three principles
[00:05:48.260 --> 00:05:50.920]   and three practical things from God's Word.
[00:05:50.920 --> 00:05:53.220]   Three principles as it relates to experiencing
[00:05:53.220 --> 00:05:58.180]   a healthier you at a spiritual level,
[00:05:58.180 --> 00:06:00.860]   and three practical steps in light of those three principles.
[00:06:00.860 --> 00:06:01.700]   So we're gonna dive right in.
[00:06:01.700 --> 00:06:02.780]   The first principle that we're gonna look at
[00:06:02.780 --> 00:06:03.980]   comes from Proverbs 28.
[00:06:03.980 --> 00:06:05.620]   It's really all throughout the Bible.
[00:06:05.620 --> 00:06:08.820]   But Proverbs 28, verse 13, it says this.
[00:06:08.820 --> 00:06:13.820]   "Whoever conceals or hides their sins does not prosper,
[00:06:13.820 --> 00:06:19.700]   "but the one who confesses and renounces them finds mercy."
[00:06:19.700 --> 00:06:23.300]   The first idea that Solomon tells us in Proverbs 28, 13
[00:06:23.300 --> 00:06:24.580]   is repeated all throughout the Bible,
[00:06:24.580 --> 00:06:27.420]   which is essentially whatever we conceal will not heal.
[00:06:27.420 --> 00:06:29.340]   That way that I said it was,
[00:06:29.340 --> 00:06:31.340]   hey, the principle is that God cannot heal
[00:06:31.340 --> 00:06:32.260]   whatever we hide.
[00:06:32.260 --> 00:06:35.200]   There are things in your life,
[00:06:36.820 --> 00:06:38.720]   some in the present, some in the past,
[00:06:38.720 --> 00:06:40.940]   and if you are hiding them,
[00:06:40.940 --> 00:06:43.300]   you are basically saying,
[00:06:43.300 --> 00:06:46.620]   God, I do not want you to heal this arena of my life.
[00:06:46.620 --> 00:06:47.660]   Some of you are carrying around
[00:06:47.660 --> 00:06:49.100]   a secret addiction to pornography,
[00:06:49.100 --> 00:06:50.260]   and you would say it's not an addiction,
[00:06:50.260 --> 00:06:52.740]   but I pretty much look at it every day,
[00:06:52.740 --> 00:06:54.060]   and you will not be healed
[00:06:54.060 --> 00:06:58.420]   as long as you hide or conceal that.
[00:06:58.420 --> 00:07:01.300]   Some of you are carrying an eating disorder,
[00:07:01.300 --> 00:07:04.020]   and no one knows, and you're committed to no one knows.
[00:07:04.020 --> 00:07:06.700]   And you think, man, I'm probably just gonna die
[00:07:06.700 --> 00:07:08.460]   with this, I don't know that I could tell anyone.
[00:07:08.460 --> 00:07:11.740]   Others of you, there was sexual abuse in your past.
[00:07:11.740 --> 00:07:14.340]   Maybe you carry the shame of an abortion.
[00:07:14.340 --> 00:07:16.180]   I don't know what it is for you, but I do know
[00:07:16.180 --> 00:07:18.880]   the Bible says whatever you hide, God cannot heal.
[00:07:18.880 --> 00:07:22.740]   That whatever we decide to hide or conceal from Him
[00:07:22.740 --> 00:07:24.540]   is something we are saying,
[00:07:24.540 --> 00:07:27.860]   God, I do not give you access to healing this.
[00:07:27.860 --> 00:07:31.740]   You're carrying an addiction to drugs or pain medication,
[00:07:31.740 --> 00:07:33.180]   and you're doing it all alone,
[00:07:33.180 --> 00:07:35.420]   and you're afraid, what if other people knew?
[00:07:36.420 --> 00:07:39.780]   And there's an enemy called Satan who is feeding you
[00:07:39.780 --> 00:07:41.140]   the lie that you can't tell anybody,
[00:07:41.140 --> 00:07:44.240]   you need to fight or you need to suffer in isolation alone.
[00:07:44.240 --> 00:07:48.400]   Because if people really knew the real you,
[00:07:48.400 --> 00:07:50.860]   they'd reject the real you, and it's a lie.
[00:07:50.860 --> 00:07:53.600]   And the God who's there says, I'm inviting you
[00:07:53.600 --> 00:07:55.820]   to experience the cure, which we already read,
[00:07:55.820 --> 00:07:58.140]   but as James says further to punctuate it,
[00:07:58.140 --> 00:07:59.200]   is this, is confession.
[00:07:59.200 --> 00:08:01.200]   He says this in James 5, verse 16.
[00:08:02.280 --> 00:08:05.520]   Therefore, confess your sins to each other
[00:08:05.520 --> 00:08:09.960]   and pray for one another so that you may be healed.
[00:08:09.960 --> 00:08:12.960]   The prayer of a righteous person is powerful and effective.
[00:08:12.960 --> 00:08:15.180]   That the Bible teaches that the solution,
[00:08:15.180 --> 00:08:19.240]   that the cure, the first step in cleaning out
[00:08:19.240 --> 00:08:23.440]   the closet or the soul in your life involves confession.
[00:08:23.440 --> 00:08:24.800]   Because whatever the principle is,
[00:08:24.800 --> 00:08:27.360]   whatever you hide, God cannot heal.
