
[00:00:00.000 --> 00:00:02.760]   [dramatic music]
[00:00:02.760 --> 00:00:26.660]   >> All right, let's go.
[00:00:26.660 --> 00:00:29.060]   Welcome everybody in the room.
[00:00:29.060 --> 00:00:31.960]   Tuning in at all of our locations,
[00:00:31.960 --> 00:00:33.660]   everybody that's here.
[00:00:33.660 --> 00:00:35.180]   And I want to welcome a handful
[00:00:35.180 --> 00:00:36.940]   or a few of our Porch Live locations
[00:00:36.940 --> 00:00:39.100]   out of the 12, Porch North Houston,
[00:00:39.100 --> 00:00:42.860]   Porch Houston, Cedar Rapids, Iowa, Austin, Texas,
[00:00:42.860 --> 00:00:44.700]   and all the locations and everybody online.
[00:00:44.700 --> 00:00:49.380]   We are wrapping up this series on scandals.
[00:00:49.380 --> 00:00:51.860]   We have been looking at sinners that led to the Savior,
[00:00:51.860 --> 00:00:54.900]   the men and women who made up the family tree of Jesus.
[00:00:54.900 --> 00:00:57.460]   And tonight we're going to look at the setup
[00:00:57.460 --> 00:01:00.900]   upon which the Savior arrived into the world.
[00:01:00.900 --> 00:01:01.980]   And Matthew's account,
[00:01:01.980 --> 00:01:03.940]   which really comes right after he walks through,
[00:01:03.940 --> 00:01:05.620]   hey, this is the family of Jesus
[00:01:05.620 --> 00:01:07.300]   and this is the birth of Jesus.
[00:01:07.300 --> 00:01:08.340]   And so in order to do that,
[00:01:08.340 --> 00:01:09.660]   let me start with a story that'll give us
[00:01:09.660 --> 00:01:11.900]   a little bit of tracks for where we're going.
[00:01:11.900 --> 00:01:14.020]   In 2015, my wife and I found out
[00:01:14.020 --> 00:01:15.180]   we were pregnant with our first child,
[00:01:15.180 --> 00:01:16.960]   our son, his name is Crew.
[00:01:16.960 --> 00:01:18.060]   We're stoked.
[00:01:18.060 --> 00:01:21.080]   And at that time we were living in a rental property
[00:01:21.080 --> 00:01:22.500]   and we were trying to figure out,
[00:01:22.500 --> 00:01:24.360]   hey, is this going to be where we end up,
[00:01:24.360 --> 00:01:26.340]   you know, making a home
[00:01:26.340 --> 00:01:27.900]   and the baby nursery,
[00:01:27.900 --> 00:01:29.200]   or are we going to buy a house
[00:01:29.200 --> 00:01:31.260]   because we've been in the market looking for a house.
[00:01:31.260 --> 00:01:33.700]   And we looked and looked and hadn't been successful.
[00:01:33.700 --> 00:01:35.220]   My wife was six months pregnant
[00:01:35.220 --> 00:01:38.700]   and somebody lists online a foreclosure property
[00:01:38.700 --> 00:01:40.040]   that was so bad,
[00:01:40.040 --> 00:01:42.660]   no one could possibly have lived inside of it.
[00:01:42.660 --> 00:01:44.340]   I mean, we'd assumed there were dead bodies
[00:01:44.340 --> 00:01:46.240]   in the wall or something,
[00:01:46.240 --> 00:01:47.620]   but it was one of those scenarios
[00:01:47.620 --> 00:01:48.620]   like I've talked about before,
[00:01:48.620 --> 00:01:49.700]   where you want to look for the house
[00:01:49.700 --> 00:01:50.540]   that nobody else wants.
[00:01:50.540 --> 00:01:52.080]   And so I was like, babe, I got our house.
[00:01:52.080 --> 00:01:52.920]   We go and see it.
[00:01:52.920 --> 00:01:54.700]   She's like, this looks like there's dead bodies
[00:01:54.700 --> 00:01:56.280]   in the wall or something.
[00:01:56.280 --> 00:01:58.440]   And we ended up buying the house
[00:01:58.440 --> 00:02:00.820]   and beginning to renovate it.
[00:02:00.820 --> 00:02:03.920]   Now the problem was we started renovations
[00:02:03.920 --> 00:02:05.580]   and it needed a lot of renovations.
[00:02:05.580 --> 00:02:06.620]   Like it was not livable.
[00:02:06.620 --> 00:02:07.460]   There wasn't electricity.
[00:02:07.460 --> 00:02:09.820]   It was not a livable place.
[00:02:09.820 --> 00:02:13.180]   And we started renovating it October 1st
[00:02:13.180 --> 00:02:17.700]   and we had a baby coming December 19th.
[00:02:17.700 --> 00:02:19.120]   Now I don't know if you can do math,
[00:02:19.120 --> 00:02:21.620]   but that's not a lot of time.
[00:02:21.620 --> 00:02:23.020]   I don't know, math's not my strong suit.
[00:02:23.020 --> 00:02:23.860]   So maybe you're right there with me,
[00:02:23.860 --> 00:02:25.980]   but that was two months of time that we had.
[00:02:25.980 --> 00:02:28.100]   And we had to do an entire renovation.
[00:02:28.100 --> 00:02:30.660]   And so the contractors and they're working through it
[00:02:30.660 --> 00:02:31.500]   and they're working on it.
[00:02:31.500 --> 00:02:33.260]   And it gets to the point where we're like, man,
[00:02:33.260 --> 00:02:34.180]   I think we're going to get there.
[00:02:34.180 --> 00:02:36.180]   And a month goes by and they made a lot of progress,
[00:02:36.180 --> 00:02:39.020]   but there's like still no drywall on the walls
[00:02:39.020 --> 00:02:40.580]   and the floors weren't done.
[00:02:40.580 --> 00:02:43.180]   And another week goes by and another week goes by.
[00:02:43.180 --> 00:02:47.040]   And come to find out, we had a week left.
[00:02:47.040 --> 00:02:48.940]   It was December 8th.
[00:02:48.940 --> 00:02:51.600]   And we had essentially another 11 days
[00:02:51.600 --> 00:02:54.300]   until our son was supposed to be born on December 19th.
[00:02:54.300 --> 00:02:57.300]   And they were supposed to finish on December 12th.
[00:02:57.300 --> 00:02:59.060]   And so it was like, man, this is gonna be perfect, dude.
[00:02:59.060 --> 00:03:00.740]   I'm dad of the year, husband of the year.
[00:03:00.740 --> 00:03:02.140]   I just got you a house, mom.
[00:03:02.140 --> 00:03:06.580]   And my wife calls me and it's December 8th
[00:03:06.580 --> 00:03:09.820]   and we're setting up for the Porch Christmas Concert in 2015
[00:03:09.820 --> 00:03:12.080]   and she says, you need to come home right now
[00:03:12.080 --> 00:03:14.820]   because the doctor said I'm having an emergency C-section
[00:03:14.820 --> 00:03:18.100]   because the baby is basically his head was too enormous
[00:03:18.100 --> 00:03:20.340]   and he needed to get out of there.
[00:03:20.340 --> 00:03:21.440]   True story.
[00:03:21.440 --> 00:03:26.100]   And I go home and the next morning we go in,
[00:03:26.100 --> 00:03:27.740]   we have a C-section, have our son.
[00:03:27.740 --> 00:03:29.860]   Here's a picture of crew from that time,
[00:03:29.860 --> 00:03:31.440]   happy as can be.
[00:03:31.440 --> 00:03:32.600]   I know, man, smiling.
[00:03:32.600 --> 00:03:34.700]   He's like three hours old at this point.
[00:03:34.700 --> 00:03:35.840]   He's just loving life.
[00:03:35.840 --> 00:03:39.040]   And it was awesome.
[00:03:39.040 --> 00:03:41.460]   And we spent the next three days at the hospital
[00:03:41.460 --> 00:03:44.140]   'cause that's what you do after you have a baby.
[00:03:44.140 --> 00:03:45.620]   And if you play out the math,
[00:03:45.620 --> 00:03:49.260]   remember the house was supposed to be done on December 12th.
[00:03:49.260 --> 00:03:51.720]   And we were in the hospital on December 9th.
[00:03:51.720 --> 00:03:54.320]   And so our expectation of we're gonna finish it,
[00:03:54.320 --> 00:03:55.560]   we're gonna set up the nursery,
[00:03:55.560 --> 00:03:57.160]   I had like promised, we're gonna have tons of time,
[00:03:57.160 --> 00:03:59.060]   we'll set the nursery up, it'll all be great.
[00:03:59.060 --> 00:04:00.160]   None of that happened.
