
[00:00:00.000 --> 00:00:02.760]   (dramatic music)
[00:00:02.760 --> 00:00:24.840]   Spiritual war, words and wonders.
[00:00:24.840 --> 00:00:26.420]   Man, the unseen.
[00:00:26.420 --> 00:00:29.120]   Hello porch, how you doing man?
[00:00:30.080 --> 00:00:31.120]   It is awesome to be with you.
[00:00:31.120 --> 00:00:33.080]   I wanted to jump in on this series
[00:00:33.080 --> 00:00:35.240]   because I love you guys.
[00:00:35.240 --> 00:00:39.200]   And because this truth that we're talking about right here
[00:00:39.200 --> 00:00:41.560]   is gonna make the difference between death and life for you.
[00:00:41.560 --> 00:00:44.520]   And it's also one of the areas that is most misunderstood,
[00:00:44.520 --> 00:00:45.600]   which doesn't surprise me.
[00:00:45.600 --> 00:00:48.620]   If we've got an enemy and he is at war with us,
[00:00:48.620 --> 00:00:50.780]   one of the greatest things that he can do
[00:00:50.780 --> 00:00:53.340]   is to convince you that he's something that he's not
[00:00:53.340 --> 00:00:55.740]   or that he attacks you in ways that he doesn't.
[00:00:55.740 --> 00:00:58.880]   Because if you believe he's something that he's not,
[00:00:58.880 --> 00:01:01.680]   man, it's hard to resist what you believe doesn't exist.
[00:01:01.680 --> 00:01:05.840]   And it's also hard to fight against an enemy
[00:01:05.840 --> 00:01:07.560]   when you think the enemy's fighting this way
[00:01:07.560 --> 00:01:08.920]   when he's really fighting that way.
[00:01:08.920 --> 00:01:11.200]   And I'm telling you something, there is a fight
[00:01:11.200 --> 00:01:12.840]   and you are to be of sober spirit,
[00:01:12.840 --> 00:01:15.560]   which means don't be drunk on bad theology,
[00:01:15.560 --> 00:01:18.800]   on bad teaching, on imaginary ideas.
[00:01:18.800 --> 00:01:22.000]   Means you be sober, you be clear thinking.
[00:01:22.000 --> 00:01:25.720]   You be on the alert 'cause you have an adversary, the devil.
[00:01:25.720 --> 00:01:26.760]   Do you guys know this?
[00:01:26.760 --> 00:01:30.760]   60% of Christians don't believe in the devil.
[00:01:30.760 --> 00:01:33.240]   They think of him as some kind of just idea
[00:01:33.240 --> 00:01:36.840]   or some abstract representation.
[00:01:36.840 --> 00:01:38.960]   In fact, what's so even crazier
[00:01:38.960 --> 00:01:40.920]   is almost that many believers think
[00:01:40.920 --> 00:01:43.600]   that the Holy Spirit is not a person, it's an it.
[00:01:43.600 --> 00:01:46.300]   They're more informed by Star Wars theology,
[00:01:46.300 --> 00:01:49.200]   this impersonal force that you activate
[00:01:49.200 --> 00:01:52.240]   more than understand that God is a living being.
[00:01:52.240 --> 00:01:53.880]   And when you don't understand the power of God
[00:01:53.880 --> 00:01:55.320]   and you don't understand the threat of your enemy,
[00:01:55.320 --> 00:01:58.800]   man, you are cooked and you're gonna start to look like
[00:01:58.800 --> 00:02:03.040]   the way people stereotypically say your generation looks.
[00:02:03.040 --> 00:02:04.840]   And I love you guys.
[00:02:04.840 --> 00:02:06.440]   And truth sets you free.
[00:02:06.440 --> 00:02:09.680]   There's an enemy, he's come to steal, kill, and destroy.
[00:02:09.680 --> 00:02:12.200]   He is stealing your future.
[00:02:12.200 --> 00:02:13.440]   He is killing your hope.
[00:02:13.440 --> 00:02:15.600]   He is destroying your self-respect.
[00:02:15.600 --> 00:02:17.160]   He's destroying your relationships.
[00:02:17.160 --> 00:02:19.560]   He's destroying family before your eyes.
[00:02:19.560 --> 00:02:23.160]   Over 50% of all children born to your generation
[00:02:23.160 --> 00:02:24.800]   are born into single-family households.
[00:02:24.800 --> 00:02:25.640]   Why?
[00:02:25.640 --> 00:02:26.640]   Because you bought a lie.
[00:02:26.640 --> 00:02:29.980]   And I love you guys,
[00:02:29.980 --> 00:02:33.040]   and we're gonna give you some truth, all right?
[00:02:33.040 --> 00:02:34.320]   And it's gonna set you free.
[00:02:34.320 --> 00:02:37.240]   Man, truth is always compassionate when you share it
[00:02:37.240 --> 00:02:39.520]   'cause it sets people free.
[00:02:39.520 --> 00:02:42.400]   But truth sounds like hate to those who hate the truth.
[00:02:42.400 --> 00:02:44.520]   Right?
[00:02:44.520 --> 00:02:47.280]   And so when you speak the truth, you do it in love
[00:02:47.280 --> 00:02:49.720]   because truth said in hate won't be heard.
[00:02:49.720 --> 00:02:51.800]   But love without truth is not love, folks.
[00:02:53.300 --> 00:02:56.600]   And your generation has too few truth tellers in it,
[00:02:56.600 --> 00:02:58.000]   which is why I love the porch
[00:02:58.000 --> 00:03:00.340]   'cause you guys get some truth here, amen?
[00:03:00.340 --> 00:03:01.180]   There's some truth.
[00:03:01.180 --> 00:03:02.000]   Now listen, you might be there like,
[00:03:02.000 --> 00:03:03.440]   okay, well, let's just hear what kind of truth you got.
[00:03:03.440 --> 00:03:04.880]   Let me give you some truth, okay?
[00:03:04.880 --> 00:03:08.080]   One of the things that I loved to do when I was a kid
[00:03:08.080 --> 00:03:10.500]   is we would share ghost stories, right?
[00:03:10.500 --> 00:03:13.280]   'Cause I kind of love the feeling of being scared.
[00:03:13.280 --> 00:03:15.180]   When I was a kid, I didn't know any better, right?
[00:03:15.180 --> 00:03:17.660]   And so I love getting scared.
[00:03:17.660 --> 00:03:20.400]   And we would tell stories, and we would get freaked out,
[00:03:20.400 --> 00:03:23.040]   and we would go see movies.
[00:03:23.040 --> 00:03:25.280]   I mean, back then, "The Night of the Living Dead,"
[00:03:25.280 --> 00:03:26.400]   the very first zombie movie,
[00:03:26.400 --> 00:03:27.880]   it was first a black and white film.
[00:03:27.880 --> 00:03:30.000]   I can remember watching that at a drive-in
[00:03:30.000 --> 00:03:34.960]   before I hit puberty, and it freaked me out, man.
[00:03:34.960 --> 00:03:36.220]   That's all I can tell you.
[00:03:36.220 --> 00:03:39.400]   And it should have because you're not supposed to sit there
[00:03:39.400 --> 00:03:41.400]   and have your mind meditate on that kind of craziness
[00:03:41.400 --> 00:03:42.520]   and that kind of evil.
[00:03:42.520 --> 00:03:46.360]   But if you think about classic horror films,
[00:03:46.360 --> 00:03:51.360]   if you think about the movie that set it all on fire,
[00:03:51.960 --> 00:03:54.080]   that really got it all going on,
[00:03:54.080 --> 00:03:57.760]   it was a movie that starred this guy right there.
[00:03:57.760 --> 00:03:59.000]   Frankenstein.
[00:03:59.000 --> 00:04:00.760]   That's what got it all going.
[00:04:00.760 --> 00:04:02.600]   Now listen, here's the deal.
[00:04:02.600 --> 00:04:05.640]   You guys know this, not because you're scholars,
[00:04:05.640 --> 00:04:07.240]   not because you did your homework when you were
[00:04:07.240 --> 00:04:11.080]   in high school, but because there's a movie
[00:04:11.080 --> 00:04:13.120]   that come out recently, and you probably know
[00:04:13.120 --> 00:04:14.360]   who wrote Frankenstein, right?
[00:04:14.360 --> 00:04:18.280]   Because you now know that there's Bram Stoker's "Dracula,"
[00:04:18.280 --> 00:04:23.280]   and there is Mary Shelley's "Frankenstein," right?
[00:04:23.280 --> 00:04:25.560]   'Cause you read the Spark Notes to a book, right?
[00:04:25.560 --> 00:04:26.400]   Remember?
[00:04:26.400 --> 00:04:28.120]   Yeah, you did.
[00:04:28.120 --> 00:04:31.880]   So let me tell you about Mary Shelley,
[00:04:31.880 --> 00:04:33.080]   'cause here's the thing.
[00:04:33.080 --> 00:04:36.680]   What you need to know is that the horror genre
[00:04:36.680 --> 00:04:39.960]   really came out of the sexual revolution.
[00:04:39.960 --> 00:04:42.600]   What?
[00:04:42.600 --> 00:04:47.320]   Watch this.
[00:04:47.320 --> 00:04:49.240]   Here's the real monster.
[00:04:49.240 --> 00:04:50.840]   Check out this good-looking cat.
[00:04:50.840 --> 00:04:54.200]   This brother, if he was at the porch, right here, not him,
[00:04:54.200 --> 00:04:55.040]   this guy.
[00:04:55.040 --> 00:04:57.040]   (congregation laughing)
[00:04:57.040 --> 00:04:58.360]   If that other brother's at the porch too,
[00:04:58.360 --> 00:05:00.240]   he'd say, "Get on out of here, old man.
[00:05:00.240 --> 00:05:01.280]   "All right, this ain't for you."
[00:05:01.280 --> 00:05:05.040]   But that guy, that is the real monster.
