
[00:00:00.000 --> 00:00:22.000]   (music)
[00:00:22.000 --> 00:00:34.000]   Alright, let's go! Hey, welcome! Friends in the room, friends in Fort Worth, El Paso, Austin, Phoenix, Northwest, Arkansas, Pennsylvania, North Carolina, wherever you are turning in from all the different Portslough locations.
[00:00:34.000 --> 00:00:43.000]   We are continuing this series, "Before There Were Kings." Before I go there, how about the Stars? Let's go, man! Back in the playoffs!
[00:00:43.000 --> 00:00:52.000]   Now, I know most of you are probably Fairweather fans like myself, who now are on the Stars bandwagon just because we're back, but for you faithful, way to go, way to stick with it.
[00:00:52.000 --> 00:01:10.000]   Hey, about 20-some years ago, really in the 90s, it seems like Hollywood and entertainment looked at, you know, kind of our country and looked at people and they said, "It's interesting. People really love to laugh."
[00:01:10.000 --> 00:01:27.000]   And then they also said, you know what else they love? We love love. And so they said, someone out there decided, "You know what we should try to do is combine these two things and come up with something that would be called the romantic comedy, a rom-com."
[00:01:27.000 --> 00:01:49.000]   Any rom-com fans in this house? It's a very feminine howl there. But prior to that, we had the romantic tragedy. They knew that we loved romantic tragedies, not being a part of one, but watching them, whether it's the Titanic, Titanic fans, or the Notebook, or Romeo and Juliet, Tale as Old as Time.
[00:01:49.000 --> 00:02:11.000]   And then onto the scene, it seems like all these romantic comedies, like in the 90s, just burst forth. So I don't know what your favorite rom-com is, but from Hitch, remember Hitch? To The Proposal. Something about Mary. This is not an endorsement, by the way, for any of these movies, but Sweet Home Alabama.
[00:02:11.000 --> 00:02:26.000]   You've got to lose a guy in 10 days in that yellow dress. Pretty Woman. The Holiday. Sleepless in Seattle. You've Got Mail. Every movie by Matthew McConaughey that has his shirt off.
[00:02:26.000 --> 00:02:48.000]   It was just like it burst onto the scene. They were like, "Man, people love love. They love to laugh. Let's do these things together." And the romantic comedy was born. We had the romantic tragedy. Then we got the romantic comedy. And tonight, what I want to talk about is what is more common, all of us are going to experience, or hopefully, and that we have very few examples of, and that is romantic reality.
[00:02:48.000 --> 00:03:07.000]   Because unlike the other couple of categories, we've got lots of different variations or versions of those that they'll put in front of you. And none of us would want to have a romantic tragedy. Maybe many of us would want to have a romantic comedy, but the truth is, if you're going to have any type of romance at all, it's going to be a story that is a romantic reality.
[00:03:07.000 --> 00:03:24.000]   And you may be thinking, "We've got tons of romantic realities. We have The Bachelor. Isn't that romantic reality?" It is the farthest thing from reality. Where 30 women are in front of one guy, this is setting up the worst possible relationship or just future together, where they're flying around in helicopters. It's anything but reality TV.
[00:03:24.000 --> 00:03:38.000]   So tonight, I want to talk about having a romantic reality. If you're going to have any type of romance in your future, hopefully it's not a romantic tragedy. The bad news is a romantic comedy, these movies are just not real.
[00:03:38.000 --> 00:04:00.000]   How to lose a guy in 10 days and that yellow dress is not in your future, ladies. It just isn't. Hate to burst the bubble, but it is possible for you to have a romantic experience, a romantic life, a marriage that is one that is a romantic reality. But in order for that to happen, you have got to know what real romance is or what real love looks like.
[00:04:00.000 --> 00:04:18.000]   I think one of the problems a lot of times, due to these movies or maybe the songs we listen to, or maybe it's just culture in general, I mean, from the moment that we can watch TV or we're introduced to culture, everything is thrust of like, "Here's what love looks like. You've got Corey and Topanga. Here's Zach and Kelly. Here's what love really looks like."
[00:04:18.000 --> 00:04:31.000]   And yet all too often, we rarely are given, "Here's what real love looks like." So tonight, we're going to talk about that topic. And here's why this is huge, because so many people get into marriages and they think like, "Oh man, this is real love. We're going to have this, you and me, together."
[00:04:31.000 --> 00:04:47.000]   And they stand in front of someone that they promised before God, family, friends, "I'm going to give the rest of my life to you. We're in it together." And then within a very short time period, often within just a couple of years, that person they promised their life to, they're signing papers to separate from.
[00:04:47.000 --> 00:04:59.000]   And it ends not in romantic comedy or reality, it ends in tragedy. And the God who's there doesn't want that for you and for me. But too often, they get into a romantic life or a romantic story, and they have a warped perspective on what real love is.
[00:04:59.000 --> 00:05:09.000]   So then they get in, and because they don't know what real love actually looks like, they end up thinking, "Oh man, this is not going the way I thought it would with that person they're married to. I think I married the wrong person.
[00:05:09.000 --> 00:05:19.000]   So I need to go look for that real love out there somewhere else." And they either end in divorce or they end up having decisions where they're going to look for it somewhere else.
[00:05:19.000 --> 00:05:30.000]   And it may come by way of a coworker, it may come by way of a friend, it may come by way of someone else in their life. But they search for something that they never actually, they don't even know what real love or the love that they're looking for looks like.
[00:05:30.000 --> 00:05:37.000]   And the good news is the Bible is very clear as it relates to when it comes to a spouse, here are some of the things that you want to be looking at.
[00:05:37.000 --> 00:05:45.000]   And so we're going to learn from the story of a woman in the Old Testament and really a relationship that he had that continues our series Before There Were Kings.
[00:05:45.000 --> 00:05:57.000]   And in it, we're going to discover three things that are a part of real love. If you're going to have real love, if you're going to have a romantic reality, or if that being a part of your story is in your future, it will include these three things.
[00:05:57.000 --> 00:06:03.000]   If you're currently dating and you don't have these things, you can know that you're not headed towards a romantic reality, but a romantic tragedy.
[00:06:03.000 --> 00:06:13.000]   And so we're going to discover what those three things are. We're going to continue the series Before There Were Kings. Before There Were Kings, to recap, in case you just joined us for the first time or you missed a couple, is a look at the book of Judges.
