
[00:00:00.000 --> 00:00:02.760]   (birds chirping)
[00:00:02.760 --> 00:00:11.540]   (phone buzzing)
[00:00:11.540 --> 00:00:17.680]   - Here are 10 tips and tricks to improve your mental health.
[00:00:17.680 --> 00:00:20.340]   (phone ringing)
[00:00:20.340 --> 00:00:23.420]   (indistinct chatter)
[00:00:23.420 --> 00:00:26.080]   (phone ringing)
[00:00:26.080 --> 00:00:28.740]   (phone ringing)
[00:00:28.740 --> 00:00:37.420]   (ominous music)
[00:00:37.420 --> 00:00:55.680]   - Well, Porsche, how we doing tonight?
[00:00:55.680 --> 00:00:58.240]   (audience cheering)
[00:00:58.240 --> 00:01:00.520]   Hey, anybody here in Dallas glad
[00:01:00.520 --> 00:01:03.760]   that fall decided to show up tonight?
[00:01:03.760 --> 00:01:04.600]   Come on.
[00:01:04.600 --> 00:01:09.660]   Porsche Live Locations, we hope fall is there as well,
[00:01:09.660 --> 00:01:11.760]   but it's been like 90 here in Dallas,
[00:01:11.760 --> 00:01:15.600]   so the jackets are out, the sweaters, it's time.
[00:01:15.600 --> 00:01:19.840]   Hey, we're so glad that you're here on a Tuesday night
[00:01:19.840 --> 00:01:21.500]   hanging out with us.
[00:01:21.500 --> 00:01:23.540]   Whether you're here in person
[00:01:23.540 --> 00:01:24.920]   or whether you're watching online,
[00:01:24.920 --> 00:01:27.740]   we're just so, so, so glad that you're here.
[00:01:27.740 --> 00:01:29.100]   We wanna give a special shout out
[00:01:29.100 --> 00:01:30.740]   to our Porsche Live Locations,
[00:01:30.740 --> 00:01:34.180]   specifically in Greater Lafayette, in Wheaton,
[00:01:34.180 --> 00:01:35.100]   and in Dayton.
[00:01:35.100 --> 00:01:36.580]   Can we give it up for them?
[00:01:36.580 --> 00:01:39.580]   (audience cheering)
[00:01:39.580 --> 00:01:43.700]   Hey, before we get into the message tonight,
[00:01:43.700 --> 00:01:45.500]   we're talking about mental health.
[00:01:45.500 --> 00:01:47.940]   There's a lot that we're gonna process through,
[00:01:47.940 --> 00:01:50.340]   but I just wanna spend some time and pray.
[00:01:50.340 --> 00:01:53.780]   I know we've been praying, but I wanna continue to pray
[00:01:53.780 --> 00:01:56.660]   and not only pray for tonight.
[00:01:56.660 --> 00:01:58.580]   I definitely wanna pray for that,
[00:01:58.580 --> 00:02:01.580]   but I know for many of you, you know, maybe you don't,
[00:02:01.580 --> 00:02:06.180]   that right now in Jamaica, a category five hurricane
[00:02:06.180 --> 00:02:09.920]   is just overwhelming that country.
[00:02:09.920 --> 00:02:12.620]   And many of you know people who are there,
[00:02:12.620 --> 00:02:13.740]   some of you have been there.
[00:02:13.740 --> 00:02:16.120]   I know there's some anxiety about that,
[00:02:16.120 --> 00:02:17.720]   but they're saying that this hurricane
[00:02:17.720 --> 00:02:21.300]   could radically change what Jamaica looks like
[00:02:21.300 --> 00:02:22.140]   into the future.
[00:02:22.140 --> 00:02:24.500]   And we just wanna stop before anything else.
[00:02:24.500 --> 00:02:26.460]   And we wanna pray for them.
[00:02:26.460 --> 00:02:29.320]   We're gonna pray for Haiti, we wanna pray for Cuba,
[00:02:29.320 --> 00:02:30.640]   we wanna pray for the other countries
[00:02:30.640 --> 00:02:32.100]   that are gonna be influenced.
[00:02:32.100 --> 00:02:35.260]   So would you start, we're just gonna pray together
[00:02:35.260 --> 00:02:37.700]   for this hurricane that's hitting, bow your head.
[00:02:37.700 --> 00:02:44.420]   God, we stop right now in the comfort of wherever we are,
[00:02:44.420 --> 00:02:47.260]   here in Dallas or wherever,
[00:02:47.260 --> 00:02:49.740]   and we stop and we turn our attention
[00:02:49.740 --> 00:02:52.300]   to what's happening right now in the Caribbean.
[00:02:52.300 --> 00:02:56.620]   And God, we just ask for your mercy,
[00:02:56.620 --> 00:03:00.060]   the one who controls the weather, the storm,
[00:03:00.060 --> 00:03:03.580]   the sky, the sea, and we ask you, God,
[00:03:03.580 --> 00:03:05.940]   would you show your mercy here?
[00:03:05.940 --> 00:03:08.100]   Would you calm the winds and the waves?
[00:03:08.100 --> 00:03:11.260]   Oh Lord, we pray for our brothers and sisters
[00:03:11.260 --> 00:03:14.340]   who are shaking, their world is shaking right now.
[00:03:14.340 --> 00:03:17.380]   We ask God, would you be present with them?
[00:03:17.380 --> 00:03:19.580]   Oh Lord, would you be near?
[00:03:19.580 --> 00:03:21.940]   Would you bring quick aid?
[00:03:21.940 --> 00:03:24.220]   Lord, would the Christians around the world rise up
[00:03:24.220 --> 00:03:25.820]   and care for our brothers and sisters
[00:03:25.820 --> 00:03:27.820]   in Jamaica and the Caribbean?
[00:03:27.820 --> 00:03:30.120]   And would you come, Lord Jesus, come?
[00:03:30.120 --> 00:03:34.160]   And then God, we pray for us tonight.
[00:03:34.160 --> 00:03:37.640]   Lord, I know coming into this room
[00:03:37.640 --> 00:03:42.580]   or wherever we're watching, there are all kinds of emotions.
[00:03:42.580 --> 00:03:46.320]   Some of us are excited to be here, some of us are nervous,
[00:03:46.320 --> 00:03:50.820]   but Lord, we are all eager, desperate, hungry
[00:03:50.820 --> 00:03:51.900]   to hear from you.
[00:03:51.900 --> 00:03:57.000]   So we say, come Holy Spirit, come Holy Spirit.
[00:03:57.000 --> 00:03:58.660]   We long to encounter you.
[00:03:58.660 --> 00:04:02.080]   Would you speak to us tonight through your word?
[00:04:02.080 --> 00:04:06.200]   We will long to hear from you, in Jesus' name, amen.
[00:04:06.200 --> 00:04:11.300]   Well, my senior year of high school,
