
[00:00:00.000 --> 00:00:02.420]   (rock music)
[00:00:02.420 --> 00:00:23.340]   - Tribute to Jimi Hendrix or something.
[00:00:23.340 --> 00:00:24.180]   How we doing?
[00:00:24.180 --> 00:00:25.020]   (audience cheering)
[00:00:25.020 --> 00:00:26.340]   Come on.
[00:00:26.340 --> 00:00:28.060]   Welcome to the porch.
[00:00:28.060 --> 00:00:32.500]   So glad you're here, Fort Worth, Houston, around the world.
[00:00:32.500 --> 00:00:35.780]   We're glad you're tuned in with us this evening.
[00:00:35.780 --> 00:00:37.580]   My name is JP and I have the privilege
[00:00:37.580 --> 00:00:39.380]   of diving into God's word with you.
[00:00:39.380 --> 00:00:41.980]   And recently, so like last week,
[00:00:41.980 --> 00:00:44.700]   this friend of mine gave me a Nest.
[00:00:44.700 --> 00:00:45.740]   You guys know what these are?
[00:00:45.740 --> 00:00:48.500]   Like the smart thermostat.
[00:00:48.500 --> 00:00:50.220]   Anybody have one?
[00:00:50.220 --> 00:00:52.000]   Dude, they're amazing.
[00:00:52.000 --> 00:00:54.700]   They're so cool 'cause they save you money
[00:00:54.700 --> 00:00:56.340]   and they like know when you're home and when you're not
[00:00:56.340 --> 00:00:58.300]   and it like adjusts the temperature,
[00:00:58.300 --> 00:01:00.980]   the climate of your house and it's pretty incredible.
[00:01:00.980 --> 00:01:02.300]   So there's a shout out for Nest.
[00:01:02.300 --> 00:01:04.940]   But so he gives me one and he's like,
[00:01:04.940 --> 00:01:07.060]   hey, we can install it in your house.
[00:01:07.060 --> 00:01:08.420]   It will take about 15 minutes.
[00:01:08.420 --> 00:01:10.580]   And so I called him, you know,
[00:01:10.580 --> 00:01:14.220]   I guess it was like last Thursday and he comes over
[00:01:14.220 --> 00:01:16.420]   and so it took me about 15 minutes
[00:01:16.420 --> 00:01:18.340]   to find the screwdriver, okay?
[00:01:18.340 --> 00:01:19.860]   And so then like another 15 minutes
[00:01:19.860 --> 00:01:21.300]   to remove the first screw.
[00:01:21.300 --> 00:01:23.380]   And then about 45 minutes later,
[00:01:23.380 --> 00:01:27.140]   like I had unplugged these five wires to my old thermostat
[00:01:27.140 --> 00:01:28.740]   and had hooked up the five wire,
[00:01:28.740 --> 00:01:29.980]   which is just dangerous, let's agree,
[00:01:29.980 --> 00:01:32.740]   but I had hooked up the five wires to the new thermostat
[00:01:32.740 --> 00:01:34.860]   and I'm excited and we like,
[00:01:34.860 --> 00:01:36.860]   you program it to your internet,
[00:01:36.860 --> 00:01:38.860]   like you have to put in your WiFi password
[00:01:38.860 --> 00:01:39.860]   and all that, it's amazing.
[00:01:39.860 --> 00:01:44.460]   And then I'm getting this error message.
[00:01:44.460 --> 00:01:45.500]   Like it's not working.
[00:01:45.500 --> 00:01:50.340]   And he had said early on, hey, we should flip the breaker.
[00:01:50.340 --> 00:01:51.180]   Like we should turn off,
[00:01:51.180 --> 00:01:53.640]   You're supposed to turn off the breaker before you do this.
[00:01:53.640 --> 00:01:55.300]   But I had already touched the wires
[00:01:55.300 --> 00:01:56.140]   and they didn't shock me,
[00:01:56.140 --> 00:01:58.460]   so I'm like, low voltage wires, it'll be fine.
[00:01:58.460 --> 00:02:00.420]   And as we're hooking it up,
[00:02:00.420 --> 00:02:02.140]   and we like Google the error message
[00:02:02.140 --> 00:02:04.540]   and we can't figure out what's going on,
[00:02:04.540 --> 00:02:06.180]   and so we call customer service.
[00:02:06.180 --> 00:02:09.820]   It's about, let's see, so it's about 10 p.m. at this point.
[00:02:09.820 --> 00:02:11.300]   We're on the phone with customer service.
[00:02:11.300 --> 00:02:13.100]   They're like, okay, let's troubleshoot this,
[00:02:13.100 --> 00:02:16.020]   which has me running back and forth to the breaker box.
[00:02:16.020 --> 00:02:18.180]   Flip the breaker, flip it on, flip it off, flip it on.
[00:02:18.180 --> 00:02:20.500]   Move this wire, plug it here, plug it here, plug it here.
[00:02:20.500 --> 00:02:21.740]   And I'm just trying to figure out
[00:02:21.740 --> 00:02:24.440]   why this thing's not working.
[00:02:24.440 --> 00:02:29.440]   And lo and behold, so about 11.15 p.m.,
[00:02:29.440 --> 00:02:31.020]   I'm on the phone with customer service.
[00:02:31.020 --> 00:02:32.900]   We've escalated to tier two.
[00:02:32.900 --> 00:02:36.500]   And I've got to get up at 5.45 a.m. the next morning.
[00:02:36.500 --> 00:02:38.700]   So I'm like, okay, buddy, I need you to level with me.
[00:02:38.700 --> 00:02:40.780]   Like, how much longer will this take?
[00:02:40.780 --> 00:02:43.180]   Like, 'cause man, I've got to go to bed.
[00:02:43.180 --> 00:02:44.580]   And how sure are you that you're actually
[00:02:44.580 --> 00:02:45.660]   gonna be able to fix this problem?
[00:02:45.660 --> 00:02:47.260]   And he's like, man, it's gonna take me
[00:02:47.260 --> 00:02:50.020]   about 20 more minutes of troubleshooting.
[00:02:50.020 --> 00:02:51.380]   And then I'll just be able to tell you
[00:02:51.380 --> 00:02:52.220]   what's wrong with it.
[00:02:52.220 --> 00:02:54.580]   I don't know that we'll actually be able to fix it.
[00:02:54.580 --> 00:02:55.700]   And I'm like, okay, peace out.
[00:02:55.700 --> 00:03:00.700]   So basically, I undo that one.
[00:03:00.700 --> 00:03:03.660]   And I unplug the five wires.
[00:03:03.660 --> 00:03:04.660]   I get my old thermostat.
[00:03:04.660 --> 00:03:07.220]   I'm like, hey, we have to go back to where we started.
[00:03:07.220 --> 00:03:08.980]   And we'll pick this up some other day.
[00:03:08.980 --> 00:03:10.860]   But I've got to go to sleep, got to catch some Zs.
[00:03:10.860 --> 00:03:15.500]   And so put the old one back up.
[00:03:15.500 --> 00:03:16.900]   And it doesn't work.
[00:03:16.900 --> 00:03:19.820]   You know, an irony of ironies,
[00:03:19.820 --> 00:03:22.780]   there's another family staying with us this night
[00:03:22.780 --> 00:03:24.780]   because their AC was out.
[00:03:24.780 --> 00:03:29.380]   How hysterical, how hilarious is that?
[00:03:29.380 --> 00:03:31.380]   And so they're staying with us
[00:03:31.380 --> 00:03:32.540]   because their AC didn't work.
[00:03:32.540 --> 00:03:34.700]   And now, and this is like after Monica said,
[00:03:34.700 --> 00:03:36.100]   why do you have to do this so late?
[00:03:36.100 --> 00:03:36.940]   And I wouldn't do this.
[00:03:36.940 --> 00:03:38.540]   And so like, she's like biting her tongue
[00:03:38.540 --> 00:03:40.180]   from the big, I told you so.
[00:03:40.180 --> 00:03:43.460]   And now the old thermostat doesn't work either.
[00:03:43.460 --> 00:03:47.140]   Turns out what had happened was,
[00:03:47.140 --> 00:03:49.820]   because I didn't flip the breakers early on,
[00:03:49.820 --> 00:03:54.820]   I actually shorted out my main AC unit, okay?
[00:03:54.820 --> 00:03:58.500]   Yeah, yeah.
[00:03:58.500 --> 00:04:06.380]   I destroyed the very thing I was trying to make better.
[00:04:06.380 --> 00:04:12.340]   And as you think about why, it's because, two reasons.
[00:04:12.340 --> 00:04:17.020]   One, because I had missed some key instruction early on.
[00:04:18.020 --> 00:04:20.780]   I overlooked out of convenience
[00:04:20.780 --> 00:04:23.980]   some very important instruction early on.
[00:04:23.980 --> 00:04:26.500]   And not only that, but I misunderstood the consequences.
[00:04:26.500 --> 00:04:28.100]   I thought, oh, you want me to flip the breaker
[00:04:28.100 --> 00:04:29.100]   so I don't get shocked.
[00:04:29.100 --> 00:04:30.340]   No, I want you to flip the breaker
[00:04:30.340 --> 00:04:31.940]   so you don't have to spend hundreds of dollars
[00:04:31.940 --> 00:04:33.380]   repairing your AC.
[00:04:33.380 --> 00:04:38.580]   Oh, so I just misunderstood the consequences.
[00:04:38.580 --> 00:04:41.820]   And we ended up in a hot mess.
[00:04:41.820 --> 00:04:44.660]   And as, thank you.
[00:04:44.660 --> 00:04:46.900]   And as I think about that,
[00:04:46.900 --> 00:04:50.220]   and as I think about that, and I look at our country,
[00:04:50.220 --> 00:04:54.260]   I'm asking this about our country.
[00:04:54.260 --> 00:04:57.460]   How did we end up in this hot mess?
[00:04:57.460 --> 00:05:00.460]   How did we get here?
[00:05:00.460 --> 00:05:01.900]   This is crazy.
[00:05:01.900 --> 00:05:06.020]   The most controversial election of all time.
[00:05:06.020 --> 00:05:08.460]   We're moving toward the date where we vote.
[00:05:08.460 --> 00:05:12.100]   Most of us are discouraged, scratching our head,
[00:05:12.100 --> 00:05:13.380]   not knowing what to do.
[00:05:13.380 --> 00:05:15.020]   Some of us are very opinionated.
[00:05:15.020 --> 00:05:16.740]   We think we have the right answer.
[00:05:16.740 --> 00:05:17.980]   And we figured it out.
[00:05:17.980 --> 00:05:21.220]   And so we're very vocal and we're just kind of discouraged.
[00:05:21.220 --> 00:05:22.740]   How did we get in this hot mess?
[00:05:22.740 --> 00:05:27.740]   And I think it's because we missed some key instructions.
[00:05:27.740 --> 00:05:32.820]   And we've misunderstood the consequences,
[00:05:32.820 --> 00:05:36.060]   specifically this generation, our generation,
[00:05:36.060 --> 00:05:37.060]   your and my generation.
[00:05:37.060 --> 00:05:38.980]   Call us millennials if you please.
