
[00:00:00.000 --> 00:00:04.000]   (Music)
[00:00:27.000 --> 00:00:30.000]   Hey, it's good to be with you guys. My name is JP, Jonathan Picluda.
[00:00:30.000 --> 00:00:32.000]   And I'm just traveling through this series.
[00:00:32.000 --> 00:00:34.000]   And like one thing about me is, man, I love gifts.
[00:00:34.000 --> 00:00:37.000]   That's not a hint. Don't buy me or anything.
[00:00:37.000 --> 00:00:39.000]   But that's my love language is gifts.
[00:00:39.000 --> 00:00:40.000]   And so I like to buy gifts.
[00:00:40.000 --> 00:00:43.000]   We tend to, you know, express to others our love language.
[00:00:43.000 --> 00:00:47.000]   And so one thing I love like Christmas time, you know, or birthdays.
[00:00:47.000 --> 00:00:51.000]   And anytime there's a chance to get or receive, give or receive gifts.
[00:00:51.000 --> 00:00:53.000]   And so at Christmas time we had our young adult Christmas party.
[00:00:53.000 --> 00:00:55.000]   That's our staff Christmas party at my house.
[00:00:55.000 --> 00:00:58.000]   And so what I did is I wanted to do a gift exchange.
[00:00:58.000 --> 00:01:01.000]   And so I just went and got gifts for everyone there.
[00:01:01.000 --> 00:01:03.000]   And then we did that deal where you draw numbers.
[00:01:03.000 --> 00:01:05.000]   You know, there's a lot of things to call it.
[00:01:05.000 --> 00:01:07.000]   I'll call it politically correct, rob your neighbor or something.
[00:01:07.000 --> 00:01:09.000]   And so everybody gets a number.
[00:01:09.000 --> 00:01:10.000]   You guys know the rules.
[00:01:10.000 --> 00:01:12.000]   Like one gets to go again at the end.
[00:01:12.000 --> 00:01:14.000]   So one goes first, then two, then three.
[00:01:14.000 --> 00:01:15.000]   And you can steal.
[00:01:15.000 --> 00:01:19.000]   And with three steals, then the gift is locked after three steals.
[00:01:19.000 --> 00:01:20.000]   You guys know the game?
[00:01:20.000 --> 00:01:21.000]   Okay, good.
[00:01:21.000 --> 00:01:22.000]   And so we play.
[00:01:22.000 --> 00:01:24.000]   And so, you know, as you're sitting there, you probably played the game.
[00:01:24.000 --> 00:01:26.000]   You're sitting there and you're kind of looking at your gift.
[00:01:26.000 --> 00:01:30.000]   And you're like, hey, am I going to use this gift or do I hope to lose this gift?
[00:01:30.000 --> 00:01:33.000]   And what happens is people start selling their gift.
[00:01:33.000 --> 00:01:36.000]   They're like, hey, Kelly, man, I don't know if you noticed, man, this thing is a juicer.
[00:01:36.000 --> 00:01:37.000]   Look, it's really neat, you know.
[00:01:37.000 --> 00:01:39.000]   And, hey, you know, you mentioned you need a juicer.
[00:01:39.000 --> 00:01:42.000]   So they can go and have one more shot, you know.
[00:01:42.000 --> 00:01:43.000]   Or they go, oh, no, no.
[00:01:43.000 --> 00:01:44.000]   And they start hiding it behind them.
[00:01:44.000 --> 00:01:45.000]   Like, no, you don't want it.
[00:01:45.000 --> 00:01:46.000]   It doesn't look very cool, you know.
[00:01:46.000 --> 00:01:48.000]   And they're trying to keep the gift.
[00:01:48.000 --> 00:01:49.000]   So some of them want to keep the gift.
[00:01:49.000 --> 00:01:51.000]   Some of them want to lose the gift.
[00:01:51.000 --> 00:01:53.000]   And they're thinking, hey, will I use the gift?
[00:01:53.000 --> 00:01:57.000]   But I played my game with a twist, okay, because that's what's fun.
[00:01:57.000 --> 00:02:04.000]   So here's what we did is I had a special gift in there that had a consequence tied to it.
[00:02:04.000 --> 00:02:09.000]   And what it was was it was this Christmas inflatable yard art, okay.
[00:02:09.000 --> 00:02:15.000]   And if you got it, you had to keep it up through January all the way to February every day, okay.
[00:02:15.000 --> 00:02:17.000]   That's what you had to do.
[00:02:17.000 --> 00:02:18.000]   And so I told them that.
[00:02:18.000 --> 00:02:20.000]   I said, hey, here's the deal.
[00:02:20.000 --> 00:02:22.000]   There's one gift in here that you may not want.
[00:02:22.000 --> 00:02:25.000]   And if you get it, you can't get rid of it.
[00:02:25.000 --> 00:02:29.000]   So if you open that gift, right, now I'm telling you what it is.
[00:02:29.000 --> 00:02:32.000]   If you open that gift, you're stuck with it.
[00:02:32.000 --> 00:02:35.000]   And so everybody's kind of nervous because nobody wants to keep the Christmas yard art.
