
[00:00:00.000 --> 00:00:02.420]   (rock music)
[00:00:02.420 --> 00:00:25.480]   Check, check, amazing.
[00:00:25.480 --> 00:00:27.600]   Hello, welcome friends.
[00:00:27.600 --> 00:00:28.440]   Welcome friends in the room,
[00:00:28.440 --> 00:00:30.520]   friends in Fort Worth, friends in the Woodlands,
[00:00:30.520 --> 00:00:31.360]   and in Houston.
[00:00:31.360 --> 00:00:33.200]   I'm gonna read the text that we're gonna look at tonight
[00:00:33.200 --> 00:00:35.300]   as we kick off this brand new series.
[00:00:35.300 --> 00:00:37.280]   Thank you, Arts Team, or Team Landscape,
[00:00:37.280 --> 00:00:38.120]   for that amazing video.
[00:00:38.120 --> 00:00:39.500]   You guys are incredible.
[00:00:39.500 --> 00:00:42.340]   Our volunteer Arts Team creates all the graphics,
[00:00:42.340 --> 00:00:44.200]   all the videos, and tons of other stuff that we do here.
[00:00:44.200 --> 00:00:45.680]   And so, they're incredibly gifted,
[00:00:45.680 --> 00:00:46.620]   and they produce stuff like that.
[00:00:46.620 --> 00:00:48.240]   I'm gonna read the passage,
[00:00:48.240 --> 00:00:51.000]   and then we're gonna kick off this new series.
[00:00:51.000 --> 00:00:51.840]   But let me read this.
[00:00:51.840 --> 00:00:54.040]   This comes from Romans chapter one,
[00:00:54.040 --> 00:00:55.840]   starting in verse 18,
[00:00:55.840 --> 00:00:56.680]   and then I'm gonna pray,
[00:00:56.680 --> 00:00:58.140]   and we will dive into tonight.
[00:00:58.980 --> 00:01:00.500]   Paul says this.
[00:01:00.500 --> 00:01:04.140]   The wrath of God is being revealed from heaven
[00:01:04.140 --> 00:01:08.380]   against all ungodliness and wickedness of people
[00:01:08.380 --> 00:01:11.320]   who suppress the truth by their wickedness.
[00:01:11.320 --> 00:01:14.020]   Since what may be known about God is plain to them,
[00:01:14.020 --> 00:01:16.860]   because God has made it plain to them.
[00:01:16.860 --> 00:01:18.340]   For since the creation of the world,
[00:01:18.340 --> 00:01:20.140]   God's invisible qualities,
[00:01:20.140 --> 00:01:23.060]   his eternal power, and his divine nature
[00:01:23.060 --> 00:01:25.540]   have been clearly seen,
[00:01:25.540 --> 00:01:27.360]   being understood from what has been made,
[00:01:27.360 --> 00:01:30.620]   so people are without excuse.
[00:01:30.620 --> 00:01:32.580]   For although they knew God, verse 21,
[00:01:32.580 --> 00:01:33.580]   they did not honor him,
[00:01:33.580 --> 00:01:35.320]   or they neither glorified him,
[00:01:35.320 --> 00:01:36.680]   nor gave thanks to him.
[00:01:36.680 --> 00:01:39.220]   But their thinking became futile,
[00:01:39.220 --> 00:01:41.660]   and their foolish hearts were darkened.
[00:01:41.660 --> 00:01:42.820]   Although they claimed to be wise,
[00:01:42.820 --> 00:01:44.540]   they became fools and exchanged the glory
[00:01:44.540 --> 00:01:46.420]   of the immortal God for images
[00:01:46.420 --> 00:01:49.220]   made to look like a mortal human being,
[00:01:49.220 --> 00:01:50.900]   and birds, and animals, and reptiles.
[00:01:50.900 --> 00:01:53.180]   Therefore, God gave them over
[00:01:53.180 --> 00:01:55.420]   in their sinful desires of their hearts
[00:01:55.420 --> 00:01:57.420]   to sexual impurity,
[00:01:57.420 --> 00:02:00.520]   for the degrading of their bodies with one another.
[00:02:00.520 --> 00:02:05.260]   They exchanged the truth about God for a lie,
[00:02:05.260 --> 00:02:08.700]   and they worshiped and served created things
[00:02:08.700 --> 00:02:12.080]   rather than the creator who is forever praised, amen.
[00:02:12.080 --> 00:02:12.920]   Let me pray.
[00:02:12.920 --> 00:02:18.620]   Father, just as we do start this series,
[00:02:18.620 --> 00:02:24.860]   and we look back at the role that Christianity
[00:02:24.860 --> 00:02:26.360]   has played in our country,
[00:02:26.360 --> 00:02:29.060]   as we look at just the calling
[00:02:29.060 --> 00:02:30.340]   that you've placed on our lives
[00:02:30.340 --> 00:02:33.160]   as believers in Jesus, as followers of Christ,
[00:02:33.160 --> 00:02:36.240]   as it relates to living in a democracy,
[00:02:36.240 --> 00:02:37.200]   would you give us wisdom?
[00:02:37.200 --> 00:02:38.740]   Would you speak from your word?
[00:02:38.740 --> 00:02:41.320]   Would you move us in the direction
[00:02:41.320 --> 00:02:42.500]   that you would have us move?
[00:02:42.500 --> 00:02:45.900]   Would we listen and hear your voice tonight
[00:02:45.900 --> 00:02:49.020]   as we look back at some of the past,
[00:02:49.020 --> 00:02:50.620]   and in the weeks ahead as we just explore
[00:02:50.620 --> 00:02:52.740]   what does it look like for a Christian
[00:02:52.740 --> 00:02:56.120]   living in this republic, democratic republic,
[00:02:56.120 --> 00:03:00.500]   to faithfully engage in culture,
[00:03:00.500 --> 00:03:02.080]   to stand firm in the faith,
[00:03:02.080 --> 00:03:04.900]   and to showcase to a watching world
[00:03:04.900 --> 00:03:06.540]   what it looks like to experience
[00:03:06.540 --> 00:03:08.060]   the abundant life you call us to?
[00:03:08.060 --> 00:03:10.060]   Would you strengthen your church,
[00:03:10.060 --> 00:03:12.380]   and would you begin with us in this room?
[00:03:12.380 --> 00:03:13.200]   Amen.
[00:03:13.200 --> 00:03:20.300]   A few weeks ago, I got to go on a date night with my wife,
[00:03:20.300 --> 00:03:21.860]   and we're in this season where we don't have
[00:03:21.860 --> 00:03:22.780]   a ton of date nights,
[00:03:22.780 --> 00:03:24.380]   and so this was something we were looking forward to.
[00:03:24.380 --> 00:03:25.220]   It was gonna be great.
[00:03:25.220 --> 00:03:28.140]   We have a 10-month-old that comes along,
[00:03:28.140 --> 00:03:30.460]   usually because we don't like to pay for babysitting,
[00:03:30.460 --> 00:03:31.500]   and so we'll bring him along,
[00:03:31.500 --> 00:03:33.660]   and we're planning on going to Gloria's.
[00:03:33.660 --> 00:03:35.300]   If you have Gloria's in Fort Worth,
[00:03:35.300 --> 00:03:36.140]   you know what I'm talking about.
[00:03:36.140 --> 00:03:36.960]   Yeah, you know what I'm talking about.
[00:03:36.960 --> 00:03:38.660]   Free bean dip, let's go.
[00:03:38.660 --> 00:03:40.260]   Houston, I'm sorry, I don't know
[00:03:40.260 --> 00:03:41.220]   if they have that down there.
[00:03:41.220 --> 00:03:42.460]   So anyway, so we're going to Gloria's.
[00:03:42.460 --> 00:03:44.320]   We get there, it's the early bird special,
[00:03:44.320 --> 00:03:46.060]   'cause we got an infant that goes down really early,
[00:03:46.060 --> 00:03:48.220]   so we're there with like mom and pa,
[00:03:48.220 --> 00:03:49.460]   and it's five o'clock.
[00:03:49.460 --> 00:03:50.820]   We go in, we sit down.
[00:03:50.820 --> 00:03:53.960]   My wife begins to put him in a baby chair,
[00:03:53.960 --> 00:03:55.960]   or an infant chair, whatever that's actually called.
[00:03:55.960 --> 00:03:57.120]   They bring one over to the table.
[00:03:57.120 --> 00:03:58.460]   We're sitting at this little four-top,
[00:03:58.460 --> 00:03:59.940]   me, my wife, the baby.
[00:03:59.940 --> 00:04:02.020]   She's putting him in the baby chair.
[00:04:02.020 --> 00:04:03.100]   She gets him all sitting there.
[00:04:03.100 --> 00:04:05.440]   All of a sudden, she goes to sit down,
[00:04:05.440 --> 00:04:10.440]   and the waiter has removed her chair from behind her,
[00:04:10.440 --> 00:04:11.860]   and she has no idea at this point,
[00:04:11.860 --> 00:04:14.060]   because the waiter was thinking she would sit over there.
[00:04:14.060 --> 00:04:15.780]   I thought the baby chair would go right here.
[00:04:15.780 --> 00:04:17.620]   He takes it, walks it right away.
[00:04:17.620 --> 00:04:18.540]   I didn't see it happen.
[00:04:18.540 --> 00:04:19.660]   She didn't see it happen.
[00:04:19.660 --> 00:04:21.700]   She all of a sudden does not look back,
[00:04:21.700 --> 00:04:23.620]   and she doesn't realize what was there
[00:04:23.620 --> 00:04:24.940]   that is no longer there,
[00:04:24.940 --> 00:04:27.080]   and she goes in a moment from just moving.
[00:04:27.080 --> 00:04:28.940]   All of a sudden, all I see is feet up in the air,
[00:04:28.940 --> 00:04:29.780]   and she's over there on the ground.
[00:04:29.780 --> 00:04:30.800]   I'm like, oh my gosh, what happened?
[00:04:30.800 --> 00:04:31.820]   I run over, I'm picking her up.
[00:04:31.820 --> 00:04:32.980]   I'm like, gosh, she's so clumsy.
[00:04:32.980 --> 00:04:33.980]   I can't take her anywhere.
[00:04:33.980 --> 00:04:35.860]   And it's not at all what I said.
[00:04:35.860 --> 00:04:37.540]   And I'm like, what happened over there?
[00:04:37.540 --> 00:04:39.220]   She realized the chair had been gone.
[00:04:39.220 --> 00:04:41.820]   Everyone around us all of a sudden sees what had happened.
[00:04:41.820 --> 00:04:43.420]   It was like the people sitting next to us
[00:04:43.420 --> 00:04:44.900]   saw this whole thing happen.
[00:04:44.900 --> 00:04:47.060]   So they're laughing and going, oh man, I'm sorry.
[00:04:47.060 --> 00:04:47.940]   Is she okay?
[00:04:47.940 --> 00:04:49.380]   I'm like, yeah, I think she's okay.
[00:04:49.380 --> 00:04:50.700]   The waiter comes back.
[00:04:50.700 --> 00:04:51.820]   He's super apologetic.
[00:04:51.820 --> 00:04:53.140]   It ended up working in our favor
[00:04:53.140 --> 00:04:55.620]   'cause Gloria's comped the whole thing.
[00:04:55.620 --> 00:04:56.700]   Thank you, Gloria's.
[00:04:56.700 --> 00:05:00.820]   And I was like, man, we're gonna do this at every restaurant.
[00:05:00.820 --> 00:05:02.820]   You've gotta go in there and move and just fall.
[00:05:02.820 --> 00:05:05.460]   And it's not true at all.
