
[00:00:00.000 --> 00:00:02.760]   (dramatic music)
[00:00:02.760 --> 00:00:21.340]   - Man, that is intense, and I'm not sleeping tonight.
[00:00:21.340 --> 00:00:23.540]   - Hey, welcome, we are kicking off a brand new series
[00:00:23.540 --> 00:00:25.920]   tonight called The Unseen, where we will cover
[00:00:25.920 --> 00:00:29.440]   spiritual war, worlds, and wonders over the next few weeks.
[00:00:29.440 --> 00:00:31.520]   And so if it is your first time joining with us,
[00:00:31.520 --> 00:00:32.960]   we are so glad that you are here,
[00:00:32.960 --> 00:00:35.160]   whether that is in Dallas or downtown,
[00:00:35.160 --> 00:00:37.680]   at Gillies or in Fort Worth, or Houston,
[00:00:37.680 --> 00:00:39.720]   or wherever you are tuning in.
[00:00:39.720 --> 00:00:44.720]   Anyone a germaphobe in this room?
[00:00:44.720 --> 00:00:45.880]   Or let me say it another way,
[00:00:45.880 --> 00:00:48.420]   anyone normal and sane in this room?
[00:00:48.420 --> 00:00:51.160]   Like myself?
[00:00:51.160 --> 00:00:55.120]   My team likes to say that I am a hypochondriac,
[00:00:55.120 --> 00:00:56.960]   and they may be right,
[00:00:56.960 --> 00:01:00.240]   but the reason why they say that,
[00:01:00.240 --> 00:01:01.240]   or the reason why that is,
[00:01:01.240 --> 00:01:03.440]   is because, I don't know if you're like me,
[00:01:03.440 --> 00:01:06.400]   but hand sanitizer is one of my best friends in the world.
[00:01:06.400 --> 00:01:08.680]   I keep some in my bag, I keep some in my car,
[00:01:08.680 --> 00:01:11.520]   two at home, one at my desk, it's everywhere,
[00:01:11.520 --> 00:01:13.920]   because I hate getting sick.
[00:01:13.920 --> 00:01:15.280]   Can anyone relate to this?
[00:01:15.280 --> 00:01:16.720]   Anyone like, hey, I'm anti-germ?
[00:01:16.720 --> 00:01:18.040]   What is wrong with the rest of you?
[00:01:18.040 --> 00:01:20.320]   Wash your stinking hands, you people!
[00:01:20.320 --> 00:01:23.400]   I mean, when I go to eat with somebody,
[00:01:23.400 --> 00:01:25.180]   like if we were to go out to a meal,
[00:01:25.180 --> 00:01:26.280]   it happens every single time,
[00:01:26.280 --> 00:01:28.760]   and I always feel like I'm weird for doing this,
[00:01:28.760 --> 00:01:30.280]   and I'm always like, what is wrong with you?
[00:01:30.280 --> 00:01:32.400]   We'll sit down at the table, go into the restaurant,
[00:01:32.400 --> 00:01:34.040]   get there, begin to sit down, awesome.
[00:01:34.040 --> 00:01:34.880]   Hey, I'm gonna go to the restroom,
[00:01:34.880 --> 00:01:36.000]   gotta wash my hands, and I'll go to it,
[00:01:36.000 --> 00:01:37.120]   and I'll leave the person at the table,
[00:01:37.120 --> 00:01:39.040]   go wash my hands, and they'll just continue eating
[00:01:39.040 --> 00:01:40.720]   right away, like so much so that like,
[00:01:40.720 --> 00:01:42.080]   I don't wanna shake somebody's hand.
[00:01:42.080 --> 00:01:43.640]   If we're starting to eat at the meal,
[00:01:43.640 --> 00:01:44.960]   I'm like, I'll do the fist bump,
[00:01:44.960 --> 00:01:46.120]   and I feel like it's rude of you
[00:01:46.120 --> 00:01:47.760]   to expect me to shake your hand right now.
[00:01:47.760 --> 00:01:49.960]   I'm not taking whatever disease you wanna pass on.
[00:01:49.960 --> 00:01:54.500]   And if you're like that, maybe you can relate,
[00:01:54.500 --> 00:01:57.320]   where you're like, man, I just, I don't love getting sick
[00:01:57.320 --> 00:01:58.160]   or getting germs.
[00:01:58.160 --> 00:02:00.240]   Here's what's interesting about that.
[00:02:00.240 --> 00:02:03.840]   It is like 200 years ago, less than that, actually,
[00:02:03.840 --> 00:02:06.680]   like even the idea of being a germophobe,
[00:02:06.680 --> 00:02:09.400]   that term did not exist, the idea of like,
[00:02:09.400 --> 00:02:12.360]   hey, germs and shaking hands and getting them that way
[00:02:12.360 --> 00:02:15.360]   or bacteria did not exist for the longest time
[00:02:15.360 --> 00:02:17.200]   inside of really our world.
[00:02:17.200 --> 00:02:20.240]   There was no belief or people were not aware
[00:02:20.240 --> 00:02:23.200]   that there was such thing as germs or bacteria,
[00:02:23.200 --> 00:02:24.800]   and they just thought that disease
[00:02:24.800 --> 00:02:25.800]   and the way that it spread,
[00:02:25.800 --> 00:02:27.540]   there really wasn't a clear explanation
[00:02:27.540 --> 00:02:28.560]   for kind of how it spread.
[00:02:28.560 --> 00:02:30.640]   I mean, this is like the 1800s we're talking,
[00:02:30.640 --> 00:02:32.680]   even in the later part of the 1800s,
[00:02:32.680 --> 00:02:34.040]   where people just thought there was something called
[00:02:34.040 --> 00:02:36.080]   spontaneous generation, which may take you back
[00:02:36.080 --> 00:02:37.760]   to like biology class in eighth grade,
[00:02:37.760 --> 00:02:39.640]   where you study this one time and then forgot it,
[00:02:39.640 --> 00:02:41.800]   but where the belief was, hey, disease,
[00:02:41.800 --> 00:02:43.680]   the way it was explained was spontaneous generation.
[00:02:43.680 --> 00:02:46.160]   Sometimes it would just pop up spontaneously,
[00:02:46.160 --> 00:02:47.900]   it would generate, and so there wasn't always
[00:02:47.900 --> 00:02:50.720]   a clear rhyme or reason and people would get sick
[00:02:50.720 --> 00:02:52.120]   and they'd be around other people,
[00:02:52.120 --> 00:02:54.240]   and those people wouldn't get sick,
[00:02:54.240 --> 00:02:56.200]   but someone else close to them would,
[00:02:56.200 --> 00:02:57.980]   and it just didn't always make sense,
