
[00:00:00.000 --> 00:00:03.460]   [MUSIC PLAYING]
[00:00:03.460 --> 00:00:25.800]   Hey, Porch, how we doing tonight?
[00:00:25.800 --> 00:00:26.800]   OK.
[00:00:26.800 --> 00:00:27.880]   Hey.
[00:00:27.880 --> 00:00:30.960]   If we haven't gotten a chance to meet, my name is Grace Ball.
[00:00:30.960 --> 00:00:33.800]   And on behalf of our staff team, we
[00:00:33.800 --> 00:00:36.560]   are so thankful that you've decided to trust us
[00:00:36.560 --> 00:00:38.280]   with your Tuesday night.
[00:00:38.280 --> 00:00:42.520]   I want to give a special shout out to our Porch Live locations.
[00:00:42.520 --> 00:00:46.600]   So shout out to Porch Live Tulsa, Porch Live Boise,
[00:00:46.600 --> 00:00:48.640]   and Porch Live Springfield.
[00:00:48.640 --> 00:00:50.240]   We are so thankful for you guys.
[00:00:50.240 --> 00:00:51.560]   Yeah, let's give it up for them.
[00:00:51.560 --> 00:00:53.360]   I love that.
[00:00:53.360 --> 00:00:56.400]   Hey, we're excited for tonight because we
[00:00:56.400 --> 00:00:59.880]   get to hear from a special guest, a friend of the Porch.
[00:00:59.880 --> 00:01:01.920]   And I have the joy of getting to introduce him.
[00:01:01.920 --> 00:01:07.720]   He is an illusionist, a pastor, a Bible teacher,
[00:01:07.720 --> 00:01:09.120]   and so much more.
[00:01:09.120 --> 00:01:11.280]   But what our team knows about him
[00:01:11.280 --> 00:01:15.760]   is he is someone who is faithful to know God's word, to teach it
[00:01:15.760 --> 00:01:17.240]   and to live it out.
[00:01:17.240 --> 00:01:19.520]   And so Porch, I need your help tonight, OK?
[00:01:19.520 --> 00:01:22.160]   I need you to help me in welcoming
[00:01:22.160 --> 00:01:25.160]   our good friend of the Porch, Drew Worsham, to the stage.
[00:01:25.160 --> 00:01:33.600]   [APPLAUSE]
[00:01:33.600 --> 00:01:35.840]   Well, Porch, how are we feeling tonight?
[00:01:35.840 --> 00:01:37.240]   We're good?
[00:01:37.240 --> 00:01:40.320]   Ah, you sound amazing.
[00:01:40.320 --> 00:01:43.040]   Well, like Grace said, my name is Drew.
[00:01:43.040 --> 00:01:46.720]   Man, I live in San Antonio, Texas with my amazing wife,
[00:01:46.720 --> 00:01:47.280]   Jane.
[00:01:47.280 --> 00:01:48.360]   And we've got two kiddos.
[00:01:48.360 --> 00:01:51.120]   I have a five-year-old little girl named Matilda
[00:01:51.120 --> 00:01:52.080]   that we call Tilly.
[00:01:52.080 --> 00:01:55.120]   And then I have a three-year-old son named Linden.
[00:01:55.120 --> 00:01:57.920]   And they might be tuning in, but I'm
[00:01:57.920 --> 00:02:01.080]   hoping they're asleep because it's bedtime.
[00:02:01.080 --> 00:02:03.680]   And it's a huge honor to get to be with you tonight.
[00:02:03.680 --> 00:02:06.960]   I love the Porch so much.
[00:02:06.960 --> 00:02:08.840]   And I love this church.
[00:02:08.840 --> 00:02:13.400]   And I love just Kylan's vision for the young adults of Dallas
[00:02:13.400 --> 00:02:15.280]   and just his heart.
[00:02:15.280 --> 00:02:19.960]   And so proud of him and Brooke and welcoming their son, Cash,
[00:02:19.960 --> 00:02:21.680]   into the world last week.
[00:02:21.680 --> 00:02:25.880]   And so it is a huge honor to get to just step into this space
[00:02:25.880 --> 00:02:29.960]   so that he can be home loving his family.
[00:02:29.960 --> 00:02:30.640]   Grateful for him.
[00:02:30.640 --> 00:02:34.040]   Love your pastor, TA, at Watermark, one of my closest
[00:02:34.040 --> 00:02:36.360]   friends in the world.
[00:02:36.360 --> 00:02:39.480]   And I just-- listen, I think I said this last time.
[00:02:39.480 --> 00:02:41.400]   Alex, I mean it.
[00:02:41.400 --> 00:02:44.440]   We have talked often about moving to this area
[00:02:44.440 --> 00:02:48.320]   just to be a part of the Porch and to be a part of Watermark.
[00:02:48.320 --> 00:02:51.240]   It's just the housing market, guys.
[00:02:51.240 --> 00:02:51.960]   It's crazy.
[00:02:51.960 --> 00:02:56.600]   So if any of you know someone who has a house for free,
[00:02:56.600 --> 00:02:57.760]   let me know.
[00:02:57.760 --> 00:02:59.160]   We'll be into it.
[00:02:59.160 --> 00:03:00.960]   Well, if you have a Bible tonight,
[00:03:00.960 --> 00:03:04.680]   I'd love for you to grab it and meet me in Colossians chapter
[00:03:04.680 --> 00:03:05.360]   1.
[00:03:05.360 --> 00:03:07.160]   Colossians chapter 1.
[00:03:07.160 --> 00:03:11.680]   Now, I know that in the spring semester
[00:03:11.680 --> 00:03:14.320]   and going into the summer, you guys did a walk through
[00:03:14.320 --> 00:03:17.880]   Colossians, Watermark, you guys as a church are going through.
[00:03:17.880 --> 00:03:20.760]   But as you guys have been in this space of looking out,
[00:03:20.760 --> 00:03:24.840]   what it looks like to be a disciple of Jesus,
[00:03:24.840 --> 00:03:28.080]   and just kind of, if you will, the secret sauce of it all,
