
[00:00:00.000 --> 00:00:00.840]   - Hey guys.
[00:00:00.840 --> 00:00:03.520]   (audience cheering)
[00:00:03.520 --> 00:00:04.360]   How's it going?
[00:00:04.360 --> 00:00:07.840]   Awaken, it is so good to be here.
[00:00:07.840 --> 00:00:10.560]   (audience cheering)
[00:00:10.560 --> 00:00:12.360]   And I feel like causing trouble today,
[00:00:12.360 --> 00:00:17.360]   so somehow I am praying that God will use this evening
[00:00:17.360 --> 00:00:24.040]   to not just teach you something.
[00:00:24.040 --> 00:00:27.240]   In fact, I don't care if you learn something new.
[00:00:27.240 --> 00:00:29.520]   I think you probably know plenty.
[00:00:30.520 --> 00:00:33.320]   I am praying that the wind of the Spirit
[00:00:33.320 --> 00:00:34.880]   would blow in this place,
[00:00:34.880 --> 00:00:37.320]   and that there would be people that walk out of here
[00:00:37.320 --> 00:00:40.720]   convicted to go onto the mission field,
[00:00:40.720 --> 00:00:44.560]   both in their workplace and across the globe.
[00:00:44.560 --> 00:00:47.980]   I am praying that there would be conviction in this room,
[00:00:47.980 --> 00:00:50.680]   that there would be a sense of,
[00:00:50.680 --> 00:00:52.480]   you know what, the Spirit rising up in me,
[00:00:52.480 --> 00:00:54.980]   and I'm gonna say things that I've never said out loud
[00:00:54.980 --> 00:00:56.520]   before I leave this place.
[00:00:58.080 --> 00:01:00.560]   I'm gonna pray that the Spirit is gonna move you
[00:01:00.560 --> 00:01:05.020]   to do things that you never, ever, ever, ever wanted to do,
[00:01:05.020 --> 00:01:08.720]   because that is how our God moves.
[00:01:08.720 --> 00:01:14.160]   And so let me start by reading a little story,
[00:01:14.160 --> 00:01:16.960]   and a lot of you are probably familiar with this story.
[00:01:16.960 --> 00:01:24.960]   But hopefully tonight it will feel fresh to you again.
[00:01:24.960 --> 00:01:27.280]   1 Samuel 17.
[00:01:27.280 --> 00:01:29.480]   "Saul and the men of Israel were gathered,
[00:01:29.480 --> 00:01:32.600]   and the Philistines stood on the mountain on the one side,
[00:01:32.600 --> 00:01:35.320]   and on Israel they stood on the other mountain
[00:01:35.320 --> 00:01:37.640]   on the other side with a valley between them.
[00:01:37.640 --> 00:01:39.980]   And there came out from the camp of Philistine
[00:01:39.980 --> 00:01:43.720]   a champion named Goliath, who was really, really big.
[00:01:43.720 --> 00:01:46.480]   He had a bronze helmet on his head
[00:01:46.480 --> 00:01:49.640]   and wore a coat of scale armor of bronze,
[00:01:49.640 --> 00:01:51.280]   weighing a whole lot.
[00:01:51.280 --> 00:01:53.960]   On his legs he wore bronze thingies,
[00:01:53.960 --> 00:01:56.440]   and a bronze javelin was slung on his back.
[00:01:56.440 --> 00:01:58.440]   His spear shaft was really big,
[00:01:58.440 --> 00:02:02.320]   and its iron point weighed 600 shekels.
[00:02:02.320 --> 00:02:05.800]   His shield-bearer went ahead of him,
[00:02:05.800 --> 00:02:10.880]   and Goliath stood and shouted to the ranks of Israel,
[00:02:10.880 --> 00:02:14.600]   'Why do you come out and line up for battle?
[00:02:14.600 --> 00:02:16.560]   Am I not a Philistine,
[00:02:16.560 --> 00:02:19.000]   and are you not the servants of Saul?
[00:02:19.000 --> 00:02:21.600]   Choose a man and have him come down to me.
[00:02:21.600 --> 00:02:23.880]   If he is able to fight and kill me,
[00:02:23.880 --> 00:02:25.440]   he will become your subjects.
[00:02:25.440 --> 00:02:27.780]   But if I overcome him and kill him,
[00:02:27.780 --> 00:02:30.640]   you will become our subjects and serve us.'
[00:02:30.640 --> 00:02:33.460]   So their freedom was on the line.
[00:02:33.460 --> 00:02:37.400]   The nation of Israel's freedom was on the line,
[00:02:37.400 --> 00:02:42.160]   and this man, Goliath, is taunting all of God's people.
[00:02:42.160 --> 00:02:44.520]   Then the Philistine said,
[00:02:44.520 --> 00:02:48.600]   "This day I defy the armies of Israel."
[00:02:48.600 --> 00:02:51.240]   In other words, I defy their God.
[00:02:52.300 --> 00:02:54.000]   On hearing the Philistines' words,
[00:02:54.000 --> 00:02:57.880]   Saul and the Israelites were dismayed and terrified.
[00:02:57.880 --> 00:03:00.120]   Now David was a son of Jesse,
[00:03:00.120 --> 00:03:02.040]   who was from Bethlehem in Judah.
[00:03:02.040 --> 00:03:03.320]   Jesse had eight sons,
[00:03:03.320 --> 00:03:06.920]   and his oldest three sons had followed Saul to the war,
[00:03:06.920 --> 00:03:09.000]   but David went back and forth from Saul
[00:03:09.000 --> 00:03:11.360]   to tend his father's sheep at Bethlehem.
[00:03:11.360 --> 00:03:14.240]   For 40 days, the Philistines came forward
[00:03:14.240 --> 00:03:17.500]   every morning and evening, and they took their stand.
[00:03:17.500 --> 00:03:19.600]   Now Jesse said to his son David,
[00:03:19.600 --> 00:03:21.980]   "Take these 10 loaves of bread for your brothers,
[00:03:21.980 --> 00:03:23.040]   and hurry to the camp.
[00:03:23.040 --> 00:03:26.560]   Take along these 10 cheeses to the commander of the unit."
[00:03:26.560 --> 00:03:28.480]   I just never noticed that before,
[00:03:28.480 --> 00:03:30.120]   and it wasn't in my storybook Bible,
[00:03:30.120 --> 00:03:32.560]   but this is full-on charcuterie
[00:03:32.560 --> 00:03:35.520]   like David is carrying into battle.
[00:03:35.520 --> 00:03:37.840]   10 cheeses, I mean, that's wild.
[00:03:37.840 --> 00:03:39.180]   Okay, sorry.
[00:03:39.180 --> 00:03:41.480]   "See how your brothers are,
[00:03:41.480 --> 00:03:43.240]   and bring back some assurance from them."
