
[00:00:00.000 --> 00:00:02.340]   (drum roll)
[00:00:02.340 --> 00:00:08.040]   - Kira mentioned that we have something exciting
[00:00:08.040 --> 00:00:08.880]   coming up next week.
[00:00:08.880 --> 00:00:10.200]   I'm gonna tell you what that is.
[00:00:10.200 --> 00:00:12.960]   The launch retreat is here, it's back.
[00:00:12.960 --> 00:00:15.040]   Registration next week.
[00:00:15.040 --> 00:00:16.960]   Has anyone been to launch in this crowd before?
[00:00:16.960 --> 00:00:19.160]   Anyone in Fort Worth been to launch before?
[00:00:19.160 --> 00:00:20.120]   Here's why I tell you that,
[00:00:20.120 --> 00:00:23.360]   because you are going to want to make sure
[00:00:23.360 --> 00:00:25.480]   you are here next Tuesday night,
[00:00:25.480 --> 00:00:28.600]   or if you can't be here, that you register online.
[00:00:28.600 --> 00:00:30.520]   If you don't know what the launch retreat is,
[00:00:30.520 --> 00:00:32.400]   ask someone who raised their hand and was excited.
[00:00:32.400 --> 00:00:34.280]   You're not going to want to miss out.
[00:00:34.280 --> 00:00:37.080]   It's like the single funnest three days
[00:00:37.080 --> 00:00:38.320]   by a lake that we do.
[00:00:38.320 --> 00:00:40.320]   We go out to Sky Ranch, it's a blast.
[00:00:40.320 --> 00:00:42.480]   There's only a thousand spots,
[00:00:42.480 --> 00:00:46.360]   and it's gonna sell out in two to three days, maybe more.
[00:00:46.360 --> 00:00:47.400]   In the last couple years,
[00:00:47.400 --> 00:00:48.520]   it's sold out in three to four days.
[00:00:48.520 --> 00:00:50.200]   So we're telling you now,
[00:00:50.200 --> 00:00:52.000]   so that if you have never been,
[00:00:52.000 --> 00:00:53.960]   or if you don't know whether to be here next week,
[00:00:53.960 --> 00:00:57.000]   you're going to want to be here next week.
[00:00:57.000 --> 00:00:59.240]   Or make sure you're online, seven o'clock,
[00:00:59.240 --> 00:01:00.600]   you can register online.
[00:01:00.600 --> 00:01:02.520]   One of my favorite launch graphics we've ever had,
[00:01:02.520 --> 00:01:03.400]   every year we have like a theme,
[00:01:03.400 --> 00:01:05.400]   and then we have graphics and speakers
[00:01:05.400 --> 00:01:06.480]   and all kinds of stuff that come with it.
[00:01:06.480 --> 00:01:08.200]   And one of my favorite graphics we ever had
[00:01:08.200 --> 00:01:10.920]   was actually this one from 2010,
[00:01:10.920 --> 00:01:11.920]   which I think they're going,
[00:01:11.920 --> 00:01:13.560]   there it is right there, launch.
[00:01:13.560 --> 00:01:17.040]   And here's why it was both my favorite and not favorite,
[00:01:17.040 --> 00:01:19.000]   maybe just the most memorable one I had,
[00:01:19.000 --> 00:01:21.200]   is because it has on it a magic eye.
[00:01:21.200 --> 00:01:22.040]   There it is.
[00:01:22.040 --> 00:01:22.880]   You guys see this?
[00:01:22.880 --> 00:01:25.880]   Remember magic eye, reading "Rainbow Days," magic eye?
[00:01:25.880 --> 00:01:28.760]   So inside of that picture,
[00:01:28.760 --> 00:01:30.080]   I don't know if you're like me,
[00:01:30.080 --> 00:01:34.080]   but I have never in my life been able to see
[00:01:34.080 --> 00:01:35.440]   whatever is in that picture.
[00:01:35.440 --> 00:01:37.920]   It's like everyone's, there's a conspiracy going on,
[00:01:37.920 --> 00:01:39.080]   'cause all I see is specks.
[00:01:39.080 --> 00:01:41.280]   Can anyone see it right now?
[00:01:41.280 --> 00:01:44.080]   Anyone?
[00:01:44.080 --> 00:01:44.880]   No, nobody can?
[00:01:44.880 --> 00:01:46.560]   Okay, we got a couple in there.
[00:01:46.560 --> 00:01:49.320]   What kind of picture is this back there, tech team?
[00:01:49.320 --> 00:01:50.800]   It is birds.
[00:01:50.800 --> 00:01:51.640]   Here's what I love about it,
[00:01:51.640 --> 00:01:53.680]   is that if you're like the kind of person like me,
[00:01:53.680 --> 00:01:55.440]   is anyone like me where you can't?
[00:01:55.440 --> 00:01:56.400]   Am I alone here?
[00:01:56.400 --> 00:01:58.680]   I can't ever see the graphic that's up there?
[00:01:58.680 --> 00:02:01.920]   If you're that person, everyone who can see it,
[00:02:01.920 --> 00:02:03.360]   like our friends down here, is like,
[00:02:03.360 --> 00:02:04.200]   here's what you need to do.
[00:02:04.200 --> 00:02:06.760]   You just need to blur your eyes and cross it a little bit
[00:02:06.760 --> 00:02:09.440]   and look through it, but don't, but just relax,
[00:02:09.440 --> 00:02:10.800]   but let it come into focus.
[00:02:10.800 --> 00:02:13.760]   And you're like, is this a joke right now?
[00:02:13.760 --> 00:02:15.040]   Are you messing with me?
[00:02:15.040 --> 00:02:16.720]   And then it feels like you're left out,
[00:02:16.720 --> 00:02:17.960]   'cause they're like, oh my gosh,
[00:02:17.960 --> 00:02:20.680]   this is unbelievable in there.
[00:02:20.680 --> 00:02:22.240]   It's a secret code.
[00:02:22.240 --> 00:02:23.720]   And now you're not able to see it,
[00:02:23.720 --> 00:02:25.080]   and you feel left out.
[00:02:25.080 --> 00:02:26.480]   Because you, for whatever reason,
[00:02:26.480 --> 00:02:28.000]   don't possess whatever it takes.
[00:02:28.000 --> 00:02:30.160]   I mean, literally, for as long as I can remember,
[00:02:30.160 --> 00:02:33.000]   I've never been able to like see whatever's in these things.
[00:02:33.000 --> 00:02:34.960]   It's as though my like brain or something,
[00:02:34.960 --> 00:02:37.720]   I don't have the gene that allows me to see it.
