
[00:00:00.000 --> 00:00:05.000]   [no audio]
[00:00:05.000 --> 00:00:10.000]   ♪ Oh I, I'll tell you something ♪
[00:00:10.000 --> 00:00:14.000]   ♪ I wanna hold your hand ♪
[00:00:14.000 --> 00:00:18.000]   ♪ Wise men say ♪
[00:00:18.000 --> 00:00:25.000]   ♪ Only fools rush in ♪
[00:00:25.000 --> 00:00:36.000]   ♪ But I can't help falling in love with you ♪
[00:00:36.000 --> 00:00:38.000]   ♪ You're just too good to be true ♪
[00:00:38.000 --> 00:00:40.000]   ♪ Can't take my eyes off of you ♪
[00:00:40.000 --> 00:00:43.000]   ♪ You'd be like heaven to touch ♪
[00:00:43.000 --> 00:00:45.000]   ♪ I wanna hold you so much ♪
[00:00:45.000 --> 00:00:48.000]   ♪ You know it's true ♪
[00:00:48.000 --> 00:00:50.000]   ♪ Everything I do ♪
[00:00:50.000 --> 00:00:53.000]   ♪ I do it for you ♪
[00:00:53.000 --> 00:00:56.000]   ♪ I'm not gonna write you a love song ♪
[00:00:56.000 --> 00:00:58.000]   ♪ 'Cause you ask for it ♪
[00:00:58.000 --> 00:01:00.000]   ♪ 'Cause you need one ♪
[00:01:00.000 --> 00:01:02.000]   ♪ You see, I'm not gonna write you a love song ♪
[00:01:02.000 --> 00:01:08.000]   ♪ Have I told you lately that I love you? ♪
[00:01:08.000 --> 00:01:14.000]   ♪ Have I told you there's no one else above you? ♪
[00:01:14.000 --> 00:01:16.000]   ♪ Your love's got me looking so crazy right now ♪
[00:01:16.000 --> 00:01:19.000]   ♪ Your love's got me looking so crazy right now ♪
[00:01:19.000 --> 00:01:21.000]   ♪ Your love's got me looking so crazy right now ♪
[00:01:21.000 --> 00:01:23.000]   ♪ Look, I'm so crazy in love ♪
[00:01:23.000 --> 00:01:26.000]   ♪ Got me looking, got me looking so crazy in love ♪
[00:01:26.000 --> 00:01:28.000]   ♪ Love's got me looking crazy right now ♪
[00:01:28.000 --> 00:01:31.000]   ♪ Every little way you look at me ♪
[00:01:31.000 --> 00:01:33.000]   ♪ Love's got me looking so crazy right now ♪
[00:01:33.000 --> 00:01:36.000]   ♪ You're the only one I see ♪
[00:01:36.000 --> 00:01:46.000]   ♪ Baby, it's very, very extraordinary ♪
[00:01:46.000 --> 00:01:50.000]   ♪ And every moment's a dream ♪
[00:01:50.000 --> 00:01:54.000]   ♪ Lead me to where you are ♪
[00:01:54.000 --> 00:01:58.000]   ♪ Others who broke my heart ♪
[00:01:58.000 --> 00:02:04.000]   ♪ They were like northern stars ♪
[00:02:04.000 --> 00:02:11.000]   ♪ At last my love has come along ♪
[00:02:11.000 --> 00:02:15.000]   ♪ My lonely days are over ♪
[00:02:15.000 --> 00:02:20.000]   ♪ And love is like a song ♪
[00:02:20.000 --> 00:02:24.000]   ♪ In the name of love ♪
[00:02:24.000 --> 00:02:27.000]   ♪ One more in the name of love ♪
[00:02:27.000 --> 00:02:30.000]   ♪ I really wanna love somebody ♪
[00:02:30.000 --> 00:02:34.000]   ♪ I really wanna dance the night away ♪
[00:02:34.000 --> 00:02:42.000]   ♪ I will always love you ♪
[00:02:42.000 --> 00:02:45.000]   ♪ You always love me ♪
[00:02:45.000 --> 00:02:48.000]   ♪ Give your all to me ♪
[00:02:48.000 --> 00:02:51.000]   ♪ I'll give my all to you ♪
[00:02:51.000 --> 00:02:54.000]   ♪ You're my end and my beginning ♪
[00:02:54.000 --> 00:02:58.000]   ♪ When I lose, then I'm still winning ♪
[00:02:58.000 --> 00:03:02.000]   ♪ When I see your face ♪
[00:03:02.000 --> 00:03:06.000]   ♪ There's not a thing that I would change ♪
[00:03:06.000 --> 00:03:09.000]   ♪ 'Cause, girl, you're amazing ♪
[00:03:09.000 --> 00:03:15.000]   ♪ Just the way you are ♪
[00:03:15.000 --> 00:03:19.000]   ♪ And when you smile ♪
[00:03:19.000 --> 00:03:23.000]   ♪ The whole world stops and stares for a while ♪
[00:03:23.000 --> 00:03:26.000]   ♪ 'Cause, girl, you're amazing ♪
[00:03:26.000 --> 00:03:31.000]   ♪ Just the way you are ♪
[00:03:31.000 --> 00:03:35.000]   ♪ The way you are ♪
[00:03:35.000 --> 00:03:40.000]   ♪ The way you are ♪
[00:03:40.000 --> 00:03:43.000]   ♪ 'Cause, girl, you're amazing ♪
[00:03:43.000 --> 00:03:47.000]   ♪ Just the way you are ♪
[00:03:47.000 --> 00:03:51.000]   ♪ 'Cause, girl, you're amazing ♪
[00:03:51.000 --> 00:03:59.000]   ♪ Just the way you are ♪
[00:03:59.000 --> 00:04:02.000]   [cheers and applause]
[00:04:02.000 --> 00:04:05.000]   - Oh, I love it! Amazing!
[00:04:05.000 --> 00:04:08.000]   Oh, drop the microphone! Let's go!
[00:04:08.000 --> 00:04:10.000]   [cheers and applause]
[00:04:10.000 --> 00:04:14.000]   What a perfect way to start the next part of a dating series.
[00:04:14.000 --> 00:04:16.000]   "Just the Way You Are."
[00:04:16.000 --> 00:04:20.000]   That song was a perfect ending for where we're gonna begin tonight
[00:04:20.000 --> 00:04:24.000]   because that song is not only incredibly popular,
[00:04:24.000 --> 00:04:29.000]   but it's popular because in some ways it really is the cry of every person,
[00:04:29.000 --> 00:04:31.000]   particularly maybe it resonates with some of the ladies in the room,
[00:04:31.000 --> 00:04:35.000]   that someone would love you just the way that you are,
[00:04:35.000 --> 00:04:37.000]   and it exploded the Super Bowl.
[00:04:37.000 --> 00:04:40.000]   I mean, that song, I feel like I've heard so many different times
[00:04:40.000 --> 00:04:43.000]   because it resonates with so many different people.
[00:04:43.000 --> 00:04:47.000]   And what's interesting is that message of "you're loved right now,
[00:04:47.000 --> 00:04:52.000]   exactly who you are" is so counter to so many of the messages
[00:04:52.000 --> 00:04:56.000]   that we hear in our world about "you're not loved just the way that you are."
