
[00:00:00.000 --> 00:00:18.000]   [Music]
[00:00:18.000 --> 00:00:20.000]   Hey, welcome friends in the room, friends in Fort Worth,
[00:00:20.000 --> 00:00:24.000]   Fayetteville, Austin, Texas, Houston, Texas, Cedar Rapids,
[00:00:24.000 --> 00:00:29.000]   Iowa, El Paso, Fort Worth, Boise, Idaho, and all the Ports
[00:00:29.000 --> 00:00:31.000]   and all the Ports, live locations, everybody tuning in
[00:00:31.000 --> 00:00:32.000]   online.
[00:00:32.000 --> 00:00:34.000]   We are doing something special tonight.
[00:00:34.000 --> 00:00:36.000]   Let me start us off by telling a story that happened this past
[00:00:36.000 --> 00:00:38.000]   week that will give us direction for where we are going to go.
[00:00:38.000 --> 00:00:40.000]   There is something that has come on the scene, I don't know if
[00:00:40.000 --> 00:00:44.000]   it's the past two years, five years, or just I missed it for
[00:00:44.000 --> 00:00:46.000]   like a decade and it's been here for a while.
[00:00:46.000 --> 00:00:47.000]   It's called an escape room.
[00:00:47.000 --> 00:00:49.000]   Anyone familiar with an escape room?
[00:00:49.000 --> 00:00:50.000]   This is a thing.
[00:00:50.000 --> 00:00:53.000]   If you are not familiar, it's basically you pay somebody $200
[00:00:53.000 --> 00:00:55.000]   to lock you in a closet and figure out how to get out of
[00:00:55.000 --> 00:00:56.000]   there.
[00:00:56.000 --> 00:00:58.000]   And they are making a killing off of this thing.
[00:00:58.000 --> 00:01:00.000]   It's a team bonding experience.
[00:01:00.000 --> 00:01:03.000]   This past week we went to an escape room, Escapeology, in
[00:01:03.000 --> 00:01:04.000]   the heart of Dallas.
[00:01:04.000 --> 00:01:07.000]   Went in there and given the instructions on our room.
[00:01:07.000 --> 00:01:08.000]   And we go into this room.
[00:01:08.000 --> 00:01:11.000]   If you have never been in one, you have to figure out how to
[00:01:11.000 --> 00:01:15.000]   break -- you have to figure out the mystery.
[00:01:15.000 --> 00:01:17.000]   I really should have thought this through.
[00:01:17.000 --> 00:01:18.000]   I was going to explain it.
[00:01:18.000 --> 00:01:20.000]   You have to think through how to get out.
[00:01:20.000 --> 00:01:23.000]   You have to follow certain clues and read and diagram in order to
[00:01:23.000 --> 00:01:24.000]   solve the mystery.
[00:01:24.000 --> 00:01:25.000]   Ours was a murder mystery.
[00:01:25.000 --> 00:01:28.000]   You have to solve who murdered the person in order to get the
[00:01:28.000 --> 00:01:31.000]   eventual code that allows you out of the room.
[00:01:31.000 --> 00:01:34.000]   But there's all these different turns and things that are
[00:01:34.000 --> 00:01:36.000]   involved in trying to figure out the story.
[00:01:36.000 --> 00:01:37.000]   So it's you and five people.
[00:01:37.000 --> 00:01:39.000]   You have one hour to make it happen.
[00:01:39.000 --> 00:01:41.000]   And you're trying to get it done.
[00:01:41.000 --> 00:01:43.000]   This was the most challenging escape room I have ever even
[00:01:43.000 --> 00:01:44.000]   heard of.
[00:01:44.000 --> 00:01:47.000]   Whoever came up with this thing intentionally made it to where
[00:01:47.000 --> 00:01:51.000]   it would be impossible to get out of there without asking for
[00:01:51.000 --> 00:01:53.000]   clues or asking for help.
[00:01:53.000 --> 00:01:56.000]   In other words, in the escape room, you can hit a button at
[00:01:56.000 --> 00:01:58.000]   any time and say, hey, we're stuck.
[00:01:58.000 --> 00:02:00.000]   Give us some way of getting out of here.
[00:02:00.000 --> 00:02:01.000]   Give us the next clue.
[00:02:01.000 --> 00:02:03.000]   Because we can't make the next thing.
[00:02:03.000 --> 00:02:05.000]   And this one was so challenging.
[00:02:05.000 --> 00:02:07.000]   I was insulted by the clues they would give.
[00:02:07.000 --> 00:02:08.000]   Turn this thing around.
[00:02:08.000 --> 00:02:10.000]   There's Braille in the background.
[00:02:10.000 --> 00:02:12.000]   You want to figure out how to read Hebrew.
[00:02:12.000 --> 00:02:13.000]   And walk through it.
[00:02:13.000 --> 00:02:16.000]   And you thought we were going to get here on our own by doing
[00:02:16.000 --> 00:02:17.000]   this.
[00:02:17.000 --> 00:02:20.000]   Every single time it was designed to where without help from the
[00:02:20.000 --> 00:02:22.000]   outside you were not getting out.
[00:02:22.000 --> 00:02:24.000]   And you thought, what does that have to do with what we are
[00:02:24.000 --> 00:02:25.000]   talking about tonight.
[00:02:25.000 --> 00:02:29.000]   We are in a season of life, just in general as our country and
[00:02:29.000 --> 00:02:34.000]   really for the last number of months where a lot of us have
[00:02:34.000 --> 00:02:37.000]   felt like in life we are stuck.
[00:02:37.000 --> 00:02:39.000]   We're covered in anxiety.
[00:02:39.000 --> 00:02:40.000]   The rates of suicide.
[00:02:40.000 --> 00:02:43.000]   I was reading it before and talking with a friend.
[00:02:43.000 --> 00:02:47.000]   One in four young adults in the last 90 days have contemplated
[00:02:47.000 --> 00:02:48.000]   suicide.
[00:02:48.000 --> 00:02:53.000]   Things have gotten so bad and so overwhelmed and so anxious.
