
[00:00:00.000 --> 00:00:03.000]   (Music)
[00:00:03.000 --> 00:00:10.000]   You guys know what Friday is?
[00:00:10.000 --> 00:00:13.000]   Yeah, the Olympics, man.
[00:00:13.000 --> 00:00:16.000]   It's like one person knows and the whole crowd.
[00:00:16.000 --> 00:00:17.000]   Wow.
[00:00:17.000 --> 00:00:22.000]   So Friday, just so you guys know, the Olympics, the Winter Olympics starts.
[00:00:22.000 --> 00:00:24.000]   So a buddy of mine, a close friend of mine,
[00:00:24.000 --> 00:00:27.000]   was actually in the Torino Games, the Vancouver Games.
[00:00:27.000 --> 00:00:31.000]   He won a gold, two silver, and two bronze.
[00:00:31.000 --> 00:00:34.000]   And so what you're going to see on Friday, he and I were talking.
[00:00:34.000 --> 00:00:37.000]   He was in town this weekend, and we actually talked today.
[00:00:37.000 --> 00:00:40.000]   And what you're going to see, and you guys know this,
[00:00:40.000 --> 00:00:43.000]   but it's like the greatest athletes in the world.
[00:00:43.000 --> 00:00:46.000]   But no one's just kind of going out there for the first time, right?
[00:00:46.000 --> 00:00:49.000]   No one's just kind of stepping on the skating rink
[00:00:49.000 --> 00:00:53.000]   or going out there on the halfpipe for the first time, just strapped to snow.
[00:00:53.000 --> 00:00:55.000]   Could you imagine if Louis Vitto couldn't go,
[00:00:55.000 --> 00:00:58.000]   and he said, "Hey, JP, would you step in for me this round?"
[00:00:58.000 --> 00:01:00.000]   Like that would be embarrassing.
[00:01:00.000 --> 00:01:01.000]   Why would that be so bad?
[00:01:01.000 --> 00:01:04.000]   Like why would I be so bad?
[00:01:04.000 --> 00:01:07.000]   Because I can't snowboard, I'll have you know.
[00:01:07.000 --> 00:01:11.000]   But I can't snowboard like Louis Vitto can snowboard.
[00:01:11.000 --> 00:01:15.000]   Because Louis Vitto, as you just saw, he's been training his whole life for that moment.
[00:01:15.000 --> 00:01:19.000]   He's been training his whole life for that moment.
[00:01:19.000 --> 00:01:24.000]   Like everything has come to that place, the culmination of that halfpipe.
[00:01:24.000 --> 00:01:27.000]   It started on sidewalks with skateboards, man.
[00:01:27.000 --> 00:01:33.000]   It started when he was five years old, and he got that first snowboard for Christmas.
[00:01:33.000 --> 00:01:38.000]   It started when his driveway froze over, and so he goes out there.
[00:01:38.000 --> 00:01:43.000]   Now, I don't know if he knew when his driveway froze over when he was five,
[00:01:43.000 --> 00:01:46.000]   and he strapped the snowboard to his feet, and he slid down it.
[00:01:46.000 --> 00:01:49.000]   I don't know if he knew that that would lead to the Olympics.
[00:01:49.000 --> 00:01:52.000]   But that's exactly what it did.
[00:01:52.000 --> 00:02:01.000]   And every single moment of your life is training for some future moment.
[00:02:01.000 --> 00:02:05.000]   Every single moment of your life is training for some future moment.
[00:02:05.000 --> 00:02:08.000]   Like I was talking to my buddy, and my buddy's from Houston, Texas,
[00:02:08.000 --> 00:02:12.000]   and he was in the Winter Games in speed skating, ice skating.
