
[00:00:00.000 --> 00:00:02.660]   (phone ringing)
[00:00:02.660 --> 00:00:03.740]   (phone dialing)
[00:00:03.740 --> 00:00:06.540]   - You have seven unheard messages.
[00:00:06.540 --> 00:00:08.220]   - Hey, sorry I haven't texted.
[00:00:08.220 --> 00:00:11.280]   I'm just not really sure what I'm feeling right now.
[00:00:11.280 --> 00:00:12.740]   - Hey yo, Danny!
[00:00:12.740 --> 00:00:14.420]   Where you at, bro?
[00:00:14.420 --> 00:00:16.260]   I'll see you soon, all right?
[00:00:16.260 --> 00:00:18.380]   - Hey, so I have moved on,
[00:00:18.380 --> 00:00:19.740]   but I feel like the Lord keeps putting you back
[00:00:19.740 --> 00:00:22.660]   on my heart for a reason, so please call me back.
[00:00:22.660 --> 00:00:25.020]   - Hey, bro, hey, I know you're going through it right now,
[00:00:25.020 --> 00:00:28.340]   but listen, I found another girl at the farmer's market now.
[00:00:28.340 --> 00:00:30.820]   She's not a farmer, but she is on the market, okay?
[00:00:30.820 --> 00:00:33.260]   So hit me back, love you, bro.
[00:00:33.260 --> 00:00:36.020]   - Not sure if this is the right number,
[00:00:36.020 --> 00:00:37.940]   but last night was a mistake.
[00:00:37.940 --> 00:00:40.860]   I was just hoping we could keep that between us.
[00:00:40.860 --> 00:00:42.100]   - Hey, just wanted to say,
[00:00:42.100 --> 00:00:43.900]   I don't think I can make it tonight.
[00:00:43.900 --> 00:00:48.180]   Yeah, I've just been thinking about us a lot lately,
[00:00:48.180 --> 00:00:50.640]   and we need to talk.
[00:00:50.640 --> 00:00:54.940]   - All right, Ports, how we doing tonight?
[00:00:54.940 --> 00:00:56.580]   You doing okay?
[00:00:56.580 --> 00:00:58.220]   It's great to see you.
[00:00:58.220 --> 00:01:00.380]   Everybody in the front, y'all doing good?
[00:01:00.380 --> 00:01:02.620]   Everybody in the top, you doing all right?
[00:01:02.620 --> 00:01:03.780]   It's amazing to be here.
[00:01:03.780 --> 00:01:06.660]   So glad that y'all would choose to join us
[00:01:06.660 --> 00:01:09.820]   as we're continuing through our dating series,
[00:01:09.820 --> 00:01:10.660]   We Need to Talk.
[00:01:10.660 --> 00:01:11.860]   I'm so excited for where we're going,
[00:01:11.860 --> 00:01:14.000]   but we need to say hello to a couple of people
[00:01:14.000 --> 00:01:15.820]   that are joining us here tonight.
[00:01:15.820 --> 00:01:17.820]   Number one, we want to say hello
[00:01:17.820 --> 00:01:20.100]   to everybody that's joining us in the chapel.
[00:01:20.100 --> 00:01:22.980]   We're so grateful that y'all would make the time
[00:01:22.980 --> 00:01:27.100]   and kind of stay steadfast to the cause
[00:01:27.100 --> 00:01:28.460]   and not give up on the evening,
[00:01:28.460 --> 00:01:30.020]   though you may not have gotten a seat in this room.
[00:01:30.020 --> 00:01:32.700]   We're so glad that you would be here with us.
[00:01:32.700 --> 00:01:33.860]   And then we're so grateful
[00:01:33.860 --> 00:01:36.220]   that the work God's doing in Dallas
[00:01:36.220 --> 00:01:40.160]   is a work he's doing in other cities all over our nation,
[00:01:40.160 --> 00:01:41.740]   particularly those cities
[00:01:41.740 --> 00:01:44.300]   where we have Porch Live locations, just like this one.
[00:01:44.300 --> 00:01:45.820]   So shout out to all of you guys,
[00:01:45.820 --> 00:01:48.260]   but very particularly Porch Live, Greater Lafayette,
[00:01:48.260 --> 00:01:51.440]   Porch Live, Fresno, and Porch Live, Scottsdale.
[00:01:53.300 --> 00:01:56.860]   Well, Porch, there was a moment early
[00:01:56.860 --> 00:01:59.320]   in mine and Brooke's dating experience
[00:01:59.320 --> 00:02:03.700]   that to this day is still the stuff of hot debate.
[00:02:03.700 --> 00:02:05.020]   And so what I wanted to do
[00:02:05.020 --> 00:02:06.820]   is I wanted to let you into the chat
[00:02:06.820 --> 00:02:09.700]   and see if you could help us settle the dispute.
[00:02:09.700 --> 00:02:10.540]   Does that sound okay?
[00:02:10.540 --> 00:02:11.980]   Are you up for that?
[00:02:11.980 --> 00:02:14.620]   So it was at this time in our relationship
[00:02:14.620 --> 00:02:16.540]   where we weren't even officially dating yet.
[00:02:16.540 --> 00:02:20.040]   You see, we'd spent a lot of time around each other,
[00:02:21.220 --> 00:02:23.820]   and we had even piqued one another's interest.
[00:02:23.820 --> 00:02:26.060]   But for a variety of reasons,
[00:02:26.060 --> 00:02:28.300]   namely I had some commitment issues,
[00:02:28.300 --> 00:02:30.660]   we had not gone out on a date yet.
[00:02:30.660 --> 00:02:32.020]   And yet that was all gonna change.
[00:02:32.020 --> 00:02:35.260]   Like I had finally run my course and had my fill,
[00:02:35.260 --> 00:02:37.140]   and I was ready to ask her out.
[00:02:37.140 --> 00:02:40.540]   And so I knew that is all going to finally change
[00:02:40.540 --> 00:02:44.580]   at the annual organizational Christmas party.
[00:02:44.580 --> 00:02:46.260]   This is the moment that I was waiting for.
[00:02:46.260 --> 00:02:47.780]   Like I knew this was the time
[00:02:47.780 --> 00:02:51.580]   when we would have the perfect moment in the perfect place
[00:02:51.580 --> 00:02:53.820]   to be able to look one another in the eye
[00:02:53.820 --> 00:02:56.100]   and say that we're gonna go out together.
[00:02:56.100 --> 00:02:58.380]   And so I made up my mind coming into that evening,
[00:02:58.380 --> 00:03:00.900]   by the end of the night, I was going to ask her out.
[00:03:00.900 --> 00:03:02.700]   And simultaneous to that,
[00:03:02.700 --> 00:03:06.260]   she had made up her mind completely separate of me
[00:03:06.260 --> 00:03:09.380]   that if I didn't ask her out, she was gonna move on.
[00:03:09.380 --> 00:03:11.740]   And so the evening came,
[00:03:11.740 --> 00:03:14.980]   and I was in leadership of this kind of club thing
[00:03:14.980 --> 00:03:15.820]   that we were involved in.
[00:03:15.820 --> 00:03:17.900]   So I had some duties to the people.
[00:03:17.900 --> 00:03:19.340]   And by the end of the evening,
[00:03:19.340 --> 00:03:21.020]   after I'd said goodbye to all of our guests,
[00:03:21.020 --> 00:03:23.940]   and I had made sure to say hello to some friends,
[00:03:23.940 --> 00:03:26.540]   and I kind of closed the event down,
[00:03:26.540 --> 00:03:29.460]   I knew that perfect moment in that perfect place
[00:03:29.460 --> 00:03:30.500]   had finally arrived.
[00:03:30.500 --> 00:03:33.900]   And so as I'm making my way to ask her,
[00:03:33.900 --> 00:03:36.180]   "Hey, will you go on a date with me?"
[00:03:36.180 --> 00:03:38.740]   It was right in that moment that I got sidelined
[00:03:38.740 --> 00:03:41.280]   by another person, a girl at that,
[00:03:41.280 --> 00:03:44.440]   which required a long conversation of me
[00:03:44.440 --> 00:03:45.960]   because there was something really big happening
[00:03:45.960 --> 00:03:48.020]   in her life, and she wanted to be able to process it.
[00:03:48.020 --> 00:03:50.580]   It certainly didn't help optics that I was talking to her,
[00:03:50.580 --> 00:03:51.420]   and I wasn't talking to Brooke.
[00:03:51.420 --> 00:03:53.660]   And yet I concluded that conversation swiftly,
[00:03:53.660 --> 00:03:57.220]   and I started searching, trying to find where Brooke was.
[00:03:57.220 --> 00:03:58.660]   She'd already left.
[00:03:58.660 --> 00:04:00.260]   And I was gutted.
[00:04:00.260 --> 00:04:02.060]   Like this was that moment.
[00:04:02.060 --> 00:04:04.140]   Perfect time, perfect place.
[00:04:04.140 --> 00:04:05.580]   It was Christmas.
[00:04:05.580 --> 00:04:07.340]   Like merriment was in the air.
[00:04:07.340 --> 00:04:08.940]   The lights were twinkling above.
[00:04:08.940 --> 00:04:12.060]   The night sky was cool and refreshing to be out in.
[00:04:13.140 --> 00:04:18.140]   But not to be deterred, I decided I was going to call her.
[00:04:18.140 --> 00:04:21.740]   Now we'd hung out a lot, but I had never given her a call.
[00:04:21.740 --> 00:04:23.420]   There had never been a good reason to,
[00:04:23.420 --> 00:04:26.080]   and yet now I had the perfect reason to.
[00:04:26.080 --> 00:04:27.840]   And so I decide, you know what?
[00:04:27.840 --> 00:04:31.140]   Hey, a call is not exactly the picture perfect scenario,
[00:04:31.140 --> 00:04:33.280]   but she's gonna see my name pop up.
[00:04:33.280 --> 00:04:34.920]   And I mean, that's gonna be surprising to her.
[00:04:34.920 --> 00:04:36.240]   Like, why might he be calling?
[00:04:36.240 --> 00:04:38.800]   And I'm sure he'll have a good reason, and she'll pick up,
[00:04:38.800 --> 00:04:41.560]   and we'll pick right back up where we would have been.
[00:04:41.560 --> 00:04:44.360]   And so I dial her number, and it rings,
[00:04:44.360 --> 00:04:46.520]   and it rings, and it rings.
[00:04:46.520 --> 00:04:48.780]   And then it went straight to voicemail.
[00:04:48.780 --> 00:04:52.940]   For the love of God, why is this so hard?
[00:04:52.940 --> 00:04:57.260]   So I decided to hang up, and I would just wait,
[00:04:57.260 --> 00:04:59.760]   by the phone, mind you, until she called me back.
[00:04:59.760 --> 00:05:02.520]   Only she never did.
[00:05:02.520 --> 00:05:06.760]   Herein lies the dispute that I need your help with.
[00:05:08.160 --> 00:05:12.020]   Should I have left a voicemail or not?
[00:05:12.020 --> 00:05:20.880]   In my estimation, having never called her before,
[00:05:20.880 --> 00:05:24.960]   knowing that when you see someone who you know
[00:05:24.960 --> 00:05:29.400]   in your call log, the natural response is to call them back.
[00:05:29.400 --> 00:05:30.240]   Yes?
[00:05:30.240 --> 00:05:31.480]   - Yes.
[00:05:31.480 --> 00:05:36.480]   - And yet, in her opinion, if you don't get a voicemail,
[00:05:37.320 --> 00:05:39.820]   then you don't get a call back.
[00:05:39.820 --> 00:05:44.880]   Now, the verdict is still out
[00:05:44.880 --> 00:05:47.260]   on what we actually think of this situation.
[00:05:47.260 --> 00:05:51.800]   You see, there's a lot that can be argued about both sides.
[00:05:51.800 --> 00:05:54.440]   If I really laid my case before you, I have no doubt
[00:05:54.440 --> 00:05:55.680]   that I'd get a grandstand of applause,
[00:05:55.680 --> 00:05:57.160]   and you would all side with me.
[00:05:57.160 --> 00:05:58.880]   But that's neither here nor there.
[00:05:58.880 --> 00:06:02.080]   You see, good cases can be made either way.
[00:06:02.080 --> 00:06:04.580]   And the reason for that is because in dating,
[00:06:04.580 --> 00:06:07.320]   there's always room to debate
[00:06:07.320 --> 00:06:09.160]   whether someone went far enough.
[00:06:09.160 --> 00:06:12.000]   You see, that was the issue in our moment.
[00:06:12.000 --> 00:06:13.920]   I thought I had gone far enough,
[00:06:13.920 --> 00:06:15.400]   but she was looking at me and saying,
[00:06:15.400 --> 00:06:17.960]   "You definitely did not go far enough."
[00:06:17.960 --> 00:06:19.680]   And it's in those moments in dating
[00:06:19.680 --> 00:06:22.920]   where we can really debate the specifics,
[00:06:22.920 --> 00:06:26.520]   but you cannot debate when you've gone too far.
[00:06:26.520 --> 00:06:28.120]   You see, you can always look at one another
