
[00:00:00.000 --> 00:00:29.000]   [Heartbeat]
[00:00:29.000 --> 00:00:34.000]   [Exhale]
[00:00:34.000 --> 00:00:35.000]   Love it.
[00:00:35.000 --> 00:00:37.000]   We are continuing the series, Exhale.
[00:00:37.000 --> 00:00:40.000]   If it's your first time, you came on a great night,
[00:00:40.000 --> 00:00:44.000]   and we would highly encourage you to go back and check out all the exhale messages
[00:00:44.000 --> 00:00:49.000]   as we just explore this topic of finding relief or finding an exhale in a world
[00:00:49.000 --> 00:00:54.000]   that seems to be anything but relaxing or providing anything but relief.
[00:00:54.000 --> 00:00:58.000]   And so we're walking through the Psalms where we're just experiencing what God has provided for us.
[00:00:58.000 --> 00:01:01.000]   So hello, friends of the room. Hello, friends of Fort Worth, friends of Houston.
[00:01:01.000 --> 00:01:06.000]   I'm going to start by reading Psalm 118. If you have a Bible, you can flip over to Psalm 118.
[00:01:06.000 --> 00:01:10.000]   We're going to explore that together, and I'm going to read it, and then we will walk through it.
[00:01:10.000 --> 00:01:13.000]   It says this, Psalm 118, starting in verse 1.
[00:01:13.000 --> 00:01:19.000]   "Give thanks to the Lord, for He is good. His love endures forever.
[00:01:19.000 --> 00:01:23.000]   Let Israel say, 'His love endures forever.'
[00:01:23.000 --> 00:01:27.000]   Let the house of Aaron say, 'His love endures forever.'
[00:01:27.000 --> 00:01:32.000]   Let those who fear the Lord say, 'His love endures forever.'
[00:01:32.000 --> 00:01:37.000]   When hard-pressed, I cried to the Lord. He brought me into a spacious place.
[00:01:37.000 --> 00:01:42.000]   The Lord is with me. I will not be afraid. What can mere mortals do to me?
[00:01:42.000 --> 00:01:47.000]   The Lord is with me. He is my helper. I will look in triumph on my enemies.
[00:01:47.000 --> 00:01:51.000]   It is better to take refuge in the Lord than to trust in humans.
[00:01:51.000 --> 00:01:55.000]   It is better to take refuge in the Lord than to trust in princes.
[00:01:55.000 --> 00:01:59.000]   All nations surrounded me, but in the name of the Lord, I cut them down.
[00:01:59.000 --> 00:02:03.000]   They surrounded me on every side, but in the name of the Lord, I cut them down.
[00:02:03.000 --> 00:02:08.000]   They swarmed around me like bees, but they were consumed as quickly as burning thorns.
[00:02:08.000 --> 00:02:12.000]   In the name of the Lord, I cut them down. I was pushed back, about to fall.
[00:02:12.000 --> 00:02:17.000]   But the Lord helped me. The Lord is my strength and my defense.
[00:02:17.000 --> 00:02:24.000]   He has become my salvation. Shouts of joy and victory resound in the tents of the righteous.
[00:02:24.000 --> 00:02:29.000]   The Lord's right hand has done mighty things. The Lord's right hand is lifted high.
[00:02:29.000 --> 00:02:34.000]   The Lord's right hand has done mighty things. I will not die, but live,
[00:02:34.000 --> 00:02:39.000]   and will proclaim what the Lord has done. The Lord chastened me severely,
[00:02:39.000 --> 00:02:44.000]   but he has not given me over to death. Open for me the gates of the righteous.
[00:02:44.000 --> 00:02:49.000]   I will enter and give thanks to the Lord. This is the gate of the Lord through which the righteous may enter.
[00:02:49.000 --> 00:02:54.000]   I will give thanks for you answered me, and you've become my salvation.
[00:02:54.000 --> 00:02:58.000]   The stone the builders rejected has become the cornerstone.
[00:02:58.000 --> 00:03:02.000]   And the Lord has done this, and it is marvelous in our eyes.
[00:03:02.000 --> 00:03:07.000]   The Lord has done it this very day. Let us rejoice today and be glad.
[00:03:07.000 --> 00:03:13.000]   Lord, save us. Lord, grant us success. Blessed is he who comes in the name of the Lord.
[00:03:13.000 --> 00:03:17.000]   From the house of the Lord, we bless you.
[00:03:17.000 --> 00:03:21.000]   The Lord is God, and he has made his light shine on us. With bows in hand,
[00:03:21.000 --> 00:03:25.000]   join in the festal procession up to the horns of the altar.
[00:03:25.000 --> 00:03:30.000]   You are my God, and I will praise you. You are my God, and I will exalt you.
[00:03:30.000 --> 00:03:35.000]   Give thanks to the Lord, for he is good. His love endures forever.
[00:03:35.000 --> 00:03:38.000]   Let me pray, and we will dive in.
[00:03:38.000 --> 00:03:42.000]   Father, we thank you just for this psalm.
[00:03:42.000 --> 00:03:45.000]   And I pray for the next 30 minutes that we'll have together.
[00:03:45.000 --> 00:03:51.000]   I pray that you would allow us to see more of the King that we just sang to.
[00:03:51.000 --> 00:03:54.000]   The King that we worship through song.
[00:03:54.000 --> 00:03:58.000]   Many of us have a relationship with the King whose name is Jesus.
[00:03:58.000 --> 00:04:02.000]   Whose name we will praise for all eternity if we know him.
[00:04:02.000 --> 00:04:07.000]   And so would you help us to see him, because you tell us in seeing him we're changed.
[00:04:07.000 --> 00:04:10.000]   Thank you for just today. Thank you for the cold weather.
[00:04:10.000 --> 00:04:14.000]   Thank you for Thanksgiving week. Thank you for a million other things that I take for granted.
[00:04:14.000 --> 00:04:16.000]   And we have much to be thankful for.
[00:04:16.000 --> 00:04:21.000]   And at the top of that list is Jesus. Help us now to see him. We love you. Amen.
[00:04:21.000 --> 00:04:29.000]   Have you ever been, I'll start tonight like this, stood up for something?
[00:04:29.000 --> 00:04:32.000]   And it's a terrible feeling, isn't it?
[00:04:32.000 --> 00:04:37.000]   I remember my earliest memory of being stood up was when I was like five or six years old.
[00:04:37.000 --> 00:04:39.000]   And it was involving something called Indian guides.
[00:04:39.000 --> 00:04:42.000]   You guys remember Indian guides or Indian princes? Yes.
[00:04:42.000 --> 00:04:44.000]   You know Indian guides are still around.
[00:04:44.000 --> 00:04:49.000]   It's like on a very short list of politically incorrect things that we still are hanging on to.
[00:04:49.000 --> 00:04:51.000]   Along with Aunt Jemima.
[00:04:51.000 --> 00:04:54.000]   And so I was an Indian guide, which if you don't know what Indian guides are,
[00:04:54.000 --> 00:04:58.000]   it's like a Boy Scout, but you're essentially you go camping father-son.
[00:04:58.000 --> 00:05:01.000]   You go stay in teepees and you camp out and do these camp outs.
[00:05:01.000 --> 00:05:03.000]   And I was an Indian guide.
[00:05:03.000 --> 00:05:07.000]   And I was like five years old and we had this camp out that was going to take place.
[00:05:07.000 --> 00:05:09.000]   And I was so excited for it. I was pumped.
[00:05:09.000 --> 00:05:13.000]   It was going to happen. Going to go out camp with all the different people in our tribe.
[00:05:13.000 --> 00:05:15.000]   You go out and you stay in this big teepee all together.
[00:05:15.000 --> 00:05:17.000]   And you and your father go out there.
[00:05:17.000 --> 00:05:22.000]   And I went out with a friend because my dad was going to come meet us out there that night.
[00:05:22.000 --> 00:05:24.000]   And so we go out, we set up camp. This is great.
[00:05:24.000 --> 00:05:26.000]   You know, we're playing with s'mores, getting to see fire.
[00:05:26.000 --> 00:05:28.000]   And as a five-year-old, this is amazing.
[00:05:28.000 --> 00:05:31.000]   And I'm beginning to realize, oh man, it's getting late.
[00:05:31.000 --> 00:05:33.000]   It's getting close to dinner. We have the s'mores, we do dinner.
