
[00:00:00.000 --> 00:00:02.000]   What is joy, buddy?
[00:00:02.000 --> 00:00:04.000]   I don't know.
[00:00:04.000 --> 00:00:06.000]   It's a dream!
[00:00:06.000 --> 00:00:08.000]   [Music playing]
[00:00:08.000 --> 00:00:28.000]   All right, Ports, how we doing?
[00:00:28.000 --> 00:00:30.000]   We doing okay?
[00:00:30.000 --> 00:00:32.000]   Great to see you.
[00:00:32.000 --> 00:00:34.000]   So glad that you're here.
[00:00:34.000 --> 00:00:38.000]   Genuinely, it always means so much that you would make time out of your very busy schedule to be here at the Porch with us.
[00:00:38.000 --> 00:00:42.000]   Not just those of you in the room, but everyone tuning in online.
[00:00:42.000 --> 00:00:46.000]   We love that God is not only meeting with young adults here, He is meeting with young adults everywhere.
[00:00:46.000 --> 00:00:48.000]   Y'all know that, right?
[00:00:48.000 --> 00:00:53.000]   He is meeting with people your age, your peers, all over not only the nation, but the globe.
[00:00:53.000 --> 00:00:57.000]   We get to be a part of something so significant that He is doing.
[00:00:57.000 --> 00:01:00.000]   And there are Porch Live locations all over the place as well.
[00:01:00.000 --> 00:01:02.000]   Can we give it up for them real quick?
[00:01:02.000 --> 00:01:07.000]   We haven't just put our hands together for what God is doing at all of our Porch Live locations.
[00:01:07.000 --> 00:01:12.000]   We love the fact that we get to be a small part of what God is doing wherever it is you are.
[00:01:12.000 --> 00:01:16.000]   Special shout out to Porch Live Indy, Fresno, and Dayton.
[00:01:16.000 --> 00:01:21.000]   Well, several years ago, we went on the family cruise of the century.
[00:01:21.000 --> 00:01:23.000]   You know, you fall into one of two buckets.
[00:01:23.000 --> 00:01:25.000]   You're either cruise people or you're not cruise people.
[00:01:25.000 --> 00:01:27.000]   Two of my cruise people in here.
[00:01:27.000 --> 00:01:28.000]   I'm still on the fence.
[00:01:28.000 --> 00:01:30.000]   I have not decided yet.
[00:01:30.000 --> 00:01:35.000]   So this was my attempt to really figure it out if I was in, if I was a part of the cruise train.
[00:01:35.000 --> 00:01:40.000]   And so this was a massive, this was a massive event for my family.
[00:01:40.000 --> 00:01:42.000]   Like we had booked it well in advance.
[00:01:42.000 --> 00:01:43.000]   We had been saving up.
[00:01:43.000 --> 00:01:45.000]   We wanted to make the money work.
[00:01:45.000 --> 00:01:48.000]   We made sure that everybody's calendars were aligned.
[00:01:48.000 --> 00:01:55.000]   And at last, we set sail to the British Virgin Islands for a week's worth of rest and relaxation.
[00:01:55.000 --> 00:01:57.000]   Don't you think that sounds amazing right now?
[00:01:57.000 --> 00:01:58.000]   Anybody want to get out of here?
[00:01:58.000 --> 00:02:00.000]   Just take a week off of work?
[00:02:00.000 --> 00:02:01.000]   Amen.
[00:02:01.000 --> 00:02:06.000]   Yeah, now as is true on any cruise, we made several stops along the way.
[00:02:06.000 --> 00:02:08.000]   Because you pull up to different ports.
[00:02:08.000 --> 00:02:11.000]   So that way you can see the sites and you can meet the people.
[00:02:11.000 --> 00:02:13.000]   And so we knew there were a variety of islands we were going to.
[00:02:13.000 --> 00:02:20.000]   But one of the islands we were going to be making port at was the island of St. Martin.
[00:02:20.000 --> 00:02:22.000]   I didn't know anything about St. Martin.
[00:02:22.000 --> 00:02:24.000]   I had done no previous research.
[00:02:24.000 --> 00:02:26.000]   But I assumed it was a beach destination.
[00:02:26.000 --> 00:02:33.000]   And so I knew that somewhere amongst the sand of this island was going to be a chair and an umbrella with my name on it.
[00:02:33.000 --> 00:02:38.000]   But I also knew that my brother-in-law was very excited about St. Martin.
[00:02:38.000 --> 00:02:41.000]   Why was he excited about this island?
[00:02:41.000 --> 00:02:43.000]   Specific you may be asking yourself.
