
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:20.440]   - All right, well, Porch, how are we doing tonight?
[00:00:20.440 --> 00:00:21.440]   We're doing okay?
[00:00:21.440 --> 00:00:22.360]   (audience cheering)
[00:00:22.360 --> 00:00:23.680]   Let's go.
[00:00:23.680 --> 00:00:25.880]   Oh my gosh.
[00:00:25.880 --> 00:00:27.880]   I cannot tell you how long I have been waiting
[00:00:27.880 --> 00:00:30.760]   to say those very words to this room.
[00:00:30.760 --> 00:00:32.040]   I have missed you.
[00:00:32.040 --> 00:00:36.140]   Like, I don't know if that feeling is reciprocal,
[00:00:36.140 --> 00:00:38.800]   but you need to know at least one person in this world
[00:00:38.800 --> 00:00:40.280]   has missed you, and it is me.
[00:00:40.280 --> 00:00:42.580]   I'm so glad you're here.
[00:00:42.580 --> 00:00:45.780]   If you're a faithful friend to the Porch,
[00:00:45.780 --> 00:00:47.400]   if you're with us regularly,
[00:00:47.400 --> 00:00:49.080]   if this is something that you're a part of,
[00:00:49.080 --> 00:00:51.400]   Tuesday after Tuesday, welcome back.
[00:00:51.400 --> 00:00:52.440]   It's so good to see you.
[00:00:52.440 --> 00:00:53.920]   I'm so glad you're here.
[00:00:53.920 --> 00:00:55.560]   And then if you're new to the room, you know,
[00:00:55.560 --> 00:00:56.760]   like if this is your first time,
[00:00:56.760 --> 00:00:58.800]   I don't know how you got drug in here
[00:00:58.800 --> 00:01:00.880]   or duped into joining us,
[00:01:00.880 --> 00:01:03.400]   but I'm so glad you're here as well.
[00:01:03.400 --> 00:01:04.840]   I said this at the beginning of the night,
[00:01:04.840 --> 00:01:05.760]   but I just want to reiterate it
[00:01:05.760 --> 00:01:08.280]   'cause I think it matters so much for you to understand.
[00:01:08.280 --> 00:01:11.480]   I truly, in my heart of hearts,
[00:01:11.480 --> 00:01:14.220]   I'm not just trying to sell you a bill of goods.
[00:01:14.220 --> 00:01:18.060]   I think, I believe, I expect
[00:01:18.060 --> 00:01:20.840]   that God wants to move in your life,
[00:01:20.840 --> 00:01:23.060]   that He wants to meet with you,
[00:01:23.060 --> 00:01:25.140]   that His plans for your life,
[00:01:25.140 --> 00:01:28.340]   they're better than any plans you have for yourself.
[00:01:28.340 --> 00:01:31.720]   And so tonight, I just want to encourage you.
[00:01:31.720 --> 00:01:35.380]   Come on, like, let's go see what the Lord has to say
