
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:19.580]   Well, hey, a couple of weeks ago,
[00:00:19.580 --> 00:00:21.140]   we started a brand new series here at the porch
[00:00:21.140 --> 00:00:22.020]   in the book of Genesis.
[00:00:22.020 --> 00:00:24.180]   It just felt fitting, you know, beginning of the year,
[00:00:24.180 --> 00:00:25.180]   beginning of the Bible,
[00:00:25.180 --> 00:00:27.620]   they just seem to be a match made in heaven,
[00:00:27.620 --> 00:00:28.700]   no pun intended.
[00:00:28.700 --> 00:00:30.980]   And so we've been journeying Genesis one, Genesis two.
[00:00:30.980 --> 00:00:33.060]   We had a conversation kind of in the middle there
[00:00:33.060 --> 00:00:34.420]   whenever the snow storm hit.
[00:00:34.420 --> 00:00:35.780]   And tonight we are sitting in
[00:00:35.780 --> 00:00:38.300]   what is one of the most iconic passages of scripture.
[00:00:38.300 --> 00:00:39.920]   We are looking at Genesis three.
[00:00:39.920 --> 00:00:40.760]   So if you have a Bible,
[00:00:40.760 --> 00:00:42.820]   you can go ahead and turn there with me right now.
[00:00:42.820 --> 00:00:44.060]   While you're doing that,
[00:00:44.060 --> 00:00:45.660]   I'll just lead off with a story
[00:00:45.660 --> 00:00:50.020]   'cause I think maybe my misery can set us up pretty well.
[00:00:50.020 --> 00:00:52.300]   Here's what happened a couple of weeks ago.
[00:00:52.300 --> 00:00:54.520]   Brooke and I, we had just finished dinner
[00:00:54.520 --> 00:00:57.140]   and we were playing with cash right before bedtime.
[00:00:57.140 --> 00:00:58.280]   We were sitting in our sunroom.
[00:00:58.280 --> 00:01:01.280]   And so we're kind of closing the evening down.
[00:01:01.280 --> 00:01:02.740]   And so I get up and I go to the kitchen.
[00:01:02.740 --> 00:01:03.580]   I know there's some dishes.
[00:01:03.580 --> 00:01:05.900]   And so I start to make my way just to do some dishes
[00:01:05.900 --> 00:01:07.740]   before we go and we put the little baby boy to sleep.
[00:01:07.740 --> 00:01:10.460]   And as I'm walking into the kitchen,
[00:01:10.460 --> 00:01:13.620]   I step into a puddle of water and it just occurred to me,
[00:01:13.620 --> 00:01:16.900]   you know, maybe it's a leak off of the fridge.
[00:01:16.900 --> 00:01:19.220]   You know, sometimes you get tap water and things spill.
[00:01:19.220 --> 00:01:20.700]   Maybe it's something off the dishwasher,
[00:01:20.700 --> 00:01:22.020]   pulling out plates or dishes
[00:01:22.020 --> 00:01:23.940]   and finding that stuff kind of leaves a mess.
[00:01:23.940 --> 00:01:25.500]   Maybe it was Cash's water cup.
[00:01:25.500 --> 00:01:26.540]   You know, he has a tendency
[00:01:26.540 --> 00:01:27.780]   to just kind of throw that thing around
[00:01:27.780 --> 00:01:29.300]   and leave a mess wherever it falls.
[00:01:29.300 --> 00:01:31.220]   And so I stepped back to survey the damage
[00:01:31.220 --> 00:01:32.380]   and what am I really dealing with here?
[00:01:32.380 --> 00:01:35.720]   And as I take it all in, what I realized to my horror
[00:01:35.720 --> 00:01:37.700]   is it's way worse than I thought it was
[00:01:37.700 --> 00:01:39.860]   because it was not just a puddle of water.
[00:01:39.860 --> 00:01:44.180]   It was a pool of water streaming into our entryway
[00:01:44.180 --> 00:01:49.100]   from the utility room where our guest bathroom is.
[00:01:49.100 --> 00:01:52.940]   And so I pulled back the pocket door and I put on my slides
[00:01:52.940 --> 00:01:57.720]   and I begin to make my way into what is a damage zone.
[00:01:57.720 --> 00:02:00.460]   I mean, it is an absolute mess in here.
[00:02:00.460 --> 00:02:02.980]   And so I know my way around some things in the house.
[00:02:02.980 --> 00:02:04.660]   I'm kind of a DIY sort of guy.
[00:02:04.660 --> 00:02:07.020]   And yet one of the things that I do not claim
[00:02:07.020 --> 00:02:09.460]   to have any kind of fame with is plumbing.
[00:02:09.460 --> 00:02:11.260]   I know next to nothing about plumbing,
[00:02:11.260 --> 00:02:14.140]   but, and fellas, if you don't know this,
[00:02:14.140 --> 00:02:15.500]   you need to learn it.
[00:02:15.500 --> 00:02:20.020]   You know to turn off the water behind the toilet
[00:02:20.020 --> 00:02:21.500]   should ever the toilet be overflowing.
[00:02:21.500 --> 00:02:23.980]   So I swiftly move and I grabbed the knob
[00:02:23.980 --> 00:02:27.620]   and I spin it righty tighty, which shuts down the water.
[00:02:27.620 --> 00:02:29.420]   And then I grab a pitcher
[00:02:29.420 --> 00:02:31.660]   and I start to drain it off into the sink.
[00:02:31.660 --> 00:02:33.180]   As I'm doing that,
[00:02:33.180 --> 00:02:36.660]   as I'm repairing what appears to be a broken situation,
[00:02:36.660 --> 00:02:38.980]   the situation only seems to break all the more
[00:02:38.980 --> 00:02:41.940]   because as I'm draining the water off into the sink,
[00:02:41.940 --> 00:02:44.060]   the toilet continues to overflow.
[00:02:44.060 --> 00:02:45.420]   And I have no idea what's happening
[00:02:45.420 --> 00:02:47.700]   because in this moment, I've already shut off the water.
[00:02:47.700 --> 00:02:51.020]   And yet the water's spilling, I'm erasing.
[00:02:51.020 --> 00:02:53.260]   And so I go and I grab not one, but two pitchers.
[00:02:53.260 --> 00:02:56.060]   I'm double fisting, trying to get the water
[00:02:56.060 --> 00:02:58.420]   out of the toilet and into the sink to keep my house
[00:02:58.420 --> 00:03:00.820]   from becoming an absolute blood zone.
[00:03:00.820 --> 00:03:05.020]   And yet a moment comes where I realize I'm out of my depth.
[00:03:05.020 --> 00:03:10.020]   And so I do what no self-respecting husband does.
[00:03:10.020 --> 00:03:12.740]   I look at my wife and I ask her to call her father.
[00:03:12.740 --> 00:03:14.860]   And as she calls my father-in-law
[00:03:14.860 --> 00:03:17.220]   and she's explaining to him what's happening in this moment
[00:03:17.220 --> 00:03:20.100]   that I'm draining the water out,
[00:03:20.100 --> 00:03:21.820]   that the toilet's continuing to overflow,
[00:03:21.820 --> 00:03:23.740]   that I'm racing around.
[00:03:23.740 --> 00:03:26.900]   She just says to him, "Hey, we don't know what's wrong."
[00:03:26.900 --> 00:03:29.780]   And I hear my father-in-law laugh
[00:03:29.780 --> 00:03:30.980]   on the other end of the line.
[00:03:30.980 --> 00:03:33.340]   He goes, "You're what's wrong."
[00:03:33.340 --> 00:03:40.780]   Because little did I know that we had a clog
[00:03:40.780 --> 00:03:42.500]   in the main kitchen cleanout,
[00:03:42.500 --> 00:03:44.460]   which just means that all of the water I was taking
[00:03:44.460 --> 00:03:45.740]   from the toilet and putting in the sink
[00:03:45.740 --> 00:03:47.600]   was just coming back up the toilet.
[00:03:47.600 --> 00:03:50.920]   So where I thought I was actually helping the situation,
[00:03:50.920 --> 00:03:54.340]   I was only hurting the situation.
[00:03:54.340 --> 00:03:57.200]   Now, why do I tell you that?
[00:03:57.200 --> 00:04:02.200]   Because the world has been asking that same question.
[00:04:02.200 --> 00:04:06.620]   What's gone wrong for centuries?
[00:04:06.620 --> 00:04:08.400]   And while they're not asking that question
[00:04:08.400 --> 00:04:11.100]   to deduce the problems of their bathroom,
[00:04:11.100 --> 00:04:12.540]   they are asking that question
[00:04:12.540 --> 00:04:15.460]   because they look at the landscape of life around
[00:04:15.460 --> 00:04:17.980]   and they realize something is wrong.
[00:04:17.980 --> 00:04:19.980]   Things are not as they should be.
[00:04:21.140 --> 00:04:23.980]   You can look, no matter who it is you speak to,
[00:04:23.980 --> 00:04:25.240]   whoever it is you reference,
[00:04:25.240 --> 00:04:27.100]   you can go back into the history books
[00:04:27.100 --> 00:04:29.220]   and you can see how people have tried
[00:04:29.220 --> 00:04:31.440]   to explain the origins of evil.
[00:04:31.440 --> 00:04:32.980]   You can look at Plato and Augustine.
[00:04:32.980 --> 00:04:34.020]   You can say that they would say
[00:04:34.020 --> 00:04:35.740]   evil wasn't an alternative to good.
[00:04:35.740 --> 00:04:37.180]   It was a privation of good.
[00:04:37.180 --> 00:04:38.460]   It was the absence of good.
[00:04:38.460 --> 00:04:41.580]   You can go to Eastern religions like Hinduism and Buddhism.
[00:04:41.580 --> 00:04:42.940]   And what you can learn is that evil
[00:04:42.940 --> 00:04:45.460]   isn't necessarily a rebellion against God
[00:04:45.460 --> 00:04:49.000]   as much as it's a confusion about the way the world works.
[00:04:49.000 --> 00:04:51.020]   You can go away from those Eastern religions
[00:04:51.020 --> 00:04:52.640]   and you can actually turn to dualism,
[00:04:52.640 --> 00:04:54.180]   which may be confusing to you,
[00:04:54.180 --> 00:04:56.660]   but it's actually a system of belief
[00:04:56.660 --> 00:04:59.420]   that many in our world that do not claim faith
[00:04:59.420 --> 00:05:01.760]   would ascribe to, that there's not just good,
[00:05:01.760 --> 00:05:02.600]   but there's bad.
[00:05:02.600 --> 00:05:04.340]   They are equal opposing forces.
[00:05:04.340 --> 00:05:05.580]   It's the idea of yin and yang.
[00:05:05.580 --> 00:05:07.260]   There's a light side and there's a dark side.
[00:05:07.260 --> 00:05:08.100]   There's two dogs
[00:05:08.100 --> 00:05:09.900]   and they're trying to get the better of one another.
[00:05:09.900 --> 00:05:11.780]   You could go and you can ask an evolutionist,
[00:05:11.780 --> 00:05:13.100]   hey, what is the origin of evil?
[00:05:13.100 --> 00:05:14.100]   And what they would say is,
[00:05:14.100 --> 00:05:15.820]   oh, it's the result of survival instinct.
[00:05:15.820 --> 00:05:17.260]   You know, in order for someone to win,
[00:05:17.260 --> 00:05:18.180]   someone's got to lose.
[00:05:18.180 --> 00:05:20.100]   If you wanted to go and you wanted to reference psychology,
[00:05:20.100 --> 00:05:21.820]   what you would see is that evil
[00:05:21.820 --> 00:05:26.820]   is the by-product of negative circumstances
[00:05:26.820 --> 00:05:30.140]   that results in a negative emotional condition.
[00:05:30.140 --> 00:05:33.580]   It's where fear and insecurity and trauma come out of.
[00:05:33.580 --> 00:05:35.540]   That's what everything in the past would say.
[00:05:35.540 --> 00:05:37.700]   But if you wanted to zoom all the way here to the present
[00:05:37.700 --> 00:05:39.500]   and ask our current cultural moment,
[00:05:39.500 --> 00:05:42.300]   hey, what is it that explains why things
[00:05:42.300 --> 00:05:43.140]   are the way they are?
[00:05:43.140 --> 00:05:44.540]   What in fact has gone wrong?
[00:05:44.540 --> 00:05:47.140]   You would see people present a variety of answers.
[00:05:47.140 --> 00:05:48.560]   It might be global warming
[00:05:48.560 --> 00:05:50.460]   or the industrial military complex
[00:05:50.460 --> 00:05:51.520]   and a lack of gun control.
[00:05:51.520 --> 00:05:53.180]   You might see that people would say,
[00:05:53.180 --> 00:05:55.220]   it's political outrage.
[00:05:55.220 --> 00:05:57.260]   It's poor policy making.
[00:05:57.260 --> 00:05:59.740]   It's people divided over issues
[00:05:59.740 --> 00:06:03.220]   that ultimately do not matter at the cost of one another.
[00:06:03.220 --> 00:06:04.300]   You would see that it would be something
[00:06:04.300 --> 00:06:06.820]   along the lines of an ever-evolving sexual revolution.
[00:06:06.820 --> 00:06:10.340]   It could be economic strain, rising costs of living.
[00:06:10.340 --> 00:06:11.860]   Anybody say amen to that one?
[00:06:11.860 --> 00:06:14.820]   And if that's not enough,
[00:06:14.820 --> 00:06:17.060]   if the past and if the present isn't enough,
[00:06:17.060 --> 00:06:19.300]   you could make your way over to LA.
[00:06:19.300 --> 00:06:20.140]   You could look at Hollywood.
[00:06:20.140 --> 00:06:21.060]   You could see what they have to say
[00:06:21.060 --> 00:06:24.000]   because we have a thing for prequels all of a sudden,
[00:06:24.000 --> 00:06:27.020]   most of which are not very good.
[00:06:27.020 --> 00:06:31.140]   But we have this fascination to understand what's gone wrong.
[00:06:31.140 --> 00:06:33.060]   There's a reason that we need to not just live
[00:06:33.060 --> 00:06:34.220]   with episodes four, five, and six,
[00:06:34.220 --> 00:06:35.840]   but we got to go back to Star Wars episodes one, two,
[00:06:35.840 --> 00:06:36.860]   and three, so that way we can understand
[00:06:36.860 --> 00:06:39.380]   why Vader's voice sounds the way it does.
[00:06:39.380 --> 00:06:41.500]   There's a reason why the rings of power came out
[00:06:41.500 --> 00:06:45.560]   because people have questions about where Sauron came from.
[00:06:45.560 --> 00:06:46.780]   If you wanted to go even further,
[00:06:46.780 --> 00:06:49.580]   you could look at "Wicked," one of the rare good ones.
[00:06:49.580 --> 00:06:51.620]   And what you can see is an explanation
[00:06:51.620 --> 00:06:55.140]   for why we have that wicked witch of the West.
[00:06:55.140 --> 00:06:56.940]   Everyone's asking what's gone wrong.
[00:06:56.940 --> 00:07:01.600]   You want to know what's gone wrong?
[00:07:01.600 --> 00:07:03.560]   We did.
[00:07:03.560 --> 00:07:07.380]   We went wrong.
[00:07:07.380 --> 00:07:11.680]   That's what the Bible tells us from page three.
[00:07:11.680 --> 00:07:16.500]   In Genesis chapter three, what we find is yes,
[00:07:16.500 --> 00:07:20.100]   one of the most iconic Bible stories ever written.
[00:07:20.100 --> 00:07:22.980]   It is a story that not only Christians,
[00:07:22.980 --> 00:07:24.500]   but many non-Christians know,
[00:07:24.500 --> 00:07:26.220]   because the story of Adam and Eve
[00:07:26.220 --> 00:07:28.460]   and the snake transcends time.
[00:07:28.460 --> 00:07:31.400]   It's one that resonates deeply with people
[00:07:31.400 --> 00:07:34.460]   because it provides an explanation for that question,
[00:07:34.460 --> 00:07:36.940]   which we can find no good answer to.
[00:07:36.940 --> 00:07:40.420]   And yet here's the danger of this story,
[00:07:40.420 --> 00:07:45.420]   because it is so iconic, we have a tendency to approach it
[00:07:45.420 --> 00:07:48.280]   and bring all of our preconceptions with us.
[00:07:48.280 --> 00:07:51.100]   We walk into it and we don't take God on his terms.
[00:07:51.100 --> 00:07:53.100]   We take the story on someone else's terms.
[00:07:53.100 --> 00:07:54.420]   We don't listen to what he says.
[00:07:54.420 --> 00:07:56.900]   We recall what someone else has said in the past.
[00:07:56.900 --> 00:07:59.500]   And I'm not telling you to just eject everything
[00:07:59.500 --> 00:08:00.700]   you've learned in the past.
[00:08:00.700 --> 00:08:02.220]   What I am saying is in this moment,
[00:08:02.220 --> 00:08:04.980]   it would serve you really well to read this story
[00:08:04.980 --> 00:08:06.620]   with fresh eyes alongside me.
[00:08:06.620 --> 00:08:07.860]   Does that sound good?
[00:08:07.860 --> 00:08:10.560]   I want you to look at this text
[00:08:10.560 --> 00:08:14.480]   and understand what it's actually saying,
[00:08:14.480 --> 00:08:18.460]   because we often misunderstand its meaning.
[00:08:18.460 --> 00:08:21.180]   And so we're just going to walk through it top to bottom.
[00:08:21.180 --> 00:08:23.580]   And I'm just going to explain to you what's happening.
[00:08:23.580 --> 00:08:26.320]   If you want to know what's gone wrong,
[00:08:26.320 --> 00:08:29.640]   and if you want to know why do we go wrong,
[00:08:29.640 --> 00:08:32.740]   this is going to tell you.
[00:08:32.740 --> 00:08:33.580]   Verse one.
[00:08:33.580 --> 00:08:38.380]   Now the serpent was more crafty
[00:08:38.380 --> 00:08:40.620]   than any other beast of the field
[00:08:40.620 --> 00:08:42.660]   that the Lord God had made.
[00:08:42.660 --> 00:08:45.540]   He said to the woman, did God actually say,
[00:08:45.540 --> 00:08:48.060]   you shall not eat of any tree in the garden?
[00:08:48.060 --> 00:08:49.020]   And the woman said to the serpent,
[00:08:49.020 --> 00:08:50.860]   we may eat of the fruit of the trees in the garden,
