
[00:00:00.000 --> 00:00:02.760]   [dramatic music]
[00:00:02.760 --> 00:00:28.660]   Let's go, welcome everybody in the room.
[00:00:28.660 --> 00:00:30.520]   [audience cheering]
[00:00:30.520 --> 00:00:32.500]   Everybody tuning in online
[00:00:32.500 --> 00:00:34.420]   at all of our 13 PortsLive locations,
[00:00:34.420 --> 00:00:39.000]   Ports, Scottsdale, the two Indy locations,
[00:00:39.000 --> 00:00:42.400]   and Boise, Idaho, and Des Moines.
[00:00:42.400 --> 00:00:44.060]   Welcome in all the other locations.
[00:00:44.060 --> 00:00:45.280]   Everybody tuning in just online.
[00:00:45.280 --> 00:00:47.240]   We are continuing the series, "Scandals,"
[00:00:47.240 --> 00:00:48.900]   looking at some of the sinners
[00:00:48.900 --> 00:00:50.200]   that were a part of the family tree
[00:00:50.200 --> 00:00:54.600]   that led to Jesus being on the planet.
[00:00:54.600 --> 00:00:55.560]   And let me start with a story
[00:00:55.560 --> 00:00:57.320]   that'll give us some traction.
[00:00:57.320 --> 00:00:59.540]   I, for most of my life,
[00:00:59.540 --> 00:01:02.980]   had no idea who my great-grandparents were.
[00:01:02.980 --> 00:01:04.700]   And I don't mean I never met them.
[00:01:04.700 --> 00:01:06.400]   I mean, I didn't know who they were.
[00:01:06.400 --> 00:01:07.220]   And why?
[00:01:07.220 --> 00:01:09.660]   Because my grandfather was adopted.
[00:01:09.660 --> 00:01:12.000]   And he was adopted in like stork fashion.
[00:01:12.000 --> 00:01:13.700]   Basically, 100 years ago,
[00:01:13.700 --> 00:01:15.840]   if you got pregnant and you weren't gonna have the baby,
[00:01:15.840 --> 00:01:17.400]   you would just leave it on the doorstep
[00:01:17.400 --> 00:01:18.920]   of someone in town or a doctor.
[00:01:18.920 --> 00:01:20.400]   And this was small town Kansas.
[00:01:20.400 --> 00:01:22.360]   And that's how my grandfather basically got adopted,
[00:01:22.360 --> 00:01:24.360]   is he was dropped off on a doctor's doorstep.
[00:01:24.360 --> 00:01:25.840]   So for most of his life,
[00:01:25.840 --> 00:01:27.840]   and for most of my life and just our family's life,
[00:01:27.840 --> 00:01:31.120]   we had no idea who were we really related to.
[00:01:31.120 --> 00:01:33.880]   Until my uncle Randy,
[00:01:33.880 --> 00:01:36.600]   and Uncle Randy is probably the person,
[00:01:36.600 --> 00:01:38.720]   I feel like this person's kind of in everyone's family.
