
[00:00:00.000 --> 00:00:02.760]   (dramatic music)
[00:00:02.760 --> 00:00:05.340]   (upbeat music)
[00:00:05.340 --> 00:00:21.160]   - Well, welcome to The Porch.
[00:00:21.160 --> 00:00:23.200]   My name is Josiah and I'm so glad
[00:00:23.200 --> 00:00:24.440]   to be with you guys tonight.
[00:00:24.440 --> 00:00:27.580]   Welcome, Porch Live locations, wherever you're tuning in.
[00:00:27.580 --> 00:00:32.580]   Tulsa, Houston, El Paso, Phoenix, wherever you are,
[00:00:32.580 --> 00:00:35.560]   welcome, and especially if you are in this room,
[00:00:35.560 --> 00:00:38.900]   man, we are starting or continuing
[00:00:38.900 --> 00:00:40.800]   our series, Rated R for Romance,
[00:00:40.800 --> 00:00:42.240]   and we're gonna be starting tonight
[00:00:42.240 --> 00:00:46.360]   talking about this idea of sex, sex,
[00:00:46.360 --> 00:00:49.240]   and everyone just leaned in, right?
[00:00:49.240 --> 00:00:51.640]   I thought I would start out by sharing
[00:00:51.640 --> 00:00:53.120]   a story with you tonight.
[00:00:53.120 --> 00:00:56.200]   It was actually the year 1997,
[00:00:57.160 --> 00:01:00.040]   specifically 22 years ago,
[00:01:00.040 --> 00:01:03.720]   and I had just moved into my stepfamily's home.
[00:01:03.720 --> 00:01:05.920]   I was doing the blended family type of thing,
[00:01:05.920 --> 00:01:10.100]   and I was rummaging in our garage at that time,
[00:01:10.100 --> 00:01:12.520]   and my stepbrother had just gone off to college,
[00:01:12.520 --> 00:01:15.820]   and I found one of his stashes,
[00:01:15.820 --> 00:01:19.800]   and I began to rummage through the stash,
[00:01:19.800 --> 00:01:22.860]   and lo and behold, there was a Playboy,
[00:01:22.860 --> 00:01:26.960]   and I began to open it page by page,
[00:01:26.960 --> 00:01:30.240]   only to find out that I wanted more and more
[00:01:30.240 --> 00:01:31.320]   of what I saw.
[00:01:31.320 --> 00:01:35.880]   The first time that I ever experienced pornography,
[00:01:35.880 --> 00:01:40.600]   and in that moment, I wish I could say
[00:01:40.600 --> 00:01:42.580]   that it was the last time that I looked at porn,
[00:01:42.580 --> 00:01:46.160]   but then that actually carried on
[00:01:46.160 --> 00:01:49.960]   for the next almost 10 years of my life, a decade,
[00:01:49.960 --> 00:01:52.520]   and that turned into one relationship
[00:01:52.520 --> 00:01:57.520]   after another relationship of just sexual acts with women,
[00:01:57.520 --> 00:02:04.880]   and I start there tonight, I start there tonight
[00:02:04.880 --> 00:02:07.480]   because I bet I'm not alone up here.
[00:02:07.480 --> 00:02:11.200]   We live in a sex-saturated culture
[00:02:11.200 --> 00:02:14.000]   where the world has taught us really the wrong way
[00:02:14.000 --> 00:02:16.120]   when it comes to our view of sex.
[00:02:16.120 --> 00:02:19.640]   I grew up hearing culture talk about sex, MTV,
[00:02:19.640 --> 00:02:22.280]   magazines, movies.
[00:02:22.280 --> 00:02:25.760]   The internet came out, it opened up a whole new world
[00:02:25.760 --> 00:02:28.280]   of porn and sex.
[00:02:28.280 --> 00:02:31.280]   Then there was school, right?
[00:02:31.280 --> 00:02:33.040]   Remember sex ed class?
[00:02:33.040 --> 00:02:37.000]   That was just awkward, just bad.
[00:02:37.000 --> 00:02:43.520]   Then there was the church.
[00:02:43.520 --> 00:02:47.120]   I don't know about you, but I grew up in a church
[00:02:47.120 --> 00:02:48.880]   that didn't really talk about sex.
[00:02:48.880 --> 00:02:51.640]   They just chose to suppress sex instead of address it,
[00:02:51.640 --> 00:02:56.920]   or that's just kind of what I thought in that moment.
[00:02:56.920 --> 00:03:02.380]   And so all these ideas of sex began to circulate
[00:03:02.380 --> 00:03:05.000]   in my mind and my heart,
[00:03:05.000 --> 00:03:09.520]   only to grow stronger and stronger and to intensify,
[00:03:09.520 --> 00:03:12.720]   and so tonight I wanna reset some of what we have learned
[00:03:12.720 --> 00:03:15.000]   in this room, and listen, one of the hardest things
[00:03:15.000 --> 00:03:19.920]   that I had to do was to unlearn what I learned.
[00:03:19.920 --> 00:03:22.360]   And so we're gonna dive into this book
[00:03:22.360 --> 00:03:23.760]   that we've been in over the last two weeks,
[00:03:23.760 --> 00:03:26.400]   Song of Solomon, chapter three and four,
[00:03:26.400 --> 00:03:28.280]   if you have your Bibles, which I hope you do,
[00:03:28.280 --> 00:03:31.600]   open up to Song of Solomon, chapter three.
[00:03:31.600 --> 00:03:34.480]   Tonight we're gonna explore God's design for sex,
[00:03:34.480 --> 00:03:36.820]   and we're gonna look at the only wedding night
[00:03:36.820 --> 00:03:39.280]   that is recorded in all of the Bible.
[00:03:39.280 --> 00:03:43.440]   We're gonna see this couple walk the aisle, get married,
[00:03:43.440 --> 00:03:47.320]   and then they're going to let us into their honeymoon night.
[00:03:47.320 --> 00:03:51.680]   It's like the God of the universe preserved
[00:03:51.680 --> 00:03:55.920]   this part of Scripture so that in 2019,
[00:03:55.920 --> 00:04:00.260]   at the porch, Dallas, and all across the nation, world,
[00:04:00.260 --> 00:04:05.280]   he would show us an example of what it looks like
[00:04:05.280 --> 00:04:10.000]   to preserve or to pursue and to preserve this gift
[00:04:10.000 --> 00:04:11.460]   that we've been given.
[00:04:11.460 --> 00:04:12.920]   See, he's a good daddy who loves you
[00:04:12.920 --> 00:04:15.240]   and wants to give life to you in this area,
[00:04:15.240 --> 00:04:19.200]   but I believe that the world has hijacked this
[00:04:19.200 --> 00:04:21.360]   and it's made it something it's not.
[00:04:21.360 --> 00:04:23.960]   And disclaimer, the porch is a ministry for young adults,
[00:04:23.960 --> 00:04:27.440]   so if you're watching online at this point
[00:04:27.440 --> 00:04:29.120]   and you have kids in the room,
[00:04:29.120 --> 00:04:30.560]   I just encourage you to turn down the volume
[00:04:30.560 --> 00:04:33.720]   and then come check us out at a later date.
[00:04:33.720 --> 00:04:40.320]   Song of Solomon, chapter three.
[00:04:41.220 --> 00:04:44.220]   Tonight I wanna talk about God's design for sex,
[00:04:44.220 --> 00:04:47.220]   specifically God's design for sex is pleasurable
[00:04:47.220 --> 00:04:48.820]   in marriage, passionate in marriage,
[00:04:48.820 --> 00:04:50.240]   and before you leave tonight,
[00:04:50.240 --> 00:04:54.340]   God's design in sex is to be powerful.
[00:04:54.340 --> 00:05:00.100]   Verse six of chapter three, here we go, buckle up.
[00:05:00.100 --> 00:05:02.140]   Who is this coming up from the wilderness
[00:05:02.140 --> 00:05:05.940]   like a column of smoke perfumed with myrrh and incense
[00:05:05.940 --> 00:05:08.660]   made from all the spices of the merchant?
[00:05:08.660 --> 00:05:10.680]   She's describing her soon-to-be husband.
[00:05:10.680 --> 00:05:14.720]   This is the one whom her soul has longed for,
[00:05:14.720 --> 00:05:17.180]   marks luxury and royalty.
[00:05:17.180 --> 00:05:19.200]   Verse seven, look, it's Solomon's carriage
[00:05:19.200 --> 00:05:22.860]   escorted by 60 warriors, the noblest of Israel,
[00:05:22.860 --> 00:05:26.160]   all of them wearing the sword, all experienced in battle,
[00:05:26.160 --> 00:05:28.360]   each with his sword at his side,
[00:05:28.360 --> 00:05:29.940]   prepared for the great terrors of night.
[00:05:29.940 --> 00:05:32.160]   You think your wedding party's gonna be big?
[00:05:32.160 --> 00:05:35.720]   This dude had 60 groomsmen.
[00:05:38.540 --> 00:05:40.900]   Verse nine, King Solomon made himself a carriage.
[00:05:40.900 --> 00:05:42.860]   He made it of wood of Lebanon.
