
[00:00:00.000 --> 00:00:02.340]   (drum roll)
[00:00:02.340 --> 00:00:10.580]   - We need to all pray for Eminem's salvation.
[00:00:10.580 --> 00:00:12.500]   How awesome would that be?
[00:00:12.500 --> 00:00:14.600]   To do as a believer, sick.
[00:00:14.600 --> 00:00:18.100]   In 2009, Chris Brown faced felony charges.
[00:00:18.100 --> 00:00:23.960]   The reason he did is he was at the very height of his career.
[00:00:23.960 --> 00:00:26.760]   It was the night before the Grammys.
[00:00:26.760 --> 00:00:29.520]   He's on a date, or out with his girlfriend
[00:00:29.520 --> 00:00:31.700]   but he's also at the height of her career.
[00:00:31.700 --> 00:00:35.060]   In fact, Ryan Seacrest said she may be the greatest artist
[00:00:35.060 --> 00:00:38.000]   that ever lived, said that about her at this time.
[00:00:38.000 --> 00:00:39.800]   She was, of course, Rihanna.
[00:00:39.800 --> 00:00:43.800]   They were in a rented Lamborghini in Beverly Hills
[00:00:43.800 --> 00:00:44.640]   and they got in a fight.
[00:00:44.640 --> 00:00:46.360]   She threw his keys out the window
[00:00:46.360 --> 00:00:49.240]   and he began to choke her, as one witness said.
[00:00:49.240 --> 00:00:51.240]   And then he began to beat her
[00:00:51.240 --> 00:00:52.840]   until she was nearly unconscious,
[00:00:52.840 --> 00:00:57.380]   which sent this picture viral over the internet.
[00:00:57.380 --> 00:00:59.640]   This is a picture of Rihanna after her fight
[00:00:59.640 --> 00:01:01.840]   with her boyfriend, Chris Brown.
[00:01:01.840 --> 00:01:05.180]   The reason that he faced felony charges.
[00:01:05.180 --> 00:01:07.920]   And what's crazy about that,
[00:01:07.920 --> 00:01:09.680]   some of you may have known that story.
[00:01:09.680 --> 00:01:12.180]   It happened a little while ago.
[00:01:12.180 --> 00:01:14.600]   What was insane about that to me
[00:01:14.600 --> 00:01:17.520]   was not just the fact that he beat her up,
[00:01:17.520 --> 00:01:21.360]   it was the fact that she then went back
[00:01:21.360 --> 00:01:25.120]   into a relationship with him after that.
[00:01:25.120 --> 00:01:27.360]   I remember watching the news and reading the articles
[00:01:27.360 --> 00:01:29.220]   and I was like, what?
[00:01:29.220 --> 00:01:32.700]   How could she get back with that monster?
[00:01:32.700 --> 00:01:35.200]   How could she get back with someone
[00:01:35.200 --> 00:01:36.740]   who would do that to her?
[00:01:36.740 --> 00:01:39.400]   Now, every sense of logic, as you watch on,
[00:01:39.400 --> 00:01:41.480]   would say, wait a minute, no, no, no, no,
[00:01:41.480 --> 00:01:45.260]   he abused you, don't go back to him.
[00:01:45.260 --> 00:01:46.380]   That's what logic would say,
[00:01:46.380 --> 00:01:50.180]   but then emotions would say, but I love him.
[00:01:50.180 --> 00:01:53.760]   And we would say, Rihanna, you're crazy, except for,
[00:01:53.760 --> 00:01:55.640]   we do the same thing.
[00:01:55.640 --> 00:01:59.140]   Logic, logic, unbiased parties would say,
[00:01:59.140 --> 00:02:01.120]   no, no, that's not, no, you shouldn't,
[00:02:01.120 --> 00:02:05.200]   you shouldn't poison yourself until you throw up.
[00:02:05.200 --> 00:02:09.800]   But emotions say, but I like having a good time.
[00:02:09.800 --> 00:02:12.060]   You ever been somewhere, you ever been hugging a toilet?
[00:02:12.060 --> 00:02:15.400]   I'll be like, I'll never drink again.
[00:02:15.400 --> 00:02:17.200]   Evidently you have.
[00:02:17.200 --> 00:02:19.120]   And then you do, right?
[00:02:19.120 --> 00:02:22.720]   Or ever been in a relationship,
[00:02:22.720 --> 00:02:24.680]   or maybe it's like logic says,
[00:02:24.680 --> 00:02:27.680]   I shouldn't have sex with a picture of a girl
[00:02:27.680 --> 00:02:29.600]   I don't know by myself.
[00:02:29.600 --> 00:02:36.040]   But emotions say, man, I need that release.
[00:02:36.040 --> 00:02:38.440]   I wanna seek that pleasure.
[00:02:38.440 --> 00:02:40.520]   There's something broken inside of us.
[00:02:40.520 --> 00:02:42.320]   We look at Rihanna and we're like,
[00:02:42.320 --> 00:02:46.480]   how could you pursue that which is going to hurt you?
[00:02:46.480 --> 00:02:50.320]   And then we look at our lives and we're like,
[00:02:50.320 --> 00:02:51.820]   oh, wait a minute.
[00:02:53.240 --> 00:02:55.480]   Why do I do the same thing?
[00:02:55.480 --> 00:02:59.240]   Why do I do what I don't wanna do?
[00:02:59.240 --> 00:03:03.120]   The good I wanna do, I don't do.
[00:03:03.120 --> 00:03:05.160]   No, it's the evil I don't wanna do.
[00:03:05.160 --> 00:03:06.800]   This I keep on doing.
[00:03:06.800 --> 00:03:09.600]   It's a little verse David covered a couple weeks ago
[00:03:09.600 --> 00:03:11.960]   when we talked about being a Christian hypocrite.
[00:03:11.960 --> 00:03:13.680]   Paul says it like this.
