
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:22.020]   - All right, well, hey, welcome everyone
[00:00:22.020 --> 00:00:24.400]   tuning in from around the country.
[00:00:24.400 --> 00:00:28.280]   Man, we are so hopeful and expectant
[00:00:28.280 --> 00:00:29.660]   and looking forward to the day
[00:00:29.660 --> 00:00:30.920]   that we can all be together,
[00:00:30.920 --> 00:00:32.440]   but we're thankful for technology
[00:00:32.440 --> 00:00:34.480]   that allows us to be together now.
[00:00:34.480 --> 00:00:36.260]   We know that everyone is walking through
[00:00:36.260 --> 00:00:37.520]   lots of challenges right now.
[00:00:37.520 --> 00:00:38.340]   You're not alone.
[00:00:38.340 --> 00:00:39.180]   God sees you.
[00:00:39.180 --> 00:00:41.200]   He hasn't left you, hasn't forsaken you,
[00:00:41.200 --> 00:00:42.240]   or forsaken you.
[00:00:42.240 --> 00:00:43.080]   He cares about you.
[00:00:43.080 --> 00:00:44.160]   We care about you.
[00:00:44.160 --> 00:00:46.560]   And we're excited to continue this series tonight
[00:00:46.560 --> 00:00:48.200]   on the seventh deadly sin.
[00:00:48.200 --> 00:00:49.840]   I've got a few friends in the room.
[00:00:49.840 --> 00:00:50.680]   What's up guys?
[00:00:50.680 --> 00:00:53.680]   Who are a part of our team that are here.
[00:00:53.680 --> 00:00:55.600]   And so we're gonna have some fun
[00:00:55.600 --> 00:00:57.180]   for the next 30 minutes or so,
[00:00:57.180 --> 00:01:00.000]   but let me bring everybody into my world a little bit.
[00:01:00.000 --> 00:01:03.000]   I was asked this weekend if I own a gun
[00:01:03.000 --> 00:01:05.920]   and I said yes.
[00:01:05.920 --> 00:01:07.800]   And so I'll show you that.
[00:01:07.800 --> 00:01:10.040]   This is not a political statement or an attempt,
[00:01:10.040 --> 00:01:12.240]   but there is a gun that is not loaded.
[00:01:12.240 --> 00:01:14.000]   Doesn't even have a magazine in it.
[00:01:14.000 --> 00:01:17.520]   That if I can get it out.
[00:01:17.520 --> 00:01:21.520]   This is a Beretta 40 caliber gun.
[00:01:21.520 --> 00:01:22.440]   Like I said, there's no magazine.
