
[00:00:00.000 --> 00:00:02.740]   (ethereal music)
[00:00:02.740 --> 00:00:17.900]   - Well, hey, I'm not sure that I'm gonna get
[00:00:17.900 --> 00:00:19.380]   the opportunity with many of you.
[00:00:19.380 --> 00:00:22.100]   And yet, if I did have the privilege
[00:00:22.100 --> 00:00:23.820]   of officiating your wedding,
[00:00:23.820 --> 00:00:26.600]   I would do with you what I would do with many couples
[00:00:26.600 --> 00:00:28.700]   that I choose to officiate the weddings of.
[00:00:28.700 --> 00:00:30.760]   I would sit down with you and your fiance,
[00:00:30.760 --> 00:00:33.960]   and I would run you through a whole list of questions
[00:00:33.960 --> 00:00:35.680]   because I want your wedding to be everything
[00:00:35.680 --> 00:00:37.560]   that your Pinterest says it should be.
[00:00:37.560 --> 00:00:39.400]   I would make sure that I ask you things like,
[00:00:39.400 --> 00:00:40.480]   well, tell me your love story
[00:00:40.480 --> 00:00:42.440]   because I need to know how the two of you met
[00:00:42.440 --> 00:00:43.800]   and where you were and did you see each other
[00:00:43.800 --> 00:00:44.720]   across the room and you lock eyes
[00:00:44.720 --> 00:00:46.000]   and you decided to walk across the room.
[00:00:46.000 --> 00:00:47.340]   Or I would wanna know, like, hey,
[00:00:47.340 --> 00:00:48.880]   what are you gonna do for your first act of marriage?
[00:00:48.880 --> 00:00:51.240]   You know, are you choosing to do a hymn or communion
[00:00:51.240 --> 00:00:52.240]   or, you know, unity candles?
[00:00:52.240 --> 00:00:53.400]   That was something back in the '90s,
[00:00:53.400 --> 00:00:54.760]   but it's kinda making its way back around.
[00:00:54.760 --> 00:00:55.940]   Or do you wanna do the sand, you know,
[00:00:55.940 --> 00:00:56.960]   where you pour some in together
[00:00:56.960 --> 00:00:58.120]   and you kinda mix that thing up,
[00:00:58.120 --> 00:00:59.800]   even though we're not real sure where it came from?
[00:00:59.800 --> 00:01:00.860]   That's something that you could do.
[00:01:00.860 --> 00:01:03.080]   I would also ask you, what do you wanna do with vows?
[00:01:03.080 --> 00:01:04.800]   You know, do you wanna do traditional vows
[00:01:04.800 --> 00:01:06.540]   or, oh, you wanna do personal vows?
[00:01:06.540 --> 00:01:07.720]   Okay, well, how are you gonna get
[00:01:07.720 --> 00:01:08.880]   those personal vows on stage?
[00:01:08.880 --> 00:01:09.800]   'Cause you're gonna handwrite those,
[00:01:09.800 --> 00:01:10.640]   you're gonna print those.
[00:01:10.640 --> 00:01:11.460]   Okay, perfect.
[00:01:11.460 --> 00:01:12.300]   And do you want me to carry that?
[00:01:12.300 --> 00:01:13.960]   Oh, you wanna put it in a vow book.
[00:01:13.960 --> 00:01:14.800]   Well, that's cute.
[00:01:14.800 --> 00:01:15.840]   Who's gonna get that on stage?
[00:01:15.840 --> 00:01:16.680]   Is it in the altar?
[00:01:16.680 --> 00:01:17.520]   Oh, it's in my jacket pocket.
[00:01:17.520 --> 00:01:18.440]   Thanks for letting me know.
[00:01:18.440 --> 00:01:19.420]   And then I would even ask you,
[00:01:19.420 --> 00:01:21.740]   hey, are there any particular sensitivities in your family
[00:01:21.740 --> 00:01:23.480]   that I need to be aware of?
[00:01:23.480 --> 00:01:28.160]   Any crazy Karens, you know, that are showing up upset
[00:01:28.160 --> 00:01:29.000]   that you didn't invite the grandkids?
[00:01:29.000 --> 00:01:29.840]   I would ask you all sorts of stuff like this,
[00:01:29.840 --> 00:01:31.880]   because I genuinely want your wedding day
[00:01:31.880 --> 00:01:34.460]   to be the stuff of your dream, ladies.
[00:01:34.460 --> 00:01:38.280]   But then I would move past that
[00:01:38.280 --> 00:01:40.080]   and I would tell you a few convictions that I have,
[00:01:40.080 --> 00:01:41.420]   namely three convictions.
[00:01:41.420 --> 00:01:44.040]   Now, these convictions are not gonna catch you off guard.
[00:01:44.040 --> 00:01:44.880]   At least two of them won't,
[00:01:44.880 --> 00:01:47.560]   because most often when I share these convictions
[00:01:47.560 --> 00:01:50.000]   with the happy couple, they expect them.
[00:01:50.000 --> 00:01:51.840]   And the reason why is because I guess it's typical
[00:01:51.840 --> 00:01:53.240]   for the pastor to look at you and say,
[00:01:53.240 --> 00:01:55.000]   hey, number one, you should go
[00:01:55.000 --> 00:01:56.600]   through premarital counseling.
[00:01:56.600 --> 00:01:59.600]   And then number two, you shouldn't sleep together
[00:01:59.600 --> 00:02:03.860]   until you actually do the deed and say your I do's
[00:02:03.860 --> 00:02:05.320]   and decide to go off on your honeymoon.
[00:02:05.320 --> 00:02:06.160]   You should wait.
[00:02:06.160 --> 00:02:08.680]   It's worth preparing, not just for the wedding day,
[00:02:08.680 --> 00:02:10.320]   but for the marriage after.
[00:02:10.320 --> 00:02:12.000]   Can I get an amen from the people?
[00:02:12.000 --> 00:02:13.920]   That's actually more important than your wedding day.
[00:02:13.920 --> 00:02:16.200]   But the third conviction that I would offer to you
[00:02:16.200 --> 00:02:19.280]   often catches people off guard.
[00:02:19.280 --> 00:02:23.160]   And the reason for it is because they assume
[00:02:23.160 --> 00:02:25.520]   that they've already done it.
[00:02:25.520 --> 00:02:26.580]   Here's the conviction.
[00:02:26.580 --> 00:02:31.420]   I tell them, I want you to be completely honest
[00:02:31.420 --> 00:02:33.120]   about your story with one another.
[00:02:33.120 --> 00:02:35.200]   And it's interesting.
[00:02:35.200 --> 00:02:36.280]   Whenever I tell couples that,
[00:02:36.280 --> 00:02:38.960]   even though it seems relatively obvious,
[00:02:38.960 --> 00:02:41.240]   you can see them squirm in their seats
[00:02:41.240 --> 00:02:44.160]   because they're operating under the expectation
[00:02:44.160 --> 00:02:46.720]   that they already know everything about each other.
[00:02:46.720 --> 00:02:49.140]   Like I'll look at the bride and she'll look at me
[00:02:49.140 --> 00:02:50.760]   and she'll say, but I already know everything about him.
[00:02:50.760 --> 00:02:52.600]   Like he's told me all of his hopes, all of his dreams.
[00:02:52.600 --> 00:02:54.560]   I've met his family, at least most of his family.
[00:02:54.560 --> 00:02:55.400]   There's still some family,
[00:02:55.400 --> 00:02:56.600]   but that family doesn't matter as much.
[00:02:56.600 --> 00:02:58.240]   But I feel like I know this guy pretty well.
[00:02:58.240 --> 00:03:00.200]   And then yet, as I'm asking the question,
[00:03:00.200 --> 00:03:02.640]   his eyes grow wide and she wonders, wait, what don't I know?
[00:03:02.640 --> 00:03:06.320]   And it just feels like the tension rises in the room.
[00:03:06.320 --> 00:03:07.560]   And yet I tell them this,
[00:03:07.560 --> 00:03:11.720]   not because I want to advocate for someone to get cold feet
[00:03:11.720 --> 00:03:12.720]   before the big day comes.
[00:03:12.720 --> 00:03:15.880]   I ask them to do this because when the big day comes
[00:03:15.880 --> 00:03:17.920]   and you find yourself standing in the altar,
[00:03:17.920 --> 00:03:20.840]   I want you to be able to look at the other person
[00:03:20.840 --> 00:03:23.320]   and commit all of yourself,
[00:03:23.320 --> 00:03:27.560]   vow everything you have to them and the whole,
[00:03:27.560 --> 00:03:29.800]   I want you to commit everything you have to them,
[00:03:29.800 --> 00:03:31.480]   the whole of them,
[00:03:31.480 --> 00:03:34.140]   including the busted and broken and bruised parts
[00:03:34.140 --> 00:03:35.320]   of who they are.
[00:03:35.320 --> 00:03:38.160]   I want you to be able to feel someone look at you and say,
[00:03:38.160 --> 00:03:40.120]   yeah, I know everything about you.
[00:03:40.120 --> 00:03:43.920]   You've been totally honest with me and I'm in this
[00:03:43.920 --> 00:03:45.480]   for richer or poorer, better or worse,
[00:03:45.480 --> 00:03:46.840]   sickness and health.
[00:03:46.840 --> 00:03:49.100]   That's what I want for the couples
[00:03:49.100 --> 00:03:50.120]   whom I officiate weddings for.
[00:03:50.120 --> 00:03:51.840]   And listen, I want that for you.
[00:03:51.840 --> 00:03:53.520]   But here's the reality.
[00:03:53.520 --> 00:03:56.680]   That only happens by way of honesty.
[00:03:56.680 --> 00:04:01.160]   You see, honesty is the key to intimacy.
[00:04:01.160 --> 00:04:03.480]   And it's not just the key to intimacy in marriage,
[00:04:03.480 --> 00:04:04.460]   though it is true.
[00:04:04.460 --> 00:04:06.940]   It is also the key to intimacy in any relationship
[00:04:06.940 --> 00:04:08.940]   you have in life.
[00:04:08.940 --> 00:04:11.760]   You see, it's impossible to have a good relationship
[00:04:11.760 --> 00:04:14.140]   with your doctor if they don't just come clean to you
[00:04:14.140 --> 00:04:16.220]   with all the facts of your lab results.
[00:04:16.220 --> 00:04:18.320]   It's difficult to have a good relationship
[00:04:18.320 --> 00:04:20.180]   with your accountant if they fudge the numbers
[00:04:20.180 --> 00:04:21.200]   on your tax return.
[00:04:21.200 --> 00:04:23.040]   And it's difficult to have a good relationship
[00:04:23.040 --> 00:04:25.440]   with a friend that won't just be honest and tell you,
[00:04:25.440 --> 00:04:27.200]   yeah, you look bad in those jeans, you know?
[00:04:27.200 --> 00:04:31.520]   Like good relationships depend on honesty,
[00:04:31.520 --> 00:04:33.240]   which is why in your stage of life,
[00:04:33.240 --> 00:04:35.240]   your young adult years, you're making some
