
[00:00:00.000 --> 00:00:01.000]   Hello, friends.
[00:00:01.000 --> 00:00:02.000]   How are we doing?
[00:00:02.000 --> 00:00:03.000]   The porch.
[00:00:03.000 --> 00:00:04.000]   Yeah, it's great to be here.
[00:00:04.000 --> 00:00:28.940]   Hello to all our friends watching online and over at different porch live locations.
[00:00:28.940 --> 00:00:30.300]   We are glad to be together.
[00:00:30.300 --> 00:00:33.960]   We are making our way through Song of Solomon.
[00:00:33.960 --> 00:00:40.120]   And this is a classic story, a love story between this shepherd king, this glorious
[00:00:40.120 --> 00:00:43.520]   noble one, and this woman that he loved.
[00:00:43.520 --> 00:00:47.760]   And he gave her beauty, and he gave her significance and meaning and joy.
[00:00:47.760 --> 00:00:51.040]   And there was all kinds of energy between the two of them.
[00:00:51.040 --> 00:00:56.920]   We have been working our way through principles that we've seen in this love story, this song
[00:00:56.920 --> 00:01:03.760]   of songs, from just what should attract you to how you should begin to court one another,
[00:01:03.760 --> 00:01:07.760]   to what intimacy looks like in a God-ordained relationship.
[00:01:07.760 --> 00:01:10.000]   But you're going to find out this isn't just a love story.
[00:01:10.000 --> 00:01:12.060]   This is a real story.
[00:01:12.060 --> 00:01:16.760]   And so in the midst of every real story, every real relationship, you're going to find out
[00:01:16.760 --> 00:01:18.880]   that it's not all a honeymoon.
[00:01:18.880 --> 00:01:24.680]   There's a great story about a little girl that had a mom that was occupied, busily working
[00:01:24.680 --> 00:01:27.640]   in the house and trying to clean the house and get ready for different things.
[00:01:27.640 --> 00:01:31.200]   So his parents were prone to do, had the little girl sit down and watch a little movie.
[00:01:31.200 --> 00:01:32.560]   It happened to be Snow White, right?
[00:01:32.560 --> 00:01:34.760]   And so the little girl watched it, and it was over.
[00:01:34.760 --> 00:01:38.440]   She kind of came running in afterwards and said, "Mom, Mom, Mom, you're not going to
[00:01:38.440 --> 00:01:39.440]   believe it.
[00:01:39.440 --> 00:01:40.440]   It was an amazing story."
[00:01:40.440 --> 00:01:41.440]   And the mom goes, "Yeah, yeah, yeah, yeah, yeah.
[00:01:41.440 --> 00:01:42.440]   I've seen it.
[00:01:42.440 --> 00:01:43.440]   I've seen it."
[00:01:43.440 --> 00:01:44.440]   And she goes, "No, no, no, Mom.
[00:01:44.440 --> 00:01:45.440]   It was awesome."
[00:01:45.440 --> 00:01:46.440]   She goes, "Well, what happened?"
[00:01:46.440 --> 00:01:47.400]   So the little girl starts to tell the story about Snow White and all that went on, how
[00:01:47.400 --> 00:01:49.280]   she ate the apple and the wicked witch put her to sleep.
[00:01:49.280 --> 00:01:50.280]   And she was kind of there.
[00:01:50.280 --> 00:01:54.440]   And this gorgeous young man came up and kissed her.
[00:01:54.440 --> 00:01:57.360]   And then, and the little girl said, "You know what happened next?"
[00:01:57.360 --> 00:01:59.440]   And the mom said, "Yeah, they lived happily ever after."
[00:01:59.440 --> 00:02:02.600]   She goes, "No, they got married."
[00:02:02.600 --> 00:02:05.120]   Like those two things are not the same.
[00:02:05.120 --> 00:02:06.120]   Right?
