
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:23.520]   - So awesome to worship with you guys.
[00:00:23.520 --> 00:00:28.520]   And I know Fort Worth, you just finished singing praises
[00:00:28.660 --> 00:00:30.920]   to God in Houston and wherever you're at,
[00:00:30.920 --> 00:00:33.500]   I pray that you would just start this message
[00:00:33.500 --> 00:00:37.660]   before we dive in, acknowledging God and His sovereignty,
[00:00:37.660 --> 00:00:39.220]   a creator of the heavens, the earth,
[00:00:39.220 --> 00:00:40.540]   and just that He's a good God
[00:00:40.540 --> 00:00:42.520]   and He's involved and active in our lives.
[00:00:42.520 --> 00:00:45.700]   And it's fun to sing of His praises with you.
[00:00:45.700 --> 00:00:47.820]   And it is a great honor to do so.
[00:00:47.820 --> 00:00:49.280]   Great to be with you tonight.
[00:00:49.280 --> 00:00:50.980]   If you would turn in your Bibles,
[00:00:50.980 --> 00:00:55.980]   if you brought them to 1 Samuel 17, 1 Samuel 17,
[00:00:57.580 --> 00:01:01.500]   we're talking about the man after God's own heart tonight,
[00:01:01.500 --> 00:01:04.460]   David, David was a shepherd, David was a king,
[00:01:04.460 --> 00:01:08.980]   shepherd turned king, and David fought Goliath
[00:01:08.980 --> 00:01:10.500]   here in chapter 17.
[00:01:10.500 --> 00:01:12.980]   And so if we're going to talk about David and Goliath,
[00:01:12.980 --> 00:01:16.500]   what more appropriate than to start with a fighting story?
[00:01:16.500 --> 00:01:19.960]   And unfortunately, I have a few to choose from,
[00:01:19.960 --> 00:01:23.060]   but I'll start with the kind of first fight
[00:01:23.060 --> 00:01:25.740]   I had ever gotten in or been in.
[00:01:25.740 --> 00:01:28.620]   And it started at Red Lobster, okay?
[00:01:28.620 --> 00:01:32.320]   This guy had been talking trash about me behind my back
[00:01:32.320 --> 00:01:34.260]   and I had caught word and me and my boys
[00:01:34.260 --> 00:01:35.940]   were at Red Lobster and he was there
[00:01:35.940 --> 00:01:37.900]   with his grandparents, right?
[00:01:37.900 --> 00:01:40.620]   And who's gonna fight in front of their grandparents?
[00:01:40.620 --> 00:01:43.660]   And so I walk up to him and I did what any coward would do.
