
[00:00:00.000 --> 00:00:02.340]   (drum roll)
[00:00:02.340 --> 00:00:08.960]   - Hello, Porch!
[00:00:08.960 --> 00:00:10.320]   What's up?
[00:00:10.320 --> 00:00:12.560]   I like it, this is good.
[00:00:12.560 --> 00:00:14.320]   We got the crew that's gonna make it happen
[00:00:14.320 --> 00:00:15.920]   for the next several decades right here.
[00:00:15.920 --> 00:00:17.960]   And I know some of you guys
[00:00:17.960 --> 00:00:19.800]   may not be drinking Millard Light like JP,
[00:00:19.800 --> 00:00:21.120]   but something better,
[00:00:21.120 --> 00:00:22.960]   still hanging out in lower Greenville.
[00:00:22.960 --> 00:00:24.800]   (audience laughs)
[00:00:24.800 --> 00:00:26.620]   And you're thinking, if I'm your future, bro,
[00:00:26.620 --> 00:00:29.720]   you got some real problems, all right?
[00:00:29.720 --> 00:00:32.960]   I'm here for anything but to be your future tonight.
[00:00:32.960 --> 00:00:35.280]   But I'm gonna tell you, man, our hope and our prayer
[00:00:35.280 --> 00:00:39.040]   is that something's gonna hit you
[00:00:39.040 --> 00:00:40.720]   in the midst of looking around and seeing
[00:00:40.720 --> 00:00:43.880]   that some other people apparently have discovered a truth
[00:00:43.880 --> 00:00:45.000]   that maybe you haven't,
[00:00:45.000 --> 00:00:46.880]   that there's life somewhere other than the world
[00:00:46.880 --> 00:00:48.280]   tells you where you can find it.
[00:00:48.280 --> 00:00:49.340]   It might be tonight.
[00:00:49.340 --> 00:00:50.440]   We're praying that somewhere,
[00:00:50.440 --> 00:00:52.800]   as you interact with people in this room,
[00:00:52.800 --> 00:00:56.080]   that have been recipients of mercy like I have.
[00:00:57.740 --> 00:01:00.100]   I love that I have been asked to jump in
[00:01:00.100 --> 00:01:03.900]   and have a little bit to do with this great series
[00:01:03.900 --> 00:01:05.420]   called Battle of the Sexes.
[00:01:05.420 --> 00:01:06.660]   Man, we battle, don't we?
[00:01:06.660 --> 00:01:08.900]   We're very, very different.
[00:01:08.900 --> 00:01:10.500]   I just wanna just take a moment,
[00:01:10.500 --> 00:01:14.900]   because I know girls, I've got three little girls, right?
[00:01:14.900 --> 00:01:18.580]   And so I'm very, very engaged
[00:01:18.580 --> 00:01:21.220]   when it comes to thinking about
[00:01:21.220 --> 00:01:23.420]   how young men should treat young women,
[00:01:23.420 --> 00:01:25.740]   especially now that I'm not one of those young men
[00:01:25.740 --> 00:01:27.820]   that's gonna have to live underneath my laws
[00:01:27.820 --> 00:01:28.820]   of what is right.
[00:01:28.820 --> 00:01:32.340]   But I will tell you, men, if you understand
[00:01:32.340 --> 00:01:35.220]   about a law of love, about how to treat women,
[00:01:35.220 --> 00:01:36.900]   it's gonna change everything.
[00:01:36.900 --> 00:01:40.260]   And little girls, I'm telling you, young ladies,
[00:01:40.260 --> 00:01:41.380]   there is a Father in heaven,
[00:01:41.380 --> 00:01:42.380]   even if you don't have a heartily Father,
[00:01:42.380 --> 00:01:44.060]   that cares about how you're treated.
[00:01:44.060 --> 00:01:45.820]   And so as a public service announcement,
[00:01:45.820 --> 00:01:48.580]   what I wanna do is just explain something to gals
[00:01:48.580 --> 00:01:49.660]   as we get started,
[00:01:49.660 --> 00:01:51.180]   and I'm just gonna basically explain to you
[00:01:51.180 --> 00:01:54.540]   why guys never call back after a successful first date.
[00:01:54.540 --> 00:01:56.580]   (congregation laughing)
[00:01:56.580 --> 00:01:57.820]   All right?
[00:01:57.820 --> 00:01:59.220]   So let me just explain that.
[00:01:59.220 --> 00:02:03.900]   So today we are going to explore the mysterious topic
[00:02:03.900 --> 00:02:08.700]   of how guys think, which baffles women in general
[00:02:08.700 --> 00:02:11.780]   and the editors of Cosmopolitan magazine specifically
[00:02:11.780 --> 00:02:12.940]   for thousands of years.
[00:02:12.940 --> 00:02:16.580]   The big question, of course,
[00:02:16.580 --> 00:02:19.220]   is how come guys never call after successful dates?
[00:02:19.220 --> 00:02:20.620]   I mean, you single women out there
[00:02:20.620 --> 00:02:21.460]   know what I'm talking about.
[00:02:21.460 --> 00:02:23.300]   You go out with a guy, you have a great time,
[00:02:23.300 --> 00:02:24.820]   he seems to have a great time,
[00:02:24.820 --> 00:02:27.780]   and at the end of the evening, he says, quote,
[00:02:27.780 --> 00:02:28.820]   "Can I call you?"
[00:02:28.820 --> 00:02:34.060]   And you, interpreting this to mean, "Can I call you?"
[00:02:34.060 --> 00:02:38.040]   (congregation laughing)
[00:02:38.040 --> 00:02:40.740]   You answer and say, "Sure."
[00:02:40.740 --> 00:02:42.340]   Well, listen, the instant you say this, of course,
[00:02:42.340 --> 00:02:44.220]   the guy's body begins to dematerialize
[00:02:44.220 --> 00:02:45.220]   right there in front of you.
[00:02:45.220 --> 00:02:47.120]   Within a few seconds, you can stick a tire iron
[00:02:47.120 --> 00:02:48.780]   right through him and wave it around.
[00:02:48.780 --> 00:02:52.180]   In a few more seconds, he will have vanished entirely,
[00:02:52.180 --> 00:02:54.340]   gone into the mysterious guy-Bermuda Triangle
[00:02:54.340 --> 00:02:55.820]   where whole squadrons of your dates
[00:02:55.820 --> 00:02:57.460]   have disappeared over the years,
[00:02:57.460 --> 00:02:59.000]   never to be heard from again.
[00:02:59.000 --> 00:03:01.740]   Eventually, you start to wonder,
[00:03:01.740 --> 00:03:03.100]   is there something wrong with you?
[00:03:03.100 --> 00:03:05.320]   Some kind of emotional hangup that you have.
[00:03:05.320 --> 00:03:06.620]   This is silly.
[00:03:06.620 --> 00:03:07.660]   There's nothing wrong with you.
[00:03:07.660 --> 00:03:09.700]   In fact, you should interpret the behavior of your dates
