
[00:00:00.000 --> 00:00:02.760]   (dramatic music)
[00:00:02.760 --> 00:00:20.920]   - Porsche, how we doing?
[00:00:20.920 --> 00:00:21.840]   (congregation cheering)
[00:00:21.840 --> 00:00:23.520]   Come on, come on.
[00:00:23.520 --> 00:00:25.440]   Hey, if we don't know each other, my name is JP,
[00:00:25.440 --> 00:00:26.480]   Jonathan, Percluta.
[00:00:26.480 --> 00:00:29.080]   It's a privilege to be with you tonight as we continue.
[00:00:29.080 --> 00:00:31.480]   Jonah, if you're tuning in from somewhere else,
[00:00:31.480 --> 00:00:33.600]   listening in your car, watching online,
[00:00:33.600 --> 00:00:34.440]   I wanna welcome you.
[00:00:34.440 --> 00:00:36.680]   And we know there's campuses all over the country
[00:00:36.680 --> 00:00:37.920]   that are tuning in as well.
[00:00:37.920 --> 00:00:40.920]   And so we're so excited that you guys are listening
[00:00:40.920 --> 00:00:41.760]   in Fort Worth.
[00:00:41.760 --> 00:00:42.580]   We love you.
[00:00:42.580 --> 00:00:43.420]   We know that you're close.
[00:00:43.420 --> 00:00:44.560]   Houston, we love you too.
[00:00:44.560 --> 00:00:48.840]   And so just excited to be where we are at this evening.
[00:00:48.840 --> 00:00:50.520]   And I gotta start with a little bit
[00:00:50.520 --> 00:00:52.100]   of a disclaimer for you, okay?
[00:00:52.100 --> 00:00:54.640]   So I have not always been walking with Jesus,
[00:00:54.640 --> 00:00:55.480]   neither have you,
[00:00:55.480 --> 00:00:59.960]   but especially in college, I was not walking with the Lord
[00:00:59.960 --> 00:01:01.600]   and didn't know Christ.
[00:01:01.600 --> 00:01:03.400]   I was not a Christian.
[00:01:03.400 --> 00:01:05.400]   And so as I tell you this story,
[00:01:05.400 --> 00:01:07.720]   the story I'll open with, it's a little bit crazy,
[00:01:07.720 --> 00:01:09.720]   but there's a reason that I start here.
[00:01:09.720 --> 00:01:11.800]   And so my buddy and I,
[00:01:11.800 --> 00:01:15.080]   just as indicative of not being a Christian,
[00:01:15.080 --> 00:01:18.000]   we were going to South Padre for spring break.
[00:01:18.000 --> 00:01:20.080]   And so that's where we wanted to go,
[00:01:20.080 --> 00:01:21.400]   Padre for spring break.
[00:01:21.400 --> 00:01:24.960]   And we wanted to do all the things that you do in Padre
[00:01:24.960 --> 00:01:25.800]   on spring break.
[00:01:25.800 --> 00:01:28.040]   And so we go down there, it's me and him.
[00:01:28.040 --> 00:01:29.000]   And I don't know if you remember this,
[00:01:29.000 --> 00:01:31.400]   I don't know where you're at in your faith journey.
[00:01:31.400 --> 00:01:33.040]   If you can remember,
[00:01:33.040 --> 00:01:35.760]   if you were even not a Christian as an adult,
[00:01:35.760 --> 00:01:37.800]   but you can remember just kind of being with your boys
[00:01:37.800 --> 00:01:38.680]   or being with your girls,
[00:01:38.680 --> 00:01:40.360]   you got your crew and you're ready
[00:01:40.360 --> 00:01:41.560]   for whatever comes your way.
[00:01:41.560 --> 00:01:43.460]   'Cause you guys just, that's how you roll.
[00:01:43.460 --> 00:01:44.760]   That was me and him.
[00:01:44.760 --> 00:01:46.840]   He was a big dude, like worked out a lot.
[00:01:46.840 --> 00:01:49.700]   And was like on steroids and stuff.
[00:01:49.700 --> 00:01:51.320]   And so they called us the number 10
[00:01:51.320 --> 00:01:53.360]   'cause I was like the one skinny guy
[00:01:53.360 --> 00:01:54.760]   and he was the big zero.
[00:01:54.760 --> 00:01:59.400]   And so we go to Padre, we stay at Motel 6 there
[00:01:59.400 --> 00:02:01.480]   and we go clubbing one night.
[00:02:01.480 --> 00:02:03.000]   All right, and so we're in the club,
[00:02:03.000 --> 00:02:06.240]   Louie's backyard and we're partying up at Louie's
[00:02:06.240 --> 00:02:09.820]   till late in the night and we're leaving the club
[00:02:09.820 --> 00:02:12.240]   and somebody comes up to him and they say,
[00:02:12.240 --> 00:02:13.960]   "Hey, yo, what's up man?
[00:02:13.960 --> 00:02:15.920]   "You know where we can score some eggs."
[00:02:15.920 --> 00:02:20.280]   And so he just kind of snaps into character
[00:02:20.280 --> 00:02:21.320]   because this is what we did.
[00:02:21.320 --> 00:02:23.640]   We were always looking for an adventure all the time.
[00:02:23.640 --> 00:02:25.000]   He snaps into character, he's like,
[00:02:25.000 --> 00:02:28.160]   "What, you're just gonna ask me this in public,
[00:02:28.160 --> 00:02:29.000]   "in front of everybody?
[00:02:29.000 --> 00:02:31.740]   "Hey, come over here, JP, you're not gonna believe this guy
[00:02:31.740 --> 00:02:33.600]   "what he just asked me, come over here."
[00:02:33.600 --> 00:02:35.280]   And he takes him across the street
[00:02:35.280 --> 00:02:37.800]   and he's like, "So what are you looking for?"
[00:02:37.800 --> 00:02:40.360]   And the guy's like, "Man, I'm looking for like 10 tabs
[00:02:40.360 --> 00:02:42.160]   "of molly, 10 tabs of eggs.
[00:02:42.160 --> 00:02:43.360]   "You know, you guys got some?"
[00:02:43.360 --> 00:02:44.260]   He's like, "Man, we can get you,
[00:02:44.260 --> 00:02:46.980]   "but don't just be coming up to me in public, you know?"
[00:02:46.980 --> 00:02:48.760]   And I'm like, "We can, we can get, what?"
[00:02:48.760 --> 00:02:49.760]   (congregation laughing)
[00:02:49.760 --> 00:02:52.040]   Didn't know that, but he's just messing with the guy, right?
[00:02:52.040 --> 00:02:52.880]   And he's like, "Yeah, no."
[00:02:52.880 --> 00:02:55.480]   "So you're looking for 10 tabs, okay, yeah,
[00:02:55.480 --> 00:02:57.780]   "we'll get you, why don't you meet us
[00:02:57.780 --> 00:02:59.960]   "in that Kroger parking lot in two hours?"
[00:02:59.960 --> 00:03:02.320]   Which was like, you know, four in the morning or something.
