
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:00:03.480 --> 00:00:26.240]   What's up, everybody?
[00:00:26.240 --> 00:00:28.280]   Joining us from wherever you are tuning in from,
[00:00:28.280 --> 00:00:30.680]   we are continuing the series, Therapy,
[00:00:30.680 --> 00:00:34.000]   where we are each week exploring a biblical perspective
[00:00:34.000 --> 00:00:34.700]   on mental health.
[00:00:34.700 --> 00:00:37.360]   For the last few weeks, we have been diving into anxiety
[00:00:37.360 --> 00:00:40.000]   and what is a perspective that the Bible says
[00:00:40.000 --> 00:00:42.320]   is helpful as it relates to anxiety.
[00:00:42.320 --> 00:00:44.400]   Tonight, we're going to finish off really the last
[00:00:44.400 --> 00:00:46.080]   of the handful of weeks that we've
[00:00:46.080 --> 00:00:48.080]   been diving into the topic of anxiety, which
[00:00:48.080 --> 00:00:49.800]   is such a big issue that we didn't
[00:00:49.800 --> 00:00:52.080]   think we could do it justice by doing it one night.
[00:00:52.080 --> 00:00:54.960]   Mental health was a problem in our society
[00:00:54.960 --> 00:00:56.960]   well before COVID ever took place,
[00:00:56.960 --> 00:01:00.120]   and corona has only escalated and made things worse.
[00:01:00.120 --> 00:01:01.960]   So we are camping out and talking each week
[00:01:01.960 --> 00:01:03.760]   on session one, session two, session three,
[00:01:03.760 --> 00:01:06.000]   and going week by week what it looks like to walk
[00:01:06.000 --> 00:01:09.680]   through therapy, getting healthy, covering anxiety,
[00:01:09.680 --> 00:01:14.600]   covering depression, covering just general healing
[00:01:14.600 --> 00:01:15.880]   and recovering from our past.
[00:01:15.880 --> 00:01:18.520]   So tonight, we're finishing off just looking at anxiety.
[00:01:18.520 --> 00:01:19.880]   And I'm going to start like this.
[00:01:19.880 --> 00:01:21.040]   A couple of years ago, I got invited
[00:01:21.040 --> 00:01:23.480]   with a friend of mine who was in ministry, JP,
[00:01:23.480 --> 00:01:25.400]   if you're familiar, who now leads a church called
[00:01:25.400 --> 00:01:26.240]   Harris Creek in Waco.
[00:01:26.240 --> 00:01:29.560]   But the two of us were invited to go to London
[00:01:29.560 --> 00:01:31.920]   to be a part of a conference for kind of next generation
[00:01:31.920 --> 00:01:35.800]   pastors, 75 of us from all over the world.
[00:01:35.800 --> 00:01:38.280]   And we were hanging out in London for the week.
[00:01:38.280 --> 00:01:40.280]   So we decided, hey, we're going to make this just
[00:01:40.280 --> 00:01:44.560]   like a brocation, plan it out, have a game plan for going
[00:01:44.560 --> 00:01:46.400]   to see all that London had to offer.
[00:01:46.400 --> 00:01:48.240]   Neither of us had ever been to London before,
[00:01:48.240 --> 00:01:49.160]   so we're researching.
[00:01:49.160 --> 00:01:49.640]   We got the plan.
[00:01:49.640 --> 00:01:50.960]   We're going to see Buckingham Palace.
[00:01:50.960 --> 00:01:52.880]   We're going to see Churchill's War Room.
[00:01:52.880 --> 00:01:55.240]   We're going to go see the bridge and the Eye of London.
[00:01:55.240 --> 00:01:56.800]   We just had everything worked out.
[00:01:56.800 --> 00:01:59.080]   And when we got there, because I'd never been to London,
[00:01:59.080 --> 00:02:01.160]   I didn't know how similar it was to New York City,
[00:02:01.160 --> 00:02:04.200]   and that the primary way that most people get around town
[00:02:04.200 --> 00:02:05.800]   is taking something called the--
[00:02:05.800 --> 00:02:06.680]   anybody know?
[00:02:06.680 --> 00:02:08.480]   My staff team is right here.
[00:02:08.480 --> 00:02:09.400]   The Tube.
[00:02:09.400 --> 00:02:11.160]   This brother's been to London.
[00:02:11.160 --> 00:02:12.040]   And you take the Tube.
[00:02:12.040 --> 00:02:15.240]   The Tube is the subway version in London
[00:02:15.240 --> 00:02:16.560]   of how most people get around.
[00:02:16.560 --> 00:02:19.560]   It's basically a train that will take you all over the city.
[00:02:19.560 --> 00:02:20.720]   Here's why I love the Tube.
[00:02:20.720 --> 00:02:23.280]   Much like the subway in New York, for $5,
[00:02:23.280 --> 00:02:25.480]   you can go anywhere you want in the city.
[00:02:25.480 --> 00:02:27.480]   Unlike what an Uber--
[00:02:27.480 --> 00:02:30.360]   the same amount if you paid towards an Uber of $5,
[00:02:30.360 --> 00:02:31.920]   you're going to get one block over.
[00:02:31.920 --> 00:02:34.560]   If you take the Tube, you put $5 on something
[00:02:34.560 --> 00:02:36.800]   called an Oyster card, and it loads you up
[00:02:36.800 --> 00:02:38.280]   to be able to go anywhere you want.
[00:02:38.280 --> 00:02:39.360]   You can go up to Chelsea.
[00:02:39.360 --> 00:02:40.600]   You can go over to Kensington.
[00:02:40.600 --> 00:02:43.240]   You can go see all that there is to see for such
[00:02:43.240 --> 00:02:44.920]   an incredibly cheap price.
[00:02:44.920 --> 00:02:46.600]   So we loaded up, got ready.
[00:02:46.600 --> 00:02:48.560]   We took the Tube everywhere we were going to go.
[00:02:48.560 --> 00:02:50.240]   And something happens whenever you're not
[00:02:50.240 --> 00:02:54.480]   familiar with the grid lines of a train organization,
[00:02:54.480 --> 00:02:56.240]   or train system, so to speak.
[00:02:56.240 --> 00:02:59.240]   There are times where you want to go to some area north
[00:02:59.240 --> 00:03:02.840]   in North London, or in East London, or some area
[00:03:02.840 --> 00:03:04.520]   to go see some tourist attraction.
[00:03:04.520 --> 00:03:06.140]   And you get on a train that you think
[00:03:06.140 --> 00:03:07.800]   is taking you in that direction, only
[00:03:07.800 --> 00:03:12.040]   to realize you are headed in entirely the opposite direction
[00:03:12.040 --> 00:03:13.360]   of where you want to go.
[00:03:13.360 --> 00:03:15.240]   This happened multiple times for us, because neither of us
[00:03:15.240 --> 00:03:16.400]   had been really to London.
[00:03:16.400 --> 00:03:17.360]   So we looked at it.
[00:03:17.360 --> 00:03:18.720]   We're like, oh, we need to get on the A line
[00:03:18.720 --> 00:03:20.440]   and come up here, only to realize
[00:03:20.440 --> 00:03:22.800]   we were headed in the complete opposite direction
[00:03:22.800 --> 00:03:25.000]   of Buckingham Palace, or of whatever site
[00:03:25.000 --> 00:03:26.360]   that we were going to see.
[00:03:26.360 --> 00:03:27.760]   So in that moment, what do we do?
[00:03:27.760 --> 00:03:29.200]   Well, we get off the train.
[00:03:29.200 --> 00:03:29.840]   We identify.
[00:03:29.840 --> 00:03:32.000]   We begin to try to attempt to find,
[00:03:32.000 --> 00:03:34.800]   how do we get to the destination we're actually
[00:03:34.800 --> 00:03:36.040]   attempting to go?
[00:03:36.040 --> 00:03:38.040]   Well, the answer, of course, you need
[00:03:38.040 --> 00:03:42.000]   to get on a train headed in the right direction
[00:03:42.000 --> 00:03:43.760]   of that destination.
[00:03:43.760 --> 00:03:45.960]   Now, what does it have to do with anxiety?
[00:03:45.960 --> 00:03:49.160]   Well, really a lot, because just like there's trains,
[00:03:49.160 --> 00:03:51.280]   and depending on which train you get on,
[00:03:51.280 --> 00:03:53.440]   it's going to take you in a direction and ultimately
[00:03:53.440 --> 00:03:57.120]   a destination, our minds and our thoughts
[00:03:57.120 --> 00:03:59.440]   work in really similar ways.
[00:03:59.440 --> 00:04:01.600]   In other words, every time that you have a thought,
[00:04:01.600 --> 00:04:05.160]   if you and I choose to allow and dwell on that thought,
[00:04:05.160 --> 00:04:08.720]   we continue to invite other thoughts like it that
[00:04:08.720 --> 00:04:10.880]   lead us in a direction in life.
[00:04:10.880 --> 00:04:14.920]   They begin to fill our mind, fill our mindset,
[00:04:14.920 --> 00:04:17.080]   as it relates to anxiety or anxious thoughts,
[00:04:17.080 --> 00:04:19.120]   and they take us in a direction.
[00:04:19.120 --> 00:04:20.580]   What I want to cover tonight is one
[00:04:20.580 --> 00:04:25.200]   of the most important aspects of experiencing a peaceful life,
[00:04:25.200 --> 00:04:29.200]   and that is learning to think rightly.
[00:04:29.200 --> 00:04:32.120]   The Bible over and over hits that there
[00:04:32.120 --> 00:04:37.520]   are thoughts that should fill you and I's minds.
[00:04:37.520 --> 00:04:39.800]   There's a way that you and I are to dwell on truth,
[00:04:39.800 --> 00:04:42.040]   as we'll talk about here in a second.
[00:04:42.040 --> 00:04:46.680]   But if you cannot conquer the ability to think rightly,
[00:04:46.680 --> 00:04:49.060]   you will not be able to address your anxiety.
[00:04:49.060 --> 00:04:51.440]   So we're going to dive in for the next handful of minutes
[00:04:51.440 --> 00:04:54.320]   and really look at two ideas or two points from this text.
[00:04:54.320 --> 00:04:56.360]   One of them is related to realizing,
[00:04:56.360 --> 00:04:57.720]   the other is replacing.
[00:04:57.720 --> 00:05:00.720]   One of them is realizing, and the other is replacing.
[00:05:00.720 --> 00:05:04.200]   In Proverbs chapter 23, verse 7, it says this.
[00:05:04.200 --> 00:05:07.480]   "For as a man," or as he thinketh,
[00:05:07.480 --> 00:05:11.600]   the King James Version says, "or as a man thinks within himself
[00:05:11.600 --> 00:05:17.320]   so he is, your thoughts take you in destinations."
[00:05:17.320 --> 00:05:19.760]   And I'll unpack and explain more what I mean.
[00:05:19.760 --> 00:05:22.120]   But the first aspect to you addressing your anxiety--
[00:05:22.120 --> 00:05:23.920]   this is so huge--
[00:05:23.920 --> 00:05:27.600]   you have got to realize your anxious thoughts lead you
[00:05:27.600 --> 00:05:32.000]   in the direction or destination of anxious feelings.
[00:05:32.000 --> 00:05:34.240]   Anytime you feel anxious-- listen to me--
[00:05:34.240 --> 00:05:37.000]   every time you feel anxious on the inside,
[00:05:37.000 --> 00:05:38.960]   those anxious feelings are coming
[00:05:38.960 --> 00:05:42.160]   from some anxious thinking that is behind them.
[00:05:42.160 --> 00:05:44.160]   Your thoughts direct and influence
[00:05:44.160 --> 00:05:46.680]   the destination of your life, and they direct and influence
[00:05:46.680 --> 00:05:49.080]   the experience that you're going to have with anxiety.
[00:05:49.080 --> 00:05:52.640]   The anxious feelings often lead us to reach out.
[00:05:52.640 --> 00:05:55.400]   And out of the fact that nobody likes to feel anxious,
[00:05:55.400 --> 00:05:57.000]   we turn to anything that can kind of give us
[00:05:57.000 --> 00:05:57.800]   some sort of peace.
[00:05:57.800 --> 00:06:00.160]   So you turn in order to numb yourself to a bottle
[00:06:00.160 --> 00:06:02.520]   or to just check out through scrolling through Instagram.
[00:06:02.520 --> 00:06:05.440]   Or anytime there's some sort of anxiousness,
[00:06:05.440 --> 00:06:07.480]   out of the overflow of trying to get relief from that,
[00:06:07.480 --> 00:06:10.360]   we will reach out to find something that will help us
[00:06:10.360 --> 00:06:12.760]   experience more peace.
[00:06:12.760 --> 00:06:16.160]   But tragically, we seldom address the anxious thoughts
[00:06:16.160 --> 00:06:18.880]   that are behind and fueling and feeding
[00:06:18.880 --> 00:06:21.720]   those anxious feelings.
[00:06:21.720 --> 00:06:23.920]   In other words, first idea is that you have to realize
[00:06:23.920 --> 00:06:27.240]   anxious feelings come from anxious thinking.
[00:06:27.240 --> 00:06:29.480]   Just like I mentioned getting on a train
[00:06:29.480 --> 00:06:32.120]   and how there's trains of thought that we get on,
[00:06:32.120 --> 00:06:35.360]   if you allow your thoughts and the idea of a train of thought
[00:06:35.360 --> 00:06:38.240]   we even recognize like, hey, thoughts can lead you places,
[00:06:38.240 --> 00:06:39.840]   which is why we have this term of train of thought.
[00:06:39.840 --> 00:06:41.600]   If you get on the wrong trains of thought,
[00:06:41.600 --> 00:06:44.200]   it will take you towards the wrong destination
[00:06:44.200 --> 00:06:46.520]   and lead you in the wrong direction,
[00:06:46.520 --> 00:06:49.960]   the wrong direction away from peace and towards anxiety.
[00:06:49.960 --> 00:06:51.600]   And you've got to begin to address
[00:06:51.600 --> 00:06:54.560]   what are the anxious thoughts that are feeding
[00:06:54.560 --> 00:06:57.280]   and fueling the anxious feelings that I have on the inside?
