
[00:00:00.000 --> 00:00:02.760]   (waves crashing)
[00:00:02.760 --> 00:00:07.500]   - Hey porch, join me as we read God's word together
[00:00:07.500 --> 00:00:09.920]   from the book of 2 Timothy chapter two,
[00:00:09.920 --> 00:00:12.560]   verses 14 through 26.
[00:00:12.560 --> 00:00:14.720]   Remind them of these things and charge them before God
[00:00:14.720 --> 00:00:16.880]   not to quarrel about words, which does no good,
[00:00:16.880 --> 00:00:18.800]   but only ruins the hearers.
[00:00:18.800 --> 00:00:21.960]   Do your best to present yourself to God as one of proof,
[00:00:21.960 --> 00:00:24.800]   a worker who has no need to be ashamed,
[00:00:24.800 --> 00:00:26.880]   rightly handling the word of truth.
[00:00:26.880 --> 00:00:28.240]   But avoid irreverent babble,
[00:00:28.240 --> 00:00:30.560]   where we'll lead people into more and more ungodliness
[00:00:30.560 --> 00:00:32.640]   and their talk will spread like gangrene.
[00:00:32.640 --> 00:00:35.480]   Among them are the hymenis and philithes
[00:00:35.480 --> 00:00:36.760]   who have swerved from the truth,
[00:00:36.760 --> 00:00:39.280]   saying that the resurrection has already happened.
[00:00:39.280 --> 00:00:41.360]   They are upsetting the faith of some.
[00:00:41.360 --> 00:00:44.200]   But God's firm foundation stands and bearing this seal.
[00:00:44.200 --> 00:00:45.920]   The Lord knows those who are his
[00:00:45.920 --> 00:00:48.280]   and that everyone who names the name of the Lord
[00:00:48.280 --> 00:00:50.160]   depart from iniquity.
[00:00:50.160 --> 00:00:51.200]   Now in a great house,
[00:00:51.200 --> 00:00:53.320]   there are not only vessels of gold and silver,
[00:00:53.320 --> 00:00:54.840]   but also wood and clay,
[00:00:54.840 --> 00:00:58.200]   some for honorable use, some for dishonorable.
[00:00:58.200 --> 00:00:59.840]   Therefore, if anyone cleanses himself
[00:00:59.840 --> 00:01:01.320]   from what is dishonorable,
[00:01:01.320 --> 00:01:04.120]   he will be a vessel for what's honorable.
[00:01:04.120 --> 00:01:06.080]   For honorable use, set apart as holy,
[00:01:06.080 --> 00:01:09.880]   useful for the master of the house for every good work.
[00:01:09.880 --> 00:01:12.280]   So flee youthful passions and pursue righteousness,
[00:01:12.280 --> 00:01:14.000]   faith, love, and peace,
[00:01:14.000 --> 00:01:15.760]   along with those who call on the name of the Lord
[00:01:15.760 --> 00:01:17.440]   from a pure heart.
[00:01:17.440 --> 00:01:20.360]   Have nothing to do with foolish, ignorant controversies.
[00:01:20.360 --> 00:01:21.720]   You know that they breed quarrels
[00:01:21.720 --> 00:01:23.840]   and the Lord's servant must not be quarrelsome,
[00:01:23.840 --> 00:01:26.000]   but kind to everyone, able to teach,
