
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:10.080]   - Well hello, Porch friends, how we doing?
[00:00:10.080 --> 00:00:11.380]   (audience cheering)
[00:00:11.380 --> 00:00:13.080]   I love being here on Tuesdays.
[00:00:13.080 --> 00:00:14.760]   Thank you for having me tonight.
[00:00:14.760 --> 00:00:17.680]   We have prayed much already, so I shall dive right in.
[00:00:17.680 --> 00:00:20.120]   We're wrapping up a series that we've been doing here,
[00:00:20.120 --> 00:00:22.080]   if you haven't been around, and I know I've met some folks
[00:00:22.080 --> 00:00:24.760]   who are here for the first time, we're glad you're here.
[00:00:24.760 --> 00:00:27.400]   But we've been walking through a series called Adulting.
[00:00:27.400 --> 00:00:32.080]   What we're looking at here is just a mature view on life.
[00:00:32.080 --> 00:00:35.600]   The Bible says, "When I was a child, I thought as a child."
[00:00:35.600 --> 00:00:36.960]   But I gotta let those things go away
[00:00:36.960 --> 00:00:38.440]   'cause I'm not a child anymore.
[00:00:38.440 --> 00:00:42.160]   There is a phrase that has been laid on your generation,
[00:00:42.160 --> 00:00:47.160]   which I believe is not necessary or correct
[00:00:47.160 --> 00:00:48.800]   if you don't want it to be.
[00:00:48.800 --> 00:00:50.480]   And that is that you are the generation
[00:00:50.480 --> 00:00:52.980]   of perpetual adolescence.
[00:00:52.980 --> 00:00:56.400]   In other words, you just don't wanna grow up.
[00:00:56.400 --> 00:00:58.040]   Hashtag adulting, man.
[00:00:58.040 --> 00:01:00.680]   Every now and then, you'll do things that look like
[00:01:00.680 --> 00:01:01.600]   what a grownup would do,
[00:01:01.600 --> 00:01:04.440]   but you're just not ready to get it done.
[00:01:04.440 --> 00:01:06.180]   So we date like children,
[00:01:06.180 --> 00:01:08.080]   we think of relationships like children,
[00:01:08.080 --> 00:01:10.560]   we forego family and responsibility like children,
[00:01:10.560 --> 00:01:12.620]   we play with faith like children,
[00:01:12.620 --> 00:01:16.160]   and not in the way that Jesus commands.
[00:01:16.160 --> 00:01:18.000]   We deal with our money like children.
[00:01:18.000 --> 00:01:23.520]   We talk about things of corporate
[00:01:23.520 --> 00:01:26.680]   and communal relationships like children,
[00:01:26.680 --> 00:01:29.920]   and I'm telling ya, it won't go well with you
[00:01:29.920 --> 00:01:30.760]   if you do that.
[00:01:30.760 --> 00:01:36.000]   And so we're not talking about what it means
[00:01:36.000 --> 00:01:39.200]   to be a generation of men and women,
[00:01:39.200 --> 00:01:41.160]   and not just any men or any women,
[00:01:41.160 --> 00:01:45.720]   but godly, spiritually appraised, informed men or women,
[00:01:45.720 --> 00:01:47.520]   so that it might go well with you.
[00:01:47.520 --> 00:01:49.240]   Let me just start by saying this,
[00:01:49.240 --> 00:01:50.840]   because every chance I get,
[00:01:50.840 --> 00:01:52.560]   if I could speak only on one topic,
[00:01:52.560 --> 00:01:55.440]   it would be on the nature and character of God.
[00:01:55.440 --> 00:01:56.280]   Why?
[00:01:56.280 --> 00:01:59.480]   Because my job is to be a servant of Christ
[00:01:59.480 --> 00:02:01.200]   and a steward of the mysteries of righteousness.
[00:02:01.200 --> 00:02:03.520]   I've got nothing to offer you except what I've been given,
[00:02:03.520 --> 00:02:05.800]   and I want to proclaim to you the excellencies of God.
[00:02:05.800 --> 00:02:07.920]   And that starts with understanding who God is
[00:02:07.920 --> 00:02:09.400]   and what he's done for you,
[00:02:09.400 --> 00:02:12.380]   but the reason I want to talk about who God is
[00:02:12.380 --> 00:02:16.200]   and what he's done for you is because the very first lie
[00:02:16.200 --> 00:02:21.200]   out of the chute attacked the very nature of God.
[00:02:21.760 --> 00:02:23.240]   And the problem that all of us have
[00:02:23.240 --> 00:02:24.920]   and the reason that we act like children,
[00:02:24.920 --> 00:02:28.740]   or if you will, impetuous, feeling-driven,
[00:02:28.740 --> 00:02:32.240]   emotionally-based people,
[00:02:32.240 --> 00:02:35.400]   is because we don't believe that there is a God
[00:02:35.400 --> 00:02:39.640]   who is good, that we are culpable to,
[00:02:39.640 --> 00:02:42.920]   that is sovereign, and that is wise, and that he loves us.
[00:02:42.920 --> 00:02:45.620]   And so we suppress truth and unrighteousness
[00:02:45.620 --> 00:02:49.020]   because we think that running away from this authority
[00:02:49.020 --> 00:02:52.260]   figure is what's going to give us authentic life.
[00:02:52.260 --> 00:02:55.440]   That lie doesn't just affect millennials.
[00:02:55.440 --> 00:02:58.780]   It affects folks 20 years ahead of you like me,
[00:02:58.780 --> 00:03:01.720]   and it affects folks 10 years behind you.
[00:03:01.720 --> 00:03:03.560]   It affects everybody.
[00:03:03.560 --> 00:03:06.120]   It's the first lie right out of the chute.
[00:03:06.120 --> 00:03:08.320]   God isn't good, his word's not true,
[00:03:08.320 --> 00:03:10.520]   disobeying him is not that big a deal.
[00:03:10.520 --> 00:03:13.720]   The very first lies that came.
[00:03:13.720 --> 00:03:15.260]   Now you need to know this about God
[00:03:15.260 --> 00:03:18.860]   because one of the things that a wise and mature person
[00:03:18.860 --> 00:03:21.940]   will do is he won't jump to conclusions
[00:03:21.940 --> 00:03:26.940]   based on just some preliminary examination of the facts.
[00:03:26.940 --> 00:03:30.760]   He knows that not every good book has a great cover.
[00:03:30.760 --> 00:03:34.200]   And so he wants to see what the depths
[00:03:34.200 --> 00:03:36.200]   of the content are there.
[00:03:36.200 --> 00:03:39.960]   Now when you want to find out who somebody is,
[00:03:39.960 --> 00:03:42.620]   you listen to their words because the words
[00:03:42.620 --> 00:03:44.880]   are the overflow of a man's heart.
[00:03:44.880 --> 00:03:46.940]   And then you want to look not just at their words,
[00:03:46.940 --> 00:03:49.180]   but how their works back up their words.
[00:03:49.180 --> 00:03:53.560]   So let me just take you to the words and works of God.
[00:03:53.560 --> 00:03:58.320]   What God has done in this book called the Bible,
[00:03:58.320 --> 00:04:01.060]   the book, that's an arrogantly titled book,
[00:04:01.060 --> 00:04:05.700]   the Biblias, the book, it is the one book you need to know.
[00:04:05.700 --> 00:04:06.540]   Why?
[00:04:06.540 --> 00:04:08.500]   Because it's the one book that tells you
[00:04:08.500 --> 00:04:11.940]   where you came from, why you're here,
[00:04:11.940 --> 00:04:15.180]   why while you're here the world is in the condition
[00:04:15.180 --> 00:04:17.580]   that it's in, what to do about that condition,
[00:04:17.580 --> 00:04:20.580]   why you can live with hope in the midst of this condition,
[00:04:20.580 --> 00:04:25.260]   and what the remedy to your condition is.
[00:04:25.260 --> 00:04:28.540]   The Bible is not a rule book, it is a love letter from God.
[00:04:28.540 --> 00:04:32.100]   It is his effort to explain to you things
[00:04:32.100 --> 00:04:33.820]   that eye hasn't seen, ear hasn't heard,
[00:04:33.820 --> 00:04:36.580]   things that haven't entered into the mind of man.
[00:04:36.580 --> 00:04:41.020]   The Bible is trying to let God share with you
[00:04:41.020 --> 00:04:44.020]   what is going on in his story.
[00:04:44.020 --> 00:04:47.260]   And what's happened is we're living in his story
[00:04:47.260 --> 00:04:49.620]   in a moment in time that is not as he desired,
[00:04:49.620 --> 00:04:52.180]   but because he is not a divine rapist,
[00:04:52.180 --> 00:04:55.280]   he does not impose on us that which we do not choose.
[00:04:55.280 --> 00:04:57.340]   God is a God of relationship,
[00:04:57.340 --> 00:04:59.020]   and because he's a God of relationship,
[00:04:59.020 --> 00:05:01.620]   he has given us the ability to make decisions.
[00:05:01.620 --> 00:05:03.540]   And because we have the ability to make decisions,
[00:05:03.540 --> 00:05:06.460]   some of our decisions can go in a way
[00:05:06.460 --> 00:05:08.460]   that though they seem right to us in the beginning,
[00:05:08.460 --> 00:05:13.400]   they end up as the way of death, just like children.
[00:05:14.400 --> 00:05:17.080]   Children sometimes think, if I eat this way,
[00:05:17.080 --> 00:05:19.760]   it'll be good for me, 'cause it always tastes good up here.
[00:05:19.760 --> 00:05:21.480]   But we know if you always eat what tastes good,
[00:05:21.480 --> 00:05:24.520]   it doesn't always go well with you from the neck down.
[00:05:24.520 --> 00:05:28.880]   It won't look good, and it won't feel good
[00:05:28.880 --> 00:05:31.680]   if you just put in your mouth whatever tastes good.
[00:05:31.680 --> 00:05:34.960]   Children run into danger, they don't know the difference
[00:05:34.960 --> 00:05:37.680]   between a rope and a snake, a curb and a cliff.
[00:05:37.680 --> 00:05:41.040]   And they need somebody to guide them.
[00:05:42.600 --> 00:05:44.500]   So I wanna tell you, what God has done in this book
[00:05:44.500 --> 00:05:46.620]   is he's told you that we are in the condition
[00:05:46.620 --> 00:05:48.740]   that we're in because we have rejected this idea
[00:05:48.740 --> 00:05:51.800]   that God is good, and that we can find life and light
[00:05:51.800 --> 00:05:54.360]   and hope and love and satisfaction in him,
[00:05:54.360 --> 00:05:57.120]   even though everything in the human experience early on
[00:05:57.120 --> 00:05:58.760]   testified that that was the case.
[00:05:58.760 --> 00:06:02.520]   We believed the lie, God wasn't good.
[00:06:02.520 --> 00:06:07.520]   The reason, the liar said, that he doesn't want us
[00:06:07.520 --> 00:06:09.560]   to eat of the tree of good and evil
[00:06:09.560 --> 00:06:12.960]   is not because we should show faith in him
[00:06:12.960 --> 00:06:14.400]   and have a relationship with him
[00:06:14.400 --> 00:06:16.680]   rooted in our own election.
[00:06:16.680 --> 00:06:18.640]   And the reason that, that's why God put it there,
[00:06:18.640 --> 00:06:21.360]   and the reason that God doesn't want us to eat of that tree
[00:06:21.360 --> 00:06:23.480]   is not because he thinks if we eat it
[00:06:23.480 --> 00:06:25.480]   we can be as smart as him and not need him,
[00:06:25.480 --> 00:06:27.640]   it's because he knows that nobody
[00:06:27.640 --> 00:06:29.280]   is intrinsically good except him.
[00:06:29.280 --> 00:06:31.200]   Our goodness comes from him.
[00:06:31.200 --> 00:06:35.240]   And knowing good and evil, we won't always choose
[00:06:35.240 --> 00:06:36.480]   that which is good.
[00:06:36.480 --> 00:06:39.120]   Can I get an amen from this crowd on this?
[00:06:39.120 --> 00:06:41.800]   Most of the mistakes that we make, even in our 20s,
[00:06:41.800 --> 00:06:45.000]   is not a mistake that we make from a lack of information.
[00:06:45.000 --> 00:06:48.840]   We know that probably ain't right.
[00:06:48.840 --> 00:06:53.560]   Okay, being addicted to two-dimensional images of women
[00:06:53.560 --> 00:06:55.920]   and finding my sexual satisfaction there
[00:06:55.920 --> 00:06:58.760]   and finding my affirmation from women there
[00:06:58.760 --> 00:07:03.480]   in a fantasy world is probably not the best route to go.
[00:07:03.480 --> 00:07:08.040]   It'd be much better if I could really share my heart
[00:07:08.040 --> 00:07:11.640]   and soul with another and enjoy in reality
[00:07:11.640 --> 00:07:13.680]   what is only a fantasy for me.
[00:07:13.680 --> 00:07:18.360]   I am not all pro if I'm all maddened on Xbox.
[00:07:18.360 --> 00:07:23.520]   And so I'm not gonna sit there and wear a Hall of Fame
[00:07:23.520 --> 00:07:26.560]   jacket 'cause I kick tail in some Xbox league
[00:07:26.560 --> 00:07:28.640]   and wonder why the world doesn't take note.
[00:07:28.640 --> 00:07:32.880]   I know that to be a man really in that small world
[00:07:32.880 --> 00:07:34.800]   of football, I gotta get out there
[00:07:34.800 --> 00:07:36.440]   and compete where it matters.
[00:07:36.440 --> 00:07:38.840]   And yet some of us give more time to being great
[00:07:38.840 --> 00:07:42.800]   with our thumbs than we do be actually great in our living.
[00:07:42.800 --> 00:07:45.480]   There's so many illustrations that most of the mistakes
[00:07:45.480 --> 00:07:49.720]   we make are not mistakes made because of a lack of knowledge.
[00:07:49.720 --> 00:07:51.240]   See, God says, look, here's your deal, Wagner.
[00:07:51.240 --> 00:07:52.600]   You can know everything that I know,
[00:07:52.600 --> 00:07:53.680]   but you're not gonna do what I do
[00:07:53.680 --> 00:07:54.920]   'cause you're not intentionally good.
[00:07:54.920 --> 00:07:57.320]   What you need is a relationship with me.
[00:07:57.320 --> 00:07:59.700]   And the reason I don't want you to eat of this tree
[00:07:59.700 --> 00:08:02.360]   that will make you think you don't need me
[00:08:02.360 --> 00:08:03.640]   is because you do need me.
[00:08:03.640 --> 00:08:05.040]   And the day you don't think you need me,
[00:08:05.040 --> 00:08:06.640]   you'll start doing things that seem right to you
[00:08:06.640 --> 00:08:08.160]   but will end up with death.
[00:08:08.160 --> 00:08:11.840]   So the story goes that we bought the lie
[00:08:11.840 --> 00:08:13.000]   that we don't need God.
[00:08:13.000 --> 00:08:16.060]   We bought the lie that he wasn't good,
[00:08:16.060 --> 00:08:16.900]   that his word wasn't true.
[00:08:16.900 --> 00:08:18.240]   And we bought the lie that disobeying him
[00:08:18.240 --> 00:08:19.200]   was not that big a deal.
[00:08:19.200 --> 00:08:23.480]   And that got us to 2016 and where we are.
[00:08:23.480 --> 00:08:26.140]   But here's what you need to know about God.
[00:08:26.140 --> 00:08:29.640]   In Deuteronomy chapter four, God is starting to tell you
[00:08:29.640 --> 00:08:33.000]   a little bit about who he is and what he is like.
[00:08:33.000 --> 00:08:35.600]   And he's going to do that by developing
[00:08:35.600 --> 00:08:38.920]   a relationship with people.
[00:08:38.920 --> 00:08:41.680]   And he's going to choose a certain group of people
[00:08:41.680 --> 00:08:44.000]   to work with, not because he loves those people
[00:08:44.000 --> 00:08:45.880]   more than other people, but because he's gonna show
[00:08:45.880 --> 00:08:47.360]   the world that through these people
[00:08:47.360 --> 00:08:50.840]   who he will give eyes to see, ears to hear,
[00:08:50.840 --> 00:08:53.760]   and hearts to respond, by the way that they begin
[00:08:53.760 --> 00:08:56.640]   to walk with God again, and by the way that they are blessed
[00:08:56.640 --> 00:08:59.340]   other nations would go, hey, what's going on with you?
