
[00:00:00.000 --> 00:00:02.760]   (dramatic music)
[00:00:02.760 --> 00:00:20.460]   - Man, I love it.
[00:00:20.460 --> 00:00:21.600]   That's amazing.
[00:00:21.600 --> 00:00:23.600]   That's the coolest Jonah thing I've ever seen.
[00:00:23.600 --> 00:00:24.520]   Hey, welcome friends.
[00:00:24.520 --> 00:00:27.440]   We are kicking off a new series tonight on Jonah
[00:00:27.440 --> 00:00:30.760]   and it is gonna be a fun next few weeks.
[00:00:30.760 --> 00:00:32.520]   Welcome friends in the room and in Fort Worth
[00:00:32.520 --> 00:00:35.040]   and in Houston, El Paso, and Tulsa,
[00:00:35.040 --> 00:00:37.260]   Cedar Rapids, Woodlands, Spring,
[00:00:37.260 --> 00:00:39.420]   wherever you are tuning in with us from.
[00:00:39.420 --> 00:00:40.260]   Hey, let me start with a story
[00:00:40.260 --> 00:00:41.600]   that'll give us some direction for where we're going.
[00:00:41.600 --> 00:00:43.760]   Any dog people in the room?
[00:00:43.760 --> 00:00:46.500]   (audience cheering)
[00:00:46.500 --> 00:00:48.400]   Wow, they are here.
[00:00:48.400 --> 00:00:50.980]   Any cat people?
[00:00:50.980 --> 00:00:53.640]   (audience cheering)
[00:00:53.640 --> 00:00:54.480]   Okay, you guys.
[00:00:56.580 --> 00:00:58.440]   You're dismissed, all the cat people.
[00:00:58.440 --> 00:01:01.240]   No.
[00:01:01.240 --> 00:01:02.840]   Hey, let me tell you the worst part about,
[00:01:02.840 --> 00:01:04.340]   if you're a dog owner in the room right now,
[00:01:04.340 --> 00:01:05.800]   you'll be able to relate to this.
[00:01:05.800 --> 00:01:08.300]   The worst part about owning a dog, I'm a dog owner,
[00:01:08.300 --> 00:01:11.580]   we have a Rhodesian Ridgeback that's like 130 pounds.
[00:01:11.580 --> 00:01:13.940]   He's like a little baby elephant jumping around.
[00:01:13.940 --> 00:01:17.000]   And the worst part about having a dog
[00:01:17.000 --> 00:01:21.040]   is in the winter when it gets cold or rainy,
[00:01:21.040 --> 00:01:24.200]   like it was for like six weeks straight here recently,
[00:01:24.200 --> 00:01:26.320]   or icy or snowy.
[00:01:26.320 --> 00:01:27.160]   And what do you have to do?
[00:01:27.160 --> 00:01:28.680]   You have to exercise the dog.
[00:01:28.680 --> 00:01:30.440]   And you get home from a long day of work
