
[00:00:00.000 --> 00:00:23.000]   [Music]
[00:00:23.000 --> 00:00:27.000]   Ports, how we doing?
[00:00:28.000 --> 00:00:32.000]   If we haven't met, my name is JP. It's a privilege to be with you.
[00:00:32.000 --> 00:00:37.000]   If you're tuning in from somewhere else, Fort Worth, Houston, anywhere around the world,
[00:00:37.000 --> 00:00:42.000]   El Paso, listening as you drive, man, we're so glad that you are with us,
[00:00:42.000 --> 00:00:47.000]   worshiping, diving into God's word with us this evening.
[00:00:47.000 --> 00:00:52.000]   And so, if we are friends on social media or anything like that, you know,
[00:00:52.000 --> 00:00:57.000]   last week was my son's birthday. So I have a son. He's six years old.
[00:00:57.000 --> 00:01:00.000]   His name is Weston. He just turned six years old last week.
[00:01:00.000 --> 00:01:04.000]   And we, last week was his birthday. And so we do birthdays big in our house.
[00:01:04.000 --> 00:01:08.000]   Anybody else do that growing up? Birthdays big? Okay. Good. Like five of you.
[00:01:08.000 --> 00:01:15.000]   And so, he had a party. We went to Nickel Rama. Anybody been there?
[00:01:15.000 --> 00:01:19.000]   Awesome. It's like an arcade here in Dallas, DFW.
[00:01:19.000 --> 00:01:23.000]   And it's, you know, it's like a nickel basically is a quarter.
[00:01:23.000 --> 00:01:25.000]   And we're cheap parents, so we went there.
[00:01:25.000 --> 00:01:30.000]   And so, here's what that meant. Every day last week, he'd wake up,
[00:01:30.000 --> 00:01:34.000]   "Daddy, it's going to be my birthday." You know? "Daddy, I'm going to have a party."
[00:01:34.000 --> 00:01:37.000]   I'm like, "Dude, I know. I'm paying for the party."
[00:01:37.000 --> 00:01:40.000]   He's like, "You know, the next day, Tuesday, it's my birthday.
[00:01:40.000 --> 00:01:42.000]   My birthday party's coming up." I'm like, "I know, buddy. I know.
[00:01:42.000 --> 00:01:45.000]   Birthday party's coming up." And then Wednesday, "Hey, my birthday.
[00:01:45.000 --> 00:01:48.000]   My party's coming up. It's coming up." I'm like, "I know, man. I know."
[00:01:48.000 --> 00:01:50.000]   He's like, "Let's go through the invite list again."
[00:01:50.000 --> 00:01:52.000]   I'm like, "Well, you got your cousins and our friends."
[00:01:52.000 --> 00:01:55.000]   And anyway, so just every--and then Thursday, "Hey, my party's coming up."
[00:01:55.000 --> 00:02:00.000]   You know? And if I'm completely transparent with you,
[00:02:00.000 --> 00:02:06.000]   like this idea--he kept saying the same thing, "I can't wait for my party.
[00:02:06.000 --> 00:02:09.000]   I can't wait for the party."
[00:02:09.000 --> 00:02:16.000]   And he's really describing me, like 16 into my young adult years.
[00:02:16.000 --> 00:02:20.000]   Like that's basically how I lived life, whatever was going on.
[00:02:20.000 --> 00:02:23.000]   I can't wait for the party. Like that's who I was.
[00:02:23.000 --> 00:02:26.000]   It started in high school, you know?
[00:02:26.000 --> 00:02:29.000]   It was like whose parents are going to be out of town?
[00:02:29.000 --> 00:02:31.000]   We're going over there, right?
[00:02:31.000 --> 00:02:35.000]   We'll hang out at your place. And we would do pastor parties.
[00:02:35.000 --> 00:02:38.000]   That's pasture parties, not pastor parties. Those are different things.
[00:02:38.000 --> 00:02:41.000]   Pastor parties. And so we'd go hang out in high school.
[00:02:41.000 --> 00:02:44.000]   And then college came around, and it was phone parties,
[00:02:44.000 --> 00:02:47.000]   frat parties, sorority parties, who has the function.
[00:02:47.000 --> 00:02:50.000]   And then we'd get the fake IDs, we'd go to the club and the bar.
[00:02:50.000 --> 00:02:52.000]   And it was just like living for the weekend.
[00:02:52.000 --> 00:02:54.000]   In college, you stretch out the weekend.
[00:02:54.000 --> 00:02:56.000]   It starts on Thursday night. That was college night.
[00:02:56.000 --> 00:02:59.000]   That's where the drink specials for the college kids were.
[00:02:59.000 --> 00:03:02.000]   So we'd go Thursday, Friday, Saturday, right?
[00:03:02.000 --> 00:03:05.000]   And then I graduated from college, moved to Dallas,
