
[00:00:00.000 --> 00:00:02.000]   Oh
[00:00:02.000 --> 00:00:08.200]   Man what a crazy day
[00:00:08.200 --> 00:00:13.040]   Just made up. I actually I almost died this morning
[00:00:13.040 --> 00:00:16.340]   in a car accident, so this is I
[00:00:16.340 --> 00:00:20.880]   Actually, that's that's an exaggeration almost killed someone else I
[00:00:20.880 --> 00:00:25.400]   You know we were in the process of adopting this girl
[00:00:26.440 --> 00:00:32.960]   This is a 16 year old girl out of the foster system. We've had her in our house for like eight months
[00:00:32.960 --> 00:00:34.760]   I love her to death
[00:00:34.760 --> 00:00:37.040]   but now I'm teaching her how to drive and
[00:00:37.040 --> 00:00:44.640]   Man, I've never come so close to killing someone. I mean not like like she was just I mean
[00:00:44.640 --> 00:00:47.080]   I'm screaming at the top of my lungs stop
[00:00:47.080 --> 00:00:49.800]   and just like inches and
[00:00:49.800 --> 00:00:51.360]   so
[00:00:51.360 --> 00:00:59.200]   I was almost in prison almost killed a lady almost missed the flight out here, but here I am so God wants to do something
[00:00:59.200 --> 00:01:06.320]   You know what let me just back up a little bit
[00:01:06.320 --> 00:01:10.920]   Just just thinking about my my new daughter if those who don't know I've got seven kids and
[00:01:10.920 --> 00:01:17.480]   Yeah, and so this this gal that we're adopting though, and I'm just crazy about her
[00:01:18.040 --> 00:01:20.040]   The things that God's done in her life
[00:01:20.040 --> 00:01:27.480]   Just from this terrible background and and to see God completely turn her life around
[00:01:27.480 --> 00:01:29.680]   but also
[00:01:29.680 --> 00:01:32.720]   Also seeing my 15 year old daughter. You know
[00:01:32.720 --> 00:01:34.760]   ministering to her and
[00:01:34.760 --> 00:01:41.760]   Discipling her and they you know they're bunking together and and just even before this gal moved in you know I was talking to my
[00:01:41.760 --> 00:01:44.160]   15 year old about it. You know and and
[00:01:44.880 --> 00:01:50.320]   You know we're at a restaurant or something, and you know she didn't eat anything. I'm like you know what's the matter
[00:01:50.320 --> 00:01:53.800]   She was oh, I'm fasting this week for her. I'm like wow
[00:01:53.800 --> 00:01:56.000]   It's just so cool
[00:01:56.000 --> 00:02:02.920]   and and I just really believe it's those prayers of this 15 year old girl that transformed this girl's life and
[00:02:02.920 --> 00:02:10.080]   But but one of the joys for me was at one point the social worker asked you know how long?
[00:02:10.080 --> 00:02:12.760]   can she stay here with you and
[00:02:13.360 --> 00:02:17.400]   To be able to look into her eyes and and say honey. Don't worry
[00:02:17.400 --> 00:02:24.480]   You know you you can stay here as long as you want you can be one of my daughters see all the girls
[00:02:24.480 --> 00:02:28.920]   You know how I treat my daughters. You can be one of them. I will take you
