
[00:00:00.000 --> 00:00:18.160]   How are we doing?
[00:00:18.160 --> 00:00:24.680]   It's great to be back with you.
[00:00:24.680 --> 00:00:27.120]   What's up Fort Worth?
[00:00:27.120 --> 00:00:29.460]   Shout out Houston.
[00:00:29.460 --> 00:00:32.680]   Everybody driving down the road, listening to the message, live streaming at home.
[00:00:32.680 --> 00:00:34.040]   We're glad you're tuned in.
[00:00:34.040 --> 00:00:42.440]   The preface of tonight is that we find identity throughout our lives in different things.
[00:00:42.440 --> 00:00:47.520]   And so in college, I was identified as a partier.
[00:00:47.520 --> 00:00:48.520]   Okay.
[00:00:48.520 --> 00:00:49.520]   I didn't know Christ.
[00:00:49.520 --> 00:00:50.520]   I didn't walk with Jesus.
[00:00:50.520 --> 00:00:53.340]   I loved to party, love to go out.
[00:00:53.340 --> 00:00:59.120]   And so there was a part of that is it's who I was, or at least who I thought I was.
[00:00:59.120 --> 00:01:03.560]   And so I went to school at this small college in Waco.
[00:01:03.560 --> 00:01:07.520]   And if we really wanted to party in Waco, we would come to Dallas.
[00:01:07.520 --> 00:01:12.040]   And so my boys and I, we drove up to Dallas and we were going to go to this club in Deep
[00:01:12.040 --> 00:01:13.040]   Ellum.
[00:01:13.040 --> 00:01:17.520]   And the problem was, is they were all over 21 and I was not.
[00:01:17.520 --> 00:01:18.520]   Okay.
[00:01:18.520 --> 00:01:22.400]   But that's okay because we had a plan.
[00:01:22.400 --> 00:01:28.480]   So what was going to happen is my roommate was going to get in and then pass back his
[00:01:28.480 --> 00:01:29.480]   ID.
[00:01:29.480 --> 00:01:30.480]   Okay.
[00:01:30.480 --> 00:01:31.960]   Don't try this at home.
[00:01:31.960 --> 00:01:37.380]   I know you wouldn't, again, not walking with Jesus, not a Christian at this time.
[00:01:37.380 --> 00:01:43.040]   And so we're waiting in this line, in this club here in Dallas and Deep Ellum.
[00:01:43.040 --> 00:01:46.800]   And he gets through and I'm watching the bouncer.
[00:01:46.800 --> 00:01:48.480]   Like he's not even looking at IDs.
[00:01:48.480 --> 00:01:50.820]   I'm like, this is going to be easy.
[00:01:50.820 --> 00:01:54.400]   And I'm kind of banking on the fact that he's not going to look at the ID.
[00:01:54.400 --> 00:01:57.280]   And so he gets in, works like a charm.
[00:01:57.280 --> 00:01:58.720]   There's six people between us.
[00:01:58.720 --> 00:02:01.680]   We did that strategically, pass back the ID.
[00:02:01.680 --> 00:02:10.400]   I get up there, I hand it to him and he starts looking at it real close.
[00:02:10.400 --> 00:02:16.920]   And he says, this isn't you.
[00:02:16.920 --> 00:02:23.440]   And I'm just kind of like, I'm trying to intimidate him a little bit.
[00:02:23.440 --> 00:02:29.780]   And he says, "Babak Ali Hadid."
[00:02:29.780 --> 00:02:39.880]   To which I say, "It is me."
[00:02:39.880 --> 00:02:42.480]   Like I'm thinking, I'm playing the race card a little bit.
