
[00:00:00.000 --> 00:00:01.200]   Good evening, everybody.
[00:00:01.200 --> 00:00:03.740]   (congregation cheering)
[00:00:03.740 --> 00:00:05.700]   Hey there, my name is Garrett,
[00:00:05.700 --> 00:00:09.880]   and I served on the porch staff team here for six years.
[00:00:09.880 --> 00:00:12.480]   And then two years ago, if you're in the room live,
[00:00:12.480 --> 00:00:13.580]   you heard David say just a moment ago,
[00:00:13.580 --> 00:00:15.540]   two years ago that my wife Gabby and I
[00:00:15.540 --> 00:00:16.940]   left Dallas-Fort Worth,
[00:00:16.940 --> 00:00:18.480]   which has been our home for quite a while,
[00:00:18.480 --> 00:00:20.860]   and moved to New York City to begin a new church
[00:00:20.860 --> 00:00:23.180]   that launches this very month.
[00:00:23.180 --> 00:00:24.180]   So we're very excited about that.
[00:00:24.180 --> 00:00:26.500]   But here's the interesting thing about tonight
[00:00:26.500 --> 00:00:29.360]   is that I haven't been here in two years,
[00:00:29.360 --> 00:00:31.560]   and research has shown that the porch crowd
[00:00:31.560 --> 00:00:34.200]   kind of almost does a full turnover about every two years,
[00:00:34.200 --> 00:00:35.760]   which leaves me tonight starting by saying,
[00:00:35.760 --> 00:00:36.900]   it's so good to see you guys.
[00:00:36.900 --> 00:00:38.700]   And it leaves you saying, you too.
[00:00:38.700 --> 00:00:39.540]   Who is that?
[00:00:39.540 --> 00:00:40.380]   (congregation laughing)
[00:00:40.380 --> 00:00:42.380]   And, but in any case, it's so good.
[00:00:42.380 --> 00:00:44.740]   It's so good to be together
[00:00:44.740 --> 00:00:47.240]   and just to have a few moments of potential
[00:00:47.240 --> 00:00:49.580]   for God to move in our lives and hearts together.
[00:00:49.580 --> 00:00:50.720]   Special shout out tonight, by the way,
[00:00:50.720 --> 00:00:52.180]   to our friends in Boise
[00:00:52.180 --> 00:00:53.380]   and our friends in Scottsdale
[00:00:53.380 --> 00:00:55.220]   who are tuning in around the country.
[00:00:55.220 --> 00:00:56.360]   Some of them are not around the country.
[00:00:56.360 --> 00:00:58.260]   Some of my thinkers are sitting right over there,
[00:00:58.260 --> 00:00:59.720]   I think is what's going on.
[00:00:59.720 --> 00:01:00.700]   So it's great to be together.
[00:01:00.700 --> 00:01:01.620]   Listen, I'd love to start,
[00:01:01.620 --> 00:01:03.020]   I'd love to start with a question tonight.
[00:01:03.020 --> 00:01:03.900]   Tonight's about mission.
[00:01:03.900 --> 00:01:06.000]   It's about being united in mission, specifically.
[00:01:06.000 --> 00:01:06.940]   I'm gonna ask you a question.
[00:01:06.940 --> 00:01:08.260]   Maybe you've never reflected on this before.
[00:01:08.260 --> 00:01:09.700]   Maybe you have, but here it comes.
[00:01:09.700 --> 00:01:13.940]   What causes a person's life mission?
[00:01:13.940 --> 00:01:15.140]   And when I say mission tonight,
[00:01:15.140 --> 00:01:17.180]   I don't mean, when I say a person's life mission,
[00:01:17.180 --> 00:01:18.580]   I don't mean like their mood.
[00:01:18.580 --> 00:01:20.780]   Like, you know, I'm on a mission to get some tacos today.
[00:01:20.780 --> 00:01:22.340]   That's not a mission, that's a mood.
[00:01:22.340 --> 00:01:23.780]   Okay, that's a desire, that's a want.
[00:01:23.780 --> 00:01:25.460]   That can come and go, okay?
[00:01:25.460 --> 00:01:27.460]   I'm talking about a deep seated drive.
[00:01:27.460 --> 00:01:29.320]   When I say your personal life mission,
[00:01:29.320 --> 00:01:32.160]   I'm talking about a deep seated thing that makes you tick.
[00:01:32.160 --> 00:01:34.400]   It makes you go, season by season,
[00:01:34.400 --> 00:01:35.600]   week after week, year after year.
[00:01:35.600 --> 00:01:37.260]   It is your inner posture
[00:01:37.260 --> 00:01:38.900]   and set of desires and orientation.
[00:01:38.900 --> 00:01:42.000]   I'm talking about the depths of you and your wants.
[00:01:42.000 --> 00:01:42.840]   That's what I'm talking about
