
[00:00:00.000 --> 00:00:23.000]   [ Music ]
[00:00:23.000 --> 00:00:25.500]   [ Applause ]
[00:00:25.500 --> 00:00:26.000]   >> Hey guys.
[00:00:26.000 --> 00:00:28.660]   Okay, now all the guys in the room are like, she's going to talk about emotions.
[00:00:28.660 --> 00:00:31.040]   There's a girl teaching and we're going to talk about our emotions.
[00:00:31.040 --> 00:00:34.540]   And I'm going to tell you right now, this is going to be the best marriage advice you will ever get.
[00:00:34.540 --> 00:00:35.880]   The best friendship advice.
[00:00:35.880 --> 00:00:37.640]   I know you all are like, we're not married.
[00:00:37.640 --> 00:00:39.260]   You might be one day.
[00:00:39.260 --> 00:00:44.520]   And I'm just going to save you thousands of dollars on counseling
[00:00:44.520 --> 00:00:50.580]   because this subject is everything.
[00:00:51.720 --> 00:01:00.020]   And whether you are someone that expresses your emotions easily and you're all over the place emotionally
[00:01:00.020 --> 00:01:04.840]   or you're someone who holds them all in, you are an emotional being.
[00:01:04.840 --> 00:01:07.800]   You were built by God to be an emotional being.
[00:01:07.800 --> 00:01:08.920]   Now let me start with a question.
[00:01:08.920 --> 00:01:12.320]   How many of you would say emotions are bad?
[00:01:12.320 --> 00:01:16.340]   Any of you?
[00:01:16.340 --> 00:01:19.540]   How many of you would say emotions are neutral?
[00:01:20.100 --> 00:01:24.000]   How many of you would say emotions are good?
[00:01:24.000 --> 00:01:26.420]   Good, good, okay.
[00:01:26.420 --> 00:01:27.760]   You're healthy.
[00:01:27.760 --> 00:01:29.160]   You've done some counseling, many of you.
[00:01:29.160 --> 00:01:30.780]   I will say this.
[00:01:30.780 --> 00:01:36.660]   Largely, believers in the church has been confused on that question.
[00:01:36.660 --> 00:01:39.680]   Are emotions good?
[00:01:39.680 --> 00:01:41.620]   Are emotions bad?
[00:01:41.620 --> 00:01:46.140]   Because it sure feels like we're all pretty jacked up with them.
[00:01:46.700 --> 00:01:51.440]   This is the picture I drew when I started this project because this is what I felt.
[00:01:51.440 --> 00:01:57.060]   And the reason the book is called this is because this is the way that my emotions felt to me.
[00:01:57.060 --> 00:02:01.200]   And I think it's the way a lot of people's emotions feel to them.
[00:02:01.200 --> 00:02:04.780]   I remember being in the backseat.
[00:02:04.780 --> 00:02:10.740]   I was seven years old and I was leaving the funeral of my great grandmother, Muncie.
[00:02:10.740 --> 00:02:12.460]   And I didn't know Muncie very well.
[00:02:13.900 --> 00:02:18.260]   But I was seven years old and I'm sitting in the backseat with my parents in the front seat.
[00:02:18.260 --> 00:02:21.620]   And I'm crying as quietly as I can.
[00:02:21.620 --> 00:02:25.740]   Not because I loved Muncie.
[00:02:25.740 --> 00:02:26.900]   I mean, she was my great grandmother.
[00:02:26.900 --> 00:02:28.140]   I remember she had a cuckoo clock.
[00:02:28.140 --> 00:02:31.380]   Like there's just very little context I had for this woman.
[00:02:31.380 --> 00:02:36.940]   But I remember, I remember driving and I remember looking out the window.
[00:02:36.940 --> 00:02:41.980]   I remember being seven years old and crying because I was scared to die.
[00:02:42.500 --> 00:02:46.260]   And I remember another thought.
[00:02:46.260 --> 00:02:51.660]   There was part of my brain at seven years old that was scared to die and was crying,
[00:02:51.660 --> 00:02:57.780]   looking at the stars and thinking about God and thinking that I don't want to die.
[00:02:57.780 --> 00:03:05.860]   And there was part of my brain that was saying, cry really quietly so that your parents don't hear you
[00:03:05.860 --> 00:03:10.300]   because they'll think it's weird that you're crying about your great grandmother that you didn't know very well.
[00:03:11.620 --> 00:03:14.980]   There was part of my brain that was crying for a really good reason.
[00:03:14.980 --> 00:03:20.620]   Like I look back at that seven year old Jenny and I, I tear up now thinking about her because I'm thinking,
[00:03:20.620 --> 00:03:23.300]   I get why you're crying about death like that.
[00:03:23.300 --> 00:03:27.980]   I don't know whether you lost a fish first or a dog or a grandparent or a parent.
[00:03:27.980 --> 00:03:32.340]   I don't know when your first encounter was with death, but likely it overwhelmed you.
[00:03:32.340 --> 00:03:35.900]   Of course, seven year old Jenny was a little overwhelmed.
[00:03:35.900 --> 00:03:36.980]   That's what I want to say to her.
[00:03:36.980 --> 00:03:41.100]   I want to pick her up and go, baby girl, of course you are scared to death.
[00:03:41.620 --> 00:03:42.740]   Let me process it with you.
[00:03:42.740 --> 00:03:44.420]   Sometimes I am scared to death too.
[00:03:44.420 --> 00:03:48.260]   But yet there was another part of my brain.
[00:03:48.260 --> 00:03:51.900]   And I think it's why we're all mixed up.
[00:03:51.900 --> 00:04:02.980]   I think it's that tornado we feel about it that was telling me the whole time, don't cry too loud because you don't want your parents to hear.
[00:04:02.980 --> 00:04:09.620]   I was judging that I was sad at seven years old.
[00:04:10.620 --> 00:04:15.620]   Our emotions good, our emotions bad, our emotions neutral.
[00:04:15.620 --> 00:04:24.340]   Now we all know that they are causing a whole lot of trouble everywhere we look.
[00:04:24.340 --> 00:04:28.860]   We know that emotions are causing trouble everywhere we look.
[00:04:28.860 --> 00:04:36.700]   And so because of that, what we see is the world has said, okay, this is, this is the way it works.
[00:04:37.940 --> 00:04:48.540]   Life is a little bit chaotic and it feels like I don't know if I believe in God, so I don't know what's coming.
[00:04:48.540 --> 00:04:50.780]   So this life is all there is.
[00:04:50.780 --> 00:04:54.340]   And then the way that I feel and what I feel inside becomes everything.
[00:04:54.340 --> 00:04:56.500]   So emotions become everything.
[00:04:56.500 --> 00:04:58.860]   And whatever we feel, we chase.
[00:04:58.860 --> 00:05:02.420]   And that is the way that the world largely has lived.
[00:05:02.420 --> 00:05:06.140]   And let me just say, I don't think it's a bad plan if there is no God.
[00:05:06.140 --> 00:05:09.620]   In fact, Paul said, let us eat and drink because tomorrow we die.
[00:05:09.620 --> 00:05:17.140]   Right. It's like if this is all there is, then let's go have the best, let's meet every desire we have, every feeling we have.
[00:05:17.140 --> 00:05:21.300]   If there is nothing after this and it's meaningless, go have fun.
[00:05:21.300 --> 00:05:24.540]   Follow your feelings, follow your heart.
[00:05:24.540 --> 00:05:27.900]   But we know it leads to destruction.
[00:05:27.900 --> 00:05:34.220]   Right. And so the world is following our feelings and sometimes we are following our feelings and it is leading to destruction.
[00:05:34.260 --> 00:05:40.980]   And so therefore, the church has responded and the church has said emotions are dangerous.
[00:05:40.980 --> 00:05:42.860]   Emotions aren't reliable.
[00:05:42.860 --> 00:05:45.140]   Emotions aren't trustworthy.
[00:05:45.140 --> 00:05:48.900]   And all of a sudden we have demonized emotions.
[00:05:48.900 --> 00:05:56.780]   And just like that seven year old little girl in the backseat, we're sitting there not only feeling sad and angry and confused.
[00:05:56.780 --> 00:05:59.380]   But now we're also judging it.
[00:05:59.380 --> 00:06:03.420]   And there's a big part of our soul that's judging it.
[00:06:04.420 --> 00:06:08.460]   We're going to look at two words in scripture tonight, two words.
[00:06:08.460 --> 00:06:11.140]   Jesus wept.
[00:06:11.140 --> 00:06:15.180]   We're going to unpack those two words tonight.
[00:06:15.180 --> 00:06:24.540]   But before we do, I want to pray and I want to ask God to transform our mind because like Grace said, I've been working on this for a year.
[00:06:24.540 --> 00:06:29.140]   It kind of feels like I'm coming out from disheveled papers and a mess.
[00:06:29.140 --> 00:06:34.420]   And I'm nervous to bring this to you all today because I've worked on it for so long.
[00:06:34.420 --> 00:06:39.540]   But what I know to be true is it has transformed my life and my relationships.
[00:06:39.540 --> 00:06:41.180]   It has transformed it.
[00:06:41.180 --> 00:06:46.260]   It's changed the way I view one of these most important things in life.
[00:06:46.260 --> 00:06:53.580]   And so God transform the way we view this, redeem our view of emotions, redeem emotions in us.
[00:06:53.580 --> 00:06:55.660]   Help us to see it how you see it.
[00:06:56.460 --> 00:07:03.260]   Help us to feel how you feel and then help us to live out of those feelings in a healthy way.
[00:07:03.260 --> 00:07:07.140]   Help us in Jesus name.
[00:07:07.140 --> 00:07:09.580]   I want to show you a picture of my family.
[00:07:09.580 --> 00:07:14.780]   So there's, I've got four kids and now I have a new son in law.
[00:07:14.780 --> 00:07:26.140]   And I remember when my daughter was 10 years old, my oldest daughter, it was my turn to have the talk with my daughter.
[00:07:27.140 --> 00:07:27.740]   Y'all got me?
[00:07:27.740 --> 00:07:32.180]   So I have the talk with her at Sonic.
[00:07:32.180 --> 00:07:34.780]   I take her to Sonic and I just dropped it like a bomb.
[00:07:34.780 --> 00:07:38.180]   I said, this is what happens.
[00:07:38.180 --> 00:07:39.500]   This is where babies are made.
[00:07:39.500 --> 00:07:40.620]   This is how it goes.
[00:07:40.620 --> 00:07:41.460]   The end.
[00:07:41.460 --> 00:07:43.460]   And she started weeping.
[00:07:43.460 --> 00:07:46.900]   I was like, that did not go how I thought.
[00:07:46.900 --> 00:07:47.740]   So let's go to the mall.
[00:07:47.740 --> 00:07:48.540]   So we go to the mall.
[00:07:48.540 --> 00:07:49.860]   I'm like, let's change the subject.
[00:07:49.860 --> 00:07:53.380]   I'm going to go read some more books about this and how to do this better.
[00:07:53.380 --> 00:07:54.580]   And I'll come back to this.
[00:07:54.980 --> 00:07:56.540]   And so I'm thinking she'll forget it.
[00:07:56.540 --> 00:07:57.260]   And so we go to the mall.
[00:07:57.260 --> 00:08:00.140]   We're gone for two hours and we drive back into our driveway.
[00:08:00.140 --> 00:08:04.060]   And right before we go in, I think she's moved on and forgotten it.
[00:08:04.060 --> 00:08:13.820]   Right before we go in, she grabs my arm and she says, mom, I need to thank you for what you did for us three times.
[00:08:13.820 --> 00:08:22.900]   And I totally understand why we adopted Cooper.
[00:08:22.900 --> 00:08:34.380]   Now, sex is one of those things God made.
[00:08:34.380 --> 00:08:40.340]   It's one of those crazy, great things that God made that's so confusing.
[00:08:40.340 --> 00:08:43.540]   It's so confusing.
[00:08:43.540 --> 00:08:46.780]   And I'll tell you today, my daughter is married and she's sitting over here right now.
[00:08:46.780 --> 00:08:48.620]   And I'm sure she loves me telling you all this story.
[00:08:48.620 --> 00:08:51.060]   But she's married today.
[00:08:51.060 --> 00:08:51.660]   And guess what?
[00:08:52.180 --> 00:08:55.860]   Her view of sex today is very different than her view at 10 years old.
[00:08:55.860 --> 00:09:03.020]   And her view of sex at 40 something is going to be very different than her view of it at 20 something.
[00:09:03.020 --> 00:09:08.420]   And her view of it at 80 something is going to be very different than her view of it at 40 something.
[00:09:08.420 --> 00:09:17.580]   Because sex is a mysterious, awesome gift that God gave us that is really hard to get our head around while we're on earth.
[00:09:17.580 --> 00:09:21.460]   And it gets twisted and it gets messed up.
[00:09:21.460 --> 00:09:25.900]   And y'all, sex and emotions aren't so different.
[00:09:25.900 --> 00:09:30.220]   God built our emotions.
[00:09:30.220 --> 00:09:31.180]   He built them.
[00:09:31.180 --> 00:09:32.540]   He gifted them to us.
[00:09:32.540 --> 00:09:34.180]   And he has a plan for them.
[00:09:34.180 --> 00:09:40.620]   And I want to start just with in case you don't know theologically, in case you were like, I don't know if it's good or bad or neutral.
[00:09:40.620 --> 00:09:44.580]   Let me just start with how God feels.
[00:09:44.580 --> 00:09:48.860]   We know that emotions are good because we have a God that feels.
[00:09:51.380 --> 00:09:56.740]   So in Genesis, you see that that emotions cannot be a sin because God is feeling like crazy.
[00:09:56.740 --> 00:09:59.020]   He creates and he loves what he created.
[00:09:59.020 --> 00:10:00.620]   He delights over what he's created.
[00:10:00.620 --> 00:10:07.700]   And then creation rebels and he's disappointed and he's hurt that that creation has rebelled.
[00:10:07.700 --> 00:10:14.140]   And then he feels delight when Abraham and David and others follow him and and submit to him.
[00:10:14.140 --> 00:10:15.620]   And then he feels anger.
[00:10:15.620 --> 00:10:22.260]   Numbers 32 says that the Lord burned with anger at Israel because they wouldn't believe him.
[00:10:22.260 --> 00:10:25.260]   So there's a war going on in God.
[00:10:25.260 --> 00:10:29.180]   There is anger, delight, disappointment.
[00:10:29.180 --> 00:10:32.940]   You see all of that just in Genesis, the beginning of the scriptures.
[00:10:32.940 --> 00:10:37.980]   And time and time again, we see God express his compassion toward humanity.
[00:10:37.980 --> 00:10:42.020]   He is regularly, in fact, the word compassion is used so often in the Bible.
[00:10:42.020 --> 00:10:44.940]   He is moved with compassion to his people.
[00:10:45.500 --> 00:10:48.060]   It says that the Lord is not slow to fulfill his promises.
[00:10:48.060 --> 00:10:54.460]   Some count slowness, but is patient towards you, not wishing that any should perish, but that all should reach repentance.
[00:10:54.460 --> 00:11:04.500]   And then Jesus comes and it says even before Jesus comes in Isaiah, it says that Jesus is a man of sorrows and acquainted with grief.
[00:11:04.500 --> 00:11:14.260]   And then we see Jesus face the cross and at the Garden of Gethsemane, we get this glimpse into this intimate moment with with the Trinity.
[00:11:14.460 --> 00:11:17.020]   Father, Son and Holy Spirit.
[00:11:17.020 --> 00:11:22.500]   And Jesus is troubled and he's afraid and he's sweating as if it's drops of blood.
[00:11:22.500 --> 00:11:24.780]   And it says that he is in agony.
[00:11:24.780 --> 00:11:33.460]   And that word agony in the Greek is it actually is translated almost every time into anxiety or fear.
[00:11:33.460 --> 00:11:38.420]   So you see a God that even struggles with fear.
[00:11:38.420 --> 00:11:41.820]   He experiences fear.
[00:11:41.820 --> 00:11:47.780]   Why on earth would these emotions be in God?
[00:11:47.780 --> 00:11:49.940]   He knows what's going to happen.
[00:11:49.940 --> 00:11:51.300]   He knows everything.
[00:11:51.300 --> 00:11:54.380]   He can fix anything.
[00:11:54.380 --> 00:11:58.220]   Why would these emotions exist?
[00:11:58.220 --> 00:12:01.420]   Jesus wept.
[00:12:01.420 --> 00:12:03.700]   It's a story.
[00:12:03.700 --> 00:12:09.940]   If you haven't read it, those verses are found around the death of one of his good friends.
[00:12:11.660 --> 00:12:22.940]   And in this moment where he knows that his friend is dead and he's not yet with his friend, he stops his people from going back.
[00:12:22.940 --> 00:12:31.260]   And it says in John 11 that before we go to Lazarus, he's going to fall asleep, but I'm going to wake him up.
[00:12:31.260 --> 00:12:35.660]   So he announces to his disciples, we're going to go see Lazarus and he's going to be asleep.
[00:12:35.660 --> 00:12:37.460]   But I'm going to wake him up.
[00:12:37.780 --> 00:12:44.340]   And then he arrives on the scene and Martha greets him and she's mad.
[00:12:44.340 --> 00:12:45.860]   In John 11, she's mad.
[00:12:45.860 --> 00:12:47.140]   She's angry.
[00:12:47.140 --> 00:12:51.780]   And she lets him know it because if you would have been here, he wouldn't have died.
