
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:13.000]   - Welcome friends in the room,
[00:00:13.000 --> 00:00:14.640]   friends in Fort Worth, friends in Houston,
[00:00:14.640 --> 00:00:16.680]   and wherever you are tuning in with us
[00:00:16.680 --> 00:00:19.120]   as we continue this dating series
[00:00:19.120 --> 00:00:23.960]   as we kick off the fall and people are falling in love.
[00:00:23.960 --> 00:00:25.080]   I'm gonna start with a story
[00:00:25.080 --> 00:00:27.400]   that'll give us some direction for where we're going.
[00:00:27.400 --> 00:00:31.840]   About 10 years ago, 10 years ago, 10 years ago,
[00:00:31.840 --> 00:00:34.360]   I was working at a camp in Missouri
[00:00:34.360 --> 00:00:36.240]   and I was working for the director of the camp
[00:00:36.240 --> 00:00:38.400]   and he was a basically traveling evangelist
[00:00:38.400 --> 00:00:40.480]   and he would get asked to go speak all over the country
[00:00:40.480 --> 00:00:41.320]   at these different places.
[00:00:41.320 --> 00:00:45.320]   And he was asked to go speak at a men's kind of rally event
[00:00:45.320 --> 00:00:46.720]   where they were gonna fill up
[00:00:46.720 --> 00:00:50.000]   the St. Louis Rams football stadium.
[00:00:50.000 --> 00:00:51.560]   Kurt Warner was gonna be there
[00:00:51.560 --> 00:00:52.960]   and my friend was gonna speak at it
[00:00:52.960 --> 00:00:54.040]   and he said, "Hey, do you wanna come with me?"
[00:00:54.040 --> 00:00:56.000]   And I'm like, "Yeah, absolutely, this sounds awesome."
[00:00:56.000 --> 00:00:58.720]   And so we head up, get in the car,
[00:00:58.720 --> 00:01:00.840]   head out and head the direction of St. Louis,
[00:01:00.840 --> 00:01:03.640]   which was a few hours away, and we pull up to this airport.
[00:01:03.640 --> 00:01:04.760]   And I'm like, "What are we doing here?"
[00:01:04.760 --> 00:01:06.240]   He says, "We're getting in the jet."
[00:01:06.240 --> 00:01:08.640]   They sent a jet that we're gonna get in and fly there.
[00:01:08.640 --> 00:01:10.800]   And I'm like, "Oh my gosh, this is amazing.
[00:01:10.800 --> 00:01:12.320]   "This is not normal for me.
[00:01:12.320 --> 00:01:14.280]   "I didn't grow up in Highland Park."
[00:01:14.280 --> 00:01:15.120]   Just kidding.
[00:01:15.120 --> 00:01:15.960]   (congregation laughing)
[00:01:15.960 --> 00:01:19.960]   So we're, don't email if you're from Highland Park, I know.
[00:01:19.960 --> 00:01:22.760]   Only like half have jets, I get it.
[00:01:22.760 --> 00:01:24.920]   So hey, we get in the, I know,
[00:01:24.920 --> 00:01:26.680]   that's gonna get even more emails, great.
[00:01:26.680 --> 00:01:29.800]   Okay, so we get in the jet, my friend is there,
[00:01:29.800 --> 00:01:31.080]   and this is a whole new experience,
[00:01:31.080 --> 00:01:32.840]   never had this before, you know, the leather seats.
[00:01:32.840 --> 00:01:34.680]   It's just, it's a little small jet, four seater.
[00:01:34.680 --> 00:01:36.200]   It's me and him and the pilot.
[00:01:36.200 --> 00:01:38.300]   And within like three minutes, he falls asleep.
[00:01:38.300 --> 00:01:39.460]   And he's just like knocked out.
[00:01:39.460 --> 00:01:41.440]   He's gonna take a nap on our way there.
[00:01:41.440 --> 00:01:44.680]   And so it's just me kind of with my thoughts and the pilot.
[00:01:44.680 --> 00:01:46.040]   And so I start talking to the pilot,
[00:01:46.040 --> 00:01:47.960]   "How long have you been flying?
[00:01:47.960 --> 00:01:48.960]   "You know, where are you from?"
[00:01:48.960 --> 00:01:50.120]   And eventually he just says,
[00:01:50.120 --> 00:01:52.480]   "Hey, do you wanna come up here to the cockpit?"
[00:01:52.480 --> 00:01:53.880]   "Yes, absolutely."
[00:01:53.880 --> 00:01:56.320]   So I'm riding shotgun in this jet.
[00:01:56.320 --> 00:02:00.040]   And I immediately realized something
[00:02:00.040 --> 00:02:02.720]   that I did not know about flying.
[00:02:02.720 --> 00:02:05.880]   You can't see where you're going.
[00:02:05.880 --> 00:02:08.560]   Like what I mean by that, in case you're like,
